Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1594857600000,11.32,12.62,11.25,11.59,10130.94,1594900799999,118121.0462,182,3673.03,42894.1227,0
1594900800000,11.4,11.72,9.87,10.02,11533.68,1594943999999,125282.198,326,6537.1,71420.9537,0
1594944000000,9.97,10.88,9.91,10.22,5889.81,1594987199999,61375.7363,483,2140.82,22545.7128,0
1594987200000,10.2,10.8,9.97,10.73,4725.05,1595030399999,49448.6502,254,2130.89,22315.4476,0
1595030400000,10.91,11.75,10.82,11.05,13396.83,1595073599999,150319.1954,243,7366.44,83096.7596,0
1595073600000,11.17,11.35,10.38,10.74,11933.73,1595116799999,127479.7927,235,5926.32,63291.8585,0
1595116800000,10.82,10.84,10.34,10.72,4523.66,1595159999999,47936.7389,97,2437.19,25842.3717,0
1595160000000,10.76,11.03,10.35,10.49,11715.32,1595203199999,125144.2929,165,7824.32,83688.5718,0
1595203200000,10.47,11.06,10.41,10.9,4151.55,1595246399999,44422.302,72,2519.89,27041.0974,0
1595246400000,11.0,12.5,10.85,11.84,12935.09,1595289599999,148727.2595,253,6713.18,77556.6639,0
1595289600000,11.94,12.24,10.01,10.2,17379.97,1595332799999,190359.6609,234,7680.03,85019.9732,0
1595332800000,10.17,10.48,9.98,10.23,9159.0,1595375999999,94059.9747,152,5143.09,52961.694,0
1595376000000,10.17,10.69,10.17,10.33,14115.82,1595419199999,147159.5157,163,7384.96,76908.9973,0
1595419200000,10.35,10.68,9.86,10.04,19274.35,1595462399999,195826.0946,254,9559.46,97361.2934,0
1595462400000,9.95,10.02,9.53,9.73,8915.63,1595505599999,87241.5765,160,4021.92,39321.3719,0
1595505600000,9.73,10.08,9.72,10.02,8805.79,1595548799999,87122.4825,146,3665.06,36238.381,0
1595548800000,9.98,10.37,9.98,10.12,8749.46,1595591999999,89423.4937,128,4835.94,49538.4024,0
1595592000000,10.13,10.59,10.1,10.36,4469.49,1595635199999,45898.8385,103,2298.86,23699.7313,0
1595635200000,10.33,10.33,8.0,8.53,39176.48,1595678399999,344214.7288,663,18986.45,166519.5448,0
1595678400000,8.53,8.8,6.88,7.1,152937.25,1595721599999,1180397.4365,2773,67181.21,518210.4796,0
1595721600000,7.12,7.34,5.83,6.73,344457.46,1595764799999,2214109.0994,4066,155039.6,989731.5891,0
1595764800000,6.68,7.24,6.11,6.42,142653.63,1595807999999,943770.1326,2013,71074.35,473961.6781,0
1595808000000,6.38,7.58,6.26,7.23,196435.97,1595851199999,1395292.9802,2092,106774.02,756444.1694,0
1595851200000,7.23,9.08,6.87,7.51,366862.78,1595894399999,2896833.9392,3145,189288.62,1494543.4002,0
1595894400000,7.53,8.26,7.0,7.66,124710.83,1595937599999,944495.3805,1108,64831.1,492195.256,0
1595937600000,7.75,7.82,5.97,6.19,247337.11,1595980799999,1615816.5296,2306,103443.92,680014.7098,0
1595980800000,6.19,6.8,5.75,6.28,197145.25,1596023999999,1222813.5835,2076,89764.82,558381.6636,0
1596024000000,6.32,6.78,5.95,6.6,202424.95,1596067199999,1291088.6507,2074,98061.32,626640.5853,0
1596067200000,6.6,6.95,6.33,6.8,90629.09,1596110399999,599346.1787,869,48935.98,323498.4661,0
1596110400000,6.73,6.82,6.26,6.44,135835.32,1596153599999,877685.4179,1173,69927.66,453249.0028,0
1596153600000,6.41,6.71,6.41,6.57,54708.35,1596196799999,359077.6018,458,30334.26,199545.2635,0
1596196800000,6.57,7.0,6.38,6.61,74709.26,1596239999999,493012.068,631,40022.17,263287.5035,0
1596240000000,6.63,6.68,6.19,6.45,77947.56,1596283199999,500526.73,619,34314.28,220234.1665,0
1596283200000,6.42,6.61,5.7,5.98,89859.12,1596326399999,549884.1317,853,42472.22,261534.6687,0
