Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1597276800000,0.2233,0.7983,0.2233,0.3124,142719.42,1597319999999,55044.698088,3525,52680.34,20115.150585,0
1597320000000,0.3125,0.3525,0.2868,0.3075,54589.37,1597363199999,17277.290328,1947,24011.8,7569.012774,0
1597363200000,0.3073,0.3326,0.28800000000000003,0.3051,32016.8,1597406399999,10121.868792,1387,15681.26,4979.065757,0
1597406400000,0.3051,0.3071,0.2611,0.2658,40163.47,1597449599999,11180.667778,1284,21367.74,5966.389706,0
1597449600000,0.2658,0.268,0.2434,0.2457,30071.62,1597492799999,7552.6310349999985,929,12061.44,3037.317778,0
1597492800000,0.2441,0.2792,0.2441,0.2597,15472.04,1597535999999,4040.331941,833,7081.57,1840.305909,0
1597536000000,0.2597,0.2753,0.2557,0.2696,9686.79,1597579199999,2554.231009,477,4271.64,1128.057622,0
1597579200000,0.27,0.2701,0.2541,0.2594,3488.64,1597622399999,916.065461,266,706.78,186.125088,0
1597622400000,0.2595,0.2617,0.2532,0.2561,6534.61,1597665599999,1681.678256,277,2578.22,661.958393,0
1597665600000,0.2546,0.2639,0.2448,0.2639,14513.37,1597708799999,3681.05674,792,5271.93,1342.052422,0
1597708800000,0.262,0.2844,0.2575,0.2604,12572.14,1597751999999,3441.785971,846,7324.2,2001.558914,0
1597752000000,0.2611,0.2657,0.245,0.25,19822.46,1597795199999,5056.763523,799,11925.1,3034.072736,0
1597795200000,0.2511,0.2559,0.2323,0.239,5096.05,1597838399999,1234.661733,470,2166.57,524.029028,0
1597838400000,0.2371,0.2447,0.2278,0.2346,6000.91,1597881599999,1400.1747289999996,300,3270.74,762.05292,0
1597881600000,0.2336,0.2394,0.2235,0.2302,3721.77,1597924799999,853.798274,283,2075.51,477.435979,0
1597924800000,0.2298,0.2394,0.2237,0.2325,8772.59,1597967999999,2051.215365,458,5932.91,1387.225303,0
1597968000000,0.2307,0.2328,0.2184,0.2271,6097.27,1598011199999,1365.706159,465,3572.53,798.792723,0
1598011200000,0.2275,0.2342,0.2181,0.2221,3369.53,1598054399999,760.01284,237,1807.44,410.797854,0
1598054400000,0.2227,0.2244,0.2112,0.2132,7872.37,1598097599999,1688.196903,302,3380.29,720.894814,0
1598097600000,0.2132,0.2511,0.212,0.2418,13634.93,1598140799999,3266.29826,756,5959.79,1419.062769,0
1598140800000,0.2395,0.2834,0.2329,0.2647,38615.26,1598183999999,10169.721017,940,20421.04,5360.721077,0
1598184000000,0.2659,0.2907,0.2513,0.2833,30961.89,1598227199999,8291.222856999999,946,16550.96,4434.710345,0
1598227200000,0.2858,0.3321,0.2824,0.3155,19720.4,1598270399999,6088.691898,1256,10245.97,3150.588004,0
1598270400000,0.3127,0.3134,0.2865,0.3038,8665.62,1598313599999,2583.5967100000007,716,4137.53,1239.198789,0
1598313600000,0.3064,0.3396,0.3013,0.3114,7743.1,1598356799999,2486.983508,698,2233.06,720.50129,0
1598356800000,0.3112,0.34600000000000003,0.298,0.3419,24395.89,1598399999999,7896.566695,1181,13097.52,4249.477494,0
1598400000000,0.3396,0.3934,0.3314,0.3616,21923.52,1598443199999,8011.264094,1493,11276.92,4132.336421,0
1598443200000,0.3641,0.4853,0.3595,0.4344,85466.03,1598486399999,35255.578371,3296,41333.3,16888.740477,0
1598486400000,0.4346,0.4626,0.3602,0.3733,81078.15,1598529599999,34149.240302,2758,40892.53,17076.794424,0
1598529600000,0.3731,0.3919,0.3278,0.3596,54858.81,1598572799999,19677.719912,2606,24441.92,8799.39995,0
1598572800000,0.3581,0.3595,0.3245,0.3356,17235.2,1598615999999,5839.506348,1119,9121.0,3090.316982,0
1598616000000,0.3359,0.3593,0.3265,0.3433,16917.52,1598659199999,5744.768745,1086,7762.84,2644.298688,0
1598659200000,0.3432,0.3435,0.32299999999999995,0.3278,12835.93,1598702399999,4247.687223,699,5650.03,1872.116621,0
1598702400000,0.3261,0.331,0.3101,0.3219,18076.81,1598745599999,5806.44837,792,8042.14,2585.96463,0
1598745600000,0.3208,0.3865,0.3147,0.35700000000000004,26645.29,1598788799999,9498.998314,1662,13779.52,4938.198453,0
1598788800000,0.3577,0.3887,0.3496,0.378,18526.25,1598831999999,6887.936681,1485,9721.08,3612.898411,0
1598832000000,0.3795,0.3799,0.3407,0.3581,15615.38,1598875199999,5512.78576,880,6807.94,2403.333948,0
1598875200000,0.358,0.3606,0.3353,0.3549,7949.22,1598918399999,2751.355507,750,3546.11,1232.866456,0
1598918400000,0.3551,0.3668,0.3304,0.3382,7644.3,1598961599999,2685.365896,735,3145.8,1105.275686,0
1598961600000,0.3392,0.3392,0.2944,0.299,6368.75,1599004799999,2006.198022,613,2377.1,733.491703,0
1599004800000,0.3011,0.3011,0.2448,0.2679,14911.15,1599047999999,3955.142582,745,8603.18,2235.169633,0
