Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1556496000000,0.2105,0.2105,0.1679,0.1734,145522.44,1556539199999,26362.987009,2191,45311.47,8231.016767000001,0
1556539200000,0.1737,0.185,0.1711,0.1734,50752.1,1556582399999,9025.560808,1085,16356.29,2896.623152,0
1556582400000,0.1745,0.1872,0.1735,0.1777,35534.59,1556625599999,6365.353013,1008,13075.29,2343.169272,0
1556625600000,0.1777,0.1828,0.1742,0.1777,34906.56,1556668799999,6203.675585,672,9417.78,1681.5119739999998,0
1556668800000,0.1776,0.21,0.1766,0.2059,108397.48,1556711999999,21120.288641,2659,34277.46,6670.857006,0
1556712000000,0.206,0.22,0.198,0.2006,125619.51,1556755199999,26162.7601,3392,47137.56,9891.579002,0
1556755200000,0.2006,0.2135,0.1922,0.1942,95823.7,1556798399999,19379.714398,2237,37777.93,7611.791545,0
1556798400000,0.1942,0.2019,0.1838,0.1951,114673.9,1556841599999,21927.636418,1782,52012.57,9922.899741,0
1556841600000,0.196,0.23,0.1937,0.21,216313.55,1556884799999,45365.897419,3982,76739.68,16142.843121000002,0
1556884800000,0.2091,0.2349,0.2056,0.2251,163933.26,1556927999999,35557.00836,3456,63365.03,13757.614658,0
1556928000000,0.2251,0.2488,0.219,0.2192,302834.36,1556971199999,69988.111783,5267,71161.65,16355.981469,0
1556971200000,0.2202,0.235,0.208,0.2291,224352.12,1557014399999,50133.375343,5306,97026.85,21658.258931,0
1557014400000,0.2288,0.2295,0.2108,0.2126,70061.77,1557057599999,15230.247864,1550,26753.24,5820.546834000002,0
1557057600000,0.212,0.23,0.2094,0.2105,104514.49,1557100799999,22623.852836,2086,45470.13,9838.819121,0
1557100800000,0.2108,0.2206,0.202,0.2103,130170.74,1557143999999,27377.703893,2444,58110.34,12279.113884,0
1557144000000,0.21,0.2177,0.2083,0.2153,50257.51,1557187199999,10771.687869,964,28573.16,6127.634126,0
1557187200000,0.2131,0.2299,0.2111,0.21600000000000005,111837.83,1557230399999,24706.152722,2001,46658.41,10293.601723,0
1557230400000,0.21600000000000005,0.2283,0.2118,0.2225,46429.54,1557273599999,10150.28645,1119,21601.14,4736.477492,0
1557273600000,0.2225,0.2333,0.2094,0.2208,172007.95,1557316799999,37764.486108,3742,97385.61,21348.069554,0
1557316800000,0.2213,0.2216,0.1995,0.2099,132147.28,1557359999999,27295.830131,2759,51892.83,10763.950231,0
1557360000000,0.2099,0.22,0.1959,0.1995,109195.61,1557403199999,22312.360975,2684,54946.75,11329.950265,0
1557403200000,0.1995,0.2087,0.181,0.2055,246297.88,1557446399999,48438.804425,6990,96668.14,19082.163115,0
1557446400000,0.2063,0.2119,0.1929,0.1977,170856.55,1557489599999,34919.590492,5349,98277.62,20219.866799,0
1557489600000,0.1971,0.202,0.1863,0.1939,116339.21,1557532799999,22395.287123,3591,44680.13,8628.279535,0
1557532800000,0.1939,0.2032,0.1891,0.1959,176231.97,1557575999999,34430.605854,4116,100312.82,19603.211081,0
1557576000000,0.1958,0.2035,0.1861,0.1883,101421.54,1557619199999,19589.233184,3005,46209.13,8981.114106,0
1557619200000,0.1884,0.1911,0.17600000000000002,0.179,66963.83,1557662399999,12347.479588,1910,20881.44,3873.838511,0
1557662400000,0.18,0.1863,0.175,0.1794,54393.58,1557705599999,9882.362935,886,37087.25,6762.752515000001,0
1557705600000,0.1802,0.1847,0.1708,0.1723,90866.62,1557748799999,16139.214034,1617,21996.71,3907.462254,0
1557748800000,0.1723,0.175,0.1631,0.1658,72380.04,1557791999999,12177.532721,1112,44414.87,7479.021481000002,0
1557792000000,0.1654,0.1729,0.1545,0.16399999999999998,38107.55,1557835199999,6307.047553,863,20458.28,3394.69343,0
1557835200000,0.1644,0.1724,0.1624,0.1687,23780.54,1557878399999,3953.983228,627,10052.76,1664.056689,0
1557878400000,0.1692,0.1716,0.1591,0.1666,11616.89,1557889199999,1928.753462,418,5510.38,915.585604,0
1557921600000,0.1661,0.1771,0.1481,0.1703,101853.78,1557964799999,16744.044195,2442,44139.5,7338.025162000001,0
1557964800000,0.1703,0.1777,0.1572,0.1638,57664.41,1558007999999,9560.758145,1764,22924.25,3839.240601,0
1558008000000,0.1629,0.1712,0.1568,0.1626,73252.14,1558051199999,11893.010632,2036,40846.12,6661.402293,0
1558051200000,0.1626,0.1909,0.1626,0.1791,226182.33,1558094399999,40212.533139,6356,105456.62,18763.955123,0
1558094400000,0.1791,0.1917,0.16899999999999998,0.1714,177267.93,1558137599999,32038.029576,4457,84266.08,15211.745159,0
1558137600000,0.1716,0.1806,0.16899999999999998,0.1724,79293.52,1558180799999,13825.867919,2610,34509.31,6019.71317,0
1558180800000,0.1724,0.1818,0.1613,0.1626,155991.14,1558223999999,27051.103228,4896,85070.56,14739.482929,0
1558224000000,0.1631,0.1751,0.1601,0.1654,107704.62,1558267199999,18080.760379,4426,56339.28,9461.589693,0
1558267200000,0.1655,0.1763,0.1653,0.16699999999999998,92517.38,1558310399999,15860.330851,3203,41899.4,7198.858745,0
1558310400000,0.16699999999999998,0.1691,0.16,0.1644,82434.13,1558353599999,13552.560186,2891,48377.14,7967.854761,0
1558353600000,0.1644,0.1692,0.1591,0.1591,69348.05,1558396799999,11402.8232,2810,32851.78,5423.494045,0
1558396800000,0.1597,0.1657,0.1578,0.161,64772.47,1558439999999,10502.094851,2376,35966.57,5829.843977,0
1558440000000,0.161,0.161,0.1404,0.1464,134214.91,1558483199999,20237.863861,3938,64042.91,9642.918937,0
1558483200000,0.1471,0.1533,0.1395,0.1413,45687.31,1558526399999,6662.461566,1600,24141.33,3518.434887,0
1558526400000,0.1413,0.1454,0.1375,0.1393,34743.12,1558569599999,4926.783932,1068,16024.71,2276.240410000001,0
1558569600000,0.1399,0.1427,0.1341,0.1379,56953.63,1558612799999,7822.847766,1362,20697.28,2850.548957,0
1558612800000,0.138,0.1386,0.13,0.1384,53610.05,1558655999999,7188.671273999998,1352,30865.14,4146.138411,0
