Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1603454400000,0.02,0.58499,0.02,0.19226,22557016.0,1603497599999,6814994.627054,41500,10213417.9,3113699.731059,0
1603497600000,0.19078,0.3,0.14786,0.24527,63069114.4,1603540799999,14647126.423576,71798,30254716.6,7067427.214183998,0
1603540800000,0.24592,0.25739,0.20208,0.23827,30153160.8,1603583999999,6938100.004236,38798,14623940.8,3365564.53054,0
1603584000000,0.23823000000000005,0.26399,0.21027,0.212,17654928.0,1603627199999,4210880.459228,25447,8881677.4,2118695.942908,0
1603627200000,0.212,0.21949,0.18101,0.18508,10519705.4,1603670399999,2116721.287564,13848,4790037.2,963879.447001,0
1603670400000,0.18509,0.2055,0.17669,0.18386,12578762.3,1603713599999,2379243.075809,13897,5616633.2,1065280.554041,0
1603713600000,0.1838,0.18469,0.15952,0.16585,8895414.9,1603756799999,1510837.565094,10531,3995030.4,680937.629566,0
1603756800000,0.16588,0.18600000000000005,0.155,0.1645,11292226.9,1603799999999,1867434.819458,11902,5282276.8,877963.24136,0
1603800000000,0.1645,0.165,0.15500999999999998,0.15999000000000002,3887994.8,1603843199999,622091.456188,4655,1500902.3,240230.586911,0
1603843200000,0.16,0.16054000000000002,0.11,0.11387,10477137.1,1603886399999,1428158.799179,12037,4294408.7,584390.715188,0
1603886400000,0.11385,0.12771,0.11089,0.1153,5427660.5,1603929599999,636996.535256,6006,2291346.7,269442.36789,0
1603929600000,0.1156,0.11747,0.09478,0.09684,2630690.5,1603972799999,273574.761317,3005,1152440.1,118813.592526,0
1603972800000,0.09737,0.10993,0.0925,0.10044,4122757.1,1604015999999,415743.854203,4433,1854614.2,186289.030041,0
1604016000000,0.10038,0.145,0.0962,0.1351,15970463.2,1604059199999,2009352.679893,15913,8139429.0,1031057.437768,0
1604059200000,0.13502,0.1415,0.1191,0.12119,12563868.7,1604102399999,1630568.356391,13453,5680097.7,738763.777269,0
1604102400000,0.12119,0.12337,0.10523,0.11489,6507290.1,1604145599999,746734.909791,5972,2931320.9,336894.453716,0
1604145600000,0.11471,0.11881,0.10504,0.11159,7650107.3,1604188799999,851330.069814,6281,4003415.9,445567.999134,0
1604188800000,0.11159,0.11322,0.10701,0.10872,983973.0,1604231999999,107748.47822,1169,380715.7,41737.988362,0
1604232000000,0.10876,0.10877,0.09958,0.10093,3709260.8,1604275199999,381526.707776,2930,1774657.3,182382.73868,0
1604275200000,0.10092,0.10225,0.09568,0.0961,1725898.2,1604318399999,172397.587192,1310,511632.6,51173.550813,0
1604318400000,0.09576,0.09749,0.093,0.09329,1339476.5,1604361599999,126576.325851,1173,578547.6,54801.220163,0
1604361600000,0.09386,0.09487,0.077,0.07872,4193955.7,1604404799999,353947.514082,2881,1307945.2,107807.090568,0
1604404800000,0.07872,0.08993,0.07862999999999999,0.08231000000000001,4073853.8,1604447999999,342053.715033,3186,2090592.4,176776.199621,0
1604448000000,0.08201,0.11755,0.08052999999999999,0.11331,14060095.8,1604491199999,1467248.179904,11212,7381009.3,768698.0480439998,0
1604491200000,0.11332,0.1142,0.097,0.09978,10699455.0,1604534399999,1095248.08245,7745,5479161.6,561604.973175,0
1604534400000,0.0998,0.10481,0.086,0.09112,6326507.8,1604577599999,593234.749233,5159,3022854.5,283970.605884,0
