Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1604491200000,0.1,0.29,0.1,0.14583,69822782.8,1604534399999,11731934.462118,57255,31173036.6,5261576.592651,0
1604534400000,0.14617,0.15082,0.1262,0.136,12803854.3,1604577599999,1765424.715067,8158,5191412.1,719599.609487,0
1604577600000,0.136,0.15,0.127,0.1345,10099989.4,1604620799999,1386507.717036,7499,4668087.8,643305.604495,0
1604620800000,0.1341,0.13903,0.121,0.13299,9929425.3,1604663999999,1282547.0567299998,6874,5049968.9,650437.790478,0
1604664000000,0.13283,0.15029,0.1321,0.14400000000000002,5355365.7,1604707199999,759860.552001,4086,2636653.8,375167.354038,0
1604707200000,0.14312,0.16985,0.13999,0.15837,6068507.3,1604750399999,941757.157872,6178,2798662.4,437225.859903,0
1604750400000,0.15837,0.16398,0.13418,0.14076,2791504.7,1604793599999,410598.633762,2333,1053813.6,156287.125377,0
1604793600000,0.14079,0.218,0.13844,0.20812,13498306.0,1604836799999,2494890.129467,14043,6765917.0,1260276.753617,0
1604836800000,0.20812,0.242,0.19359,0.19846,15588282.2,1604879999999,3325483.842009,18740,7606681.4,1635283.3152299996,0
1604880000000,0.19716,0.30307,0.19716,0.26924000000000003,19588675.0,1604923199999,5042469.865599,22790,9774031.7,2522370.119856,0
1604923200000,0.26872,0.325,0.25,0.27978000000000003,12570360.7,1604966399999,3609848.615986,18114,6574415.3,1903732.098512,0
1604966400000,0.27978000000000003,0.36917,0.277,0.32651,11775009.2,1605009599999,3926306.566443,17535,6479014.3,2167557.117044,0
1605009600000,0.32629,0.3276,0.245,0.26968000000000003,8649054.3,1605052799999,2503939.577034,11144,3678896.1,1074948.821515,0
1605052800000,0.27063000000000004,0.4370000000000001,0.26243,0.361,13974065.5,1605095999999,4975288.177498002,19708,7506554.1,2670590.9688810003,0
1605096000000,0.362,0.414,0.32464,0.354,12827245.0,1605139199999,4752061.467584,19244,6565516.3,2443034.5452,0
1605139200000,0.35035,0.38892,0.32112,0.35001,5538502.4,1605182399999,1959941.280901,9133,2469657.7,874525.1162299998,0
1605182400000,0.34868000000000005,0.35163,0.30277,0.31331,5341404.0,1605225599999,1728624.7683259996,9110,2499509.9,808756.297346,0
1605225600000,0.31554,0.38851,0.31554,0.35826,5493995.1,1605268799999,1957563.240463,8457,2693460.2,958001.752866,0
1605268800000,0.35923,0.43,0.345,0.394,6582364.2,1605311999999,2559255.532162,10846,3611798.3,1415803.365468,0
1605312000000,0.39405,0.45996,0.37142,0.4301,8114471.5,1605355199999,3313440.496723,16409,4141532.5,1701538.119713,0
1605355200000,0.42999,0.6079,0.42738,0.56557,20864224.9,1605398399999,10952629.144298,43332,11248351.2,5874006.156013,0
1605398400000,0.56447,0.6151300000000001,0.50371,0.58502,13214325.5,1605441599999,7376409.111373,32136,6911903.0,3876332.35688,0
