Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1574899200000,220.3,230.0,210.0,219.41,62.96918,1574942399999,13793.0452982,51,34.699259999999995,7604.4256755,0
1574942400000,218.52,222.2,216.8,217.69,168.63806,1574985599999,36996.7915064,113,79.24915,17403.5573352,0
1574985600000,217.45,226.01,217.45,225.21,207.02929,1575028799999,45881.9641677,128,91.23171,20302.2368732,0
1575028800000,222.96,226.13,221.37,224.26,4276.18112,1575071999999,960251.9473482,2060,2009.17156,451330.0374279,0
1575072000000,223.9,224.76,220.18,220.18,906.91472,1575115199999,202601.6143813,311,325.8176,72993.035265,0
1575115200000,219.93,221.36,214.68,217.28,283.15643,1575158399999,61625.3900494,165,112.01816,24385.9801471,0
1575158400000,217.1,217.1,209.6,213.31,304.86084,1575201599999,64758.2391314,145,168.78251,35923.0892083,0
1577836800000,203.71,208.0,203.71,204.86,137.26738999999998,1577879999999,28211.9103097,93,63.97835,13146.9984722,0
1577880000000,206.54,206.55,202.53,203.3,77.09645,1577923199999,15785.1729239,60,32.20853,6594.634626300001,0
1577923200000,203.68,203.94,200.0,202.46,100.95042,1577966399999,20393.7868897,78,60.55748000000001,12252.8685216,0
1577966400000,202.42,202.93,192.5,195.61,311.80401,1578009599999,61180.16754580001,204,184.5276,36137.8917495,0
1578009600000,195.14,214.75,192.06,213.4,795.13411,1578052799999,163530.6232254,499,438.03421,89389.6747383,0
1578052800000,213.39,225.52,211.7,221.71,886.3063199999998,1578095999999,192986.2140421,506,356.44306,77913.447043,0
1578096000000,222.92,227.4,218.95,224.4,340.80211,1578139199999,75749.0086635,227,182.9191,40658.6244771,0
1578139200000,224.45,225.8,220.01,224.2,359.83174,1578182399999,79965.8302229,202,130.7631,29083.490548,0
1578182400000,224.89,227.01,220.84,222.57,826.2393099999998,1578225599999,184784.2465451,259,134.48924,30127.5396742,0
1578225600000,223.33,226.4,221.57,222.57,221.76169,1578268799999,49574.5808018,116,67.89269,15204.7182657,0
1578268800000,222.64,239.0,222.64,235.2,485.47488,1578311999999,113676.3330316,322,232.22117000000003,54230.83221189999,0
1578312000000,236.34,246.48,231.55,244.41,1161.08843,1578355199999,276093.8550097,520,872.20064,207021.1482551,0
1578355200000,244.83,246.92,239.99,241.01,336.50766,1578398399999,81655.331324,207,154.85918999999996,37571.0834231,0
1578398400000,240.68,245.63,232.13,242.67,1341.28254,1578441599999,323341.4819972,700,599.20932,144908.6541267,0
1578441600000,243.12,255.3,240.33,244.94,950.47559,1578484799999,235224.3266466,457,635.2835,157468.85028620006,0
1578484800000,243.5,244.57,228.37,239.52,1151.1507800000004,1578527999999,270982.0383569,631,290.37666,68705.4379453,0
1578528000000,239.53,243.62,231.87,236.38,743.9420700000002,1578571199999,175518.6351043,325,230.05342,54781.09646740001,0
1578571200000,235.79,238.41,232.28,238.41,193.04797,1578614399999,45410.573624,152,111.85638,26288.2960056,0
1578614400000,239.98,244.76,231.13,242.56,687.6212,1578657599999,164254.903249,296,455.5108,109023.0668667,0
1578657600000,242.71,274.64,242.44,271.46,2227.82656,1578700799999,571514.763063,1152,1042.90429,268455.5051618,0
1578700800000,270.65,279.01,261.53,262.84,464.02347,1578743999999,125935.13357489998,373,252.4435,68805.6634842,0
1578744000000,263.06,271.22,259.48,260.92,380.9004,1578787199999,101663.5943,372,143.21372,38283.6355019,0
1578787200000,259.98,268.13,257.96,263.67,248.5169,1578830399999,65589.7216965,191,170.44636,45001.7388802,0
1578830400000,264.88,271.02,262.88,270.57,347.24204,1578873599999,92700.0444913,252,181.68168,48612.109954,0
1578873600000,269.96,271.82,261.54,264.15,233.63031,1578916799999,62070.86459419999,175,109.51158999999998,29150.4089677,0
1578916800000,263.45,268.67,261.2,266.97,188.2679,1578959999999,49929.5687441,227,69.75056,18565.459767400003,0
1578960000000,267.15,288.5,267.15,284.6,905.04583,1579003199999,254606.1725979,806,435.7532,122472.8177609,0
1579003200000,286.35,368.65,284.0,348.89,9885.63627,1579046399999,3227367.604012,6041,5418.90397,1764830.5315214,0
1579046400000,347.29,362.17,312.77,333.04,3095.03407,1579089599999,1050593.6185623002,2597,1450.01118,494073.1360653,0
1579089600000,335.03,350.77,318.46,340.7,1815.70872,1579132799999,607139.9719402,1618,898.1212199999999,299623.08764209994,0
1579132800000,340.22,342.08,309.7,323.71,1323.05559,1579175999999,424454.4306626,1301,539.0765700000002,173342.2994482,0
1579176000000,326.56,332.3,315.9,326.03,756.7447,1579219199999,244658.423428,722,384.06356,124296.274564,0
1579219200000,327.23,351.64,319.18,344.39,1459.76934,1579262399999,495924.7985842999,1085,689.15232,234691.3270087,0
1579262400000,344.69,382.9,332.38,366.19,2118.8848,1579305599999,766942.4909813,1757,1189.5895,432988.6858599,0
1579305600000,366.56,405.0,342.89,365.0,2984.56488,1579348799999,1104317.2904188,2366,1434.09836,535584.3253861,0
1579348800000,365.0,372.81,330.0,338.85,3222.18568,1579391999999,1107684.659455,2240,991.9257,343189.54344379995,0
1579392000000,339.09,365.2,326.56,333.87,3229.8047,1579435199999,1126852.3123678002,2396,2100.41068,737279.7776579,0
1579435200000,332.28,340.45,320.0,338.55,909.52112,1579478399999,300238.4093575,994,399.37707,132227.3774573,0
1579478400000,339.41,342.23,326.21,326.75,488.75045,1579521599999,162838.5339659,555,238.94836,79731.9169632,0
1579521600000,329.1,351.64,322.6,342.17,890.9028599999998,1579564799999,302854.1041152,848,435.83725,148537.30627200002,0
1579564800000,341.38,347.29,338.54,342.93,411.97766,1579607999999,141244.7406552,426,192.92664,66157.1096845,0
1579608000000,342.52,345.0,332.1,343.32,597.37982,1579651199999,202880.1114546,672,275.14226,93540.528542,0
1579651200000,342.92,353.65,338.88,346.12,324.0085200000001,1579694399999,112029.9394202,569,164.17003,56838.4172821,0
1579694400000,344.06,348.69,339.58,348.69,295.49489,1579737599999,101673.9896014,476,149.04867,51356.9785259,0
1579737600000,348.7,348.9,334.25,336.4,472.61605,1579780799999,159873.5429549,582,263.08553,88997.037209,0
1579780800000,335.1,337.85,315.24,324.44,691.67833,1579823999999,225907.67537940003,845,320.6585,104690.4931729,0
1579824000000,324.74,327.07,297.13,317.35,2521.53804,1579867199999,780331.9430432,1711,500.02315,155036.8664149,0
1579867200000,319.26,325.33,313.53,318.33,497.05665,1579910399999,158697.6783948,570,211.80945,67772.3341343,0
1579910400000,317.95,318.49,304.52,309.79,2010.51048,1579953599999,622589.4333415,1306,1492.72898,462764.9299177,0
1579953600000,310.66,315.45,306.59,308.84,733.83071,1579996799999,227455.282422,612,501.82752,155515.0761833,0
1579996800000,309.57,324.52,307.49,323.33,567.07313,1580039999999,180546.9414239,472,379.57304,121235.8754375,0
1580040000000,323.43,348.66,322.25,346.58,915.09427,1580083199999,309270.8434554,784,594.43795,200511.45976420003,0
1580083200000,348.9,371.52,348.08,368.33,828.34842,1580126399999,297923.271817,808,482.11652,173583.8385815,0
1580126400000,369.84,377.13,357.48,361.37,782.01278,1580169599999,288727.4586002,828,458.26913,169125.411391,0
1580169600000,362.48,375.03,360.82,367.35,812.66398,1580212799999,298486.694235,933,435.45823,159854.280627,0
1580212800000,367.42,384.62,360.26,378.46,1107.62465,1580255999999,408879.3132509,1215,500.19367,184979.3592938,0
1580256000000,379.45,395.25,378.0,382.47,941.01286,1580299199999,362944.1276391,776,338.91116,131072.14511339998,0
1580299200000,383.96,388.31,375.78,379.83,516.6477,1580342399999,198179.0593401,605,233.22291,89535.0916592,0
1580342400000,379.0,392.06,370.55,383.98,514.6152400000002,1580385599999,197169.4654803,661,266.29867,101785.4092326,0
1580385600000,383.98,398.76,378.9,393.59,1006.69255,1580428799999,392559.9430394,925,524.35717,205168.2657756,0
1580428800000,391.57,394.03,379.83,380.67,625.93893,1580471999999,241021.8085463,572,241.03078,92658.8503529,0
1580472000000,380.53,380.79,363.0,374.41,904.0993,1580515199999,334992.8559608,892,359.89241,133549.4153264,0
1580515200000,375.53,388.67,373.46,375.4,558.28986,1580558399999,212364.9244467,584,274.41272999999995,104651.9415163,0
1580558400000,376.04,382.12,372.35,379.45,324.70841,1580601599999,123276.4218312,316,205.11208,77962.643142,0
1580601600000,378.28,383.87,368.66,382.7,458.47727,1580644799999,172509.8596913,350,198.92005,74855.2911443,0
1580644800000,383.39,387.46,376.49,376.49,296.90141,1580687999999,113478.0930369,269,116.55091000000002,44569.7561808,0
1580688000000,376.92,392.33,375.11,383.16,472.52401,1580731199999,180771.3305324,455,233.81128,89415.00918169998,0
1580731200000,381.94,384.65,379.26,384.33,919.32912,1580774399999,350887.0634872,566,608.64892,232286.2491157,0
1580774400000,383.88,388.77,375.0,381.5,314.1673,1580817599999,119974.2454805,404,163.12982,62447.9755822,0
1580817600000,377.11,381.01,372.35,379.66,221.68503,1580860799999,83818.90317080001,284,138.2079,52283.7418999,0
1580860800000,379.84,428.0,378.45,424.1,1247.34445,1580903999999,506881.0856993,1143,875.6800099999998,355888.7011648,0
1580904000000,424.33,445.72,418.5,445.72,1600.98042,1580947199999,687157.3793618,1161,1103.07898,472778.0129978,0
1580947200000,445.39,447.48,432.7,440.53,686.1963599999998,1580990399999,301090.1819416,619,353.56979,155119.9901408,0
1580990400000,440.96,447.91,415.68,443.91,1009.4667,1581033599999,440207.2002537,883,408.95179,178469.9760008,0
1581033600000,445.08,458.14,433.29,438.38,1126.5494,1581076799999,499042.3442864,1244,379.64112,168510.7571167,0
1581076800000,437.18,441.21,431.62,440.02,381.51634,1581119999999,166531.49811500002,440,162.81598,71191.4988131,0
1581120000000,439.56,453.49,424.27,446.16,686.27616,1581163199999,302817.5743275,919,345.80909,152993.6493744,0
1581163200000,446.81,449.95,439.74,446.12,261.03293,1581206399999,116250.8622421,480,88.52709,39453.5723362,0
1581206400000,445.66,461.1,445.66,449.4,539.14548,1581249599999,245037.8784991,789,249.2089,113422.2510112,0
1581249600000,450.4,451.96,435.5,450.45,682.8047799999998,1581292799999,304383.4175257,953,367.78067,164070.5229397,0
1581292800000,450.29,451.76,435.13,439.79,696.03439,1581335999999,308280.0297595,745,365.77252,161862.8600531,0
1581336000000,439.53,461.7,439.46,453.84,603.2381,1581379199999,272132.1394428,881,375.58396,169642.9219546,0
1581379200000,452.38,453.37,440.42,451.97,508.2721,1581422399999,226649.7233896,658,263.57271000000003,117651.6484495,0
1581422400000,451.29,469.93,450.64,463.94,1040.73011,1581465599999,481023.2290406,1072,476.69656,220568.0619016,0
1581465600000,465.16,483.03,464.34,472.39,864.4557800000001,1581508799999,408941.8122435,1110,417.696,197788.113686,0
1581508800000,472.71,482.29,466.54,474.96,748.10232,1581551999999,354414.2340487,823,363.89561,172663.9116798,0
1581552000000,474.0,486.0,458.88,465.26,1504.06052,1581595199999,709442.4236299,1648,675.67701,318329.9432746,0
1581595200000,464.89,480.63,463.96,476.81,1036.4577800000004,1581638399999,488387.8637175,1368,607.98114,287041.3985366,0
1581638400000,476.6,497.05,466.0,487.44,1174.67183,1581681599999,561538.626598,1830,674.1595900000002,322620.5476775,0
1581681600000,491.0,496.9,485.44,494.61,1038.04299,1581724799999,508566.0151261,1278,291.17093,142949.4968659,0
1581724800000,494.43,495.4,482.7,486.24,466.61412,1581767999999,227812.3064013,784,196.37274,95905.6903547,0
1581768000000,485.85,488.83,417.88,439.12,3332.98099,1581811199999,1473871.4823084,2932,1132.62909,500757.6033128,0
1581811200000,438.41,457.2,433.26,435.76,641.53255,1581854399999,285647.5229713,956,269.42619,120232.3827576,0
1581854400000,435.49,442.69,383.21,412.46,3089.45317,1581897599999,1276057.6994562,2782,1154.07008,474967.5949687,0
1581897600000,412.66,416.5,368.08,388.81,2147.45822,1581940799999,826864.1963607,2613,894.82465,345078.8494456,0
1581940800000,386.03,412.81,373.99,411.83,1487.52503,1581983999999,591878.254832,1895,689.3953799999998,274916.93453990004,0
1581984000000,414.04,416.74,398.37,403.96,1179.3949300000004,1582027199999,481036.9269283,1768,473.84399,193474.1472957,0
1582027200000,403.67,427.84,385.84,421.13,1437.76798,1582070399999,590728.1137147,2065,536.72274,221043.2238977,0
1582070400000,421.55,424.06,407.77,417.76,922.80536,1582112138315,384320.9674327,1296,336.87449,140355.3725105,0
1582113600000,418.4,418.91,368.66,378.59,1047.47978,1582156799999,410183.2904647,1345,446.66027,173888.18071,0
1582156800000,377.28,387.86,369.85,372.99,948.77313,1582199999999,360200.550567,1341,427.16033,162167.9037505,0
1582200000000,374.08,380.91,353.65,371.34,1277.39825,1582243199999,469311.43666640006,1609,614.08191,225544.521409,0
1582243200000,371.18,383.45,367.44,377.83,1018.71273,1582286399999,384500.7770287001,1441,326.96383,123448.2027109,0
1582286400000,378.76,388.11,372.67,377.59,927.0177,1582329599999,351102.98534370004,1055,329.42217,124784.65755,0
1582329600000,377.0,380.85,367.72,373.63,988.67032,1582372799999,368957.6264312,967,417.72017,156203.85921929998,0
1582372800000,373.28,380.4,368.04,373.8,808.36771,1582415999999,302756.9254961,1219,351.83903,131914.9742155,0
1582416000000,373.53,401.35,373.28,392.0,985.23006,1582459199999,382939.909879,950,533.81762,206973.8289919,0
1582459200000,392.13,406.4,392.13,403.21,2592.6227,1582502399999,1030533.2805968,2262,1561.38785,621247.9248348001,0
1582502400000,402.6,409.15,381.33,393.12,1401.58577,1582545599999,552246.4853344,1376,558.3728,220073.6877859,0
1582545600000,392.7,394.3,363.26,380.06,1170.64441,1582588799999,441944.3547436,1248,518.23641,195630.8533105,0
1582588800000,379.17,379.17,362.91,373.54,1120.18677,1582631999999,413319.1993872,1199,386.5717,142739.86432690002,0
1582632000000,373.47,376.3,345.55,352.7,1693.10658,1582675199999,604679.4978304,2075,728.67269,259788.8931755,0
1582675200000,352.63,361.97,311.6,318.44,3505.25216,1582718399999,1158237.9754429,3079,1399.99135,463800.8014528,0
1582718400000,319.94,332.41,300.31,315.95,2257.20369,1582761599999,714525.7060434,2576,1042.16827,329565.1310755,0
1582761600000,316.3,331.31,307.26,323.04,1588.3094199999996,1582804799999,511646.3262011,1447,836.11018,269223.7609089,0
1582804800000,323.85,335.1,319.12,324.27,1258.01119,1582847999999,412302.5129924,1604,585.1693700000002,191683.4667612,0
1582848000000,324.98,329.2,304.9,309.45,1378.0317599999996,1582891199999,437001.7411497,1495,554.61721,175457.205482,0
1582891200000,309.12,319.49,299.14,315.49,1452.28121,1582934399999,449345.073516,1702,674.54607,208736.3383109,0
1582934400000,317.2,322.31,310.08,315.15,2218.161,1582977599999,701508.0854411,1714,1640.77378,519105.2545354,0
1582977600000,315.27,315.27,305.58,306.18,958.36181,1583020799999,297842.8169362,933,412.18804,128087.5224589,0
1583020800000,305.76,324.0,305.76,318.39,1081.8702,1583063999999,341772.6413178,1140,557.923,176437.9218646,0
1583064000000,318.95,321.97,303.86,311.65,999.17647,1583107199999,310402.5423231,840,447.14035,139151.5929441,0
1583107200000,311.29,323.93,310.54,322.87,730.08627,1583150399999,232480.8228828,509,406.55232,129465.8738663,0
1583150400000,322.54,342.51,321.15,337.85,1141.21336,1583193599999,379910.0642637,1648,350.07195,115978.7636209,0
1583193600000,339.17,339.37,326.53,335.25,949.76836,1583236799999,316511.96486350003,1015,366.0382,121970.7469288,0
1583236800000,336.11,337.4,321.27,329.29,985.63808,1583279999999,322626.27560520003,935,341.4713799999999,112094.7167729,0
1583280000000,329.74,332.0,321.41,323.81,542.58613,1583323199999,178288.656847,604,294.69129,96922.3849174,0
1583323200000,322.16,325.46,311.18,318.67,541.9526400000002,1583366399999,171899.2441584,629,183.56341,58439.2736109,0
1583366400000,319.45,343.85,319.45,340.52,769.25237,1583409599999,254877.44824770003,810,336.09571,111203.4998242,0
1583409600000,341.11,343.56,332.68,337.99,611.92089,1583452799999,207214.1675848,634,300.10263,101650.0158994,0
1583452800000,337.37,352.18,332.72,350.69,886.8768,1583495999999,305472.1428143,830,551.65319,189823.0209516,0
1583496000000,349.81,351.26,341.96,350.87,375.50038,1583539199999,130477.8975613,445,139.30577,48255.5933585,0
1583539200000,351.56,351.72,342.99,345.82,381.77858,1583582399999,132517.16965569998,500,227.48065,78927.2375168,0
1583582400000,348.09,349.31,327.68,330.99,706.15042,1583625599999,237900.8514561,810,259.00169,87415.89805850001,0
