Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1600128000000,0.75,19.0,0.75,9.6274,7798759.25,1600171199999,60283630.389063,137928,3956642.43,30447062.921827003,0
1600171200000,9.6224,10.1,5.273,6.2073,8773098.13,1600214399999,65101677.585599,156030,4509167.22,33385872.976741,0
1600214400000,6.2183,6.2497,4.05,4.8008,5166579.79,1600257599999,25718793.345653,76948,2423823.22,12067798.680167,0
1600257600000,4.8013,5.42,4.25,4.5697,2728789.01,1600300799999,12778892.810955,39811,1306572.9,6132104.055089,0
1600300800000,4.5698,4.9198,3.15,3.3942,2846478.24,1600343999999,10551977.113423,33993,1159160.93,4278897.780267,0
1600344000000,3.3806,3.6835,3.0103,3.0305,1594046.63,1600387199999,5312234.305,20012,725458.9,2428437.246813,0
1600387200000,3.0153,3.8804,2.8411,3.2499,2137788.77,1600430399999,6947847.77387,25935,942137.61,3093513.969929,0
1600430400000,3.2499,3.4381,2.85,3.0152,1188028.5,1600473599999,3715869.811642,16762,503611.88,1579738.591663,0
1600473600000,3.0171,5.484,2.97,5.1304,5719884.58,1600516799999,25140249.036013,84423,2883306.07,12693574.381832,0
1600516800000,5.1234,5.6243,4.1103,4.6153,4396333.36,1600559999999,21410962.356236,69413,2102404.88,10268651.747055,0
1600560000000,4.6173,5.0704,3.9604,4.1176,2245334.75,1600603199999,9811436.875893,34279,1028489.64,4514093.766585,0
1600603200000,4.1012,4.1169,3.46,3.6979,1520297.46,1600646399999,5651386.407669,22002,730280.21,2711612.462267,0
1600646400000,3.6979,3.8898,2.9501,3.0410000000000004,1647898.16,1600689599999,5512434.809607,24075,649791.36,2187468.076307,0
1600689600000,3.0483,3.2908,2.95,3.0028,977165.31,1600732799999,3046590.954164,13522,476983.55,1492486.221683,0
1600732800000,3.0268,3.2083,2.5119,2.5405,1053731.13,1600775999999,2983577.072532,14303,395574.39,1116184.316928,0
1600776000000,2.5405,2.78,2.4568,2.631,820384.35,1600819199999,2159310.695221,10713,408545.97,1078006.730342,0
1600819200000,2.6317,2.8693,2.302,2.8305,1269262.5,1600862399999,3225514.033837,16605,554688.27,1428351.134042,0
1600862400000,2.8333,2.8333,2.335,2.415,995266.86,1600905599999,2572824.220834,12168,402680.77,1042449.385556,0
1600905600000,2.4148,2.574,2.305,2.495,878809.72,1600948799999,2160876.847532,12448,391379.37,964065.641364,0
1600948800000,2.495,2.6725,2.3789,2.5835,971668.6,1600991999999,2434053.635239,10870,457601.5,1149054.95568,0
1600992000000,2.5780000000000003,2.6902,2.35,2.5355,991128.02,1601035199999,2496694.329928,13813,445229.6,1128950.107578,0
1601035200000,2.5253,2.63,2.45,2.4712,514501.08,1601078399999,1301868.343316,7370,228838.8,580584.932164,0
1601078400000,2.4717,2.51,2.3965,2.4816,415136.97,1601121599999,1016598.259939,8058,154219.44,378307.459308,0
1601121600000,2.4667,2.4784,2.3,2.3285,594191.64,1601164799999,1400606.566434,9516,209434.52,495014.619073,0
1601164800000,2.3279,2.35,2.0008,2.028,1175773.91,1601207999999,2530535.069286,14395,466118.47,1001110.728448,0
1601208000000,2.017,2.0986,1.9157,2.0313,801176.21,1601251199999,1611883.235635,10028,330144.31,664663.549047,0
1601251200000,2.0311,2.0982,1.74,1.8229,1163074.51,1601294399999,2203276.953658,12987,514770.32,975737.159379,0
1601294400000,1.8229,1.85,1.5711,1.6039,906926.57,1601337599999,1580801.866749,9385,362340.62,634298.7754060001,0
1601337600000,1.5957,1.643,1.44,1.4516,911456.92,1601380799999,1381471.286185,9593,345090.91,523053.4837850001,0
1601380800000,1.4525,1.671,1.3,1.375,1816158.55,1601423999999,2683220.707499,15855,816326.81,1203140.786823,0
1601424000000,1.3786,1.41,1.2784,1.3115,1071005.86,1601467199999,1433637.820882,11339,507249.14,680793.848566,0
1601467200000,1.308,1.58,1.2916,1.4274,1651501.2,1601510399999,2351457.653364,11856,877789.24,1238592.412359,0
1601510400000,1.4284,1.5313,1.3317,1.369,1016898.85,1601553599999,1413575.8376709996,7679,529473.63,737054.486179,0
1601553600000,1.3693,1.4991,1.26,1.3103,2405042.25,1601596799999,3306556.5837560007,11737,1066445.38,1476184.30346,0
1601596800000,1.3132,1.4389,1.1985,1.2033,1634399.31,1601639999999,2133976.854436,9703,739789.77,972223.192353,0
1601640000000,1.2031,1.5,1.1992,1.4880000000000002,1768450.08,1601683199999,2405998.035437,10606,966897.05,1317208.917198,0
1601683200000,1.4922,1.6642,1.3241,1.5398,3985788.31,1601726399999,6005770.996924,24191,2018791.03,3044982.5246,0
1601726400000,1.538,1.6555,1.357,1.39,3346920.64,1601769599999,5081256.2074690005,21868,1548575.1,2362055.7679540003,0
1601769600000,1.3949,1.436,1.279,1.3096,1175717.09,1601812799999,1567237.507552,8533,486300.46,649020.932809,0
1601812800000,1.31,1.315,1.205,1.2393,1123526.57,1601855999999,1397345.164187,8900,507859.8,631602.552862,0
1601856000000,1.2449,1.2572,1.0503,1.0842,1440328.78,1601899199999,1607667.210718,9666,626462.76,698046.43483,0
1601899200000,1.0897,1.179,1.0702,1.0841,681013.65,1601942399999,761617.665803,5589,318720.05,356418.674137,0
1601942400000,1.0896,1.2879,1.0809,1.1402,2275513.78,1601985599999,2704893.35847,15840,1087107.03,1297720.836436,0
1601985600000,1.1402,1.1677,1.0396,1.0716,957511.0,1602028799999,1038529.982923,7421,435342.72,472974.998116,0
1602028800000,1.0718,1.0841,1.0087,1.0287,592034.28,1602071999999,613273.077222,4845,177097.07,184884.602348,0
1602072000000,1.0289,1.0818,1.015,1.0564,430841.75,1602115199999,450779.372841,3805,199822.73,209738.423165,0
1602115200000,1.0563,1.0999,1.0061,1.0490000000000002,542117.98,1602158399999,563723.5745430001,4290,222720.28,232232.89071,0
1602158400000,1.0464,1.1549,1.0326,1.13,969950.17,1602201599999,1070110.971915,6500,525440.81,580149.143013,0
1602201600000,1.13,1.25,1.0878,1.2174,1024689.92,1602244799999,1200103.487172,7218,497018.29,582158.307839,0
1602244800000,1.2174,1.2338,1.1373,1.176,761365.05,1602287999999,901559.45629,5518,333247.77,393432.684092,0
1602288000000,1.176,1.2339,1.0878,1.1234,878388.01,1602331199999,1023469.54482,5768,413741.63,484035.303999,0
1602331200000,1.1273,1.1362,1.0342,1.0374,705936.1,1602374399999,760883.374977,5509,293627.2,316187.569565,0
1602374400000,1.0369,1.085,1.0166,1.0693,469792.09,1602417599999,494374.76234,3465,233039.61,245804.976325,0
1602417600000,1.0696,1.0895,1.0352,1.072,468559.71,1602460799999,497873.734719,3598,234207.6,249037.064078,0
1602460800000,1.0715,1.1389,1.05,1.0544,761644.0,1602503999999,839635.005797,5007,343783.05,380271.009784,0
1602504000000,1.0537,1.0971,1.0427,1.0496,543990.33,1602547199999,584414.942404,3875,274969.22,295610.879349,0
