Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1577836800000,851.25,856.75,850.35,851.24,80.91,1577879999999,69177.7593,17,5.18,4429.3216,0
1577880000000,854.5,858.38,847.23,847.23,98.95,1577923199999,84217.7667,27,21.29,18146.2819,0
1577923200000,848.54,849.05,829.76,829.96,125.6,1577966399999,105289.8093,38,67.08,56176.7832,0
1577966400000,829.96,829.96,802.14,803.54,167.13,1578009599999,137481.193,45,73.98,60758.6592,0
1578009600000,802.98,848.44,802.0,844.49,155.73,1578052799999,129510.6965,64,108.06,89985.7261,0
1578052800000,844.49,851.95,835.77,842.64,90.15,1578095999999,75911.5876,38,67.05,56520.5649,0
1578096000000,845.45,858.86,845.45,856.65,75.96,1578139199999,64749.73,30,69.04,58842.1987,0
1578139200000,855.74,856.2,846.44,850.27,84.04,1578182399999,71638.8823,38,79.97,68160.9285,0
1578182400000,854.53,874.88,854.53,868.68,97.76,1578225599999,84907.2487,24,63.84,55450.8831,0
1578225600000,877.32,886.1,864.96,865.52,31.6,1578268799999,27711.9954,14,6.72,5852.2332,0
1578268800000,886.1,912.96,886.1,910.0,178.07,1578311999999,158421.575,47,6.62,5945.1208,0
1578312000000,913.37,923.52,901.71,923.52,59.93,1578355199999,54602.4914,32,30.0,27367.1077,0
1578355200000,924.15,934.85,914.35,919.6,120.98,1578398399999,111682.3741,38,22.44,20710.8283,0
1578398400000,917.37,933.87,895.98,928.52,227.69,1578441599999,209833.8513,76,126.22,116063.0627,0
1578441600000,935.95,945.31,925.54,932.55,43.4,1578484799999,40481.6668,29,10.16,9449.0312,0
1578484800000,926.67,926.67,870.39,890.27,110.33,1578527999999,98498.9368,71,56.19,50285.8888,0
1578528000000,888.47,890.71,877.23,883.41,73.49,1578571199999,65181.6122,15,38.94,34518.5834,0
1578571200000,884.32,890.45,873.93,874.76,121.93,1578614399999,107366.9458,39,110.01,96831.4843,0
1578614400000,874.76,877.43,864.71,877.43,74.92,1578657599999,65252.7264,31,19.45,17013.9252,0
1578657600000,882.14,918.08,882.14,917.13,314.34,1578700799999,285057.0895,96,128.85,116979.8003,0
1578700800000,918.88,919.17,906.26,910.0,67.18,1578743999999,61336.458,32,24.14,21975.458,0
1578744000000,895.84,933.0,895.26,915.87,155.13,1578787199999,143341.1354,81,15.19,13818.3779,0
1578787200000,908.88,938.89,903.61,937.84,91.93,1578830399999,85187.8449,45,29.27,27319.7997,0
1578830400000,933.15,934.68,926.25,933.13,128.03,1578873599999,119185.2551,54,4.88,4525.904,0
1578873600000,929.5,937.0,913.7,918.6,23.17,1578916799999,21281.2012,15,2.81,2582.4211,0
1578916800000,916.76,928.07,916.31,928.07,40.85,1578959999999,37630.4178,27,17.79,16409.7858,0
1578960000000,928.25,960.0,928.25,956.38,152.68,1579003199999,143997.0024,74,33.26,31562.6808,0
1579003200000,960.29,1036.94,949.83,1022.9,711.63,1579046399999,713369.4214,242,334.47,336846.6103,0
1579046400000,1039.59,1114.54,999.23,1090.77,383.48,1579089599999,405057.5149,156,70.7,73890.3741,0
1579089600000,1086.29,1095.42,1059.04,1085.5,222.59,1579132799999,241084.9582,83,46.77,50413.3652,0
1579132800000,1085.5,1085.5,1006.21,1034.19,186.85,1579175999999,192580.7818,114,87.09,89541.2843,0
1579176000000,1033.91,1062.84,1031.93,1043.51,340.91,1579219199999,356817.1920000001,55,212.38,222339.6696,0
1579219200000,1061.72,1133.53,1061.72,1095.88,315.33,1579262399999,348864.1129,81,49.08,54174.0447,0
1579262400000,1088.91,1124.49,1069.89,1121.09,201.69,1579305599999,222032.2997,105,114.17,125941.9276,0
1579305600000,1113.39,1121.09,1080.47,1096.87,115.52,1579348799999,127564.984,56,39.75,43709.5526,0
1579348800000,1102.98,1125.19,1097.65,1097.65,136.93,1579391999999,152264.3604,65,59.85,66681.7565,0
1579392000000,1097.65,1130.0,1057.67,1065.26,296.81,1579435199999,327073.1545,150,138.38,152862.2162,0
1579435200000,1057.67,1065.39,1025.36,1065.39,104.58,1579478399999,109554.3786,54,40.9,42735.9042,0
1579478400000,1068.18,1068.18,1051.83,1053.91,119.3,1579521599999,125658.2827,19,0.21,222.8614,0
