Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1603929600000,501.17,501.17,351.0,375.56,700.5163299999998,1603972799999,285070.73085740005,1667,250.22036,103903.9091374,0
1603972800000,382.36,428.9,360.27,398.28,414.60738,1604015999999,162862.1871944,2313,149.23435,59727.3043475,0
1604016000000,398.28,421.99,302.15,317.8,343.83675,1604059199999,119915.2967459,2639,168.54393000000005,58415.8882386,0
1604059200000,319.03,338.0,310.0,331.9,118.27673,1604102399999,38071.5957485,288,72.47623,23455.971696,0
1604102400000,329.18,383.66,328.65,362.27,173.10681,1604145599999,62151.9494298,573,80.61798,29105.736200700005,0
1604145600000,360.09,376.0,320.0,349.97,58.97994,1604188799999,20454.3546266,300,36.25416,12685.6767777,0
1604188800000,350.06,380.0,349.89,349.89,150.79849,1604231999999,55853.1201076,576,32.35988,11954.9477452,0
1604232000000,371.16,413.0,352.09,373.0,112.13784,1604275199999,43783.915115599986,471,57.52601,22608.4095189,0
1604275200000,372.0,399.6,345.1,353.89,126.01255,1604318399999,45998.578180300006,621,29.63255,10716.1917256,0
1604318400000,350.0,354.03,324.45,330.24,43.58466,1604361599999,14707.559073,352,18.32964,6164.1875496,0
1604361600000,329.29,335.1,316.31,325.52,32.5676,1604404799999,10580.8039216,359,15.22132,4936.027102800002,0
1604404800000,324.71,348.95,322.9,343.9,46.41592,1604447999999,15696.0123646,349,25.61994,8654.803590700001,0
1604448000000,340.02,342.49,293.86,311.4,131.37741,1604491199999,41470.5827085,543,34.07156,10715.3246748,0
1604491200000,314.93,344.97,308.06,319.66,13.27769,1604534399999,4346.978111300001,56,8.355360000000001,2757.0118026,0
1604534400000,328.51,328.51,299.0,310.33,70.62567,1604577599999,21617.5923961,105,11.13553,3405.7552067,0
1604577600000,310.34,337.52,309.7,326.71,20.04989,1604620799999,6352.6492725,67,8.92773,2874.5733816,0
1604620800000,345.13,388.07,328.46,382.39,191.68027,1604663999999,72449.787866,1180,88.44813,33299.2170934,0
1604664000000,382.4,406.0,357.11,387.38,581.41707,1604707199999,221252.0893206,1971,449.52567,170999.90661570002,0
1604707200000,387.37,413.72,366.0,366.0,471.18323,1604750399999,185560.6532042,1995,186.63693,73540.2883489,0
1604750400000,366.06,385.0,340.0,356.68,198.75049,1604793599999,73819.54734989999,490,67.44138000000001,25206.2272191,0
1604793600000,345.01,385.42,345.01,381.49,157.22866000000005,1604836799999,57610.3458837,1540,72.84943,26651.5554849,0
1604836800000,381.49,405.0,370.86,387.17,134.16868,1604879999999,51965.9171539,1136,77.80664,30219.1607342,0
1604880000000,387.32,426.17,381.96,414.21,66.36156,1604923199999,26434.4550281,374,42.02381,16890.344524599994,0
1604923200000,408.36,425.9,372.73,377.0,52.30247,1604966399999,20137.1880716,232,31.745890000000006,12215.148961799998,0
1604966400000,378.67,418.0,372.0,416.0,43.75944000000001,1605009599999,17653.2888648,333,27.38475,10985.8878159,0
1605009600000,417.91,426.55,387.05,414.82,85.48299999999998,1605052799999,34972.165552800005,259,34.71295,14364.9198589,0
1605052800000,429.96,438.8,392.54,403.06,81.98656,1605095999999,34158.5143166,310,28.46378,11988.4979188,0
1605096000000,404.89,415.99,372.27,392.62,63.26537,1605139199999,25086.3757163,310,26.862820000000006,10656.3138732,0
1605139200000,387.28,408.94,376.75,400.02,9.78141,1605182399999,3830.278113699999,60,3.05897,1214.6958444,0
1605182400000,400.02,425.0,327.0,361.22,81.6044,1605225599999,30213.4445902,283,40.20285,14835.3736444,0
1605225600000,371.34,399.96,368.63,396.0,2.86039,1605268799999,1086.2505186,19,2.34582,895.2332978000002,0
1605268800000,377.09,394.24,351.13,368.0,75.18681,1605311999999,28202.3532717,265,19.86387,7471.666802600002,0
1605312000000,381.67,391.07,350.1,379.93,26.15669,1605355199999,9484.5343423,85,13.00981,4782.8713624,0
1605355200000,379.58,388.36,360.54,369.0,134.15662,1605398399999,49960.748202,150,65.99616999999999,24742.5964796,0
1605398400000,370.02,391.0,360.5,360.5,32.93589,1605441599999,12363.0984263,70,5.7832,2243.3080170000007,0
1605441600000,369.38,565.04,368.61,400.0,241.20478,1605484799999,109524.1681743,989,154.67991,70104.4712475,0
1605484800000,405.4,475.65,399.77,399.78,52.95636,1605527999999,21721.047045,244,28.01077,11577.1731585,0
1605528000000,399.78,404.93,379.46,379.46,91.38259,1605571199999,35819.7590268,240,22.12062,8591.5148494,0
1605571200000,380.06,420.0,367.0,385.33,216.21774,1605614399999,84760.7978152,330,84.19881,33272.6728839,0
1605614400000,380.12,400.88,350.41,373.39,88.17623,1605657599999,33494.7276052,250,23.42747,8990.0921939,0
1605657600000,373.39,420.0,361.21,388.16,42.71135,1605700799999,16744.381831799998,126,14.94434,6047.0907321,0
1605700800000,390.2,404.82,370.08,396.63,32.049690000000005,1605743999999,12384.4517347,106,12.60655,4862.3038597,0
1605744000000,399.0,403.5,370.0,373.38,54.02397,1605787199999,20512.8594417,190,26.65545,10227.6496062,0
1605787200000,376.91,521.0,376.9,436.77,491.14848,1605830399999,231808.5317341,1697,336.56449,161368.84552429998,0
1605830400000,438.04,500.0,414.72,450.0,201.0482,1605873599999,88292.62830469997,667,88.37663,39357.0898078,0
1605873600000,447.67,497.46,436.7,460.08,267.60425,1605916799999,127523.8425034,731,124.19153,59540.8861596,0
1605916800000,469.47,509.99,461.0,482.38,108.72703,1605959999999,53339.0465655,353,68.49579,33626.0412251,0
1605960000000,482.17,504.87,467.08,475.38,119.30364,1606003199999,58239.1753088,387,56.26895,27573.582751,0
1606003200000,475.38,482.27,420.99,422.51,99.06819,1606046399999,45482.3649936,271,39.93057,18435.8300232,0
1606046400000,429.11,521.0,429.1,482.26,153.90351,1606089599999,75001.595578,707,82.66693000000002,40440.3956221,0
1606089600000,467.09,510.0,461.52,490.15,41.86991,1606132799999,20360.1942444,134,19.23245,9451.8781236,0
1606132800000,490.12,580.0,482.27,529.0,205.14603,1606175999999,109545.31687589998,895,109.85648,58936.6740445,0
1606176000000,535.44,580.0,512.65,520.26,340.29073,1606219199999,184226.1667308,1056,239.44734,130246.0982158,0
1606219200000,520.52,573.41,513.12,558.15,50.70001,1606262399999,27800.370937400006,242,30.27302,16632.1612085,0
1606262400000,543.04,555.26,497.41,499.9,38.69404,1606305599999,19765.4988013,112,6.05789,3086.5625637,0
1606305600000,500.64,512.65,460.11,489.87,84.90119,1606348799999,41695.3982086,235,35.7872,17747.087324,0
1606348800000,474.97,474.97,368.35,406.32,137.67776,1606391999999,56451.69144419999,471,45.62613,18329.8238563,0
1606392000000,418.01,444.3,375.95,414.72,173.97198999999995,1606435199999,71125.8045087,410,111.37238,45543.8282943,0
