Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1592524800000,7504.89,7601.53,7504.89,7584.38,1.588641,1592567999999,12003.95623349,23,0.668641,5069.91623349,0
1592568000000,7618.71,7659.44,7506.95,7552.28,3.718323,1592611199999,28154.09193815,182,2.885078,21874.66868517,0
1592611200000,7535.76,7574.33,7445.73,7535.46,1.699913,1592654399999,12751.93423113,47,0.872238,6549.42161706,0
1592654400000,7544.94,7599.7,7442.55,7599.7,3.2877089999999995,1592697599999,24762.48693415,137,2.6238490000000003,19779.56723096,0
1592697600000,7574.3,7624.67,7557.23,7564.13,0.354874,1592740799999,2689.84804007,33,0.135358,1027.6816073999996,0
1592740800000,7563.43,7609.89,7486.85,7500.94,4.679399,1592783999999,35402.52990094,180,3.769057,28559.81471179,0
1592784000000,7521.37,7690.85,7513.7,7657.95,3.397078,1592827199999,25866.96390367,142,3.180438,24231.6724655,0
1592827200000,7635.07,7857.23,7605.21,7756.05,7.333389,1592870399999,56730.93780224,194,4.432122,34148.51829567,0
1592870400000,7756.05,7802.51,7696.41,7745.79,9.164972,1592913599999,70899.44485138,228,8.162552,63168.49739395,0
1592913600000,7720.01,7765.98,7684.66,7690.09,2.355,1592956799999,18212.57124852,158,2.11239,16340.13799666,0
1592956800000,7697.18,7786.49,7475.34,7486.46,5.455042,1592999999999,41877.002431,204,4.12492,31752.5930307,0
1593000000000,7500.86,7592.83,7443.05,7515.46,5.8024510000000005,1593043199999,43686.40685542,259,5.242868,39486.58628733,0
1593043200000,7466.25,7525.17,7324.5,7465.0,8.891746000000003,1593086399999,66196.84484785,284,6.567033,48926.01271061,0
1593086400000,7460.2,7525.69,7387.6,7461.06,4.579258,1593129599999,34129.97696922,237,2.415297,18073.32606591,0
1593129600000,7450.0,7517.47,7300.0,7444.97,5.4003830000000015,1593172799999,39700.00435646,192,1.350532,9967.89050595,0
1593172800000,7415.0,7517.23,7332.56,7440.54,4.40688,1593215999999,32778.7085786,187,2.172213,16217.23180516,0
1593216000000,7449.48,7482.58,7426.83,7463.24,1.095016,1593259199999,8171.84455337,70,1.07168,7998.04082705,0
1593259200000,7421.55,7480.11,7216.4,7339.78,8.954389,1593302399999,65967.51165364,400,6.1272720000000005,45174.62460834,0
1593302400000,7302.16,7418.72,7265.0,7266.06,4.778557,1593345599999,35022.43850184,186,1.681871,12424.81992707,0
1593345600000,7361.07,7516.09,7332.51,7407.9,4.986946,1593388799999,37104.26231368,197,4.665435,34717.56376143,0
1593388800000,7421.77,7475.92,7334.89,7475.92,3.758399,1593431999999,27907.64274986,221,2.104078,15653.80619943,0
1593432000000,7429.87,7560.75,7390.28,7538.81,7.325715,1593475199999,54763.65461888,476,4.951196,37037.15089302,0
1593475200000,7498.01,7517.05,7402.5,7466.53,3.308939,1593518399999,24677.69291587,258,2.36098,17634.09789215,0
1593518400000,7457.32,7493.01,7309.79,7392.34,11.065408,1593561599999,81817.87212216,638,6.3501699999999985,47130.40100264,0
1593561600000,7366.04,7444.01,7366.04,7400.84,2.198643,1593604799999,16289.41921018,171,1.801946,13360.79515717,0
1593604800000,7401.04,7466.62,7380.07,7416.04,4.135049,1593647999999,30702.18394756,290,2.987143,22184.43446564,0
1593648000000,7425.17,7457.58,7326.44,7367.94,6.761577000000001,1593691199999,49832.23408494,363,5.2031269999999985,38364.38350266,0
1593691200000,7347.15,7432.51,7197.0,7298.6,7.515283,1593734399999,54632.09879827,331,5.3228290000000005,38697.25171654,0
1593734400000,7292.95,7345.93,7260.94,7308.92,2.627081,1593777599999,19192.91429364,116,2.0251900000000003,14812.76265998,0
1593777600000,7294.05,7352.84,7263.01,7270.3,6.746724,1593820799999,49345.70700217,435,5.078107,37164.71054632,0
1593820800000,7253.88,7317.01,7253.88,7270.0,2.552863,1593863999999,18622.7586162,366,2.238006,16332.50861613,0
1593864000000,7270.0,7356.51,7253.82,7326.31,4.448581,1593907199999,32497.41993012,525,3.621942,26467.43370012,0
1593907200000,7320.89,7324.76,7225.09,7235.05,5.186293,1593950399999,37719.45079318,320,4.062362,29552.62061175,0
1593950400000,7235.06,7282.64,7190.0,7274.62,7.900251,1593993599999,57203.48727036,529,5.023031,36395.88894803,0
1593993600000,7278.6,7440.74,7263.53,7440.74,9.20832,1594036799999,67998.65842239,337,7.805083,57644.87353988,0
1594036800000,7440.73,7539.14,7418.85,7514.48,7.713491,1594079999999,57713.66712612,201,5.912511,44270.1654881,0
1594080000000,7524.59,7537.71,7418.46,7451.63,3.132471,1594123199999,23347.94985465,306,1.254428,9353.06333069,0
1594123200000,7451.63,7475.7,7401.13,7419.02,12.845028999999998,1594166399999,95606.23678172,567,8.132401,60539.27421089,0
1594166400000,7419.15,7492.63,7404.62,7464.07,16.686997,1594209599999,124277.56001265,443,9.233432,68874.80129216,0
1594209600000,7481.32,7576.44,7454.79,7538.27,23.174756,1594252799999,174445.16473414,930,17.688031,133214.09694974,0
1594252800000,7535.4,7550.73,7448.8,7484.1,6.339379,1594295999999,47480.36246271,310,3.827319,28668.94945562,0
1594296000000,7481.4,7517.99,7324.3,7375.77,9.809079,1594339199999,72579.69031176,638,6.05456,44777.34364687,0
1594339200000,7366.5,7401.63,7284.92,7326.91,11.809733,1594382399999,86638.83731891,676,7.627753999999999,56009.1039885,0
1594382400000,7326.91,7439.97,7285.62,7429.83,11.937463,1594425599999,87611.46005499,670,5.293673,38954.45108073,0
1594425600000,7419.73,7458.09,7330.72,7353.53,5.98238,1594468799999,44222.51255941,556,3.188519,23583.82005449,0
1594468800000,7353.53,7420.0,7332.0,7372.89,12.558096,1594511999999,92699.3245976,532,9.516232,70297.21163504,0
1594512000000,7399.64,7441.62,7360.33,7378.08,4.901106,1594555199999,36240.78890166,256,3.945459,29190.57125075,0
1594555200000,7390.73,7440.0,7300.0,7399.63,9.895478,1594598399999,72788.29601622,437,5.690449,41904.60262549,0
1594598400000,7400.0,7464.79,7345.32,7420.91,6.416447,1594641599999,47533.43982473,553,4.370342,32411.4075292,0
1594641600000,7422.99,7473.4,7377.0,7418.78,11.967036,1594684799999,88918.97368747,818,8.157268,60652.00286342,0
1594684800000,7416.98,7424.52,7310.01,7407.0,8.970049000000003,1594727999999,66335.37939511,552,6.935253,51321.24471112,0
1594728000000,7403.91,7461.28,7365.8,7429.69,13.993894,1594771199999,103805.89682,703,9.558313,70941.45997005,0
1594771200000,7433.73,7450.0,7309.3,7351.0,12.359161,1594814399999,91013.45168791,578,6.073678,44822.23324646,0
1594814400000,7345.66,7394.02,7323.31,7349.97,16.661838,1594857599999,122623.85485721,754,10.658174,78500.88403528,0
1594857600000,7335.0,7386.0,7256.0,7295.0,15.723358,1594900799999,114924.50767403,690,6.754772,49376.90586127,0
1594900800000,7287.27,7354.59,7272.71,7328.35,14.49816,1594943999999,106015.82356123,788,9.461362,69227.82350166,0
1594944000000,7311.74,7341.91,7273.98,7324.14,9.762467,1594987199999,71381.83289897,591,6.739337,49315.25317574,0
1594987200000,7330.39,7383.37,7300.0,7347.99,10.150091,1595030399999,74601.76306633,438,6.299192,46367.36049349,0
1595030400000,7315.12,7356.21,7295.0,7327.49,4.797487,1595073599999,35152.09732294,170,2.840895,20841.43333833,0
