Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1589414400000,10.36,11.2,9.5,10.0,3448.41,1589457599999,35408.6873,409,1160.5,11838.5879,0
1589457600000,10.03,10.38,9.72,10.28,7386.29,1589500799999,75067.1251,256,4461.31,45408.7118,0
1589500800000,10.18,10.4,9.39,9.72,5820.04,1589543999999,57016.7417,339,2987.78,29159.5673,0
1589544000000,9.75,9.75,8.86,9.03,8569.27,1589587199999,80239.0918,908,4077.49,38269.1014,0
1589587200000,9.06,9.72,8.99,9.35,50188.16,1589630399999,469772.8411,672,8824.18,82651.8857,0
1589630400000,9.36,9.43,9.1,9.32,39401.86,1589673599999,364087.8518,446,17014.03,157233.8009,0
1589673600000,9.26,9.67,9.2,9.56,24613.65,1589716799999,234490.2722,455,13653.41,130153.204,0
1589716800000,9.61,10.31,9.61,9.83,81986.04,1589759999999,818986.4512,674,31638.11,316233.7719,0
1589760000000,9.88,10.4,9.4,9.77,167484.11,1589803199999,1677439.9069,618,68236.08,681958.7114,0
1589803200000,9.75,9.99,9.57,9.94,119280.17,1589846399999,1169617.8775,388,54678.24,537164.1265,0
1589846400000,9.93,10.38,9.45,10.02,205501.15,1589889599999,2037421.4825,642,110075.0,1096686.2075,0
1589889600000,9.99,10.19,9.74,10.17,105642.1,1589932799999,1053289.6408,696,54280.68,541709.0587,0
1589932800000,10.18,10.29,9.91,10.06,65749.15,1589975999999,666885.1646,643,39944.62,405450.6908,0
1589976000000,10.08,10.21,9.36,9.63,117726.93,1590019199999,1141773.8722,933,50656.96,488706.6621,0
1590019200000,9.62,9.74,9.09,9.36,129075.06,1590062399999,1213854.5205,911,51799.46,487448.686,0
1590062400000,9.37,9.38,8.26,8.73,513985.59,1590105599999,4520097.8342,1620,260680.61,2302725.0431,0
1590105600000,8.72,8.98,8.49,8.95,183347.01,1590148799999,1604165.1146,707,101296.46,887085.125,0
1590148800000,8.94,9.15,8.86,8.97,207826.01,1590191999999,1864907.0341,526,53275.76,479894.3829,0
1590192000000,8.99,9.24,8.85,8.98,68669.16,1590235199999,622994.3721,457,23533.99,213759.2475,0
1590235200000,8.98,9.13,8.82,8.99,89752.92,1590278399999,805048.4609999999,512,42210.01,379426.9055,0
1590278400000,8.99,9.22,8.84,8.89,69500.85,1590321599999,629137.2363,477,28429.69,257960.1254,0
1590321600000,8.87,8.99,8.07,8.12,291713.14,1590364799999,2504035.7264,1146,98552.42,844960.9109,0
1590364800000,8.12,8.43,7.96,8.17,232188.92,1590407999999,1907207.9774,907,121979.66,1002180.0891,0
1590408000000,8.19,8.61,8.15,8.48,138403.59,1590451199999,1158097.6244,817,76776.36,642345.4401,0
1590451200000,8.49,8.68,8.34,8.42,157021.93,1590494399999,1332298.3718,751,79735.17,678302.0109999999,0
1590494400000,8.41,8.5,8.1,8.36,162199.52,1590537599999,1343426.8203,680,81972.52,679314.3917,0
1590537600000,8.38,9.02,8.32,8.96,211955.49,1590580799999,1833375.033,750,127503.84,1101611.7689,0
1590580800000,8.96,9.1,8.78,9.05,197392.54,1590623999999,1767501.6808,890,93230.76,835734.2637,0
1590624000000,9.06,9.2,8.9,9.18,107750.64,1590667199999,975124.673,633,50945.37,462474.1459,0
1590667200000,9.18,9.82,9.14,9.72,459628.21,1590710399999,4408801.3916,1927,321662.13,3088210.5499,0
1590710400000,9.73,9.76,9.29,9.36,207305.86,1590753599999,1974657.7929,1097,89002.26,846442.9934,0
1590753600000,9.37,9.53,9.25,9.45,133479.76,1590796799999,1257070.2279,693,67842.01,639779.0038,0
1590796800000,9.44,9.77,9.25,9.68,153930.78,1590839999999,1475251.7301,974,95234.35,913162.2206,0
1590840000000,9.68,10.08,9.36,9.96,283745.6,1590883199999,2755306.6332,1445,153187.7,1488473.2388,0
1590883200000,9.98,9.98,9.57,9.75,132421.01,1590926399999,1291474.1777,836,54527.59,531780.0246,0
1590926400000,9.76,9.86,9.35,9.48,203892.74,1590969599999,1946601.4255,1161,98153.51,936778.4292,0
1590969600000,9.47,9.79,9.43,9.6,91226.76,1591012799999,878692.3266,742,40920.67,394657.4257,0
1591012800000,9.6,11.49,9.56,11.08,895115.97,1591055999999,9639844.8351,2579,465909.43,5009594.0536,0
1591056000000,11.09,11.13,10.74,10.85,287067.25,1591099199999,3132272.0174,889,143107.33,1561441.3829,0
1591099200000,10.86,11.01,9.15,9.63,977615.16,1591142399999,9433661.2463,2303,495905.17,4767346.0477,0
1591142400000,9.6,9.81,9.38,9.77,181804.75,1591185599999,1753947.3213,779,89055.07,859514.0108,0
1591185600000,9.8,9.92,9.56,9.83,208256.5,1591228799999,2024140.5029,689,96483.79,939410.9224,0
1591228800000,9.89,9.91,9.45,9.81,340521.17,1591271999999,3304241.6639,1011,165653.4,1606607.8727,0
1591272000000,9.79,10.31,9.74,10.12,608421.75,1591315199999,6136730.1493,1740,311020.82,3136551.6065,0
1591315200000,10.15,10.27,9.74,9.94,493102.66,1591358399999,4957237.887,1534,254690.92,2559666.8014,0
1591358400000,9.93,10.05,9.79,9.8,321392.55,1591401599999,3185606.6011,842,151570.39,1502513.3067,0
1591401600000,9.78,9.95,9.63,9.93,189355.7,1591444799999,1847036.8665,661,98378.31,959844.464,0
1591444800000,9.95,10.01,9.71,9.9,133399.37,1591487999999,1314575.6489,466,67382.71,664316.7573,0
1591488000000,9.87,9.94,9.63,9.67,154734.08,1591531199999,1514597.8049,689,81484.93,797330.1438,0
1591531200000,9.66,10.16,9.3,10.02,774621.14,1591574399999,7522470.77,2285,388249.75,3771497.1118,0
1591574400000,10.05,10.14,9.8,10.0,169972.51,1591617599999,1698873.2543,529,81405.11,813217.5199,0
1591617600000,9.99,10.12,9.84,10.08,134848.09,1591660799999,1340992.3185,391,68782.95,684204.6881,0
1591660800000,10.08,10.28,9.65,9.95,269900.45,1591703999999,2697613.3548,805,146159.19,1459369.292,0
1591704000000,9.98,10.18,9.87,10.03,269370.03,1591747199999,2697952.5901,743,136849.34,1370795.0242,0
1591747200000,10.07,10.13,9.94,9.99,89842.65,1591790399999,902651.4866,228,45776.84,459911.2754,0
1591790400000,9.97,10.53,9.92,10.31,311954.36,1591833599999,3194057.7765,1129,162076.72,1657763.5812,0
1591833600000,10.31,10.46,10.03,10.08,483062.62,1591876799999,4930688.0518,1309,228239.81,2330184.2524,0
1591876800000,10.04,10.08,8.58,9.01,917093.1,1591919999999,8634514.4652,3111,442352.61,4158981.2275,0
1591920000000,9.02,9.46,8.95,9.42,138568.48,1591963199999,1279077.745,613,67036.65,618646.4584,0
1591963200000,9.42,9.54,9.05,9.37,392590.15,1592006399999,3658172.0854,1353,213645.53,1991782.8627,0
1592006400000,9.39,9.39,9.18,9.25,171242.4,1592049599999,1592921.7838,520,89374.75,831719.8890000002,0
1592049600000,9.25,9.43,9.15,9.38,41512.49,1592092799999,386188.8759,340,24911.43,232102.6443,0
1592092800000,9.39,9.4,9.21,9.3,15529.14,1592135999999,144453.9656,181,7571.12,70345.4009,0
1592136000000,9.29,9.32,8.95,9.12,77846.88,1592179199999,713483.9641,560,38047.54,348456.2109,0
1592179200000,9.12,9.17,8.32,8.69,107226.28,1592222399999,937069.6532,1101,53044.33,463775.1034,0
1592222400000,8.7,9.46,8.58,9.27,136802.45,1592265599999,1243019.5179,1135,71844.53,653714.1671,0
1592265600000,9.31,9.63,9.22,9.47,73683.77,1592308799999,698167.2209999999,727,36838.06,349144.4348,0
1592308800000,9.46,9.65,9.26,9.51,111101.3,1592351999999,1050514.4929,739,44997.67,426034.9252,0
1592352000000,9.53,9.53,9.28,9.43,89628.44,1592395199999,841920.6216,391,48137.18,452099.0966,0
1592395200000,9.45,9.61,8.88,9.31,182733.53,1592438399999,1682868.6908,1351,101055.13,930636.084,0
1592438400000,9.31,9.35,9.15,9.26,57109.62,1592481599999,528310.8515,334,20056.92,185764.471,0
1592481600000,9.26,9.26,8.96,9.15,77177.73,1592524799999,704070.2306,562,31570.05,288809.1517,0
1592524800000,9.15,9.25,8.88,9.14,88804.0,1592567999999,800065.9899,629,33516.91,302250.8957,0
1592568000000,9.14,9.24,8.94,9.0,58208.7,1592611199999,528602.2904,486,31446.42,286500.1451,0
1592611200000,9.02,9.14,8.75,9.02,25239.89,1592654399999,226499.1565,458,11807.47,106510.8787,0
1592654400000,9.05,9.17,8.87,9.11,31880.22,1592697599999,287646.8754,405,16874.4,152635.6864,0
1592697600000,9.11,9.22,9.03,9.13,29528.42,1592740799999,269631.5513,307,13503.47,123352.5899,0
1592740800000,9.11,9.16,8.97,9.0,27501.12,1592783999999,249175.3803,280,13743.31,124814.0403,0
1592784000000,8.98,9.34,8.96,9.31,39527.02,1592827199999,363582.5308,486,24854.57,228795.7641,0
1592827200000,9.32,9.96,9.29,9.79,84813.59,1592870399999,813762.1369,1226,55813.44,536364.3483,0
1592870400000,9.8,9.83,9.56,9.66,53752.41,1592913599999,519453.7814,429,13593.4,131412.6052,0
1592913600000,9.65,9.78,9.59,9.62,23566.25,1592956799999,228220.0675,306,11684.79,113400.1492,0
1592956800000,9.63,9.73,9.0,9.05,70350.38,1592999999999,656350.4831,851,32454.46,304414.5072,0
1593000000000,9.04,9.24,8.81,8.98,126287.09,1593043199999,1138328.4404,1097,60582.44,547018.0804,0
1593043200000,8.95,9.0,8.41,8.89,90831.44,1593086399999,792816.9111,1236,45072.86,393809.6506,0
1593086400000,8.89,9.02,8.71,8.86,44062.4,1593129599999,390382.2852,629,24917.63,221081.0142,0
1593129600000,8.87,8.94,8.5,8.69,50478.05,1593172799999,439551.8706,833,24468.04,213751.206,0
1593172800000,8.72,8.83,8.38,8.65,75452.63,1593215999999,651837.6077,892,36054.6,312585.9709,0
1593216000000,8.67,8.75,8.54,8.65,52994.56,1593259199999,459318.4738,345,23824.61,207067.3961,0
1593259200000,8.67,8.7,7.9,8.32,116813.88,1593302399999,972557.1602,1197,49376.4,410663.9849,0
1593302400000,8.32,8.46,8.2,8.38,27543.84,1593345599999,229917.4608,279,15429.82,128817.6998,0
1593345600000,8.41,8.7,8.34,8.57,45999.99,1593388799999,393831.2327,599,19635.14,168479.1098,0
1593388800000,8.53,8.6,8.4,8.5,21966.86,1593431999999,186797.9603,258,10679.52,91032.581,0
1593432000000,8.48,8.83,8.33,8.72,55421.26,1593475199999,479484.3241,641,38426.43,333305.1401,0
1593475200000,8.73,8.74,8.54,8.64,25027.75,1593518399999,216140.4707,327,9757.14,84344.0401,0
1593518400000,8.63,8.71,8.41,8.6,55199.22,1593561599999,473330.303,502,22009.18,189274.1147,0
1593561600000,8.58,8.72,8.49,8.61,22264.29,1593604799999,191265.781,236,11961.45,103087.3179,0
1593604800000,8.62,8.93,8.6,8.78,80509.23,1593647999999,705911.9319,651,33546.99,294412.783,0
1593648000000,8.81,8.85,8.67,8.7,28352.86,1593691199999,248547.5325,226,12872.18,112943.9933,0
1593691200000,8.7,8.84,8.12,8.47,98898.73,1593734399999,834975.2663,1041,41990.52,356439.7875,0
1593734400000,8.45,8.54,8.34,8.46,48007.84,1593777599999,406638.0756,214,22962.64,194716.4594,0
1593777600000,8.47,8.54,8.35,8.39,24190.39,1593820799999,204842.2633,222,11876.94,100623.7608,0
1593820800000,8.4,8.47,8.36,8.4,5499.87,1593863999999,46297.9309,84,2154.82,18154.3372,0
1593864000000,8.4,8.72,8.37,8.59,50445.87,1593907199999,432461.2959,442,30085.75,258947.9687,0
1593907200000,8.6,8.61,8.22,8.34,41058.06,1593950399999,346808.5827,356,15912.28,134885.0038,0
1593950400000,8.33,8.48,8.01,8.45,60680.68,1593993599999,502385.3473,497,22314.93,185730.7736,0
1593993600000,8.43,8.83,8.38,8.79,64271.25,1594036799999,553908.6398,520,36456.06,314909.9398,0
1594036800000,8.8,9.17,8.73,9.06,44772.53,1594079999999,401069.6862,877,20427.02,183435.6009,0
1594080000000,9.04,9.17,8.7,8.84,52969.86,1594123199999,470874.2573,550,18012.89,160024.1506,0
1594123200000,8.83,8.88,8.66,8.79,48786.22,1594166399999,429391.5541,352,32569.3,287072.816,0
1594166400000,8.8,8.96,8.75,8.92,64545.27,1594209599999,571617.8446,302,33134.06,293671.4776,0
1594209600000,8.93,9.28,8.85,9.18,72820.22,1594252799999,666881.9034,830,39029.54,357233.2193,0
1594252800000,9.18,9.19,9.02,9.12,26166.41,1594295999999,237925.2386,468,12265.94,111710.1096,0
1594296000000,9.12,9.2,8.59,8.74,68838.19,1594339199999,604921.0458,1209,31176.47,274116.7284,0
1594339200000,8.76,8.76,8.52,8.6,34693.73,1594382399999,298924.5126,482,14200.74,122690.1731,0
1594382400000,8.59,8.92,8.58,8.84,33718.45,1594425599999,294798.1684,415,21824.91,191237.7024,0
1594425600000,8.87,8.89,8.63,8.68,15657.07,1594468799999,137377.9348,258,5706.53,50144.2487,0
1594468800000,8.67,8.78,8.66,8.75,6117.88,1594511999999,53356.7237,148,3403.88,29712.675,0
1594512000000,8.76,8.89,8.75,8.78,17195.62,1594555199999,151511.6643,226,8745.3,77293.7983,0
1594555200000,8.8,9.0,8.56,8.88,50961.1,1594598399999,446908.0198,700,29455.05,259139.7485,0
1594598400000,8.9,8.93,8.77,8.93,25201.34,1594641599999,223161.6013,325,9501.37,84257.1084,0
1594641600000,8.93,9.01,8.67,8.75,66660.98,1594684799999,589143.3737,673,32062.86,284333.2906,0
1594684800000,8.74,8.77,8.48,8.75,38417.74,1594727999999,331848.5523,500,12044.67,104146.5448,0
1594728000000,8.76,8.83,8.65,8.8,27878.61,1594771199999,244439.2532,292,19189.82,168382.9965,0
1594771200000,8.8,8.81,8.66,8.73,18202.91,1594814399999,159108.1324,247,7481.8,65479.5706,0
1594814400000,8.71,8.77,8.57,8.68,29916.88,1594857599999,259634.4719,352,14386.7,125095.8544,0
1594857600000,8.67,8.73,8.26,8.36,93436.7,1594900799999,791839.3278,864,38334.07,325493.3243,0
1594900800000,8.38,8.5,8.32,8.46,24587.39,1594943999999,206718.2187,321,12027.11,101150.8539,0
1594944000000,8.46,8.49,8.37,8.46,16659.58,1594987199999,140350.7335,200,9144.2,77090.7301,0
1594987200000,8.49,8.57,8.46,8.5,34222.86,1595030399999,291573.6548,263,18121.88,154625.3754,0
1595030400000,8.49,8.61,8.42,8.54,18368.55,1595073599999,155928.5251,183,7601.27,64900.8404,0
1595073600000,8.53,8.64,8.5,8.54,30674.22,1595116799999,262891.7373,253,20118.35,172748.738,0
1595116800000,8.57,8.59,8.38,8.43,24688.16,1595159999999,208948.1038,170,9267.81,78535.1345,0
1595160000000,8.43,8.69,8.42,8.63,21474.02,1595203199999,183909.9904,313,17474.34,149908.8475,0
1595203200000,8.64,8.66,8.45,8.53,17259.77,1595246399999,147543.6835,207,5966.27,51022.6975,0
1595246400000,8.51,8.63,8.47,8.5,35637.97,1595289599999,304566.2501,313,18951.6,162254.8306,0
1595289600000,8.5,8.99,8.5,8.93,71143.54,1595332799999,626437.0673,691,51201.28,451080.6229,0
1595332800000,8.93,9.15,8.87,9.02,70774.55,1595375999999,637582.4805,763,34307.49,309624.0509,0
1595376000000,9.03,9.04,8.77,8.95,50388.27,1595419199999,449966.2626,319,14091.59,126051.0074,0
1595419200000,8.96,9.36,8.87,9.34,60286.08,1595462399999,550343.2976,670,36745.39,336564.0639,0
1595462400000,9.34,9.34,9.19,9.31,32471.11,1595505599999,301689.3051,337,10452.93,97182.2524,0
1595505600000,9.31,9.67,9.15,9.49,62694.87,1595548799999,590021.0924,1051,35558.1,335827.9944,0
1595548800000,9.51,9.51,9.2,9.4,63372.18,1595591999999,593103.8947,439,31122.15,291365.8208,0
1595592000000,9.36,9.6,9.28,9.34,57816.31,1595635199999,545218.6276,629,32725.24,308806.7328,0
1595635200000,9.35,9.56,9.31,9.41,40245.84,1595678399999,380749.6981,489,20616.65,195163.2613,0
1595678400000,9.41,9.75,9.35,9.65,71773.43,1595721599999,686597.4573,826,32054.42,306291.0445,0
1595721600000,9.63,10.95,9.57,10.25,191471.98,1595764799999,1950427.7653,1302,99938.59,1018912.2303,0
1595764800000,10.28,10.33,9.86,10.16,88610.05,1595807999999,895339.767,712,42311.76,427852.3407,0
1595808000000,10.17,11.2,10.17,10.96,194742.55,1595851199999,2099377.9495,2007,112432.88,1210649.2715,0
1595851200000,11.0,14.01,10.91,12.81,703922.51,1595894399999,8726782.4848,4825,368959.83,4578929.512,0
1595894400000,12.81,13.5,11.5,12.47,487905.49,1595937599999,6094665.3515,2963,216936.9,2715954.7324,0
1595937600000,12.47,12.9,12.13,12.29,223624.94,1595980799999,2804874.5871,1930,114527.91,1441375.5904,0
1595980800000,12.34,12.72,12.14,12.61,129376.57,1596023999999,1609960.813,961,71542.83,890318.3764,0
1596024000000,12.58,13.09,12.36,12.62,252018.84,1596067199999,3219419.4196,1649,108433.5,1386374.9419999998,0
1596067200000,12.6,12.64,12.18,12.29,61562.24,1596110399999,765109.6188,720,24390.85,303926.2595,0
1596110400000,12.3,12.75,12.06,12.56,181204.49,1596153599999,2277452.6117,1012,90217.9,1136021.7495,0
1596153600000,12.61,12.85,12.34,12.8,188976.4,1596196799999,2392324.2433,803,123435.98,1567319.7806,0
1596196800000,12.8,13.22,12.67,13.0,324396.8,1596239999999,4216779.5624,1776,144400.45,1879807.6868,0
1596240000000,13.04,13.79,12.77,13.56,166604.66,1596283199999,2220490.9056,1561,91741.44,1224646.874,0
1596283200000,13.59,14.02,13.31,13.86,299027.48,1596326399999,4099064.2346,1733,118523.95,1624751.6782,0
1596326400000,13.84,14.59,10.87,12.01,454655.25,1596369599999,6098961.835,2740,113826.35,1484838.2258,0
1596369600000,12.06,12.44,11.85,11.99,135347.77,1596412799999,1641648.6394,1282,52311.25,635624.4605,0
1596412800000,11.99,12.34,11.75,12.26,41852.56,1596455999999,510344.0394,622,24061.62,294285.8248,0
1596456000000,12.25,12.74,12.13,12.23,104311.83,1596499199999,1301515.5733,1137,46802.44,585285.9649,0
1596499200000,12.24,12.63,11.93,12.03,63827.75,1596542399999,788771.9762,725,24971.81,309492.4643,0
1596542400000,12.03,12.28,11.88,12.06,43266.45,1596585599999,523568.31,769,21651.61,262168.8799,0
1596585600000,12.07,12.72,11.97,12.69,87351.33,1596628799999,1088836.2706,1451,45376.86,565239.0809,0
1596628800000,12.7,13.31,12.57,13.21,128965.32,1596671999999,1680311.8002,2348,69104.1,901538.0127,0
1596672000000,13.21,13.33,12.79,13.2,120482.33,1596715199999,1568773.5498,2027,54900.27,713677.026,0
