Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1597147200000,1.0,1.0485,0.8027,1.018,25819.31,1597190399999,24501.27279,172,11979.29,12190.304375,0
1597190400000,1.0179,1.2247,0.7929,0.9841,165818.73,1597233599999,157387.606309,1533,111376.65,106547.483474,0
1597233600000,0.9849,0.986,0.9821,0.9847,14649.35,1597276799999,14415.251768,58,5720.02,5634.853264,0
1597276800000,0.9847,0.9889,0.9799,0.9799,35883.56,1597319999999,35368.364268,50,22256.47,21954.511958000006,0
1597320000000,0.9815,0.9853,0.9504,0.9853,63933.79,1597363199999,62404.358412,166,14519.44,14243.14824,0
1597363200000,0.9835,0.9935,0.9795,0.9909,102082.54,1597406399999,100961.376682,323,56570.67,55963.129156,0
1597406400000,0.9909,0.995,0.9861,0.9895,18078.21,1597449599999,17927.018347,65,4910.67,4871.577038,0
1597449600000,0.9925,0.9954,0.9847,0.9916,10460.25,1597492799999,10353.083837,64,5726.4,5666.139949,0
1597492800000,0.9949,0.9949,0.9882,0.9882,32577.83,1597535999999,32295.549454000004,77,4400.72,4368.395046,0
1597536000000,0.9919,0.9923,0.988,0.992,12927.6,1597579199999,12811.039045,81,3504.93,3471.346125,0
1597579200000,0.9921,0.9921,0.9905,0.9917,25001.63,1597622399999,24799.362048,131,64.82,64.20421,0
1597622400000,0.9917,0.9952,0.9906,0.9952,64478.37,1597665599999,63931.3534,73,4863.94,4830.456032,0
1597665600000,0.9952,0.9972,0.9915,0.995,10125.95,1597708799999,10061.267748,35,4732.3,4700.188503,0
1597708800000,0.9939,0.997,0.9935,0.997,18292.27,1597751999999,18222.324469,30,16743.96,16683.224772,0
1597752000000,0.9968,0.9983,0.995,0.9961,13676.89,1597795199999,13638.957233,28,7951.87,7933.277747,0
1597795200000,0.9959,0.9963,0.992,0.9963,67079.7,1597838399999,66660.028672,55,36167.95,35944.539082,0
1597838400000,0.9944,0.9976,0.9931,0.9956,22148.1,1597881599999,22025.949082,65,17131.43,17034.125291999993,0
1597881600000,0.9944,0.9965,0.993,0.996,50983.18,1597924799999,50689.065194,206,7635.48,7589.5630900000015,0
1597924800000,0.9954,0.996,0.9942,0.9942,16572.25,1597967999999,16492.00874,38,4456.7,4437.09998,0
1597968000000,0.994,0.9944,0.9925,0.9932,75287.78,1598011199999,74836.366579,80,18717.27,18601.469715,0
1598011200000,0.9932,0.9984,0.992,0.9936,125912.88,1598054399999,125217.782405,171,71544.03,71232.662103,0
1598054400000,0.9932,0.9952,0.9892,0.9943,23829.96,1598097599999,23659.134563,224,5652.37,5617.119467,0
1598097600000,0.9948,0.9965,0.9939,0.9958,103477.55,1598140799999,102999.271307,131,65347.31,65057.730036,0
1598140800000,0.996,0.996,0.9936,0.9952,20076.02,1598183999999,19966.75726,93,7860.94,7821.630235,0
1598184000000,0.994,0.9952,0.9932,0.9938,22693.9,1598227199999,22554.086763,45,10124.0,10061.954011,0
1598227200000,0.995,0.995,0.9899,0.991,55607.85,1598270399999,55094.708214,122,5165.15,5119.13394,0
1598270400000,0.99,0.99,0.9813,0.9849,58301.1,1598313599999,57392.632089,107,9012.3,8870.564159,0
1598313600000,0.9855,0.9877,0.9853,0.9865,15818.7,1598356799999,15601.331829,32,8964.15,8837.358501,0
1598356800000,0.9877,0.9879,0.9851,0.986,22651.03,1598399999999,22346.082749,44,17831.01,17590.715616999998,0
1598400000000,0.9863,0.9878,0.9851,0.9861,3929.16,1598443199999,3873.7025380000014,23,1814.76,1789.6721670000004,0
1598443200000,0.9861,0.9889,0.9828,0.9869,13211.58,1598486399999,13026.758267,50,8929.19,8808.83046,0
1598486400000,0.9869,0.9879,0.9849,0.9849,12229.59,1598529599999,12070.498789,28,1622.77,1602.640755,0
1598529600000,0.9841,0.9866,0.983,0.9866,29425.09,1598572799999,28978.420806,70,20723.67,20414.789942,0
1598572800000,0.9861,0.9889,0.9855,0.9869,8368.66,1598615999999,8261.570937,19,3220.57,3180.701193,0
1598616000000,0.9869,0.9889,0.9855,0.9874,26375.68,1598659199999,26044.414766,48,15928.55,15736.452772,0
1598659200000,0.9894,0.9894,0.9862,0.9862,28372.57,1598702399999,28017.637223,36,22284.46,22007.745641,0
1598702400000,0.9863,0.9873,0.9846,0.9873,20784.26,1598745599999,20501.534401,52,7439.94,7342.370537999999,0
1598745600000,0.9872,0.9872,0.9801,0.9859,30787.05,1598788799999,30286.707379000003,55,6846.35,6753.317712,0
1598788800000,0.9869,0.9869,0.9842,0.9842,22486.44,1598831999999,22149.883771,35,3187.42,3141.197852,0
1598832000000,0.9833,0.9871,0.9806,0.9858,33354.26,1598875199999,32826.387307,70,9378.28,9235.373917,0
1598875200000,0.9849,0.9872,0.9839,0.9855,18532.61,1598918399999,18273.735588,55,6053.7,5974.545826,0
1598918400000,0.9864,0.9866,0.9775,0.9831,105874.3,1598961599999,104105.037338,336,16591.36,16310.120703,0
1598961600000,0.983,0.9868,0.9758,0.9863,189985.49,1599004799999,187024.09959,408,72290.02,71147.60893300001,0
1599004800000,0.9864,0.9916,0.9833,0.9916,54583.0,1599047999999,53813.763062,106,27204.13,26820.079628,0
1599048000000,0.99,0.9937,0.9879,0.9879,76240.6,1599091199999,75517.992335,136,23032.11,22826.940504,0
1599091200000,0.9931,0.9937,0.9878,0.989,71198.94,1599134399999,70616.495604,204,7604.72,7537.932387000002,0
1599134400000,0.989,0.996,0.9817,0.9917,229274.37,1599177599999,227302.724969,453,145809.92,144497.144658,0
1599177600000,0.9924,0.9932,0.9001,0.9858,239906.43,1599220799999,235406.871875,608,29559.96,28894.027126,0
