Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1577836800000,62.131,62.227,62.131,62.227,3598.2,1577879999999,223562.3562,7,3597.1,223494.0121,0
1577880000000,61.978,61.978,61.92,61.92,9824.3,1577923199999,608323.504,14,2982.4,184670.208,0
1577923200000,61.92,61.92,61.92,61.92,0.0,1577966399999,0.0,0,0.0,0.0,0
1577966400000,61.755,61.755,61.669,61.669,12.4,1578009599999,765.3922,2,0.0,0.0,0
1578009600000,61.871,62.179,61.871,62.179,3083.8,1578052799999,190915.614,38,2657.6,164439.3213,0
1578052800000,62.179,62.22,61.979,61.979,99.3,1578095999999,6172.8347,6,79.3,4933.2547,0
1578096000000,62.0,62.0,62.0,62.0,249.9,1578139199999,15493.8,1,249.9,15493.8,0
1578139200000,62.0,62.0,62.0,62.0,32.2,1578182399999,1996.4,1,0.0,0.0,0
1578182400000,61.979,61.979,61.979,61.979,29.4,1578225599999,1822.1826,1,0.0,0.0,0
1578225600000,61.979,62.22,61.979,62.213,142.3,1578268799999,8825.3016,8,23.9,1486.9879999999996,0
1578268800000,62.03100000000001,62.213,61.987,61.987,41.1,1578311999999,2551.3683,3,14.3,889.6459,0
1578312000000,61.987,61.987,61.728,61.94300000000001,292.8,1578355199999,18136.5325,5,289.5,17932.8301,0
1578355200000,61.74100000000001,61.989,61.74100000000001,61.831,4859.8,1578398399999,300888.9306,12,3871.7,239863.7935,0
1578398400000,62.109,62.147,61.88800000000001,62.13,2832.0,1578441599999,175319.1001,12,110.7,6877.4232,0
1578441600000,61.907,61.956,61.907,61.956,218.9,1578484799999,13560.2617,3,181.2,11226.3678,0
1578484800000,61.924,61.925,61.223,61.246,1644.3,1578527999999,101651.3789,26,1317.0,81495.5721,0
1578528000000,61.246,61.246,61.135,61.135,135.4,1578571199999,8292.5197,2,0.0,0.0,0
1578571200000,61.428,61.43,61.428,61.43,372.7,1578614399999,22894.2842,4,58.3,3581.321,0
1578614400000,61.15,61.15,61.15,61.15,47.4,1578657599999,2898.51,1,0.0,0.0,0
1578657600000,61.135,61.135,60.883,60.956,13353.7,1578700799999,813952.671,19,485.7,29604.3864,0
1578700800000,60.956,60.956,60.956,60.956,1260.2,1578743999999,76816.7512,3,0.0,0.0,0
1578744000000,60.956,61.201,60.956,61.201,1040.0,1578787199999,63466.0452,13,293.0,17931.893,0
1578787200000,60.956,60.956,60.956,60.956,529.8,1578830399999,32294.4888,2,0.0,0.0,0
1578830400000,60.956,60.956,60.956,60.956,0.0,1578873599999,0.0,0,0.0,0.0,0
1578873600000,60.956,60.956,60.956,60.956,0.0,1578916799999,0.0,0,0.0,0.0,0
1578916800000,61.209,61.455,61.129,61.129,9229.2,1578959999999,565248.3294,8,3115.3,191446.6683,0
1578960000000,61.112,61.429,61.091,61.429,5903.4,1579003199999,362023.8417,13,3966.5,243421.8462,0
1579003200000,61.378,61.549,61.29,61.365,2819.5,1579046399999,173107.9382,30,929.7,57169.6045,0
1579046400000,61.598,61.639,61.327,61.404,4632.7,1579089599999,284567.0127,33,561.3,34575.705,0
1579089600000,61.327,61.534,61.278,61.3,7875.4,1579132799999,483437.4571,22,234.7,14396.498,0
1579132800000,61.275,61.658,61.275,61.58,943.3,1579175999999,57970.1508,9,36.0,2217.168,0
1579176000000,61.635,61.824,61.51600000000001,61.51600000000001,4129.9,1579219199999,254248.9358,20,44.2,2728.8852,0
1579219200000,61.554,61.709,61.268,61.268,4579.5,1579262399999,281679.2502,11,1.9,117.2471,0
1579262400000,61.53100000000001,61.728,61.339,61.699,4336.4,1579305599999,267161.2794,12,3062.2,189001.7744,0
1579305600000,61.502,61.699,61.502,61.502,3265.5,1579348799999,200845.7485,15,57.0,3515.8396,0
1579348800000,61.502,61.502,61.502,61.502,2912.1,1579391999999,179099.9742,9,0.0,0.0,0
1579392000000,61.502,61.75,61.502,61.75,1055.3,1579435199999,65156.4181,10,1021.8,63096.1011,0
1579435200000,61.75,61.75,61.502,61.502,20.8,1579478399999,1283.9536,2,19.0,1173.25,0
1579478400000,61.502,61.502,61.488,61.488,120.3,1579521599999,7398.0032,3,71.2,4378.9424,0
1579521600000,61.497,61.769,61.497,61.769,207.1,1579564799999,12790.2673,3,204.1,12605.7763,0
1579564800000,61.749,61.942,61.749,61.838,1683.6,1579607999999,104158.8044,9,784.4,48461.6323,0
1579608000000,61.838,61.838,61.757,61.838,670.0,1579651199999,41430.6824,14,653.5,40411.133,0
1579651200000,61.838,61.894,61.838,61.894,4.4,1579694399999,272.1824,2,0.0,0.0,0
1579694400000,62.01,62.127,61.839,62.054,1215.5,1579737599999,75319.6043,6,689.7,42804.6581,0
1579737600000,62.054,62.054,61.839,61.947,327.4,1579780799999,20283.1058,8,40.5,2512.917,0
1579780800000,61.947,62.225,61.94600000000001,61.947,806.3,1579823999999,50060.0902,15,542.2,33698.1897,0
1579824000000,61.94600000000001,62.067,61.757,61.81800000000001,1694.3,1579867199999,104846.9407,16,413.3,25601.6544,0
1579867200000,61.927,62.298,61.758,62.216,7410.3,1579910399999,458923.1532,9,7351.9,455296.197,0
1579910400000,62.235,62.235,62.235,62.235,311.0,1579953599999,19355.085,5,311.0,19355.085,0
1579953600000,61.972,61.972,61.972,61.972,2.7,1579996799999,167.3244,1,0.0,0.0,0
1579996800000,61.973,61.973,61.972,61.972,1098.6,1580039999999,68082.4569,2,0.0,0.0,0
1580040000000,61.972,62.022,61.95399999999999,61.958,92825.1,1580083199999,5751890.9679999985,29,4378.0,271246.7954,0
1580083200000,62.13800000000001,62.462,62.13800000000001,62.462,272.9,1580126399999,17019.2386,9,159.9,9970.5762,0
1580126400000,62.572,63.057,62.572,62.842,10216.5,1580169599999,642045.1510000001,15,811.5,51128.8004,0
1580169600000,62.794,63.036,62.694,62.694,3437.5,1580212799999,215725.8767,14,192.3,12092.6448,0
1580212800000,62.668,62.668,62.125,62.125,3625.3,1580255999999,226534.8277,35,2154.3,134840.6579,0
1580256000000,62.419,62.68,62.137,62.68,1676.0,1580299199999,104733.3878,18,1138.6,71180.1424,0
1580299200000,62.668,62.68899999999999,62.494,62.494,823.6,1580342399999,51489.8015,8,175.3,10968.0385,0
1580342400000,62.611,63.023,62.611,63.023,4115.8,1580385599999,259073.5819,42,1076.8,67788.1557,0
1580385600000,63.057,63.468,63.032,63.08600000000001,8443.4,1580428799999,533663.9635,80,1086.2,68759.6838,0
1580428800000,63.157,63.379,63.07100000000001,63.379,8284.7,1580471999999,524049.3225,26,1064.4,67353.6267,0
1580472000000,63.362,64.045,63.362,63.847,3539.1,1580515199999,225667.4498,37,490.7,31234.4775,0
1580515200000,63.846,63.931,63.846,63.931,832.0,1580558399999,53144.3767,12,290.6,18578.1523,0
1580558400000,63.846,64.11,63.846,63.846,5169.9,1580601599999,330230.8414,23,771.4,49404.2104,0
1580601600000,63.846,64.11,63.843,63.846,8414.1,1580644799999,537888.8058,29,3286.7,210524.8254,0
1580644800000,63.846,63.88,63.777,63.868,7455.6,1580687999999,475999.7137,116,176.3,11246.9357,0
1580688000000,63.868,64.025,63.356,63.756,7960.3,1580731199999,508018.9851,71,890.1,56843.7753,0
1580731200000,63.51600000000001,63.699,63.51600000000001,63.606,786.6,1580774399999,50006.5096,12,0.0,0.0,0
1580774400000,63.562,63.562,63.14,63.14,1526.3,1580817599999,96753.6774,19,537.6,34109.9794,0
1580817600000,63.374,63.374,62.995,63.102,346.5,1580860799999,21856.6116,12,82.2,5205.0724,0
1580860800000,62.849,63.041,62.62,62.62,11117.8,1580903999999,700729.4328,12,0.0,0.0,0
1580904000000,62.622,63.03100000000001,62.508,62.747,6521.1,1580947199999,409009.4135,36,488.1,30702.2295,0
1580947200000,62.743,63.066,62.559,62.95399999999999,4140.0,1580990399999,260613.2252,33,98.4,6177.4722,0
1580990400000,62.95399999999999,63.257,62.947,63.223,18310.6,1581033599999,1155167.486,38,478.6,30212.2712,0
1581033600000,63.177,63.718,63.148,63.6,14719.5,1581076799999,933828.2146,89,1670.4,106155.8151,0
1581076800000,63.743,64.21300000000001,63.724,63.83600000000001,15626.5,1581119999999,998749.5706,49,743.4,47571.3447,0
1581120000000,63.919,64.07600000000001,63.745,63.844,27278.4,1581163199999,1741400.6546,224,319.6,20409.8811,0
1581163200000,63.844,63.907,63.624,63.84,21191.7,1581206399999,1352760.3766,168,441.0,28154.2611,0
1581206400000,63.84,63.94,63.63800000000001,63.837,14609.4,1581249599999,932577.5817,91,49.2,3142.2607,0
1581249600000,63.941,63.941,63.941,63.941,218.0,1581292799999,13939.138,2,5.3,338.8873,0
1581292800000,63.941,64.506,63.398,63.95,20701.4,1581335999999,1334426.4073,76,2646.2,169925.2395,0
1581336000000,63.865,64.217,63.865,64.217,649.6,1581379199999,41547.4795,11,622.4,39808.2354,0
1581379200000,64.0,64.0,63.68,63.68,195.4,1581422399999,12474.0805,6,147.4,9403.383,0
1581422400000,63.68,63.68,63.14,63.265,8093.8,1581465599999,512160.8003,33,601.0,38126.0498,0
1581465600000,63.20399999999999,63.247,62.858,63.004,1059.6,1581508799999,66847.0338,30,9.5,600.664,0
1581508800000,62.908,63.157,62.908,63.074,6606.0,1581551999999,416581.425,55,35.8,2260.6754,0
1581552000000,63.074,63.666,63.073,63.542,11914.3,1581595199999,754986.0083,98,1521.8,96524.9245,0
1581595200000,63.457,63.601000000000006,63.276,63.553,2817.7,1581638399999,178793.3039,49,748.1,47574.3433,0
1581638400000,63.504,63.517,63.304,63.36600000000001,14002.2,1581681599999,887617.0761,82,327.3,20750.6129,0
1581681600000,63.396,63.518,63.364,63.37300000000001,4079.6,1581724799999,258818.2312,60,162.3,10299.2149,0
1581724800000,63.37300000000001,63.572,63.27,63.372,14408.9,1581767999999,913142.084,94,625.5,39627.8477,0
1581768000000,63.372,63.628,63.21,63.396,18968.6,1581811199999,1202763.6963,122,4554.4,289345.4354,0
1581811200000,63.396,63.401,63.369,63.39100000000001,5939.7,1581854399999,376413.4779,49,657.5,41671.0872,0
1581854400000,63.39100000000001,63.627,63.348,63.368,4864.3,1581897599999,308378.9155,64,971.8,61678.76,0
1581897600000,63.346,63.425,62.835,63.119,16272.9,1581940799999,1024645.3939,62,6483.0,408760.6997,0
1581940800000,63.119,63.289,62.948,63.105,1411.3,1581983999999,89157.4386,22,1123.1,70992.5753,0
1581984000000,63.26300000000001,63.567,63.26300000000001,63.327,1229.7,1582027199999,77861.2767,22,1051.0,66544.4409,0
1582027200000,63.32899999999999,63.684,63.14100000000001,63.405,57646.1,1582070399999,3660629.4678,131,18397.6,1168636.8661,0
1582070400000,63.405,63.424,63.011,63.14100000000001,6000.1,1582112138443,379528.2545,55,519.5,32864.2552,0
1582113600000,63.14100000000001,63.23,62.9,63.027,6181.8,1582156799999,390645.2318,55,5761.6,364183.4599,0
1582156800000,63.232,63.802,63.232,63.625,3030.9,1582199999999,192903.9649,38,2573.5,163894.9279,0
1582200000000,63.607,64.35600000000001,63.607,64.223,6558.6,1582243199999,421083.9206,35,5946.7,381995.8442,0
1582243200000,64.236,64.46300000000001,63.949,64.462,3338.0,1582286399999,213870.4742,35,455.6,29258.3186,0
1582286400000,64.462,64.592,63.917,64.146,16802.6,1582329599999,1078623.9957,46,15727.1,1009513.4531,0
1582329600000,64.145,64.145,64.145,64.145,288.8,1582372799999,18525.076,5,288.8,18525.076,0
1582372800000,64.145,64.146,64.14,64.146,1409.3,1582415999999,90399.086,11,1409.3,90399.086,0
1582416000000,64.11,64.146,63.952,64.143,1557.2,1582459199999,99874.113,10,1548.0,99284.9804,0
1582459200000,63.915,64.195,63.915,64.195,2492.7,1582502399999,159815.5605,11,2468.4,158262.426,0
1582502400000,63.99100000000001,65.488,63.99100000000001,65.488,4248.3,1582545599999,275369.5212,65,1762.7,113913.2084,0
1582545600000,65.053,65.753,65.03399999999999,65.267,4081.6,1582588799999,266550.3352,40,1524.4,99786.751,0
1582588800000,64.866,65.09,63.731,64.32,11423.9,1582631999999,731462.0715,56,10367.2,663345.8566,0
1582632000000,64.124,64.565,64.01899999999999,64.318,4540.7,1582675199999,292210.1217,45,3395.6,218637.5965,0
1582675200000,64.42,64.938,64.334,64.83800000000001,8425.8,1582718399999,544011.1995,39,6103.4,394090.8321,0
1582718400000,64.729,65.45,64.316,64.793,10860.7,1582761599999,703823.5783,122,7810.9,506862.5252,0
1582761600000,64.936,65.271,64.899,65.227,24523.3,1582804799999,1595238.6695,34,977.3,63756.4099,0
1582804800000,65.10600000000001,65.93,65.105,65.93,12464.4,1582847999999,815983.6174,92,9994.9,654171.8384,0
1582848000000,65.771,67.107,65.771,66.491,41886.5,1582891199999,2768061.9384,60,39911.6,2636230.0998,0
1582891200000,66.63600000000001,67.024,66.444,66.676,217224.9,1582934399999,14544637.6707,138,31278.5,2091078.3761,0
1582934400000,66.476,66.69800000000001,66.476,66.69800000000001,11182.8,1582977599999,745656.5667,29,10920.8,728235.5256,0
1582977600000,66.69800000000001,66.77,66.598,66.77,19087.4,1583020799999,1273792.1149,42,19084.6,1273605.6405,0
1583020800000,66.721,66.77,66.598,66.77,224.8,1583063999999,14982.0798,21,173.3,11547.9369,0
1583064000000,66.558,66.914,66.557,66.808,28701.9,1583107199999,1918487.9989,64,25863.1,1728632.406,0
1583107200000,66.81,66.81,65.954,66.65,22352.9,1583150399999,1485836.1648,30,211.3,13992.5106,0
1583150400000,66.78399999999999,66.931,66.149,66.15,28270.6,1583193599999,1887026.5813,79,22732.6,1518115.862,0
1583193600000,66.21,66.407,66.016,66.196,2872.7,1583236799999,190287.8103,33,1621.6,107474.8939,0
1583236800000,66.193,66.48100000000001,65.306,66.009,186040.6,1583279999999,12227464.0452,178,21526.1,1416583.3651,0
1583280000000,65.896,66.482,65.456,65.456,12995.0,1583323199999,853879.5893,76,12450.6,818055.8045,0
1583323200000,65.615,66.422,65.514,66.096,11741.6,1583366399999,774625.115,27,7751.1,511337.7704,0
1583366400000,66.092,66.30199999999999,65.945,66.30199999999999,8514.7,1583409599999,562931.8742,43,7779.2,514348.2574,0
1583409600000,66.293,67.385,66.293,67.385,76981.6,1583452799999,5173041.2494,74,75263.1,5057644.75,0
1583452800000,67.24,67.737,67.058,67.532,108652.9,1583495999999,7343391.7479,104,101172.3,6837539.3875,0
1583496000000,67.73100000000001,68.166,67.625,68.166,173059.6,1583539199999,11727542.7332,141,155267.8,10521273.9211,0
1583539200000,68.166,68.222,68.166,68.18,245.3,1583582399999,16729.5695,9,245.3,16729.5695,0
1583582400000,68.154,68.222,67.947,68.222,5730.5,1583625599999,390739.3404,47,5702.7,388850.3463,0
1583625600000,68.222,68.243,68.038,68.038,3323.2,1583668799999,226731.451,20,3276.1,223526.8612,0
1583668800000,68.243,72.044,67.689,71.518,2214975.3,1583711999999,155742890.0986,5536,1664791.2,116947672.4237,0
1583712000000,71.654,74.374,70.82,74.346,572806.8,1583755199999,41569197.6929,1088,245453.4,17778973.7756,0
1583755200000,74.146,74.673,73.206,73.907,8496.3,1583798399999,626900.941,48,6816.5,503189.6264,0
1583798400000,73.90899999999998,73.90899999999998,70.642,71.189,27891.4,1583841599999,2008271.5118,101,26351.3,1896400.6284,0
1583841600000,71.242,72.054,71.143,71.143,55700.0,1583884799999,3988617.549,117,41307.0,2961049.2293,0
1583884800000,71.143,71.797,70.82600000000002,71.382,18847.8,1583927999999,1339723.683,93,18712.9,1330130.9146,0
1583928000000,71.803,73.399,71.803,73.015,15953.6,1583971199999,1158648.1932,70,8106.7,586664.6649,0
1583971200000,72.756,75.646,72.756,75.15100000000002,63364.5,1584014399999,4740300.0044,774,28445.0,2124327.3594,0
1584014400000,75.15100000000002,77.76100000000002,73.61399999999998,77.203,137198.3,1584057599999,10292015.8917,563,45820.0,3483194.1286,0
1584057600000,77.203,78.027,74.001,76.997,70638.2,1584100799999,5385098.3625,344,54719.0,4190003.6895,0
1584100800000,76.718,78.191,75.691,77.23,49056.6,1584143999999,3789235.2517,302,46212.9,3569474.1239,0
1584144000000,77.23,77.32600000000002,76.2,77.001,14158.9,1584187199999,1093646.2058,72,13659.0,1055257.7853,0
1584187200000,77.32600000000002,77.48100000000002,76.54,76.748,24841.2,1584230399999,1920994.2341,114,22900.2,1771492.5968,0
1584230400000,76.54,77.501,75.822,77.15,7321.8,1584273599999,562145.7756,69,4856.2,374489.3559,0
1584273600000,77.15,77.475,75.691,76.684,16351.4,1584316799999,1246605.2618,197,5259.9,402471.2335,0
1584316800000,76.82,80.02600000000002,76.631,79.888,66553.6,1584359999999,5272827.2,374,61883.5,4910560.5521,0
1584360000000,79.888,79.888,76.92399999999998,78.91,155296.2,1584403199999,12221886.528,563,139534.4,11003539.3091,0
1584403200000,77.60300000000002,79.396,77.237,79.206,23826.2,1584446399999,1872603.3188,103,20169.7,1589893.5912,0
1584446400000,79.206,80.154,78.495,80.036,59830.9,1584489599999,4774142.3423,253,52700.1,4206675.4,0
1584489600000,80.036,80.65,78.515,80.564,32571.6,1584532799999,2581452.9586,261,20027.1,1580661.9072,0
1584532800000,81.5,85.0,81.5,83.15,52937.5,1584575999999,4495544.1785,357,52041.9,4420877.1017,0
1584576000000,83.15,84.65,80.494,81.778,287585.0,1584619199999,23448304.494000006,591,218126.1,17763081.8304,0
1584619200000,81.87100000000002,82.539,80.0,80.765,549357.3,1584662399999,44586533.6972,1853,500327.8,40645051.5584,0
1584662400000,80.765,80.765,78.056,80.465,101610.9,1584705599999,8108471.8623,261,46827.7,3731058.0514,0
1584705600000,80.141,81.434,79.678,81.22399999999998,99243.4,1584748799999,8019479.185,368,93316.6,7541256.9794,0
1584748800000,81.22399999999998,81.23,80.53399999999998,81.008,34368.6,1584791999999,2783125.0075,109,32860.5,2661094.1842,0
1584792000000,80.611,81.095,80.611,80.661,15921.2,1584835199999,1290250.0121,80,14293.1,1158426.5751,0
1584835200000,81.06,81.26100000000002,80.661,81.084,12901.1,1584878399999,1046536.38,51,12705.0,1030718.7579,0
1584878400000,81.084,81.51899999999998,80.687,81.515,105670.7,1584921599999,8573599.3548,459,100812.5,8179930.3309,0
1584921600000,81.515,82.12799999999999,81.113,81.73,105723.1,1584964799999,8641847.8164,808,99644.3,8145168.8705,0
1584964800000,81.557,81.557,80.295,80.584,97285.7,1585007999999,7879953.9271,436,91502.2,7412233.8673,0
1585008000000,80.584,80.892,79.24,79.786,63958.3,1585051199999,5139456.1841,316,60412.0,4857922.6135,0
1585051200000,79.755,80.02600000000002,79.12899999999998,79.4,38697.6,1585094399999,3083042.3128,181,38227.2,3045658.5977,0
1585094400000,79.374,79.857,77.868,79.74,72220.1,1585137599999,5714677.1401,355,66975.8,5300831.9010000015,0
1585137600000,79.687,80.381,78.59899999999998,79.36399999999998,53342.3,1585180799999,4234118.9188,265,49843.0,3956589.6909,0
1585180800000,79.36399999999998,80.005,78.829,79.146,27285.8,1585223999999,2162724.577,156,26309.6,2085372.3536,0
1585224000000,79.46600000000002,79.884,78.77199999999998,78.942,4219.3,1585267199999,334417.6894,53,4005.2,317486.0483,0
1585267200000,78.942,80.0,78.59899999999998,79.247,6025.9,1585310399999,477651.9366,94,5419.7,429787.4357,0
