Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1597449600000,0.1705,1.2,0.1705,0.2632,85641.89,1597492799999,43690.047851,5807,33077.93,17585.097191999994,0
1597492800000,0.2638,0.4793,0.2579,0.2987,103846.8,1597535999999,37672.331582,5085,41026.23,14893.335003,0
1597536000000,0.3025,0.338,0.2719,0.281,54881.61,1597579199999,16326.372977,2967,20268.92,6147.063875,0
1597579200000,0.2808,0.289,0.2448,0.2465,31611.75,1597622399999,8556.966279,1802,8486.91,2280.739443,0
1597622400000,0.2458,0.2548,0.1884,0.1953,51892.52,1597665599999,11198.076673,2482,17593.22,3768.114456,0
1597665600000,0.1952,0.213,0.1805,0.1868,48496.62,1597708799999,9399.898194,2689,19837.88,3881.848976,0
1597708800000,0.1868,0.1897,0.1445,0.1612,76159.52,1597751999999,12293.467483,3232,27808.84,4508.065279,0
1597752000000,0.1598,0.1922,0.141,0.1563,67308.97,1597795199999,10628.39865,2561,27437.76,4396.077415,0
1597795200000,0.1566,0.2089,0.1451,0.196,94474.68,1597838399999,17137.38226,3001,40302.46,7473.288964,0
1597838400000,0.196,0.2238,0.1691,0.1754,89735.54,1597881599999,17960.041218000002,3932,37809.12,7637.065406999999,0
1597881600000,0.1747,0.2079,0.1708,0.1838,90804.44,1597924799999,17505.850045,2993,43093.41,8337.307783,0
1597924800000,0.1847,0.1907,0.1652,0.1663,55073.37,1597967999999,9611.091385,2335,23750.69,4182.194029,0
1597968000000,0.1682,0.1785,0.1504,0.172,121163.12,1598011199999,19659.968204,3203,37848.26,6230.337844,0
1598011200000,0.172,0.1733,0.1458,0.1458,60613.48,1598054399999,9716.905665,1702,21376.49,3477.369776,0
1598054400000,0.1458,0.1493,0.1265,0.1366,97317.78,1598097599999,13189.459148,2132,37637.95,5110.884012,0
1598097600000,0.1357,0.1442,0.1282,0.1377,53879.57,1598140799999,7176.647881999998,1480,22619.94,3032.687303,0
1598140800000,0.1375,0.1411,0.127,0.1296,52655.1,1598183999999,7032.343797,1395,16987.99,2277.555845,0
1598184000000,0.1295,0.1315,0.1186,0.1229,65156.33,1598227199999,8043.231326000001,1200,14947.24,1847.120542,0
1598227200000,0.1233,0.139,0.1189,0.1249,93939.24,1598270399999,11975.478648,1964,48122.23,6209.001393,0
1598270400000,0.1244,0.135,0.1227,0.1282,53444.8,1598313599999,6919.060532,1388,24709.3,3227.944521,0
1598313600000,0.1278,0.1495,0.1278,0.1365,102263.4,1598356799999,14381.592979,2440,51695.92,7240.006197,0
1598356800000,0.1369,0.1392,0.1276,0.1335,58206.3,1598399999999,7766.628912,1749,19700.28,2639.033869000001,0
1598400000000,0.1334,0.1526,0.131,0.1464,51611.23,1598443199999,7319.325841,2082,28027.45,3976.261244,0
