Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1605484800000,0.004731,0.00528,0.004031,0.004407,90887.76,1605527999999,415.99335003,1272,28549.81,132.17712017,0
1605528000000,0.004436,0.005009,0.0041,0.004797,127445.98,1605571199999,585.46893128,2422,51468.67,237.22163085,0
1605571200000,0.004797999999999999,0.0048,0.004315,0.004635,27985.57,1605614399999,128.92413061,730,9058.38,41.45397824,0
1605614400000,0.00458,0.00458,0.0035,0.003735,60138.97,1605657599999,241.97597269,1134,13377.03,53.91711445,0
1605657600000,0.003762,0.004014,0.003641,0.00381,5948.72,1605700799999,22.7066794,454,2733.45,10.53091705,0
1605700800000,0.003789,0.004316,0.003556,0.004316,12633.04,1605743999999,49.34304391,594,8620.57,34.19041141,0
1605744000000,0.004316,0.0045,0.003954,0.004061,7417.53,1605787199999,30.93173754,582,3637.12,15.324916,0
1605787200000,0.004062,0.00436,0.00393,0.00415,17635.31,1605830399999,71.40016628,383,7619.8,31.06207762,0
1605830400000,0.004118,0.004501,0.004072999999999999,0.004288,12023.28,1605873599999,52.49085826,373,3380.69,14.5799777,0
1605873600000,0.004253,0.004497999999999999,0.0041,0.0041990000000000005,7972.43,1605916799999,34.15608226,230,2439.87,10.4300416,0
1605916800000,0.004183,0.004304,0.0041340000000000005,0.004254,4202.38,1605959999999,17.79501629,128,2402.99,10.22055629,0
1605960000000,0.004253,0.00436,0.004018,0.004098,7116.21,1606003199999,29.48819163,309,2437.84,10.16293947,0
1606003200000,0.004062,0.0041990000000000005,0.004007999999999999,0.004144,2440.94,1606046399999,9.93040704,142,1061.74,4.35312685,0
1606046400000,0.004171,0.004987,0.003792,0.004925,22024.25,1606089599999,94.97038901,995,10840.52,47.20138839,0
1606089600000,0.004963,0.00513,0.004334,0.005032,8156.88,1606132799999,38.81341286,487,5124.29,24.56635369,0
1606132800000,0.004956,0.005033,0.004001,0.004336,15522.35,1606175999999,67.78352656,793,8398.21,36.91346834,0
1606176000000,0.004285,0.0045780000000000005,0.004083,0.004253,6072.5,1606219199999,25.66213867,264,2752.43,11.67913464,0
1606219200000,0.004265,0.004618,0.004093,0.004236,8016.61,1606262399999,34.24573455,258,1959.02,8.42873745,0
1606262400000,0.004226,0.004249,0.003522,0.003839,9075.9,1606305599999,34.82757169,449,4894.11,18.78225125,0
1606305600000,0.003895000000000001,0.00445,0.003841,0.004382,7251.17,1606348799999,29.37957413,281,3058.41,12.48530631,0
1606348800000,0.004382,0.00499,0.0034170000000000003,0.003964,38742.2,1606391999999,152.37055755,1245,19916.58,79.74886012,0
1606392000000,0.003808,0.006101,0.003703,0.005335,128832.5,1606435199999,668.65893066,2490,96313.56,506.18704936,0
1606435200000,0.005165,0.00575,0.004953,0.005295,24773.95,1606478399999,132.45148049,1144,8957.29,48.12588503,0
1606478400000,0.005444,0.005519,0.00483,0.005255,16278.49,1606521599999,82.99161246,810,7202.29,36.75071201,0
1606521600000,0.005228,0.005228,0.004979,0.005107,6151.15,1606564799999,31.45598082,301,3677.86,18.89207478,0
1606564800000,0.005059,0.0054,0.004915999999999999,0.00504,15750.19,1606607999999,80.26372858,536,6694.81,34.49248445,0
1606608000000,0.005019,0.005191,0.0049380000000000005,0.0051530000000000005,2540.07,1606651199999,12.85887842,204,790.14,4.00388159,0
1606651200000,0.005154,0.0054,0.005082,0.005273,6613.06,1606694399999,34.58308548,369,3107.2,16.36277367,0
1606694400000,0.005334,0.005914,0.005229,0.005372,8935.82,1606737599999,49.01334553,651,4908.35,26.97469308,0
1606737600000,0.005391,0.005765999999999999,0.0051530000000000005,0.005444,13521.54,1606780799999,74.19936096,868,4985.8,27.37927741,0
1606780800000,0.005444,0.005444,0.004575,0.004725,19927.82,1606823999999,95.76342694,784,9788.1,46.95924362,0
