Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1595246400000,0.0202,0.023,0.01956,0.02104,11154802.2,1595289599999,236189.10920300003,1491,4944003.3,104640.419032,0
1595289600000,0.02103,0.02141,0.02037,0.02084,4986433.4,1595332799999,103810.065423,813,2078709.3,43352.973262,0
1595332800000,0.02079,0.023,0.02032,0.02066,6590186.6,1595375999999,137201.151156,1291,2388038.3,50143.41308,0
1595376000000,0.0207,0.0214,0.020630000000000003,0.02095,5047832.3,1595419199999,106109.539075,821,1651723.3,34747.63013,0
1595419200000,0.02089,0.02217,0.02077,0.02201,11518293.3,1595462399999,247783.672053,1734,4671104.1,100506.896868,0
1595462400000,0.02201,0.025,0.02201,0.02374,34937388.6,1595505599999,812389.789689,5346,13133484.6,305405.926817,0
1595505600000,0.02374,0.027000000000000003,0.023,0.02497,89340444.5,1595548799999,2259465.022941,12985,39184199.0,993965.754282,0
1595548800000,0.02497,0.026160000000000003,0.02384,0.02517,34420721.4,1595591999999,864075.655824,4565,14541930.9,367411.700779,0
1595592000000,0.02522,0.0265,0.0236,0.02422,29461542.9,1595635199999,739625.111589,4721,11761756.8,295786.290585,0
1595635200000,0.02431,0.02518,0.0236,0.02452,17829863.3,1595678399999,433234.888292,2239,5980684.6,145906.19862,0
1595678400000,0.02452,0.0258,0.0241,0.02545,26214183.8,1595721599999,652600.6592079999,3258,10187479.2,254783.599445,0
1595721600000,0.02537,0.02598,0.0231,0.024030000000000003,18123294.7,1595764799999,445142.913508,2668,8668608.8,212735.970956,0
1595764800000,0.024,0.02485,0.02377,0.02415,13423019.7,1595807999999,325397.764837,1815,5886057.6,143122.331854,0
1595808000000,0.02415,0.0272,0.023,0.02441,32904311.3,1595851199999,819620.0088899998,5698,13879719.1,348733.275821,0
1595851200000,0.02442,0.0246,0.02175,0.02343,31511857.6,1595894399999,724502.1158649998,5627,11527375.9,266477.486598,0
1595894400000,0.02343,0.024,0.02245,0.02293,10341112.9,1595937599999,240668.763458,1872,3654687.4,85438.513601,0
1595937600000,0.02291,0.02419,0.0225,0.02382,13167341.9,1595980799999,305797.11094,2190,6140656.1,143251.108304,0
1595980800000,0.02382,0.02497,0.02307,0.02357,12224485.5,1596023999999,293825.123182,2682,4831033.0,116318.729252,0
1596024000000,0.0236,0.02469,0.02312,0.02331,14787919.5,1596067199999,350903.608988,2185,7310490.8,172493.670379,0
1596067200000,0.0234,0.02469,0.0232,0.02384,10575315.6,1596110399999,251715.618423,2003,4677019.8,111654.74024,0
1596110400000,0.02384,0.02554,0.0234,0.0253,22358873.1,1596153599999,545290.400091,3624,9240263.8,227574.888184,0
1596153600000,0.02521,0.02599,0.0243,0.02447,9545289.7,1596196799999,237677.935627,1894,3802884.0,95631.023755,0
