Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1563753600000,0.612,0.667,0.3002,0.3215,7712391.29,1563796799999,2852568.739633,8112,3625556.99,1320789.770545,0
1563796800000,0.3234,0.3259,0.2668,0.2962,8018796.2,1563839999999,2417733.568321,8608,3947660.68,1198414.86672,0
1563840000000,0.2962,0.3047,0.2575,0.2588,2939533.93,1563883199999,817345.920716,3398,1208724.05,339348.778527,0
1563883200000,0.2595,0.2634,0.21,0.2114,4139560.14,1563926399999,972006.65017,4212,1628650.7,380592.598278,0
1563926400000,0.214,0.2234,0.1946,0.1983,2013194.08,1563969599999,412887.26584,2022,836811.77,171818.8834,0
1563969600000,0.1983,0.2129,0.1708,0.1723,3563223.93,1564012799999,685167.54982,3136,1353850.33,262101.56723,0
1564012800000,0.1711,0.1896,0.1702,0.1838,2240973.68,1564055999999,405193.708577,2157,938210.32,170236.376151,0
1564056000000,0.1838,0.2005,0.1765,0.193,2881213.86,1564099199999,540262.346793,2372,1201236.93,225485.462999,0
1564099200000,0.1929,0.212,0.1838,0.2059,3464419.12,1564142399999,682982.148259,2930,1500215.48,295216.352821,0
1564142400000,0.2059,0.2098,0.1831,0.1876,2738622.05,1564185599999,536914.654004,2794,1017459.38,198785.889741,0
1564185600000,0.1879,0.1926,0.1686,0.1717,2095066.74,1564228799999,381474.281458,1993,759254.24,139009.814035,0
1564228800000,0.1717,0.175,0.1588,0.1616,1581792.26,1564271999999,265663.252882,1496,574725.58,96451.576463,0
1564272000000,0.1616,0.1706,0.1597,0.1668,794062.82,1564315199999,130462.615607,875,405221.27,66747.772362,0
1564315200000,0.1667,0.1676,0.1515,0.1576,971334.63,1564358399999,154498.020588,1130,350491.9,55721.105373,0
1564358400000,0.1576,0.159,0.15,0.153,809606.7,1564401599999,125604.97232,802,268027.8,41544.981909,0
1564401600000,0.1532,0.154,0.1472,0.1499,737770.46,1564444799999,110945.993758,729,325187.04,49001.398948,0
1564444800000,0.1498,0.1538,0.142,0.1524,1319587.15,1564487999999,195306.149059,1154,609976.34,90398.178897,0
1564488000000,0.1523,0.1594,0.1449,0.1476,1418993.93,1564531199999,217599.377257,1283,571497.35,88012.933917,0
1564531200000,0.1476,0.1527,0.1451,0.1487,578535.21,1564574399999,85726.866788,535,264231.95,39150.168935,0
1564574400000,0.1487,0.1487,0.1355,0.1403,1395475.55,1564617599999,199226.915743,1216,430960.1,61519.83078300001,0
1564617600000,0.1403,0.1418,0.128,0.1299,1038375.39,1564660799999,138292.440026,1084,333376.92,44753.101627,0
1564660800000,0.1299,0.1319,0.1186,0.123,2317273.25,1564703999999,285488.066164,1738,954415.08,117856.523387,0
1564704000000,0.123,0.132,0.1206,0.1284,1659002.2,1564747199999,211101.415097,1154,679511.78,86703.80791599999,0
1564747200000,0.1284,0.14800000000000002,0.1268,0.1331,3728823.6,1564790399999,514121.85543,2617,1756874.55,242150.502426,0
1564790400000,0.133,0.1373,0.1225,0.1225,1773100.58,1564833599999,225422.35370700003,1242,525399.87,66760.23941699999,0
1564833600000,0.1225,0.1241,0.1163,0.118,1465681.86,1564876799999,176249.99846,1003,680320.91,81705.486779,0
1564876800000,0.118,0.1197,0.113,0.1133,1383994.62,1564919999999,160139.76337899998,769,497662.03,57611.715212,0
1564920000000,0.1135,0.1159,0.1105,0.1117,849797.76,1564963199999,95627.457956,843,302067.21,34093.693185000004,0
1564963200000,0.1116,0.1131,0.1022,0.1041,2154253.85,1565006399999,227961.1558,1513,768005.52,81451.67708200001,0
1565006400000,0.1044,0.1069,0.0984,0.1003,2483961.72,1565049599999,255529.360048,1686,1094804.07,113143.776032,0
1565049600000,0.1004,0.1118,0.1,0.1082,2001168.66,1565092799999,206752.080913,1263,805319.34,83600.297926,0
1565092800000,0.1082,0.1266,0.1016,0.1046,6747857.39,1565135999999,773948.218083,3863,3035068.44,351726.75190900004,0
1565136000000,0.1051,0.1065,0.099,0.1014,3269115.09,1565179199999,332790.169475,1703,1175797.96,120096.581354,0
1565179200000,0.1015,0.108,0.0971,0.1011,2861498.49,1565222399999,289477.484276,1386,1072451.73,108935.041453,0
1565222400000,0.1012,0.16399999999999998,0.1012,0.154,32696930.94,1565265599999,4598706.955182,18326,15539062.11,2177160.808625,0
1565265600000,0.154,0.17600000000000002,0.14400000000000002,0.1485,30244341.61,1565308799999,4872608.683007,23482,13092902.31,2112187.9282,0
1565308800000,0.1479,0.1479,0.117,0.117,12253460.17,1565351999999,1635763.891259,7781,5254805.73,708114.982034,0
1565352000000,0.117,0.1279,0.1071,0.1079,5612120.09,1565395199999,657623.438454,4074,2178625.29,257144.460093,0
1565395200000,0.1085,0.1116,0.1034,0.1082,2838739.63,1565438399999,304629.437346,2466,953830.67,102536.033659,0
1565438400000,0.1076,0.1207,0.1015,0.1158,5419329.57,1565481599999,611900.386468,3515,2248780.11,254792.173823,0
1565481600000,0.1158,0.1388,0.1149,0.1305,8639168.7,1565524799999,1112316.039501,5056,3633460.21,467369.991639,0
1565524800000,0.1302,0.1462,0.1162,0.1177,11170211.83,1565567999999,1474621.728843,7007,4727646.39,625742.148118,0
1565568000000,0.1178,0.1349,0.1178,0.1277,5683730.93,1565611199999,715448.0154970002,3177,2489522.35,314475.396543,0
1565611200000,0.1277,0.1665,0.1266,0.1654,16737846.51,1565654399999,2496917.151858,9760,8142574.33,1215453.7914,0
1565654400000,0.1647,0.166,0.14400000000000002,0.1511,8310631.31,1565697599999,1266607.416257,5529,3794305.89,576695.750538,0
1565697600000,0.1512,0.1769,0.15,0.1617,15201570.57,1565740799999,2487693.428695,9838,6599281.24,1080327.902688,0
1565740800000,0.1616,0.1844,0.149,0.1799,9288753.11,1565783999999,1558447.2347940004,6796,4335317.48,729294.67778,0
1565784000000,0.1793,0.2233,0.1701,0.1972,32881799.74,1565827199999,6596076.173,22372,14882489.68,2994580.374989,0
1565827200000,0.1986,0.2741,0.1958,0.2463,19476140.64,1565870399999,4690986.552745,13348,9135297.24,2198835.908125,0
1565870400000,0.2437,0.2647,0.2185,0.2335,33513015.66,1565913599999,8029543.464259,27197,15659615.31,3763448.831877,0
1565913600000,0.2345,0.245,0.202,0.2267,19887258.62,1565956799999,4429517.902635,14435,8274413.24,1848373.668332,0
1565956800000,0.227,0.2666,0.2171,0.2589,24815855.13,1565999999999,5912182.691686,30917,12286985.02,2933918.397077,0
1566000000000,0.258,0.2852,0.249,0.2562,18940358.16,1566043199999,5036625.913839,16169,8972631.85,2390617.209212,0
1566043200000,0.2569,0.2682,0.239,0.2482,15324267.8,1566086399999,3924888.493718,13387,6789281.05,1743797.32845,0
1566086400000,0.2495,0.256,0.2201,0.2265,11746198.46,1566129599999,2731645.8749470003,8562,4994355.22,1160795.661788,0
1566129600000,0.2265,0.2394,0.2124,0.217,13336210.08,1566172799999,3027199.980909,11562,5702974.64,1298387.854562,0
1566172800000,0.2171,0.2224,0.2015,0.2036,10853866.21,1566215999999,2296360.409458,7953,4356543.81,925809.421021,0
1566216000000,0.2036,0.21600000000000005,0.1934,0.1978,13686944.78,1566259199999,2766868.553744,9040,5515836.01,1118157.598833,0
1566259200000,0.1979,0.2188,0.1955,0.1984,11589495.73,1566302399999,2406285.183146,7559,5540071.97,1154883.3128139998,0
1566302400000,0.1984,0.2272,0.1957,0.2188,18484129.28,1566345599999,3944420.898328,11711,9659601.44,2061875.074427,0
