Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1546300800000,2.5336,2.5868,2.4921,2.5737,24290.82,1546343999999,61870.308435,291,6162.84,15775.328576,0
1546344000000,2.5668,2.6707,2.4973,2.6377,139718.23,1546387199999,363435.071707,840,69430.18,180242.478141,0
1546387200000,2.6286,2.72,2.603,2.6855,53053.62,1546430399999,140176.419524,267,13048.58,34941.146585,0
1546430400000,2.682,2.88,2.6777,2.8457,122260.51,1546473599999,343348.71031999995,650,68965.53,194072.445312,0
1546473600000,2.8405,2.8405,2.6939,2.7,71055.63,1546516799999,196717.602395,295,18514.27,50963.128619,0
1546516800000,2.7127,2.7338,2.5922,2.641,54809.64,1546559999999,145894.75986,313,22647.03,60271.642348,0
1546560000000,2.62,2.741,2.6118,2.6703,39530.31,1546603199999,105683.774913,175,23853.51,63583.959555,0
1546603200000,2.6336,2.7334,2.58,2.6883,11408.06,1546646399999,30083.815747000004,127,6622.4,17495.367374,0
1546646400000,2.7102,2.7862,2.6673,2.705,43450.1,1546689599999,119238.676338,239,11623.5,31756.149955,0
1546689600000,2.7075,2.7425,2.6522,2.678,16377.45,1546732799999,44091.867226,95,10631.06,28512.010473,0
1546732800000,2.673,2.72,2.6176,2.7082,11312.73,1546775999999,30019.627517,104,4902.72,13023.921331,0
1546776000000,2.69,2.8991,2.6875,2.8435,57606.4,1546819199999,164201.833749,340,38574.9,110244.973009,0
1546819200000,2.8525,2.8548,2.7179,2.7523,28716.53,1546862399999,80103.556435,182,18879.27,52571.445296,0
1546862400000,2.7644,2.8087,2.7047,2.7460000000000004,28361.83,1546905599999,78372.199525,181,13414.49,37200.177905,0
1546905600000,2.7633,2.7927,2.7084,2.7927,5802.7,1546948799999,15942.161997,45,2828.02,7787.574754,0
1546948800000,2.783,2.8560000000000003,2.7445,2.7775,30630.78,1546991999999,85970.371953,208,23043.12,64666.184829,0
1546992000000,2.7597,2.8264,2.748,2.8080000000000003,13902.46,1547035199999,38776.090102,111,4815.04,13425.821708,0
1547035200000,2.8145,2.9373,2.7509,2.8822,28840.53,1547078399999,82603.181675,175,11242.4,32358.997274,0
1547078400000,2.903,2.9587,2.5088,2.5644,80324.03,1547121599999,218716.252971,514,33980.94,93028.803155,0
1547121600000,2.5651,2.5682,2.2519,2.405,29833.69,1547164799999,71872.592733,326,10597.97,25507.839487,0
1547164800000,2.4032,2.4447,2.317,2.3766,24089.33,1547207999999,57573.743978,216,14792.35,35301.083065,0
1547208000000,2.3691,2.4153,2.34,2.3677,3885.09,1547251199999,9235.908039,62,1213.36,2894.811919,0
1547251200000,2.3777,2.5,2.3742,2.3887,12945.0,1547294399999,31053.556747,111,3819.7,9228.913449,0
1547294400000,2.3833,2.4298,2.3646,2.4073,12650.45,1547337599999,30340.602924000006,126,4742.35,11405.651577,0
1547337600000,2.3913,2.4073,2.3823,2.3926,992.23,1547380799999,2375.487984,17,305.42,731.9709799999998,0
1547380800000,2.3917,2.4013,2.195,2.2206,13152.46,1547423999999,29499.453415,180,5603.62,12568.914553,0
1547424000000,2.2459,2.2974,2.2459,2.2746,6336.32,1547467199999,14457.445113999998,61,4208.88,9627.738738,0
1547467200000,2.2662,2.51,2.265,2.46,66119.2,1547510399999,153541.4341,298,58665.17,135582.107987,0
1547510400000,2.4454,2.46,2.3826,2.4177,7054.68,1547553599999,17194.783604,75,2177.66,5313.991165,0
1547553600000,2.4158,2.4621,2.3187,2.3628,13094.61,1547596799999,31001.714854,224,5400.53,12770.170345,0
1547596800000,2.3612,2.412,2.3612,2.412,4873.09,1547639999999,11631.45245,53,2368.03,5661.381109,0
1547640000000,2.4355,2.4355,2.3891,2.41,12573.84,1547683199999,30318.281710000007,181,8030.56,19363.362241,0
1547683200000,2.4174,2.4332,2.3651,2.4146,9005.29,1547726399999,21636.558596000006,91,4683.46,11265.056589,0
1547726400000,2.4146,2.4909,2.3924,2.48,32337.22,1547769599999,79626.062439,183,22835.89,56216.824993,0
1547769600000,2.4884,2.4891,2.437,2.4499,21581.99,1547812799999,52868.034041000006,147,15623.82,38246.409813,0
1547812800000,2.425,2.4495,2.3999,2.4322,15835.24,1547855999999,38284.725103,134,8941.3,21572.651851,0
1547856000000,2.4467,2.509,2.4273,2.4901,9121.39,1547899199999,22433.730886,131,6476.63,15920.789214,0
1547899200000,2.5002,2.5002,2.4426,2.4574,3265.65,1547942399999,8070.013773999999,68,1101.32,2726.348334,0
1547942400000,2.4565,2.4592,2.24,2.3379,10165.8,1547985599999,24545.009507,108,3364.75,8037.5319180000015,0
1547985600000,2.3356,2.3356,2.2827,2.332,11322.36,1548028799999,26157.609981,160,6372.17,14713.347825,0
1548028800000,2.3374,2.3931,2.3023,2.3702,17909.81,1548071999999,41974.586262,173,5039.94,11793.058489,0
1548072000000,2.3681,2.3799,2.2811,2.3,14569.77,1548115199999,33832.391082,147,4632.03,10772.455729,0
1548115200000,2.3293,2.3494,2.2532,2.3435,13500.4,1548158399999,31050.327042,98,6241.64,14438.308516,0
1548158400000,2.3346,2.4893,2.3328,2.4334,19512.92,1548201599999,47189.889394,165,10242.68,24764.946137,0
1548201600000,2.4418,2.448,2.4065,2.448,7018.93,1548244799999,17061.189074,62,2428.63,5914.193521,0
1548244800000,2.4373,2.4567,2.37,2.4213,12013.24,1548287999999,28947.246549,100,8801.06,21225.129873,0
1548288000000,2.4213,2.4287,2.3,2.4287,13882.5,1548331199999,33328.384457,133,4997.84,12042.775106,0
1548331200000,2.4292,2.4472,2.3897,2.4375,6863.56,1548374399999,16616.627224,82,4075.92,9880.522556,0
1548374400000,2.4375,2.4547,2.3968,2.4168,7669.53,1548417599999,18604.843086,81,3845.82,9317.766951,0
1548417600000,2.4244,2.43,2.4029,2.4282,7806.31,1548460799999,18882.766730000007,56,2815.09,6813.571996,0
1548460800000,2.424,2.4543,2.4239,2.4311,18090.73,1548503999999,44055.941523,95,14933.85,36360.295243,0
1548504000000,2.4253,2.4357,2.3898,2.3946,6091.57,1548547199999,14688.612757,62,793.31,1911.743283,0
1548547200000,2.3918,2.4184,2.3402,2.3659,3379.05,1548590399999,8041.778270999999,67,1714.45,4094.822417,0
1548590400000,2.35,2.3702,2.3093,2.3503,12397.62,1548633599999,29320.206828,74,7028.85,16632.15614,0
1548633600000,2.3323,2.3469,2.2549,2.2549,10253.14,1548676799999,23414.18321,102,3347.99,7633.297476000002,0
1548676800000,2.2564,2.2564,2.1,2.1966,13435.96,1548719999999,29524.283364,165,8306.2,18177.403792,0
1548720000000,2.2394,2.2395,2.1746,2.2098,10704.36,1548763199999,23612.551713,70,6085.43,13414.85123,0
1548763200000,2.2098,2.28,2.2098,2.2384,8067.87,1548806399999,18221.363628,78,5514.37,12454.52559,0
1548806400000,2.2346,2.2706,2.21,2.2551,18753.06,1548849599999,42129.905591,82,6957.28,15621.080322,0
1548849600000,2.2595,2.3231,2.2595,2.3,7593.8,1548892799999,17495.205458,82,3778.79,8714.090418000002,0
1548892800000,2.3102,2.3402,2.2699,2.2761,21917.47,1548935999999,50384.172335,226,13915.71,32045.408465,0
1548936000000,2.2761,2.3055,2.2726,2.2863,6291.22,1548979199999,14439.443531,46,4016.45,9231.670466,0
1548979200000,2.2842,2.3058,2.2544,2.2958,1913.68,1549022399999,4365.269067,37,879.12,2009.821537,0
1549022400000,2.3104,2.3304,2.3062,2.3065,6147.08,1549065599999,14274.799444,44,5225.21,12138.460071,0
1549065600000,2.3099,2.3233,2.2942,2.3196,11893.41,1549108799999,27433.934589,106,7206.21,16633.151515999998,0
1549108800000,2.3155,2.4257,2.2986,2.4124,16277.2,1549151999999,38355.53333,194,8793.36,20817.764022,0
1549152000000,2.41,2.4149,2.349,2.3581,32777.39,1549195199999,78092.556798,184,4818.94,11482.83756,0
1549195200000,2.3666,2.3705,2.3134,2.3411,30816.23,1549238399999,72242.03084400001,161,15984.54,37527.811762,0
1549238400000,2.3393,2.3961,2.3374,2.3529,49125.6,1549281599999,116366.942171,250,28295.44,67161.26549199999,0
1549281600000,2.3581,2.3801,2.357,2.367,22233.16,1549324799999,52655.1871,102,7982.49,18931.172647,0
1549324800000,2.3584,2.3691,2.3481,2.3569,15903.61,1549367999999,37579.942462,125,8878.8,20991.879055,0
1549368000000,2.3553,2.3651,2.2901,2.3638,15004.29,1549411199999,35186.572222,208,12693.32,29766.694242,0
1549411200000,2.3658,2.3658,2.2117,2.2858,62741.54,1549454399999,144006.555992,621,41666.16,95501.848048,0
1549454400000,2.2826,2.3278,2.2735,2.3121,19920.19,1549497599999,45931.955187,210,13185.89,30405.034127,0
1549497600000,2.3205,2.3419,2.3182,2.3341,2938.77,1549540799999,6852.277261,40,1407.04,3282.646326,0
1549540800000,2.3315,2.3315,2.2954,2.3213,4552.18,1549583999999,10495.062562,59,1086.47,2514.984765,0
1549584000000,2.3197,2.3985,2.3074,2.3985,35353.16,1549627199999,83290.188551,281,22219.27,52224.305452,0
1549627200000,2.4093,2.767,2.3985,2.6876,216400.31,1549670399999,572567.652836,1689,112002.92,294107.486692,0
1549670400000,2.692,2.7949,2.6514,2.7649,24666.57,1549713599999,66003.62603500001,333,8362.05,22454.661898,0
1549713600000,2.7891,2.7891,2.6755,2.7452,14720.44,1549756799999,40143.407712,247,6482.25,17743.295890999998,0
1549756800000,2.74,2.7555,2.6289,2.6871,31206.26,1549799999999,83373.517853,325,13421.95,35718.572002,0
1549800000000,2.6602,2.83,2.6525,2.8055,26828.73,1549843199999,72995.965774,302,12556.22,34342.560725,0
1549843200000,2.8095,2.8095,2.6786,2.704,63889.78,1549886399999,173861.765105,441,30858.12,83833.420436,0
1549886400000,2.7272,2.7681,2.6962,2.7267,31403.31,1549929599999,85862.90085,388,20066.94,54869.001011,0
1549929600000,2.7156,2.7516,2.6762,2.7445,73602.54,1549972799999,200511.50958,572,46285.39,126089.137649,0
1549972800000,2.7449,2.9784,2.7424,2.9129,202643.6,1550015999999,584863.6046140001,1936,90458.48,260312.770592,0
1550016000000,2.9118,2.9568,2.81,2.8351,173771.48,1550059199999,503142.347724,1151,78703.17,229360.915739,0
1550059200000,2.8174,2.8474,2.7776,2.8329,100982.46,1550102399999,283477.331315,544,43062.69,120889.805055,0
1550102400000,2.8309,2.8560000000000003,2.6972,2.6975,220814.33,1550145599999,611203.915243,879,101153.11,281857.013574,0
1550145600000,2.6988,2.7469,2.6888,2.7203,136104.92,1550188799999,371002.143359,613,66279.23,180733.776445,0
1550188800000,2.7179,2.8054,2.7157,2.7599,123881.38,1550231999999,343571.997263,814,64582.89,178796.472646,0
1550232000000,2.7593,2.8277,2.7,2.7722,240757.05,1550275199999,663955.5594970001,1565,75206.97,207437.860593,0
