Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1571616000000,4.5,4.6827,4.4399,4.555,1756.07,1571659199999,8109.455779000001,48,1012.61,4690.3371590000015,0
1571659200000,4.555,4.6441,4.5024,4.6091,3659.97,1571702399999,16683.684482,119,2175.39,9913.710198,0
1571702400000,4.612,4.6432,4.5505,4.5781,1774.63,1571745599999,8165.795517,74,406.74,1881.260539,0
1571745600000,4.5835,4.5882,4.4297,4.4542,1641.56,1571788799999,7429.249505,91,945.24,4291.038015,0
1571788800000,4.4686,4.4829,4.302,4.373,5928.67,1571831999999,25975.517195,165,151.71,661.015832,0
1571832000000,4.3355,4.3384,4.0475,4.2326,6405.36,1571875199999,26767.602712,177,2466.67,10293.588779000003,0
1571875200000,4.2495,4.2654,4.0182,4.2189999999999985,6047.78,1571918399999,25578.266224000006,263,253.0,1069.32784,0
1571918400000,4.2225,4.3598,4.2188,4.2682,7721.24,1571961599999,33166.36897,302,38.81,167.54799599999996,0
1571961600000,4.2666,4.4058,4.2388,4.3838,4394.91,1572004799999,18874.842388,148,100.71,430.732361,0
1572004800000,4.4011,4.9856,4.3793,4.7558,7835.87,1572047999999,36517.166122,444,1107.29,5210.202757,0
1572048000000,4.7576,5.1029,4.4973,4.6122,11711.64,1572091199999,56393.551843,625,3075.66,14757.435963999998,0
1572091200000,4.6265,4.6833,4.4801,4.5816,2863.5,1572134399999,13075.62322,216,488.42,2234.845062000001,0
1572134400000,4.5896,4.7558,4.526,4.6122,7775.01,1572177599999,35607.797679,506,411.0,1905.678888,0
1572177600000,4.6231,4.9138,4.6122,4.7906,1160.89,1572220799999,5548.391425,195,537.21,2575.811133,0
1572220800000,4.7989,5.0098,4.7702,4.8421,1827.64,1572263999999,8955.178651999999,217,957.96,4694.071547,0
1572264000000,4.842,4.842,4.7356,4.7558,1928.44,1572307199999,9221.454436,125,993.87,4749.861261,0
1572307200000,4.7702,5.1508,4.7621,4.9569,16566.5,1572350399999,82786.95103,440,9081.43,45391.661781,0
1572350400000,4.9569,4.9769,4.8086,4.9305,8354.24,1572393599999,41018.538032,364,1091.2,5334.6698350000015,0
1572393600000,4.9329,4.9712,4.806,4.8276,4348.55,1572436799999,21458.008972,206,229.81,1128.968052,0
1572436800000,4.842,4.842,4.7271,4.7925,518.51,1572479999999,2470.142239,66,156.3,745.15769,0
1572480000000,4.8132,4.9593,4.684,4.7845,6452.56,1572523199999,31349.400196,304,3136.86,15237.787189,0
1572523200000,4.7989,4.8563,4.7702,4.8132,1066.73,1572566399999,5141.855238,55,447.03,2152.409875,0
1572566400000,4.799,4.9425,4.7989,4.8768,777.31,1572609599999,3787.10635,59,298.4,1443.638393,0
1572609600000,4.8739,4.9138,4.7989,4.8743,3228.35,1572652799999,15655.726511,121,1679.22,8135.284734999998,0
1572652800000,4.8851,4.8994,4.8386,4.8707,1036.1,1572695999999,5047.8596579999985,31,107.13,521.8249030000002,0
1572696000000,4.8851,5.0406,4.8403,4.9392,5746.61,1572739199999,28390.156019,152,753.3,3714.895671,0
1572739200000,4.9693,4.9979,4.862,4.9060000000000015,1510.28,1572782399999,7481.869084,33,1399.73,6932.628009,0
1572782400000,4.9067,4.9071,4.8397,4.8896,947.01,1572825599999,4612.446513,47,770.49,3752.333476,0
1572825600000,4.85,4.9547,4.85,4.9492,568.81,1572868799999,2790.820232,11,518.27,2542.743285,0
1572868800000,4.9675,5.0359,4.9371,4.9479,8074.35,1572911999999,40143.264066,324,239.19,1192.16279,0
1572912000000,4.9541,4.9942,4.8509,4.9539,3123.4,1572955199999,15426.403706,120,1206.28,5915.6101880000015,0
1572955200000,4.9574,5.0606,4.9444,5.0109,1174.59,1572998399999,5883.727207,52,737.92,3703.929019,0
1572998400000,5.0205,5.1913,5.0205,5.0665,3469.24,1573041599999,17797.431959999998,121,2097.64,10757.532029,0
1573041600000,5.0432,5.078,4.9992,5.0735,3384.18,1573084799999,16989.721486000002,119,2096.08,10532.201333,0
1573084800000,5.0871,5.1643,5.0394,5.0874,8516.37,1573127999999,43453.284873,277,6337.05,32370.026766000006,0
1573128000000,5.087,5.352,5.0857,5.2355,15821.86,1573171199999,82596.33525399999,493,7121.53,37043.562739,0
