Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1593475200000,3275041.0,3306315.0,3270145.0,3293936.0,9.62502,1593518399999,31599155.7,38,3.4275800000000003,11247413.17,0
1593518400000,3245270.0,3289459.0,3244378.0,3278589.0,26.00887,1593561599999,84948623.65,73,4.90589,15981625.74,0
1593561600000,3242348.0,3298800.0,3232127.0,3298800.0,28.9456,1593604799999,94324449.57,84,20.81624,67794339.27,0
1593604800000,3278429.0,3356784.0,3269396.0,3312329.0,32.22943,1593647999999,107159995.81,98,12.59226,41821136.92,0
1593648000000,3322377.0,3363376.0,3286998.0,3286998.0,31.303290000000004,1593691199999,104336194.07,82,9.09901,30301825.14,0
1593691200000,3325791.0,3325792.0,3262224.0,3284084.0,18.72729,1593734399999,61518698.24,122,10.27916,33711214.4,0
1593734400000,3272635.0,3321565.0,3269920.0,3301196.0,8.93954,1593777599999,29363313.89,44,6.92482,22726625.35,0
1593777600000,3301644.0,3310436.0,3285851.0,3285851.0,0.6622899999999999,1593820799999,2185316.02,8,0.61201,2019241.06,0
1593820800000,3289058.0,3309705.0,3271456.0,3300593.0,9.37768,1593863999999,30800629.89,20,1.53815,5080497.47,0
1593864000000,3300593.0,3300593.0,3300593.0,3300593.0,0.0,1593907199999,0.0,0,0.0,0.0,0
1593907200000,3313322.0,3313322.0,3290510.0,3290510.0,1.22092,1593950399999,4044276.5,6,1.16138,3848025.89,0
1593950400000,3296496.0,3328427.0,3254635.0,3328427.0,1.4294,1593993599999,4702763.65,74,1.0720299999999998,3526431.69,0
1593993600000,3325710.0,3396674.0,3316924.0,3395808.0,1.46856,1594036799999,4910162.98,8,1.06918,3579170.89,0
1594036800000,3429689.0,3490431.0,3411498.0,3484161.0,31.07441,1594079999999,107281301.68,111,19.08123,65650537.14,0
1594080000000,3472056.0,3525013.0,3403857.0,3410680.0,14.8194,1594123199999,51511851.86,51,3.11222,10789598.93,0
1594123200000,3427461.0,3451166.0,3420841.0,3439478.0,4.08784,1594166399999,14049652.12,53,1.86901,6425987.72,0
1594166400000,3448289.0,3464438.0,3415151.0,3443454.0,124.89525,1594209599999,430131989.37,88,8.181569999999999,28246511.84,0
1594209600000,3515004.0,3556837.0,3511107.0,3512417.0,16.9584,1594252799999,59784456.9,59,11.64519,41007960.66,0
1594252800000,3511107.0,3542608.0,3471488.0,3471488.0,16.3759,1594295999999,57284113.79,66,1.10596,3882555.26,0
1594296000000,3522463.0,3522463.0,3425099.0,3472501.0,15.6416,1594339199999,54328834.97,61,11.55596,40114176.91,0
1594339200000,3472808.0,3490167.0,3420458.0,3422044.0,12.86605,1594382399999,44415154.24,32,3.43746,11903454.01,0
