Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1602763200000,10.0,200.0,10.0,62.4658,24751.89,1602806399999,1650931.634149,5825,10502.94,702914.301988,0
1602806400000,62.707,76.0,51.0811,54.7237,15769.12,1602849599999,981699.626815,3522,4870.77,306926.879032,0
1602849600000,54.7237,56.9137,38.9589,44.508,17220.96,1602892799999,811425.535701,2768,6982.6,331905.671422,0
1602892800000,44.508,50.5881,42.3529,45.023,3859.69,1602935999999,176021.763637,845,1832.94,84089.621985,0
1602936000000,45.11,46.793,40.48,42.6855,3920.6,1602979199999,169761.171833,700,1617.32,70460.274542,0
1602979200000,41.8533,42.0536,35.1476,35.4023,2897.45,1603022399999,109637.48419,554,1141.69,43318.710956,0
1603022400000,35.3317,36.334,31.9111,32.8438,4112.45,1603065599999,143100.297158,703,1777.59,62382.308084,0
1603065600000,32.6111,34.118,29.951,31.7775,5053.75,1603108799999,157670.113132,805,2751.95,85848.44453200001,0
1603108800000,31.55,35.0,31.2623,33.8175,5728.68,1603151999999,184138.733104,631,3605.01,116457.665984,0
1603152000000,33.65,33.9992,31.252,31.5225,4843.66,1603195199999,156670.4738,449,3273.75,105702.769326,0
1603195200000,31.4579,32.6028,30.2989,31.1733,3368.35,1603238399999,105848.64186,311,2735.97,86079.54561,0
1603238400000,31.1733,31.7104,29.6971,30.3927,4265.85,1603281599999,130263.807957,300,3011.36,92028.507923,0
1603281600000,30.25,30.3578,26.6293,26.6396,5117.22,1603324799999,148652.486146,681,3170.14,92341.46523,0
1603324800000,26.501,26.8079,25.333,26.2,3667.55,1603367999999,95301.146378,601,711.71,18557.457192,0
1603368000000,26.237,26.2378,22.6707,23.8601,4192.33,1603411199999,102858.986945,560,1208.45,28894.925495,0
1603411200000,23.3264,24.5794,23.1331,23.2376,1363.15,1603454399999,32747.509986,181,712.52,17207.079584,0
1603454400000,23.492,25.7234,20.6234,23.9092,5902.74,1603497599999,134137.21624,719,3254.58,73667.70065,0
1603497600000,23.8523,24.4204,22.2602,23.0,2549.03,1603540799999,59917.53997000001,216,984.52,22981.25251,0
1603540800000,23.2995,26.76,23.1,25.8486,4491.18,1603583999999,113247.368794,511,2326.47,58685.838587,0
1603584000000,25.7359,37.9682,25.5,29.922,12219.74,1603627199999,388659.796539,1583,5690.34,178203.22898699995,0
1603627200000,30.14,39.8135,30.14,38.6766,5883.72,1603670399999,203318.720081,727,2982.9,101959.357306,0
1603670400000,38.6185,40.7678,37.4111,39.2,4088.77,1603713599999,159418.59551500002,608,1665.99,65339.074515,0
1603713600000,39.25,39.4974,32.0322,33.9799,4717.56,1603756799999,169715.514122,757,1700.96,61354.495441,0
1603756800000,33.0,37.6416,32.8664,34.1891,5339.01,1603799999999,185457.676092,614,2243.93,78314.485091,0
1603800000000,33.97,36.0247,33.815,35.3306,972.05,1603843199999,33906.400952,191,547.77,19114.63144,0
1603843200000,35.1494,36.1922,32.8353,33.1013,1175.33,1603886399999,40513.956615,236,404.03,13989.015575,0
1603886400000,33.0767,35.2078,32.9225,33.611999999999995,1131.74,1603929599999,38488.846274,292,489.18,16662.640817,0
1603929600000,33.5116,34.1999,31.8664,32.8,3423.15,1603972799999,113236.895972,374,681.45,22573.755391,0
1603972800000,32.7373,33.8105,31.7525,32.6161,2713.43,1604015999999,89036.03201,321,1274.56,41978.399029,0
