Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1603152000000,10.0,10.486,8.8,10.064,82252.14,1603195199999,803148.4704,671,50590.22,492811.80462,0
1603195200000,10.064,10.174,8.856,8.882,53214.96,1603238399999,504893.39599,2273,22946.97,217489.09564,0
1603238400000,8.985,9.296,7.876,8.683,54440.63,1603281599999,477840.13786,2194,26621.84,235217.8996,0
1603281600000,8.844,10.5,8.703,10.5,62170.0,1603324799999,583972.64487,1533,32757.15,310221.16038,0
1603324800000,10.648,11.87,9.71,10.504,59271.5,1603367999999,648136.79448,1109,20110.8,222157.49951,0
1603368000000,10.204,14.378,10.045,13.35,59092.38,1603411199999,742756.16463,2360,34129.15,435753.26726000005,0
1603411200000,13.399,13.85,12.1,13.348,36416.78,1603454399999,470170.22684,1602,19648.39,255090.42082,0
1603454400000,13.217,16.721,7.75,8.98,150469.62,1603497599999,1745457.4009999996,3174,78875.19,934199.35472,0
1603497600000,9.078,10.261,8.691,9.731,111408.15,1603540799999,1029395.18878,2831,67886.44,626926.1708,0
1603540800000,9.733,9.745,6.651,7.442,236769.82,1603583999999,1841689.21186,5722,127219.22,976175.55867,0
1603584000000,7.442,7.649,1.93,4.106,1378903.69,1603627199999,4821062.84696,7441,576908.12,1962057.95465,0
1603627200000,4.121,4.121,2.367,2.658,1380021.99,1603670399999,4450738.21724,9434,648434.77,2077246.34973,0
1603670400000,2.647,2.83,2.35,2.637,980697.85,1603713599999,2579947.65082,5275,471244.64,1244470.15408,0
1603713600000,2.633,3.54,2.613,3.1630000000000003,1513535.92,1603756799999,4650420.38927,8919,790829.87,2433184.057,0
1603756800000,3.181,3.318,1.39,2.105,4417578.75,1603799999999,9817644.99117,7525,1888345.39,4106460.91334,0
1603800000000,2.115,2.156,1.673,1.786,1134994.3,1603843199999,2154921.78916,5775,518835.79,989863.91495,0
1603843200000,1.789,2.019,1.658,2.007,943461.38,1603886399999,1753910.6194099996,4069,463770.62,862764.3715,0
1603886400000,2.02,2.025,1.681,1.842,693891.74,1603929599999,1271264.26145,3705,257766.48,472781.47626,0
1603929600000,1.842,2.02,1.776,1.923,460616.75,1603972799999,867778.03268,2159,245437.55,462467.52971,0
1603972800000,1.923,2.017,1.759,1.9,594253.35,1604015999999,1117716.4648,2686,295366.58,558861.89263,0
1604016000000,1.927,2.305,1.924,2.18,777698.81,1604059199999,1676519.67974,4754,401173.87,864696.75198,0
1604059200000,2.18,2.3480000000000003,2.12,2.269,349191.98,1604102399999,780614.06187,2555,161632.11,361742.61488,0
1604102400000,2.269,2.388,2.079,2.112,318078.72,1604145599999,716848.66621,2718,163897.88,371399.26662,0
1604145600000,2.105,2.106,1.7819999999999998,1.959,550875.84,1604188799999,1071834.55819,2776,223629.93,434255.7069,0
1604188800000,1.954,2.032,1.871,1.985,437715.92,1604231999999,857504.97033,2035,245156.71,479297.36003,0
1604232000000,1.979,2.008,1.85,1.875,254764.82,1604275199999,494183.36758,1840,114737.29,222232.26047,0
1604275200000,1.876,2.166,1.818,2.136,513149.37,1604318399999,1033583.78097,2860,270826.66,543528.68513,0
1604318400000,2.147,2.1630000000000003,2.063,2.13,316585.18,1604361599999,668164.7149,1937,141310.28,298520.57338,0
1604361600000,2.13,2.335,2.1,2.213,624895.65,1604404799999,1402176.78004,3999,315351.18,706376.34933,0
1604404800000,2.205,2.3,2.177,2.181,246211.85,1604447999999,549068.79415,1477,107244.19,240087.00118,0
1604448000000,2.181,2.279,2.077,2.205,350452.1,1604491199999,771392.7601,1623,169250.58,372749.36496,0
1604491200000,2.215,2.3,2.122,2.167,548145.13,1604534399999,1215476.98971,1813,241152.82,534270.05481,0
1604534400000,2.167,2.247,2.064,2.204,281763.57,1604577599999,608930.16872,1339,152115.59,327950.15409,0
1604577600000,2.207,2.238,1.915,2.062,405806.99,1604620799999,842872.16142,2143,256945.08,535517.7122399999,0
1604620800000,2.081,2.093,1.632,1.702,453200.9,1604663999999,858345.61769,2917,191264.3,363289.61165,0
1604664000000,1.702,1.778,1.47,1.6569999999999998,265957.19,1604707199999,432985.85437,2085,135498.19,221407.98838,0
1604707200000,1.653,1.653,1.46,1.634,207573.35,1604750399999,324767.96367,1021,144569.92,226668.60461,0
1604750400000,1.634,1.95,1.624,1.868,673498.63,1604793599999,1233134.63732,2261,361649.59,664926.03683,0
1604793600000,1.865,1.909,1.734,1.7819999999999998,81660.59,1604836799999,147647.20291,576,38624.82,69861.40323,0
1604836800000,1.77,1.822,1.6869999999999998,1.7480000000000002,596240.62,1604879999999,1037892.44928,1768,245079.92,427678.8641,0
1604880000000,1.754,1.798,1.6230000000000002,1.625,170725.02,1604923199999,298625.26616,607,120063.45,211117.92808,0
1604923200000,1.643,1.7519999999999998,1.551,1.6740000000000002,236325.84,1604966399999,390646.31551,1141,109511.72,179808.53237,0
1604966400000,1.68,1.767,1.632,1.71,189337.17,1605009599999,317487.48281,1037,130214.07,218403.58488,0
1605009600000,1.71,1.763,1.6740000000000002,1.746,116051.43,1605052799999,201235.51819,328,15663.41,27135.11508,0
1605052800000,1.707,1.745,1.666,1.7180000000000002,218386.43,1605095999999,370896.43649,1308,165065.26,279863.17849,0
1605096000000,1.715,1.826,1.715,1.797,52267.6,1605139199999,93006.22849,548,24862.53,44552.65406,0
1605139200000,1.813,1.857,1.774,1.801,18757.93,1605182399999,33960.38511,312,11646.66,21070.65552,0
1605182400000,1.801,1.989,1.778,1.851,60817.3,1605225599999,115153.45052,1315,37776.18,71776.94886,0
1605225600000,1.866,1.903,1.774,1.854,74981.88,1605268799999,138020.63968,458,40457.87,74772.53316,0
1605268800000,1.855,1.897,1.775,1.895,25055.9,1605311999999,46306.43469,265,16829.15,31157.66747,0
1605312000000,1.891,1.99,1.854,1.942,103589.33,1605355199999,199827.07242,1079,83099.3,160107.19840999998,0
1605355200000,1.96,1.972,1.834,1.84,34918.74,1605398399999,66620.9461,393,26058.52,49706.62995,0
1605398400000,1.874,2.026,1.854,1.97,49848.23,1605441599999,97518.23113,879,27345.48,53521.93108,0
1605441600000,1.987,2.16,1.924,2.108,81474.56,1605484799999,168124.42518,1459,46380.18,95343.66441,0
1605484800000,2.108,2.209,2.039,2.14,39788.66,1605527999999,84692.42898,990,20785.4,44291.54886,0
1605528000000,2.137,2.188,2.061,2.141,132468.0,1605571199999,286216.12585,437,51935.35,111517.783,0
1605571200000,2.136,2.152,1.824,1.909,173514.84,1605614399999,337149.13689,1951,126819.72,246999.85981,0
1605614400000,1.923,1.924,1.712,1.837,65703.02,1605657599999,119519.34835,1124,44577.72,81095.40634,0
1605657600000,1.8,2.1,1.729,1.898,72451.93,1605700799999,133798.59151,1085,48553.16,89408.88148,0
1605700800000,1.904,1.983,1.756,1.874,39145.6,1605743999999,74407.12926,701,15299.93,29299.54921,0
1605744000000,1.879,1.99,1.832,1.832,15841.12,1605787199999,30289.80671,280,8586.96,16480.322669999998,0
1605787200000,1.86,1.924,1.805,1.913,66049.3,1605830399999,123180.11527,561,39840.12,74264.80581,0
1605830400000,1.894,1.898,1.653,1.699,193241.2,1605873599999,342555.72821,1213,85757.43,151513.83130999998,0
1605873600000,1.711,1.834,1.69,1.7919999999999998,41515.52,1605916799999,73916.6614,376,28231.97,50473.33472,0
1605916800000,1.79,1.816,1.737,1.781,26900.42,1605959999999,47493.18199,196,14346.14,25322.91794,0
1605960000000,1.794,1.802,1.527,1.685,151073.5,1606003199999,246720.579,1653,69410.06,113526.25249,0
1606003200000,1.6769999999999998,1.856,1.65,1.84,92671.17,1606046399999,163295.23322,783,36678.24,64819.26527999999,0
1606046400000,1.848,1.849,1.746,1.803,80073.53,1606089599999,143400.04212,569,47797.14,85529.00637999999,0
1606089600000,1.805,1.834,1.747,1.767,35586.13,1606132799999,63903.94361,442,15613.83,28143.24999,0
1606132800000,1.774,1.807,1.736,1.776,23992.43,1606175999999,42796.44395,216,12387.77,22137.82606,0
1606176000000,1.784,1.82,1.579,1.729,160861.53,1606219199999,279009.3488,1132,87434.27,151589.15716,0
1606219200000,1.7480000000000002,1.776,1.651,1.7180000000000002,32287.06,1606262399999,55436.79119,308,15353.34,26324.14714,0
1606262400000,1.715,1.725,1.32,1.344,84325.69,1606305599999,125607.9692,751,44235.92,65651.78113999999,0
1606305600000,1.334,1.481,1.094,1.395,1043481.39,1606348799999,1259928.48022,4222,616998.11,748880.67692,0
1606348800000,1.406,1.5719999999999998,1.3119999999999998,1.477,589275.85,1606391999999,852802.42833,2429,332263.79,482785.86288,0
1606392000000,1.469,1.56,1.4380000000000002,1.501,74255.76,1606435199999,111656.45092,626,35008.78,52647.60928,0
1606435200000,1.485,1.5219999999999998,1.44,1.504,92639.29,1606478399999,135547.5486,916,45505.39,66813.09181,0
1606478400000,1.5019999999999998,1.514,1.45,1.491,105887.47,1606521599999,157358.88749000002,263,55983.29,83664.93643,0
1606521600000,1.475,1.499,1.461,1.487,9719.93,1606564799999,14413.34236,105,4472.39,6664.67378,0
1606564800000,1.485,1.4880000000000002,1.4409999999999998,1.474,89199.67,1606607999999,130711.80065,909,72740.31,106592.9798,0
1606608000000,1.473,1.49,1.453,1.465,22861.7,1606651199999,33696.31857,375,16470.85,24270.99556,0
1606651200000,1.472,1.495,1.456,1.479,4872.91,1606694399999,7199.2857,73,3221.55,4772.65673,0
1606694400000,1.464,1.476,1.401,1.426,7681.61,1606737599999,11130.33163,88,5979.38,8684.95274,0
1606737600000,1.4340000000000002,1.467,1.408,1.449,85381.77,1606780799999,122776.74668,229,40631.02,58524.64219,0
1606780800000,1.4369999999999998,1.476,1.325,1.442,8581.25,1606823999999,12087.89608,221,4508.48,6379.65272,0
