Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1569715200000,0.03103,0.044,0.03103,0.03468,15602613.8,1569758399999,594915.347942,2656,6098652.9,233408.478986,0
1569758400000,0.03484,0.037000000000000005,0.03135,0.03556,10297261.7,1569801599999,348928.099346,2167,4876952.1,164715.004796,0
1569801600000,0.03555,0.04745,0.03481,0.0385,33753556.6,1569844799999,1365053.031794,6581,11863183.0,475935.970532,0
1569844800000,0.0385,0.0409,0.03731,0.0378,7184139.1,1569887999999,277693.554634,1982,3575004.5,138721.58543900002,0
1569888000000,0.03799,0.0398,0.03692,0.03814,8329969.6,1569931199999,318340.137753,1559,3570104.9,138125.171829,0
1569931200000,0.03793,0.04,0.03725,0.03876,8652451.7,1569974399999,333544.999471,2806,4378986.3,169053.137041,0
1569974400000,0.0389,0.03967,0.03553,0.037000000000000005,6597884.3,1570017599999,244942.955759,1796,2381450.8,88794.646878,0
1570017600000,0.037000000000000005,0.03798,0.0364,0.0375,2260140.0,1570060799999,83633.894999,742,1184500.1,43810.352257,0
1570060800000,0.0375,0.04025,0.03684,0.03692,5412551.6,1570103999999,207879.980922,1900,2674343.3,103529.475597,0
1570104000000,0.03713,0.03772,0.03557,0.0375,2982471.1,1570147199999,109143.993324,1006,708401.6,26112.630732,0
1570147200000,0.03744,0.039,0.03622,0.03713,2953733.0,1570190399999,110678.966757,1467,1338762.4,50350.510607,0
1570190400000,0.03712,0.03868,0.0368,0.0386,2598691.0,1570233599999,98212.645524,917,1347746.0,51026.369709,0
1570233600000,0.0386,0.04236,0.03829,0.04049,8425978.4,1570276799999,341653.091877,3477,4480887.9,181467.919029,0
1570276800000,0.0404,0.04204,0.03921,0.04193,4790854.0,1570319999999,195549.914706,2348,1992454.2,81633.189611,0
1570320000000,0.04177,0.0426,0.03917,0.03959,3557895.6,1570363199999,143693.15700799998,1289,1310213.1,53032.558139,0
1570363200000,0.03965,0.04,0.03736,0.03804,3103350.7,1570406399999,118995.653196,1398,1098094.8,42210.339162,0
1570406400000,0.03804,0.03804,0.03604,0.03738,4511401.2,1570449599999,166857.27784,1215,1540433.7,56928.286903,0
1570449600000,0.0376,0.03934,0.03705,0.03813,5464106.7,1570492799999,207894.376848,1235,2559453.6,97494.541191,0
1570492800000,0.03823,0.03897,0.03712,0.03842,3010854.9,1570535999999,114123.361411,750,1441035.8,54827.706736,0
1570536000000,0.03843,0.0393,0.038,0.03888,2071803.1,1570579199999,80132.96356,597,1028257.3,39846.26149,0
1570579200000,0.03888,0.04001,0.03843,0.0388,2504886.5,1570622399999,98262.557607,717,1272950.7,50034.370079,0
1570622400000,0.03881,0.0395,0.03839,0.03891,2864698.4,1570665599999,111544.265314,1078,1412954.5,55098.29728200001,0
1570665600000,0.03909,0.03909,0.03697,0.03727,3591725.4,1570708799999,135415.597385,1005,1209976.1,45577.829281,0
1570708800000,0.03727,0.0391,0.03698,0.03835,1961814.2,1570751999999,74350.981002,642,753596.1,28626.451653,0
1570752000000,0.03815,0.03815,0.035230000000000004,0.0366,4458582.9,1570795199999,162645.755341,979,1869981.6,68187.087649,0
1570795200000,0.0366,0.0368,0.03553,0.03595,2738465.9,1570838399999,98401.111427,694,1392240.2,50053.590644,0
1570838400000,0.03597,0.0361,0.035039999999999995,0.0353,1437806.9,1570881599999,51221.253653,415,461349.1,16480.405893,0
1570881600000,0.03561,0.03625,0.03449,0.0351,3243605.8,1570924799999,114376.211065,673,1751950.5,62025.372433,0
1570924800000,0.03513,0.035480000000000005,0.034,0.0346,1045101.9,1570967999999,36278.94430500001,314,321253.7,11201.955205,0
1570968000000,0.0347,0.03494,0.03299,0.03306,1784622.1,1571011199999,60650.262872,551,806339.0,27453.905808,0
1571011200000,0.03307,0.03599,0.03236,0.03486,6956597.2,1571054399999,238872.242724,1633,3503099.2,119835.334928,0
1571054400000,0.03488,0.03827,0.0339,0.03698,3974453.5,1571097599999,141350.039114,1420,2195861.1,78000.098141,0
1571097600000,0.036910000000000005,0.03801,0.03568,0.03609,3341567.6,1571140799999,123171.07365,1291,1235088.3,45775.167245,0
