Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1546300800000,1.2e-07,1.3e-07,1.1e-07,1.1e-07,353384396.0,1546343999999,42.27518063,714,98048805.0,11.77953729,0
1546344000000,1.1e-07,1.2e-07,1.1e-07,1.2e-07,134953934.0,1546387199999,15.7219425,467,87700976.0,10.52411712,0
1546387200000,1.2e-07,1.2e-07,1.1e-07,1.2e-07,156092672.0,1546430399999,18.35906509,404,118887117.0,14.26645404,0
1546430400000,1.2e-07,1.2e-07,1.1e-07,1.2e-07,110780456.0,1546473599999,12.72919129,360,54334113.0,6.52009356,0
1546473600000,1.1e-07,1.2e-07,1.1e-07,1.2e-07,90417527.0,1546516799999,10.52909393,272,58316596.0,6.99799152,0
1546516800000,1.2e-07,1.2e-07,1.1e-07,1.2e-07,157072593.0,1546559999999,18.30642659,290,102844136.0,12.34129632,0
1546560000000,1.2e-07,1.2e-07,1.1e-07,1.2e-07,174755671.0,1546603199999,20.56535641,532,134223260.0,16.1067912,0
1546603200000,1.2e-07,1.2e-07,1.1e-07,1.2e-07,777127332.0,1546646399999,87.99769974,1341,251369322.0,30.16431864,0
1546646400000,1.1e-07,1.2e-07,1.1e-07,1.2e-07,232978644.0,1546689599999,27.38272212,709,175507128.0,21.06085536,0
1546689600000,1.2e-07,1.2e-07,1.1e-07,1.2e-07,293787991.0,1546732799999,34.68773727,662,237105826.0,28.45269912,0
1546732800000,1.2e-07,1.2e-07,1.1e-07,1.2e-07,310793139.0,1546775999999,37.04203898,483,285479369.0,34.25752428,0
1546776000000,1.1e-07,1.4e-07,1.1e-07,1.4e-07,5357798684.0,1546819199999,696.40373415,6948,3571526784.0,464.35640699,0
1546819200000,1.4e-07,1.4e-07,1.3e-07,1.4e-07,463423142.0,1546862399999,62.70046231,1661,245545385.0,34.3763539,0
1546862400000,1.4e-07,1.5e-07,1.3e-07,1.5e-07,4017819905.0,1546905599999,565.73077611,4739,2382483414.0,337.22195479,0
1546905600000,1.5e-07,1.6e-07,1.3e-07,1.6e-07,3235790149.0,1546948799999,477.09871027,4330,1735193850.0,258.49153019,0
1546948800000,1.6e-07,1.8e-07,1.5e-07,1.7e-07,8947455450.0,1546991999999,1525.20441864,13030,6912565421.0,1181.91544529,0
1546992000000,1.7e-07,2e-07,1.7e-07,1.8e-07,6819652546.0,1547035199999,1253.42551776,9462,3741877625.0,693.73361845,0
1547035200000,1.8e-07,1.8e-07,1.5e-07,1.6e-07,3515019660.0,1547078399999,582.9421613,5116,1331563139.0,224.54243417,0
1547078400000,1.6e-07,1.7e-07,1.4e-07,1.4e-07,2750217074.0,1547121599999,421.97847158,4007,464449328.0,73.47199908,0
1547121600000,1.5e-07,1.7e-07,1.4e-07,1.5e-07,2924896679.0,1547164799999,456.77053116,2590,1500629135.0,234.60280605,0
1547164800000,1.6e-07,1.7e-07,1.5e-07,1.7e-07,2433418320.0,1547207999999,397.92716202,2409,2247643045.0,369.09782565,0
1547208000000,1.6e-07,1.7e-07,1.6e-07,1.7e-07,536047396.0,1547251199999,88.34462278,1534,257703942.0,43.80967014,0
1547251200000,1.7e-07,1.7e-07,1.5e-07,1.6e-07,1161900802.0,1547294399999,186.18972433,1991,244272708.0,39.50643494,0
1547294400000,1.6e-07,1.7e-07,1.5e-07,1.7e-07,628561025.0,1547337599999,104.6632382,1285,454859052.0,77.10670562,0
1547337600000,1.7e-07,1.7e-07,1.5e-07,1.6e-07,1450351487.0,1547380799999,232.98453491,1481,591758031.0,95.68538174,0
1547380800000,1.6e-07,1.7e-07,1.5e-07,1.6e-07,1023094967.0,1547423999999,162.25342444,1637,421042428.0,67.46659096,0
1547424000000,1.6e-07,1.7e-07,1.5e-07,1.7e-07,1266049422.0,1547467199999,204.53595045,1253,899545995.0,146.17405733,0
1547467200000,1.7e-07,1.8e-07,1.6e-07,1.8e-07,1396732070.0,1547510399999,234.07935568,2001,959250209.0,163.29554009,0
1547510400000,1.8e-07,1.8e-07,1.7e-07,1.7e-07,390119157.0,1547553599999,68.56096165,1362,224070496.0,40.33268928,0
1547553600000,1.7e-07,1.8e-07,1.6e-07,1.7e-07,1659880818.0,1547596799999,275.71797719,2440,209410867.0,36.65953687,0
1547596800000,1.7e-07,1.7e-07,1.6e-07,1.7e-07,282837115.0,1547639999999,46.92474235,951,167080395.0,28.40366715,0
1547640000000,1.7e-07,1.7e-07,1.6e-07,1.7e-07,821872519.0,1547683199999,137.61070349,1144,611110045.0,103.88870765,0
1547683200000,1.7e-07,1.7e-07,1.6e-07,1.7e-07,836518399.0,1547726399999,134.99757608,1039,115463224.0,19.62874808,0
1547726400000,1.7e-07,1.7e-07,1.5e-07,1.7e-07,972834318.0,1547769599999,156.27052063,1451,95549295.0,16.02806609,0
1547769600000,1.6e-07,1.7e-07,1.5e-07,1.6e-07,383560686.0,1547812799999,61.47477861,1103,85250654.0,13.901025099999998,0
1547812800000,1.6e-07,1.7e-07,1.5e-07,1.7e-07,936951903.0,1547855999999,150.36783902,1479,531993825.0,85.90551537,0
1547856000000,1.7e-07,1.7e-07,1.6e-07,1.6e-07,172570835.0,1547899199999,28.09604374,407,48471014.0,8.24007238,0
1547899200000,1.7e-07,2.2e-07,1.6e-07,2e-07,10227939927.0,1547942399999,1972.06116493,13571,6794483076.0,1299.24136775,0
1547942400000,2e-07,2.5e-07,2e-07,2.2e-07,12056453720.0,1547985599999,2713.41754888,13733,6839258450.0,1547.0873385,0
1547985600000,2.2e-07,2.3e-07,1.9e-07,2e-07,5749834526.0,1548028799999,1188.08484721,6933,3026466156.0,630.41516991,0
1548028800000,2.1e-07,2.1e-07,2e-07,2.1e-07,796412584.0,1548071999999,163.37579669,1324,409327989.0,85.95887769,0
1548072000000,2e-07,2.1e-07,1.9e-07,2e-07,1507830639.0,1548115199999,301.37997939,2356,775560549.0,155.90006676,0
1548115200000,1.9e-07,2.1e-07,1.9e-07,2e-07,1205484046.0,1548158399999,240.50799091,1381,669134374.0,134.4570477,0
1548158400000,2.1e-07,2.1e-07,1.9e-07,2e-07,1087407108.0,1548201599999,215.18082944,2128,354610563.0,71.83712044,0
1548201600000,2e-07,2e-07,1.9e-07,1.9e-07,562978933.0,1548244799999,108.3193309,940,135333363.0,27.066672600000004,0
1548244800000,1.9e-07,2.3e-07,1.9e-07,2.3e-07,4124555625.0,1548287999999,886.75992586,5070,3243817408.0,698.22878721,0
1548288000000,2.2e-07,3.1e-07,2.2e-07,2.8e-07,13663108231.0,1548331199999,3719.04483361,20441,8168791389.0,2223.50288178,0
