Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1546300800000,3.37e-06,3.4e-06,3.21e-06,3.25e-06,251128976.0,1546343999999,835.99112321,684,126249646.0,422.91347493,0
1546344000000,3.26e-06,3.3e-06,3.19e-06,3.27e-06,203254810.0,1546387199999,661.51734341,645,88933425.0,289.98841175,0
1546387200000,3.27e-06,3.27e-06,3.02e-06,3.04e-06,276168697.0,1546430399999,868.88594002,808,61638276.0,194.05486475,0
1546430400000,3.03e-06,3.09e-06,2.89e-06,2.98e-06,357875207.0,1546473599999,1075.54890414,1372,157098478.0,473.2549438,0
1546473600000,2.97e-06,3.1e-06,2.9e-06,3.03e-06,282226605.0,1546516799999,845.51574716,988,148980301.0,448.29515341,0
1546516800000,3.02e-06,3.06e-06,2.94e-06,3e-06,239946956.0,1546559999999,721.65257102,752,109470931.0,330.75312354,0
1546560000000,3e-06,3.06e-06,2.9e-06,2.97e-06,270266659.0,1546603199999,799.59333918,1011,134985094.0,401.0254284,0
1546603200000,2.97e-06,3.02e-06,2.88e-06,2.97e-06,648791166.0,1546646399999,1904.62113161,1780,252004819.0,743.38200811,0
1546646400000,2.96e-06,2.97e-06,2.78e-06,2.89e-06,304380962.0,1546689599999,870.46929523,1299,180053020.0,515.78955458,0
1546689600000,2.9e-06,2.97e-06,2.82e-06,2.96e-06,374551776.0,1546732799999,1079.5231133,1198,217994199.0,629.13238199,0
1546732800000,2.95e-06,3.03e-06,2.91e-06,2.98e-06,280303447.0,1546775999999,836.26258011,1082,176610179.0,528.01148536,0
1546776000000,2.98e-06,3.55e-06,2.98e-06,3.44e-06,3180450002.0,1546819199999,10710.54958265,6887,1473131771.0,4949.97437267,0
1546819200000,3.44e-06,3.63e-06,3.3e-06,3.6000000000000007e-06,1039376716.0,1546862399999,3600.80501862,2672,542743906.0,1889.78475721,0
1546862400000,3.6000000000000007e-06,3.88e-06,3.55e-06,3.78e-06,2030573255.0,1546905599999,7572.2494106,4866,966471222.0,3607.3450545,0
1546905600000,3.77e-06,4.14e-06,3.69e-06,4.06e-06,1431093204.0,1546948799999,5666.86405869,4094,744384326.0,2944.50983247,0
1546948800000,4.07e-06,4.88e-06,4e-06,4.68e-06,3880419876.0,1546991999999,17579.79763033,12151,1830697787.0,8289.13658455,0
1546992000000,4.68e-06,5.15e-06,4.53e-06,4.78e-06,2628433187.0,1547035199999,12689.5249122,9774,1377076521.0,6664.92896623,0
1547035200000,4.78e-06,4.82e-06,4.23e-06,4.35e-06,2572019972.0,1547078399999,11539.4704706,7364,1066533898.0,4776.72123486,0
1547078400000,4.35e-06,4.46e-06,4.17e-06,4.24e-06,1434561547.0,1547121599999,6165.19454945,4264,724779112.0,3120.13579159,0
1547121600000,4.25e-06,4.77e-06,4.24e-06,4.37e-06,2398915703.0,1547164799999,10769.56241925,6347,1079252587.0,4848.81885791,0
1547164800000,4.37e-06,4.84e-06,4.34e-06,4.73e-06,1300889623.0,1547207999999,6036.51082404,4087,767795037.0,3567.27061241,0
1547208000000,4.73e-06,4.88e-06,4.59e-06,4.7e-06,1137021701.0,1547251199999,5393.42634715,3979,579854083.0,2760.08653168,0
1547251200000,4.7e-06,4.72e-06,4.54e-06,4.6e-06,526950333.0,1547294399999,2433.5523780000008,1832,192705189.0,890.84554674,0
1547294400000,4.6e-06,4.82e-06,4.56e-06,4.74e-06,523042331.0,1547337599999,2454.79302265,1936,296937981.0,1397.68755081,0
1547337600000,4.74e-06,4.79e-06,4.59e-06,4.64e-06,620162319.0,1547380799999,2889.97415426,1750,247464703.0,1157.35701169,0
1547380800000,4.64e-06,4.81e-06,4.61e-06,4.7e-06,780778660.0,1547423999999,3679.16534096,2589,507636194.0,2395.23628507,0
1547424000000,4.71e-06,5e-06,4.68e-06,4.92e-06,646259022.0,1547467199999,3157.96386944,2649,352457080.0,1721.91444291,0
1547467200000,4.92e-06,5.05e-06,4.59e-06,5.03e-06,1124994935.0,1547510399999,5410.03725316,3864,570494067.0,2759.00085435,0
1547510400000,5.03e-06,5.05e-06,4.89e-06,5.03e-06,495214305.0,1547553599999,2454.84836656,1843,254896634.0,1266.17201197,0
1547553600000,5.02e-06,5.05e-06,4.74e-06,4.85e-06,1228125793.0,1547596799999,6044.66562545,4250,458925849.0,2269.01217929,0
1547596800000,4.86e-06,4.94e-06,4.75e-06,4.8e-06,527047098.0,1547639999999,2546.22188766,1520,209186077.0,1013.63191509,0
1547640000000,4.79e-06,5.07e-06,4.7e-06,5e-06,1088841633.0,1547683199999,5380.44608324,2889,646590415.0,3210.80889681,0
1547683200000,5e-06,5.03e-06,4.83e-06,4.86e-06,386000616.0,1547726399999,1894.29015801,1491,141194648.0,695.44734161,0
1547726400000,4.86e-06,4.91e-06,4.75e-06,4.77e-06,515223333.0,1547769599999,2479.51107576,1450,179177792.0,863.63165703,0
1547769600000,4.78e-06,4.82e-06,4.72e-06,4.81e-06,206832639.0,1547812799999,986.66890079,799,125115768.0,597.6800087,0
1547812800000,4.81e-06,5.05e-06,4.76e-06,4.9000000000000005e-06,831141274.0,1547855999999,4066.02016888,2586,624082252.0,3061.90427754,0
1547856000000,4.9000000000000005e-06,4.94e-06,4.86e-06,4.88e-06,175164895.0,1547899199999,858.28190456,604,58156740.0,285.55428527,0
1547899200000,4.87e-06,6.44e-06,4.84e-06,6.16e-06,2812903813.0,1547942399999,15946.05958857,12605,1557780944.0,8845.01605854,0
1547942400000,6.15e-06,7.34e-06,6.02e-06,6.46e-06,3384162333.0,1547985599999,22904.62357451,14683,1615920992.0,10960.24125031,0
1547985600000,6.48e-06,6.71e-06,5.9e-06,6.12e-06,1724476378.0,1548028799999,10660.83046792,7327,700544990.0,4329.06229803,0
1548028800000,6.12e-06,6.38e-06,6.06e-06,6.2e-06,628817574.0,1548071999999,3914.9558257,2644,291467433.0,1807.66649183,0
1548072000000,6.2e-06,6.28e-06,5.93e-06,6.06e-06,592051768.0,1548115199999,3595.35311858,3453,214194985.0,1302.38794642,0
1548115200000,6.06e-06,6.23e-06,5.97e-06,6.21e-06,383197317.0,1548158399999,2335.71865496,1838,204771444.0,1252.58902985,0
1548158400000,6.21e-06,6.21e-06,5.86e-06,5.86e-06,423874553.0,1548201599999,2561.8784906,2680,105587205.0,640.07924661,0
1548201600000,5.87e-06,5.91e-06,5.76e-06,5.82e-06,409463644.0,1548244799999,2384.28985683,1841,172618200.0,1005.65699736,0
1548244800000,5.82e-06,6.97e-06,5.77e-06,6.900000000000002e-06,2134181772.0,1548287999999,13774.63251336,7699,927794815.0,6018.50945018,0
1548288000000,6.89e-06,9.38e-06,6.7e-06,8.7e-06,3337803003.0,1548331199999,27579.61566846,17253,1961665461.0,16172.82871705,0
1548331200000,8.7e-06,9.63e-06,7.64e-06,9.27e-06,2265178570.0,1548374399999,19329.95275294,13367,1123513843.0,9706.28987795,0
1548374400000,9.26e-06,9.41e-06,8.59e-06,8.8e-06,1395405307.0,1548417599999,12478.34895177,7023,663710068.0,5929.03919793,0
1548417600000,8.8e-06,9.43e-06,8.599999999999999e-06,8.86e-06,1390500576.0,1548460799999,12455.67631898,8737,670425837.0,6032.20710178,0
1548460800000,8.85e-06,1.085e-05,8.24e-06,1.041e-05,2582096579.0,1548503999999,25226.51609834,16813,1388261065.0,13591.71301721,0
1548504000000,1.041e-05,1.167e-05,1.01e-05,1.088e-05,2380461446.0,1548547199999,26183.1580039,16978,1153315019.0,12701.37665302,0
1548547200000,1.088e-05,1.096e-05,1.005e-05,1.052e-05,1135332838.0,1548590399999,11931.1404845,8108,549589316.0,5794.70914162,0
1548590400000,1.052e-05,1.384e-05,1.045e-05,1.356e-05,3329059021.0,1548633599999,41891.20637334,27671,1931449129.0,24198.33078438,0
1548633600000,1.36e-05,1.488e-05,1.179e-05,1.307e-05,2666428722.0,1548676799999,35336.05230894,18260,1288656147.0,17103.08786354,0
1548676800000,1.307e-05,1.432e-05,1.185e-05,1.267e-05,2307511675.0,1548719999999,30010.07040927,18437,1098103596.0,14327.92001246,0
1548720000000,1.278e-05,1.332e-05,1.238e-05,1.256e-05,655281399.0,1548763199999,8402.48302233,5434,271939707.0,3494.32153469,0
1548763200000,1.259e-05,1.27e-05,1.075e-05,1.122e-05,1710200538.0,1548806399999,20111.21144411,12233,737582190.0,8659.47951843,0
1548806400000,1.122e-05,1.216e-05,1.105e-05,1.181e-05,831684049.0,1548849599999,9636.95015046,6470,358371537.0,4164.83206996,0
1548849600000,1.18e-05,1.189e-05,1.007e-05,1.046e-05,1789350127.0,1548892799999,19160.27712455,9779,825738933.0,8814.72265531,0
1548892800000,1.047e-05,1.048e-05,9.23e-06,9.47e-06,1060714166.0,1548935999999,10556.90462613,5917,480652742.0,4791.77069065,0
1548936000000,9.48e-06,1.1e-05,9.37e-06,1.096e-05,1238972833.0,1548979199999,12320.86712852,7680,621429449.0,6209.08154276,0
1548979200000,1.099e-05,1.245e-05,1.041e-05,1.175e-05,1580602224.0,1549022399999,18056.12476495,13406,763999740.0,8783.51304371,0
