Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1594857600000,10.0,11.28,10.0,10.75,19603.05,1594900799999,210599.5573,276,10352.78,111317.9908,0
1594900800000,10.8,11.35,8.8,10.14,59774.1,1594943999999,589542.0856,1338,26213.32,260704.9962,0
1594944000000,10.03,10.55,9.42,9.72,42977.66,1594987199999,427506.1792,882,19340.78,192717.7451,0
1594987200000,9.69,10.28,9.26,10.12,43482.41,1595030399999,428224.9806,721,22244.52,218930.1453,0
1595030400000,10.22,12.25,10.19,11.3,61535.08,1595073599999,691947.5445,773,34423.58,388619.4926,0
1595073600000,11.3,11.48,10.07,10.86,41762.73,1595116799999,448870.5684,572,15184.07,162356.5952,0
1595116800000,11.0,11.46,10.62,11.37,36560.33,1595159999999,404667.6546,471,20050.93,222580.6809,0
1595160000000,11.4,11.54,10.25,10.6,40579.22,1595203199999,445550.7881,608,17448.94,192046.0779,0
1595203200000,10.63,11.33,10.43,11.27,15726.19,1595246399999,170390.9004,352,7866.37,85501.3531,0
1595246400000,11.29,14.0,11.08,13.54,55602.42,1595289599999,693393.1175,1097,28124.28,347552.5715,0
1595289600000,13.84,13.84,11.75,12.12,43247.74,1595332799999,557383.6817,420,22530.47,293063.9744,0
1595332800000,12.18,14.83,12.05,13.12,47448.06,1595375999999,640954.0669,545,25374.38,342021.2966,0
1595376000000,13.09,13.94,12.66,12.89,30382.92,1595419199999,403330.12,336,12505.99,167200.0075,0
1595419200000,12.75,12.96,11.7,12.21,46425.26,1595462399999,574604.3934,1046,25826.23,320655.0381,0
1595462400000,12.24,12.43,10.18,10.4,69787.8,1595505599999,771694.9332,1092,36193.66,401093.5324,0
1595505600000,10.46,11.18,10.04,10.5,99500.82,1595548799999,1053212.8399,1248,40379.93,426376.8279,0
1595548800000,10.5,11.64,10.5,11.08,38713.43,1595591999999,429890.0046,523,16397.44,181702.907,0
1595592000000,11.09,12.71,11.0,12.51,63576.05,1595635199999,761586.9642,854,31959.04,382539.3836,0
1595635200000,12.56,12.76,11.0,11.6,25777.86,1595678399999,302177.7992,413,10956.77,127462.1474,0
1595678400000,11.64,11.96,10.66,11.03,35889.89,1595721599999,403174.8174,495,15792.21,176815.8782,0
1595721600000,11.14,13.51,10.05,12.1,95616.64,1595764799999,1116538.4036,1319,57775.18,669493.1432,0
1595764800000,12.12,12.51,11.36,11.72,43087.07,1595807999999,515259.3928,746,23493.91,281223.8701,0
1595808000000,11.85,13.56,11.85,13.06,66704.39,1595851199999,850564.3723,1772,29956.72,384678.1276,0
1595851200000,13.01,16.88,11.83,12.38,256564.24,1595894399999,3567229.925,3142,130708.62,1820659.6638,0
1595894400000,13.0,13.32,11.08,12.62,86162.94,1595937599999,1069043.4359,1330,45038.87,560476.2948,0
1595937600000,12.57,12.72,11.57,11.93,45888.43,1595980799999,556490.2548,700,27097.79,328276.3573,0
1595980800000,11.92,11.92,10.91,11.42,64932.82,1596023999999,741517.0165,750,34247.94,390117.8002,0
1596024000000,11.49,12.17,11.49,11.76,12255.07,1596067199999,144599.9212,300,7142.73,84430.5967,0
1596067200000,11.84,12.09,10.95,11.21,12665.84,1596110399999,145137.8431,304,5570.83,63851.4179,0
1596110400000,11.24,11.45,10.31,10.59,60219.06,1596153599999,650140.8517,764,30746.98,332077.4575,0
1596153600000,10.56,10.58,9.4,9.92,95784.01,1596196799999,944437.5695,1028,48814.71,483724.9242,0
1596196800000,9.97,10.5,9.54,9.54,38291.1,1596239999999,381674.4931,707,18518.23,185058.0464,0
1596240000000,9.54,9.86,9.25,9.64,34334.33,1596283199999,328134.8599,1174,18181.23,174609.1273,0
1596283200000,9.65,10.04,7.76,7.95,76464.36,1596326399999,669960.8918,923,37480.3,327528.1012,0
1596326400000,8.06,15.97,6.51,7.3,571812.36,1596369599999,4408647.2335,6157,288641.25,2220298.3746,0
1596369600000,7.31,7.71,6.47,6.99,485471.6,1596412799999,3401079.0962,5287,239852.89,1688403.9197,0
1596412800000,6.96,7.24,6.36,6.41,201494.94,1596455999999,1358645.4662,2413,85587.34,582021.9179,0
1596456000000,6.43,6.63,5.45,5.48,244552.93,1596499199999,1492336.3396,2578,100796.9,615202.5874,0
1596499200000,5.49,5.66,4.86,5.21,532524.11,1596542399999,2782083.8974,5004,233717.51,1228969.3318,0
1596542400000,5.18,5.34,4.64,4.69,469125.76,1596585599999,2344546.9896,4210,192338.49,963910.4856,0
1596585600000,4.68,5.21,4.68,4.92,297438.58,1596628799999,1460972.892,4194,154737.38,764829.97,0
1596628800000,4.94,5.23,4.85,4.96,252694.19,1596671999999,1278539.4854,2726,113358.08,572207.4019,0
1596672000000,5.0,5.05,4.59,4.76,226591.8,1596715199999,1079745.2751,1686,124734.61,594176.6151,0
1596715200000,4.76,5.08,4.13,4.19,244740.94,1596758399999,1146644.1663,2681,105533.61,496947.7241,0
1596758400000,4.18,4.48,4.17,4.37,199804.6,1596801599999,868323.1302,1809,102855.75,448542.8054,0
1596801600000,4.37,5.24,4.15,4.16,530769.13,1596844799999,2404778.6781,5748,253463.95,1162049.753,0
1596844800000,4.18,4.3,3.47,3.51,513022.03,1596887999999,1918840.8227,4198,210174.21,781510.4171,0
1596888000000,3.51,3.55,1.7,2.16,5375676.91,1596931199999,12058599.4578,16914,2647259.84,5876233.6686,0
1596931200000,2.17,2.49,1.7,1.77,3874410.47,1596974399999,8015799.1833,12155,1756618.93,3669095.0018,0
1596974400000,1.78,2.27,1.37,1.54,7953158.09,1597017599999,13050030.032,22358,4022952.22,6669469.9699,0
1597017600000,1.54,1.92,1.21,1.3,7090244.86,1597060799999,10670961.9937,18147,3450913.97,5255859.3843,0
1597060800000,1.3,1.57,1.28,1.36,5052219.75,1597103999999,7027012.7402,12744,2483839.9,3466992.5857,0
1597104000000,1.36,1.63,1.33,1.54,4039984.53,1597147199999,5977547.35,10299,2077793.56,3086795.6791,0
1597147200000,1.55,1.78,1.35,1.46,7555635.3,1597190399999,11785894.8357,21012,3622603.93,5703696.6497,0
