Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1548288000000,40.0,40.0,30.29,30.29,1.2189299999999998,1548331199999,40.3778749,3,0.62916,22.513741600000003,0
1548331200000,31.8,32.88,31.8,32.59,226.31267000000003,1548374399999,7355.2561856,41,164.48243,5348.7814254,0
1548374400000,32.94,32.94,32.0,32.08,548.43697,1548417599999,17824.4636684,66,211.53575,6912.1298035,0
1548417600000,32.11,32.68,31.96,32.62,174.21148,1548460799999,5617.965893899999,41,80.53479,2598.0023656,0
1548460800000,32.88,33.89,32.55,33.33,831.1580700000002,1548503999999,27710.1133526,98,197.99142,6580.6705436,0
1548504000000,33.33,33.52,32.64,32.64,434.08688,1548547199999,14308.3384179,44,219.81204,7233.988020999999,0
1548547200000,32.52,32.97,32.01,32.2,308.47738,1548590399999,10039.1853834,66,100.35604,3296.7562934,0
1548590400000,32.15,32.59,31.06,32.46,298.05728,1548633599999,9554.320947700002,62,201.37235,6479.9339672,0
1548633600000,31.81,31.81,30.3,30.3,530.28628,1548676799999,16387.2242324,73,153.74453,4757.2247174,0
1548676800000,30.55,31.06,29.75,30.95,580.7666,1548719999999,17641.0440224,101,295.77789,8987.4663829,0
1548720000000,30.75,30.75,29.77,30.42,188.20928,1548763199999,5712.1752608000015,32,56.55434,1728.367679,0
1548763200000,30.49,31.14,30.49,30.62,309.98037,1548806399999,9568.2963228,72,25.61646,792.4959129,0
1548806400000,30.62,31.0,30.37,30.8,177.02583,1548849599999,5455.7848161,49,94.78199,2929.2517019,0
1548849600000,31.0,31.71,31.0,31.34,316.05046,1548892799999,9940.9659741,52,12.66851,400.9331646,0
1548892800000,31.58,31.94,30.79,31.2,374.65213,1548935999999,11788.6828967,76,8.31659,260.5850519,0
1548936000000,31.13,31.35,30.92,31.16,121.17603,1548979199999,3764.2258641,69,19.20682,599.4027241,0
1548979200000,31.27,32.13,30.56,31.81,1202.40895,1549022399999,38059.68306690001,166,766.67755,24447.5675168,0
1549022400000,31.96,33.28,31.96,32.34,1364.32745,1549065599999,44553.6846581,181,814.56894,26722.5144817,0
1549065600000,32.52,33.13,32.18,33.13,431.13196,1549108799999,14095.0447946,73,326.47285,10694.044917799998,0
1549108800000,32.78,34.77,32.53,34.23,937.49655,1549151999999,30948.071816900007,124,587.94191,19425.0339017,0
1549152000000,34.55,34.55,32.96,33.45,617.32848,1549195199999,20996.291864500006,101,203.78422,6964.8826279,0
1549195200000,33.4,33.73,32.53,33.14,688.89214,1549238399999,22839.2474947,89,315.79864,10499.5167281,0
1549238400000,33.17,33.84,33.12,33.48,444.62255,1549281599999,14814.6757112,46,177.24109,5903.2719127,0
1549281600000,33.55,34.09,33.32,33.66,884.89358,1549324799999,29908.6715527,99,100.64653,3412.3060586999995,0
1549324800000,33.66,34.11,33.2,33.82,335.9052700000001,1549367999999,11268.9066925,47,75.68915,2568.0507831,0
1549368000000,33.61,34.06,33.46,33.96,398.31276,1549411199999,13406.1573317,46,187.34588,6332.2461592,0
1549411200000,33.75,33.77,32.12,32.12,1211.04225,1549454399999,39474.6067995,129,901.91728,29386.4372737,0
1549454400000,32.35,32.67,31.85,32.43,436.02299000000005,1549497599999,14133.4907042,43,126.56796,4127.941267,0
1549497600000,32.43,33.18,32.43,33.08,295.85941,1549540799999,9706.6782718,26,189.23692,6225.0357805,0
1549540800000,32.91,33.1,32.61,32.82,151.69333,1549583999999,4979.8464127,25,89.37931999999998,2933.653086,0
1549584000000,32.52,39.98,32.52,37.33,1696.8518399999996,1549627199999,61094.69961410001,292,1002.59747,35849.6175682,0
1549627200000,37.13,44.67,37.01,42.65,3473.17858,1549670399999,141824.22252739998,533,2018.10126,81099.4987482,0
1549670400000,42.5,45.82,41.91,44.04,2399.5268100000008,1549713599999,105868.2022377,350,1470.11913,64579.5658831,0
1549713600000,44.35,45.16,42.27,44.42,890.54365,1549756799999,38769.2359824,200,475.56224,20762.249652,0
1549756800000,44.0,44.0,41.93,43.34,504.44363,1549799999999,21542.3964223,101,267.96681,11417.5881563,0
1549800000000,43.68,47.18,37.0,46.37,2851.86947,1549843199999,128593.6757214,376,1836.4636,83158.7249048,0
1549843200000,46.21,46.21,43.07,43.69,357.20602,1549886399999,15877.6727879,104,134.31045,5925.3748458,0
1549886400000,43.64,44.07,41.2,42.21,850.35336,1549929599999,35695.6310354,113,233.32146,9832.4515157,0
