Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1595505600000,509.5,845.0,509.5,529.32,9085.38992,1595548799999,5442247.2019899,17957,4692.42969,2833003.7861712,0
1595548800000,530.15,553.0,503.11,509.35,1728.56352,1595591999999,905848.992838,2564,612.05763,323329.0483028,0
1595592000000,508.49,521.83,508.49,514.0,664.79855,1595635199999,341994.7358,1121,296.59416,152866.74137220002,0
1595635200000,514.0,514.09,500.35,508.01,927.68022,1595678399999,470720.359188,1084,435.02952,221047.2623274,0
1595678400000,507.58,536.86,498.53,525.43,776.84796,1595721599999,396531.4398238,1387,489.13982,249773.4248208,0
1595721600000,525.25,552.57,521.09,528.13,1347.57118,1595764799999,725404.2494236,2220,660.32915,355453.5819831,0
1595764800000,527.75,529.0,511.7,521.46,438.33117,1595807999999,228137.9975725,708,189.5409,98578.2229964,0
1595808000000,520.59,527.31,510.44,516.97,696.17002,1595851199999,361003.8466363,744,297.74433,154625.3907825,0
1595851200000,515.9,530.86,501.69,509.07,931.59827,1595894399999,478376.1133439,1178,336.30944,172810.2519374,0
1595894400000,510.76,515.24,498.0,505.33,412.17496,1595937599999,208975.1904497,575,169.30938999999995,86111.9336955,0
1595937600000,506.13,519.58,501.08,516.68,493.27503,1595980799999,250505.797335,541,263.42606,133786.3287938,0
1595980800000,517.58,536.2,512.0,529.15,734.69379,1596023999999,385341.6683392,914,416.64204,218030.7696029,0
1596024000000,529.58,549.0,527.0,544.84,782.44925,1596067199999,421504.622365,1086,465.24467,250866.9071873,0
1596067200000,544.93,553.0,534.62,551.17,836.7846,1596110399999,455331.4705579,1027,390.00762,212268.1485083,0
1596110400000,551.17,578.34,542.96,572.22,1620.78543,1596153599999,909678.2417287,2495,744.45075,418314.5096555,0
1596153600000,572.39,574.76,552.69,569.19,663.6210000000002,1596196799999,374498.9688753,1020,270.55239,152849.03428979998,0
1596196800000,568.48,569.31,554.72,555.17,508.98662,1596239999999,285428.77045759995,739,154.20341000000005,86633.6046839,0
1596240000000,555.29,574.53,551.74,574.53,952.18067,1596283199999,537723.2011776,1497,564.57889,319244.75183240004,0
1596283200000,574.02,598.77,567.93,594.69,992.49131,1596326399999,577465.1402358001,1714,489.85775,285706.4072319,0
1596326400000,594.69,631.34,529.0,561.75,2413.94047,1596369599999,1431817.5377474,3466,1217.61747,723350.9515223,0
1596369600000,562.12,579.12,553.92,567.72,535.69444,1596412799999,304311.48659890005,755,283.61605,161341.6340235,0
1596412800000,566.96,581.64,566.71,581.06,397.98992,1596455999999,229711.571673,499,139.17494,80129.2692748,0
