Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1602633600000,1.3,3.2,1.0101,1.1075,864623.45,1602676799999,1036603.470506,3661,286776.57,344784.598994,0
1602676800000,1.1097,1.2755,1.0701,1.1706,486843.21,1602719999999,571681.442272,2299,179301.68,208673.927278,0
1602720000000,1.1657,1.2539,1.0845,1.1257,264859.7,1602763199999,307129.007285,1464,97877.13,113708.3992,0
1602763200000,1.1229,1.2179,1.1056,1.1205,141567.99,1602806399999,164213.432825,759,78511.58,91348.00826,0
1602806400000,1.1163,1.1505,0.8612,0.9224,788774.45,1602849599999,763629.842444,2159,317387.07,307805.518071,0
1602849600000,0.9196,0.9458,0.813,0.8187,297478.46,1602892799999,263099.402576,864,121282.66,107661.242857,0
1602892800000,0.8181,0.8645,0.7225,0.7966,578265.59,1602935999999,460688.766908,1583,278627.86,220752.145228,0
1602936000000,0.7989,0.8102,0.7529,0.8077,156838.53,1602979199999,122671.321099,560,63630.42,49762.695977,0
1602979200000,0.8047,0.8491,0.804,0.8257,305792.39,1603022399999,253827.062774,471,112052.53,92663.252664,0
1603022400000,0.8249,0.8752,0.8014,0.8695,262101.51,1603065599999,217399.763141,587,169003.39,139101.11023800002,0
1603065600000,0.8691,0.8691,0.8106,0.8288,95600.08,1603108799999,79515.761259,326,53525.57,44604.46814,0
1603108800000,0.8256,0.851,0.76,0.8007,117155.44,1603151999999,94534.54928,347,36952.09,29957.281941,0
1603152000000,0.7998,0.81,0.7311,0.7372,182009.74,1603195199999,139526.70508699998,426,67420.87,51341.361289,0
1603195200000,0.733,0.7464,0.65,0.6756,296605.95,1603238399999,205509.826606,498,59823.65,41991.087249,0
1603238400000,0.6783,0.7471,0.6783,0.7058,164574.31,1603281599999,117558.274653,566,91765.93,65298.345817,0
1603281600000,0.7038,0.7424,0.6797,0.7041,102497.16,1603324799999,73376.30055700001,286,59022.29,42138.94296,0
1603324800000,0.7119,0.7779,0.7119,0.7495,155066.55,1603367999999,116038.080129,381,84828.44,63225.738018,0
1603368000000,0.7464,0.787,0.7319,0.7493,70724.19,1603411199999,53565.575089,192,17932.65,13712.841414,0
