Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1546300800000,2.285e-05,2.32e-05,2.273e-05,2.316e-05,94578.0,1546343999999,2.17706461,179,65671.0,1.51280195,0
1546344000000,2.312e-05,2.408e-05,2.281e-05,2.312e-05,589297.0,1546387199999,13.75419994,919,267199.0,6.26057235,0
1546387200000,2.324e-05,2.444e-05,2.317e-05,2.399e-05,489858.0,1546430399999,11.67463981,744,190494.0,4.54635869,0
1546430400000,2.389e-05,2.459e-05,2.367e-05,2.454e-05,548137.0,1546473599999,13.28122825,888,244331.0,5.92527101,0
1546473600000,2.448e-05,2.448e-05,2.396e-05,2.418e-05,296918.0,1546516799999,7.18249607,317,113332.0,2.7407334,0
1546516800000,2.432e-05,2.52e-05,2.399e-05,2.427e-05,1184125.0,1546559999999,29.17340064,1755,575168.0,14.23174655,0
1546560000000,2.427e-05,2.49e-05,2.405e-05,2.424e-05,596726.0,1546603199999,14.6008593,777,259301.0,6.35342097,0
1546603200000,2.423e-05,2.497e-05,2.418e-05,2.461e-05,560294.0,1546646399999,13.81881887,866,273428.0,6.74397247,0
1546646400000,2.46e-05,2.5e-05,2.455e-05,2.477e-05,308074.0,1546689599999,7.6445634999999985,353,195841.0,4.86837065,0
1546689600000,2.477e-05,2.565e-05,2.455e-05,2.492e-05,511067.0,1546732799999,12.81166467,857,288176.0,7.23509893,0
1546732800000,2.509e-05,2.528e-05,2.481e-05,2.507e-05,206204.0,1546775999999,5.16635489,308,74054.0,1.86002695,0
1546776000000,2.512e-05,2.58e-05,2.484e-05,2.514e-05,842023.0,1546819199999,21.24601504,1190,335910.0,8.50615783,0
1546819200000,2.507e-05,2.533e-05,2.401e-05,2.419e-05,413681.0,1546862399999,10.16744231,693,153959.0,3.79833389,0
1546862400000,2.432e-05,2.447e-05,2.403e-05,2.425e-05,167784.0,1546905599999,4.07156918,294,66855.0,1.62753122,0
1546905600000,2.419e-05,2.425e-05,2.333e-05,2.393e-05,450856.0,1546948799999,10.71593929,777,169142.0,4.02121596,0
1546948800000,2.394e-05,2.468e-05,2.372e-05,2.385e-05,374270.0,1546991999999,9.03542924,751,155729.0,3.76971083,0
1546992000000,2.383e-05,2.434e-05,2.373e-05,2.409e-05,288863.0,1547035199999,6.93804449,387,145204.0,3.48704344,0
1547035200000,2.408e-05,2.56e-05,2.363e-05,2.408e-05,1134514.0,1547078399999,27.69613479,1957,532139.0,13.00415637,0
1547078400000,2.409e-05,2.432e-05,2.253e-05,2.276e-05,388264.0,1547121599999,9.05494436,780,135685.0,3.16777881,0
1547121600000,2.28e-05,2.285e-05,2.222e-05,2.261e-05,204723.0,1547164799999,4.61805852,366,94996.0,2.14617708,0
1547164800000,2.261e-05,2.325e-05,2.251e-05,2.256e-05,215545.0,1547207999999,4.90726569,417,98903.0,2.26390418,0
1547208000000,2.256e-05,2.374e-05,2.247e-05,2.289e-05,389074.0,1547251199999,8.9658614,852,191209.0,4.41230819,0
1547251200000,2.289e-05,2.302e-05,2.259e-05,2.266e-05,168223.0,1547294399999,3.8204294,266,89382.0,2.02951166,0
1547294400000,2.267e-05,2.343e-05,2.267e-05,2.308e-05,392117.0,1547337599999,9.04253719,780,161766.0,3.73112621,0
1547337600000,2.308e-05,2.329e-05,2.293e-05,2.322e-05,171572.0,1547380799999,3.96038622,257,82384.0,1.90322045,0
1547380800000,2.329e-05,2.43e-05,2.203e-05,2.255e-05,1360436.0,1547423999999,31.59468451,2133,567689.0,13.17306309,0
1547424000000,2.247e-05,2.44e-05,2.245e-05,2.291e-05,950964.0,1547467199999,22.28082223,1594,450411.0,10.5722479,0
1547467200000,2.299e-05,2.461e-05,2.287e-05,2.399e-05,1130726.0,1547510399999,26.86928494,2089,552990.0,13.17260329,0
1547510400000,2.412e-05,2.5e-05,2.383e-05,2.4100000000000006e-05,813603.0,1547553599999,19.80724711,971,344999.0,8.43104656,0
1547553600000,2.413e-05,2.721e-05,2.4100000000000006e-05,2.523e-05,4041567.0,1547596799999,103.77970338,4653,1951023.0,50.31518167,0
1547596800000,2.518e-05,2.614e-05,2.51e-05,2.566e-05,882992.0,1547639999999,22.67243913,1570,361912.0,9.3055455,0
1547640000000,2.552e-05,3.219e-05,2.499e-05,2.776e-05,13948984.0,1547683199999,415.45869008,16412,6903526.0,205.46658464,0
