Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1550275200000,1.2,4.0,0.95,1.0139,5724104.45,1550318399999,7703051.433328999,18603,2806078.38,3819683.259281,0
1550318400000,1.0139,1.106,0.861,0.8691,5959793.81,1550361599999,5895274.430156,18559,2332511.39,2316162.020104,0
1550361600000,0.8647,0.92,0.753,0.8288,7667201.18,1550404799999,6406239.545894002,19262,3199666.66,2694805.451454,0
1550404800000,0.8287,0.8499,0.7612,0.7766,3126897.87,1550447999999,2480908.183124,9227,1308180.37,1040190.031177,0
1550448000000,0.7766,0.7766,0.679,0.6999,3750906.1,1550491199999,2701888.153488,8857,1502149.21,1078410.407573,0
1550491200000,0.6998,0.728,0.6598,0.71,3405248.28,1550534399999,2364178.947498,9689,1489099.56,1034665.845469,0
1550534400000,0.7098,0.8889,0.67,0.8156,9395244.74,1550577599999,7436141.034256,23414,4214728.79,3345976.543902,0
1550577600000,0.8157,0.845,0.7677,0.7759,4585600.4,1550620799999,3688419.117732,15415,2052408.38,1653613.828895,0
1550620800000,0.7786,0.8084,0.7382,0.76,3031626.34,1550663999999,2330635.091743,9372,1482371.34,1141936.869894,0
1550664000000,0.76,0.81,0.7568,0.7826,1969271.25,1550707199999,1540892.958968,6765,907720.56,712071.689017,0
1550707200000,0.7826,0.7826,0.7073,0.7277,2142108.73,1550750399999,1604076.012412,7094,745198.41,556432.8534,0
1550750400000,0.7277,0.738,0.7151,0.7278,733218.74,1550793599999,530379.144431,3057,363150.48,262900.858336,0
1550793600000,0.7278,0.7575,0.7170000000000001,0.7301,1178652.14,1550836799999,866007.320815,4378,518705.13,381895.459586,0
1550836800000,0.7285,0.7384,0.7151,0.7358,692255.28,1550879999999,503552.146159,3080,313238.77,228296.971607,0
1550880000000,0.7358,0.7999,0.7281,0.7545,2229307.28,1550923199999,1704452.658178,9033,1183083.36,903520.727953,0
1550923200000,0.7544,0.7759999999999999,0.7341,0.7542,1400345.55,1550966399999,1053957.431734,6581,692256.59,521875.376304,0
1550966400000,0.7542,0.794,0.7390000000000001,0.7615,2175378.26,1551009599999,1670980.693567,7467,1088390.94,836907.364376,0
1551009600000,0.7616,0.779,0.6126,0.6398,2955795.85,1551052799999,2027665.283249,8346,960264.21,641066.467326,0
1551052800000,0.6446,0.6899,0.6396,0.642,1011786.26,1551095999999,670774.1886359999,4246,585492.01,389335.964547,0
1551096000000,0.642,0.6647,0.6335,0.645,1210984.15,1551139199999,785770.264706,4584,698277.9,453604.712906,0
1551139200000,0.645,0.67,0.62,0.6266,626740.91,1551182399999,398037.522396,2514,308677.85,196578.981197,0
1551182400000,0.6266,0.6348,0.615,0.6305,286045.05,1551225599999,178820.558748,1725,156014.03,97749.540909,0
1551225600000,0.6306,0.6403,0.6126,0.6242,495351.33,1551268799999,307759.616536,2415,213886.53,133008.434792,0
1551268800000,0.6253,0.626,0.5774,0.5948,805063.73,1551311999999,482432.87339,3718,356554.47,213774.986118,0
1551312000000,0.5947,0.5986,0.5525,0.5711,1190395.54,1551355199999,684906.421622,4503,522493.83,300512.856091,0
1551355200000,0.5695,0.5870000000000001,0.5568,0.5768,711346.58,1551398399999,403993.820178,2735,330093.23,187538.57612,0
1551398400000,0.5769,0.5769,0.5511,0.5577,472440.55,1551441599999,264699.60123800003,2127,149076.5,83501.270291,0
1551441600000,0.5578,0.5929,0.5576,0.5746,988080.0,1551484799999,571563.81855,3650,406399.49,236256.789803,0
1551484800000,0.575,0.619,0.5546,0.5663,1562822.77,1551527999999,919202.426848,6124,783102.97,462369.456778,0
1551528000000,0.5675,0.5753,0.5559,0.5708,329890.19,1551571199999,186208.734642,1479,161147.11,91047.391081,0
1551571200000,0.5706,0.5844,0.5634,0.5657,356693.04,1551614399999,204248.636549,1553,191222.0,109581.976963,0
1551614400000,0.5665,0.5694,0.5379999999999999,0.5522,503954.5,1551657599999,278180.042903,2449,218422.02,120512.000959,0
1551657600000,0.5507,0.5562,0.48,0.501,791823.49,1551700799999,403965.133936,3466,341158.79,173021.51411400002,0
1551700800000,0.5004,0.515,0.4895,0.5071,255498.38,1551743999999,127949.580592,1513,128690.8,64415.99997300001,0
1551744000000,0.5071,0.52,0.4993,0.5133,218051.89,1551787199999,110789.654946,1518,107857.07,54815.18691,0
1551787200000,0.5092,0.5444,0.5083,0.5367,559802.53,1551830399999,296293.631309,2615,307541.17,163107.046603,0
1551830400000,0.5366,0.5378,0.5201,0.5245,233034.63,1551873599999,122446.951663,876,100692.39,52821.060475,0
1551873600000,0.5262,0.5429999999999999,0.507,0.5212,460569.0,1551916799999,241238.333866,2474,221186.91,115778.647899,0
1551916800000,0.5216,0.5274,0.515,0.5235,322175.74,1551959999999,167924.430067,1322,165517.11,86313.101708,0
1551960000000,0.5236,0.5494,0.517,0.534,451615.68,1552003199999,239802.113046,2154,194843.06,103365.020264,0
1552003200000,0.5338,0.6076,0.531,0.537,1880726.34,1552046399999,1060900.664349,6367,908647.35,512063.566207,0
1552046400000,0.5369,0.5799,0.5181,0.524,843565.12,1552089599999,457945.296244,3298,375447.47,203320.754183,0
1552089600000,0.5295,0.56,0.5161,0.5343,673634.59,1552132799999,359651.077164,2965,315988.12,169686.86128399998,0
1552132800000,0.5375,0.544,0.525,0.54,317509.45,1552175999999,168902.602312,1357,152950.85,81420.310439,0
1552176000000,0.5387,0.54,0.5091,0.5154,443486.37,1552219199999,232140.348688,2063,145658.37,76223.52055700001,0
1552219200000,0.5154,0.5199,0.49,0.5151,651581.47,1552262399999,330803.112706,2602,320268.37,162360.208086,0
1552262400000,0.515,0.5264,0.4922,0.4922,382760.87,1552305599999,193486.46854,1722,144458.75,73535.618452,0
