Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1546300800000,0.9992,1.0015,0.9953,0.9973,3218280.02,1546343999999,3215261.231489,22007,2121677.14,2120457.229891,0
1546344000000,0.9973,0.9996,0.9907,0.9923,2725409.91,1546387199999,2715672.323295,28063,1336391.16,1332183.6561790002,0
1546387200000,0.9919,0.995,0.9909,0.9922,2923280.48,1546430399999,2902088.279398,26559,1559173.32,1548216.811843,0
1546430400000,0.9922,0.995,0.9901,0.9914,2916112.79,1546473599999,2894357.947108,30691,1398023.02,1388088.717792,0
1546473600000,0.9914,0.994,0.9898,0.9917,4700624.49,1546516799999,4661831.693614,33790,2172995.82,2155387.808289,0
1546516800000,0.9918,0.994,0.9903,0.9936,4255345.98,1546559999999,4219082.772233998,29509,1918592.81,1902839.69278,0
1546560000000,0.9936,0.9946,0.9899,0.991,4364391.76,1546603199999,4332699.455038,25352,1976887.3,1963447.620352,0
1546603200000,0.9909,0.9932,0.9895,0.9906,4630640.35,1546646399999,4590751.661425,29680,2075087.75,2057565.285938,0
1546646400000,0.9906,0.9919,0.9872,0.989,3544549.26,1546689599999,3508049.446668,27388,1625724.81,1609519.492876,0
1546689600000,0.9891,0.9924,0.9872,0.9905,2746804.52,1546732799999,2718413.250761,22565,1458975.01,1444286.438463,0
1546732800000,0.9905,0.9931,0.9904,0.9929,2127190.74,1546775999999,2110437.797815,18054,1384375.08,1373653.145306,0
1546776000000,0.993,0.9933,0.9816,0.986,5256444.56,1546819199999,5187634.936195,34061,1826923.74,1803554.753957,0
1546819200000,0.9861,0.9905,0.9854,0.9886,4084688.15,1546862399999,4038416.789187,22054,2227432.0,2202545.346661,0
1546862400000,0.9886,0.9913,0.9872,0.9907,2312773.5,1546905599999,2288646.777056,16247,1319398.28,1305787.133437,0
1546905600000,0.9908,0.9911,0.9887,0.9898,4481889.41,1546948799999,4438044.590252,21786,2287489.15,2265498.526121,0
1546948800000,0.9898,0.9905,0.9873,0.9888,4844467.34,1546991999999,4793024.017088,25169,2008508.75,1987659.47235,0
1546992000000,0.9888,0.9911,0.9885,0.9898,4306949.05,1547035199999,4264611.108087,23155,2813444.49,2785916.019724,0
1547035200000,0.9899,0.9907,0.9881,0.99,4522576.7,1547078399999,4474806.774757,23371,1696584.39,1678932.634803,0
1547078400000,0.99,0.991,0.9859,0.9861,10007184.05,1547121599999,9900052.828725,41864,4302682.43,4258077.244142,0
1547121600000,0.9861,0.9895,0.98,0.9877,5824348.98,1547164799999,5743438.9529260015,44350,2554270.59,2520046.453149,0
1547164800000,0.9877,0.9891,0.9843,0.9865,5178219.21,1547207999999,5110866.435899,35926,1944407.75,1919482.044192,0
1547208000000,0.9866,0.9896,0.9845,0.9895,4521761.02,1547251199999,4461635.354178,36646,2212423.91,2183651.79374,0
1547251200000,0.9896,0.9906,0.9854,0.9866,4063893.52,1547294399999,4013340.619967,28712,1892838.07,1869827.812796,0
1547294400000,0.9867,0.99,0.9865,0.9897,2573940.29,1547337599999,2544456.3558630003,21956,1475158.26,1458377.298878,0
1547337600000,0.9897,0.9908,0.9887,0.9903,2391714.93,1547380799999,2367177.439716,17514,1177322.83,1165384.9704,0
1547380800000,0.9903,0.9904,0.9866,0.9889,5761529.29,1547423999999,5694166.5625519985,36012,2646430.5,2616022.508871,0
1547424000000,0.9889,0.9927,0.9876,0.9891,4313047.97,1547467199999,4272093.385388,24967,2455193.22,2432231.28,0
1547467200000,0.989,0.9903,0.9858,0.989,6400159.32,1547510399999,6322473.908723,34957,2833184.35,2799344.94038,0
1547510400000,0.9889,0.99,0.9873,0.9898,3404392.67,1547553599999,3365716.005678,16231,1584597.85,1566809.782736,0
1547553600000,0.9898,0.9931,0.9892,0.9923,5798067.93,1547596799999,5746242.599955998,32109,3178086.48,3150238.435541,0
1547596800000,0.9922,0.9936,0.9917,0.992,3086039.05,1547639999999,3063162.650979,21152,1406054.54,1395811.779371,0
1547640000000,0.992,0.996,0.9918,0.9946,4374901.45,1547683199999,4347422.374516,33393,2348509.72,2334107.682829,0
1547683200000,0.9947,0.9971,0.9944,0.9951,3059482.52,1547726399999,3046937.482813,19452,1359906.46,1354485.359123,0
1547726400000,0.9951,0.9964,0.9927,0.9929,4026776.66,1547769599999,4004531.755501,34996,1761569.96,1752105.717539,0
1547769600000,0.9929,0.9959,0.9924,0.9958,3470906.49,1547812799999,3450106.4196589994,30645,1508778.57,1499936.2343219996,0
1547812800000,0.9957,0.9973,0.994,0.9963,2839480.92,1547855999999,2827787.515935,31238,1228005.63,1223139.561836,0
1547856000000,0.9964,0.9977,0.992,0.9932,3841812.23,1547899199999,3821239.145672,26884,1470157.62,1462877.561798,0
1547899200000,0.9933,0.9958,0.9923,0.9953,2252768.19,1547942399999,2239414.503607,17498,1120828.62,1114324.634345,0
1547942400000,0.9952,0.9992,0.9943,0.9981,3587636.89,1547985599999,3576103.790068,23591,2129642.29,2123060.4919950003,0
1547985600000,0.9981,1.001,0.9977,0.9993,4315713.7,1548028799999,4314999.900928,24007,2687375.38,2687174.205935,0
1548028800000,0.9994,1.0004,0.9967,0.9999,2302641.56,1548071999999,2300924.9531900003,13460,1217908.29,1217395.571336,0
1548072000000,0.9998,1.0008,0.9962,0.9986,1572803.65,1548115199999,1570141.582122,11341,603279.82,602298.300897,0
1548115200000,0.9985,1.001,0.997,0.9984,3010896.42,1548158399999,3007666.448994,9669,1424513.18,1423681.6111690004,0
1548158400000,0.9984,1.0001,0.9971,0.9984,2053543.52,1548201599999,2050187.6512400003,12151,793125.03,792112.374216,0
1548201600000,0.9982,1.0,0.9977,0.9994,2202537.13,1548244799999,2200294.887459,12049,1149706.1,1148878.804632,0
1548244800000,0.9994,1.0003,0.9973,0.9992,2969806.2,1548287999999,2966710.571885,13825,1195326.07,1194409.708754,0
1548288000000,0.9989,1.0011,0.9981,1.0009,2648752.37,1548331199999,2648940.242883,12628,1789342.74,1789729.057015,0
1548331200000,1.0008,1.0011,0.9979,0.9997,1848663.66,1548374399999,1847519.040806,10585,585117.96,584850.9611140001,0
1548374400000,0.9996,1.0031,0.9993,1.0023,2837674.03,1548417599999,2840789.252222,11299,1260029.06,1261456.064515,0
