Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1546300800000,0.0003937,0.000397,0.0003865,0.000397,42827.15,1546343999999,16.73075576,967,17130.82,6.69746356,0
1546344000000,0.0003948,0.0004051,0.000386,0.000386,88811.58,1546387199999,34.9881532,2107,38561.0,15.24514649,0
1546387200000,0.0003863,0.0003994,0.0003863,0.0003893,38594.49,1546430399999,15.14516919,944,14230.23,5.60130496,0
1546430400000,0.0003898,0.0003954,0.0003873,0.0003904,63048.78,1546473599999,24.70339252,917,24676.66,9.69479963,0
1546473600000,0.0003922,0.000393,0.000385,0.0003857,43369.9,1546516799999,16.82934696,772,12622.12,4.90465328,0
1546516800000,0.0003858,0.0003902,0.0003811000000000001,0.0003814,34538.5,1546559999999,13.313124599999998,694,13714.75,5.29128182,0
1546560000000,0.0003836000000000001,0.0003963,0.00038,0.0003887,78931.91,1546603199999,30.64560016,1840,34233.51,13.33535482,0
1546603200000,0.0003886,0.000392,0.0003779,0.0003795,50173.78,1546646399999,19.18125587,1117,19464.79,7.45513581,0
1546646400000,0.0003793,0.0003952,0.0003793,0.000392,98372.91,1546689599999,38.21494163,2087,48682.37,18.96385455,0
1546689600000,0.0003915,0.0004228,0.0003873,0.0003914,382464.8,1546732799999,154.61038147,5526,230602.02,93.11934668,0
1546732800000,0.0003914,0.0004049,0.0003888,0.0003977,69428.59,1546775999999,27.53682502,1639,35165.64,13.96633437,0
1546776000000,0.0003971,0.0004067,0.0003822,0.0003876,80729.74,1546819199999,31.54694098,2062,35900.0,14.04554639,0
1546819200000,0.0003867,0.00039,0.00038,0.00038,83496.23,1546862399999,32.02358423,1165,20817.63,8.00997352,0
1546862400000,0.0003801,0.0003956,0.0003791000000000001,0.0003848,77111.95,1546905599999,29.72470638,1578,31569.73,12.19721331,0
1546905600000,0.0003831,0.0003874,0.0003783,0.0003819,34587.93,1546948799999,13.16087352,723,9167.38,3.49666003,0
1546948800000,0.0003819,0.0003842,0.000372,0.0003758,90350.44,1546991999999,34.03161431,1305,41415.83,15.60543615,0
1546992000000,0.0003768,0.0003843,0.0003755,0.0003822,44993.46,1547035199999,17.09369883,725,19411.74,7.38314337,0
1547035200000,0.0003818,0.0003848,0.0003727,0.0003802,55741.37,1547078399999,21.09927866,1081,28706.75,10.88031138,0
1547078400000,0.000381,0.000381,0.0003465,0.00035210000000000005,204844.12,1547121599999,74.36727816,3127,81586.9,29.61001775,0
1547121600000,0.00035210000000000005,0.0003584,0.00034470000000000003,0.00035210000000000005,65072.37,1547164799999,22.89264485,1228,27136.13,9.55197333,0
1547164800000,0.00035,0.0003625,0.00034700000000000003,0.0003533,48949.74,1547207999999,17.32542975,980,25248.42,8.94671842,0
1547208000000,0.0003534,0.0003627,0.000351,0.0003528,35349.97,1547251199999,12.55655938,913,19276.95,6.855863900000001,0
1547251200000,0.0003528,0.00035660000000000005,0.0003452,0.00035239999999999995,38887.88,1547294399999,13.64131429,877,18179.77,6.38395092,0
1547294400000,0.0003522,0.000365,0.00034760000000000005,0.00035660000000000005,62223.07,1547337599999,22.23806715,1288,37012.74,13.25140247,0
1547337600000,0.00035800000000000003,0.0003625,0.0003556,0.0003593,19483.36,1547380799999,6.98447512,455,8869.9,3.18769866,0
1547380800000,0.0003594,0.0004521,0.0003594,0.0003757,1754268.21,1547423999999,718.35594825,25535,875778.84,359.13107141,0
1547424000000,0.000376,0.0003975,0.0003684,0.0003758,287012.73,1547467199999,108.44665179,5420,129361.58,48.93183146,0
1547467200000,0.0003758,0.0003921,0.0003637,0.000376,208788.96,1547510399999,78.3009403,3667,92177.74,34.56945314,0
1547510400000,0.0003761,0.0003779,0.0003637,0.0003678,196021.35,1547553599999,72.75026431,2882,86570.82,32.13564378,0
1547553600000,0.0003683,0.0003699,0.000359,0.0003606,117585.82,1547596799999,42.80404916,1690,33919.76,12.35324813,0
1547596800000,0.000361,0.00037,0.0003556,0.0003633,123646.35,1547639999999,44.56395252,2352,55006.82,19.89905913,0
1547640000000,0.000363,0.00038,0.000362,0.0003676,127925.45,1547683199999,47.11159276,2763,56243.49,20.79858837,0
1547683200000,0.0003666,0.0003741,0.0003599,0.0003687,114354.23,1547726399999,41.76974244,2575,38648.06,14.20229998,0
1547726400000,0.0003687,0.0003692,0.0003621,0.000366,59930.15,1547769599999,21.91896131,992,20011.1,7.3362542,0
