Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1595548800000,0.5388,0.778,0.5388,0.6875,1178153.71,1595591999999,824445.11449,3499,624348.2,445792.273489,0
1595592000000,0.6878,0.72,0.5912,0.6133,1027406.13,1595635199999,674878.095966,3482,528735.63,349097.25868200004,0
1595635200000,0.6132,0.7,0.6086,0.629,688147.31,1595678399999,456372.036407,2632,364823.67,244219.260728,0
1595678400000,0.631,0.65,0.523,0.5323,507147.06,1595721599999,300463.473653,1368,151867.34,90652.518387,0
1595721600000,0.5325,0.65,0.5286,0.5708,993282.81,1595764799999,591325.8465689999,2627,417192.46,248762.803313,0
1595764800000,0.564,0.5717,0.481,0.499,319904.45,1595807999999,172236.453791,963,77380.31,42061.469466,0
1595808000000,0.5059,0.5226,0.43,0.4683,1137633.69,1595851199999,531084.7711390001,2907,499977.05,231870.93824,0
1595851200000,0.4656,0.4758,0.3908,0.4308,764067.23,1595894399999,333040.033934,2272,208453.7,90567.706433,0
1595894400000,0.4308,0.5722,0.4261,0.4715,676266.67,1595937599999,348477.570153,1679,325905.31,167785.461994,0
1595937600000,0.4716,0.5257,0.46,0.493,333844.53,1595980799999,163208.459295,998,138791.58,67681.94063,0
1595980800000,0.4953,0.56,0.4637,0.5411,569792.69,1596023999999,287896.208791,1278,216865.37,110890.619351,0
1596024000000,0.5411,0.604,0.5,0.5048,501061.85,1596067199999,276532.870267,1415,206859.22,115991.291844,0
1596067200000,0.502,0.5852,0.502,0.519,272346.06,1596110399999,146310.437025,798,93631.2,51610.781752,0
1596110400000,0.5166,0.5567,0.489,0.489,337941.09,1596153599999,174012.359852,701,72227.37,37663.029964,0
1596153600000,0.489,0.5147,0.4715,0.4831,372540.58,1596196799999,182778.270424,861,115211.01,56006.735393,0
1596196800000,0.4762,0.4976,0.44,0.4607,313883.72,1596239999999,147519.321507,960,82906.14,39052.442288,0
1596240000000,0.4605,0.4992,0.445,0.462,267967.61,1596283199999,126648.117653,917,139102.76,66045.766846,0
1596283200000,0.4666,0.485,0.44,0.445,105211.73,1596326399999,48288.941829,498,31998.47,14923.989613,0
1596326400000,0.4437,0.4651,0.39,0.4651,336044.62,1596369599999,146910.700109,826,180744.86,79766.775658,0
1596369600000,0.4677,0.55,0.4474,0.4771,246752.18,1596412799999,119803.88414,556,154932.35,77060.135192,0
1596412800000,0.476,0.5072,0.452,0.452,264114.77,1596455999999,126591.071328,699,114843.45,55506.078639,0
1596456000000,0.4607,0.4776,0.445,0.4576,173391.94,1596499199999,80097.445528,559,52125.23,24221.782083,0
1596499200000,0.4582,0.477,0.453,0.4644,181994.74,1596542399999,84696.66954199999,359,65067.7,30386.915363,0
1596542400000,0.4689,0.5165,0.4392,0.5019,354932.36,1596585599999,172203.121486,767,232721.66,113734.948783,0
1596585600000,0.5043,0.6314,0.46,0.5888,515767.55,1596628799999,291599.4526,1756,308520.57,175258.025612,0
1596628800000,0.5918,0.6044,0.51,0.5599,331654.08,1596671999999,185456.269592,1804,201123.21,113136.722976,0
1596672000000,0.5599,0.61,0.5118,0.5895,381944.14,1596715199999,217136.064378,1369,219697.49,127009.76908,0
1596715200000,0.5871,0.614,0.5485,0.5827,133872.02,1596758399999,78266.715077,849,59898.47,35137.287237000004,0
1596758400000,0.5827,0.6365,0.5686,0.574,199600.44,1596801599999,119553.756439,1037,83686.95,50735.096008,0
1596801600000,0.5796,0.6043,0.5693,0.5862,131168.5,1596844799999,76850.771787,455,73832.22,43327.655735,0
1596844800000,0.584,0.6643,0.5815,0.6509999999999999,238218.45,1596887999999,150010.40337,972,155752.91,98184.131612,0
1596888000000,0.6479,0.7,0.642,0.662,439994.18,1596931199999,299257.37956100004,1935,222103.08,152253.37501,0
1596931200000,0.6588,0.701,0.6277,0.6832,349825.54,1596974399999,233351.554314,1467,155327.13,105182.890258,0
1596974400000,0.6811,0.8063,0.6653,0.7684,633061.66,1597017599999,455268.04397,2093,457176.22,329281.205137,0
1597017600000,0.7825,0.8676,0.71,0.8322,463776.34,1597060799999,365455.977841,2101,240263.94,192397.178759,0
1597060800000,0.8322,0.95,0.785,0.7925,535042.24,1597103999999,457028.686152,3129,237604.93,203079.964389,0
1597104000000,0.7947,0.8091,0.7,0.7573,415083.28,1597147199999,313864.83804400003,1734,147711.89,112128.996,0
1597147200000,0.7573,0.82,0.69,0.7637,402607.02,1597190399999,302208.486701,1794,189606.41,142518.31691,0
1597190400000,0.7637,0.794,0.7101,0.7722,419037.03,1597233599999,315953.247127,1236,153083.77,115591.258275,0
1597233600000,0.7705,0.9604,0.7703,0.8987,386847.47,1597276799999,335452.56666,1527,268961.91,234826.574292,0
