Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1566648000000,0.58,0.8888,0.5207,0.539,2986660.21,1566691199999,1934397.524132,7449,1138604.98,731393.7991,0
1566691200000,0.539,0.741,0.5017,0.6886,2842010.1,1566734399999,1852259.665063,8506,1285835.35,840735.010453,0
1566734400000,0.6898,0.725,0.5856,0.7049,2527658.55,1566777599999,1653343.457056,8121,1134626.77,747691.4255659998,0
1566777600000,0.7070000000000001,0.76,0.6336,0.645,2709871.91,1566820799999,1870074.820496,7529,1127455.03,782107.8701010002,0
1566820800000,0.6453,0.687,0.6096,0.6205,987952.41,1566863999999,638843.854118,3817,450800.77,293664.647263,0
1566864000000,0.613,0.6469,0.5555,0.5859,731021.25,1566907199999,437850.568144,2716,252037.61,151854.356329,0
1566907200000,0.5858,0.6027,0.5579999999999999,0.5705,382508.91,1566950399999,220134.346467,1424,118900.81,68959.289088,0
1566950400000,0.569,0.5893,0.5624,0.5711,174210.85,1566993599999,100787.844388,681,90163.81,52373.166856,0
1566993600000,0.5711,0.5775,0.4829,0.4899,595984.06,1567036799999,311617.787704,1925,140554.03,74153.06742400001,0
1567036800000,0.4898,0.518,0.455,0.4743,336205.37,1567079999999,162254.205929,1684,132711.77,64080.571888,0
1567080000000,0.4691,0.5142,0.4557,0.4762,200831.98,1567123199999,96140.403303,1159,72739.33,34946.814151,0
1567123200000,0.4762,0.55,0.4628,0.5356,340647.46,1567166399999,176999.79021500004,1393,134787.52,70271.220412,0
1567166400000,0.5344,0.5344,0.48,0.48,341690.64,1567209599999,172266.797368,1391,124701.25,63069.67324500001,0
1567209600000,0.48,0.4935,0.4668,0.483,126920.1,1567252799999,60791.386066,668,51488.79,24749.329364,0
1567252800000,0.4812,0.4873,0.4655,0.4715,49931.17,1567295999999,23745.328243,338,20247.06,9674.241006,0
1567296000000,0.4761,0.5099,0.4694,0.4931,134017.14,1567339199999,65747.072463,572,50101.19,24608.694406,0
1567339200000,0.4931,0.4970000000000001,0.466,0.475,135543.56,1567382399999,64924.076764,532,51277.69,24564.287262,0
1567382400000,0.4788,0.4824,0.4502,0.4621,126482.63,1567425599999,58401.34645,657,43813.8,20228.867809,0
1567425600000,0.4607,0.4695,0.4553,0.463,168812.86,1567468799999,78360.9778,563,77063.46,35908.212825,0
1567468800000,0.4643,0.4665,0.4479,0.4495,135171.31,1567511999999,61905.895363,577,48021.05,22085.398631,0
1567512000000,0.4495,0.462,0.4370000000000001,0.458,200966.58,1567555199999,89838.43631599998,913,83258.84,37423.826244,0
1567555200000,0.4577,0.4698,0.4321,0.4695,76123.43,1567598399999,34428.609297,581,44519.73,20323.995558,0
1567598400000,0.4695,0.4898,0.435,0.4401,244287.28,1567641599999,114250.344503,1232,113458.12,53665.291802,0
1567641600000,0.4373,0.4775,0.435,0.45,147921.32,1567684799999,67531.78039500001,589,77607.14,35588.050809,0
1567684800000,0.4499,0.4575,0.4285,0.4397,133061.58,1567727999999,58804.552764,677,55520.55,24631.620535,0
1567728000000,0.434,0.4408,0.4294,0.4355,38310.23,1567771199999,16621.649415,292,15620.08,6803.635202,0
1567771200000,0.4355,0.4355,0.3958,0.4015,169909.36,1567814399999,70149.149386,983,69480.87,28607.373436,0
1567814400000,0.4015,0.4136,0.3922,0.4116,110553.37,1567857599999,44654.114148,567,58637.53,23802.689618,0
1567857600000,0.4116,0.4393,0.41,0.4107,121276.71,1567900799999,51123.841846,473,59820.27,25325.786638,0
1567900800000,0.4121,0.4249,0.41,0.4182,87284.72,1567943999999,36352.208612,289,29215.6,12243.335513,0
1567944000000,0.4182,0.4562,0.4147,0.4324,114521.44,1567987199999,50107.635024,634,57493.18,25234.340989,0
1567987200000,0.4322,0.4459,0.405,0.4185,205669.21,1568030399999,86921.87634500001,763,104697.4,44067.427912,0
1568030400000,0.4224,0.4247,0.4047,0.4078,86807.45,1568073599999,35848.793988,438,25315.01,10487.413097,0
1568073600000,0.4112,0.42,0.4041,0.4189,110460.9,1568116799999,45805.538948,324,53144.52,22017.365049,0
1568116800000,0.4189,0.4211,0.398,0.4048,194543.83,1568159999999,79529.850369,563,83385.13,34063.263252,0
1568160000000,0.4072,0.4116,0.3976,0.3994,61037.14,1568203199999,24619.503834,153,19730.27,8072.327684999998,0
1568203200000,0.4016,0.4018,0.3822,0.3887,48240.2,1568246399999,18861.986483,379,19936.01,7814.204587,0
1568246400000,0.3918,0.4016,0.3605,0.3698,79846.9,1568289599999,29732.963996,390,37543.74,13908.317519,0
1568289600000,0.3698,0.38,0.3608,0.3611,72870.44,1568332799999,27001.889175,347,31513.91,11743.266216,0
1568332800000,0.3616,0.3715,0.355,0.3687,98365.24,1568375999999,35694.705211,326,40666.81,14870.031837,0
1568376000000,0.3696,0.3749,0.3546,0.3581,55479.36,1568419199999,20225.891909,346,21559.94,7885.294884,0
1568419200000,0.3573,0.3603,0.3519,0.3532,9172.69,1568462399999,3255.302853,122,3205.06,1140.356002,0
1568462400000,0.3572,0.3686,0.35,0.3646,43627.15,1568505599999,15784.41665,236,26899.59,9745.149366,0
1568505600000,0.3678,0.3772,0.3609,0.3708,35436.88,1568548799999,13070.400946,328,13286.54,4920.60815,0
1568548800000,0.3699,0.394,0.3591,0.382,106487.99,1568591999999,40343.962475,531,56671.73,21455.457958000006,0
1568592000000,0.3806,0.381,0.3689,0.3706,81558.56,1568635199999,30610.755427,235,21828.21,8202.127589,0
1568635200000,0.3681,0.3772,0.3507,0.3670000000000001,150789.28,1568678399999,54852.562925,661,75985.42,27613.173071,0
1568678400000,0.3670000000000001,0.375,0.358,0.3629,55919.87,1568721599999,20392.675578,298,32999.53,12058.052084,0
1568721600000,0.3629,0.3805,0.3629,0.379,88142.65,1568764799999,32847.918578,508,41876.14,15661.084102,0
1568764800000,0.3757,0.395,0.37,0.3905,138153.04,1568807999999,52800.710778,614,68481.94,26261.479671,0
1568808000000,0.3905,0.447,0.3831,0.4132,177737.62,1568851199999,71414.216989,854,104065.15,41643.365559,0
1568851200000,0.4133,0.4176,0.378,0.3881,88944.83,1568894399999,35003.009569,472,22326.04,8770.721222,0
1568894400000,0.3881,0.405,0.3866,0.3957,98719.91,1568937599999,38980.415686,537,43487.28,17194.125214,0
1568937600000,0.3983,0.4081,0.3889,0.3926,43764.39,1568980799999,17369.601743,306,15748.03,6251.446803,0
1568980800000,0.3901,0.4344,0.39,0.4164,118056.9,1569023999999,48970.212511,744,56324.02,23372.882592,0
1569024000000,0.4164,0.4229,0.4016,0.4082,35458.23,1569067199999,14549.480533000002,282,10883.92,4482.453659000002,0
1569067200000,0.4082,0.4083,0.3927,0.3963,78474.55,1569110399999,31227.594589,378,23459.35,9370.184502,0
1569110400000,0.3929,0.3988,0.3753,0.3813,143611.85,1569153599999,54899.798454,463,96393.97,36783.79680400001,0
1569153600000,0.3794,0.3899,0.3624,0.3659,51002.3,1569196799999,19019.199562,334,21833.67,8183.903348999998,0
1569196800000,0.3644,0.3691,0.3592,0.3596,34489.1,1569239999999,12528.572992,221,12500.01,4547.363742000001,0
1569240000000,0.3596,0.3642,0.3468,0.35,157585.78,1569283199999,56049.216443,563,68922.19,24495.560572,0
1569283200000,0.35,0.3666,0.3482,0.3608,99103.15,1569326399999,35439.580915,318,13944.6,4977.1548090000015,0
1569326400000,0.3588,0.3608,0.2625,0.2977,187750.24,1569369599999,58934.453351,943,85156.0,26676.65367,0
1569369600000,0.2977,0.3115,0.2698,0.2925,61283.44,1569412799999,17714.247323,370,26837.49,7787.7355480000015,0
1569412800000,0.2942,0.3179,0.2809,0.2981,57709.65,1569455999999,16885.462539,402,27288.65,7939.483417,0
1569456000000,0.2949,0.3294,0.2903,0.3139,43412.18,1569499199999,13555.23091,391,16480.77,5085.217252,0
1569499200000,0.314,0.315,0.2733,0.2858,97858.56,1569542399999,28602.835352,533,37677.25,10970.196829,0
1569542400000,0.2891,0.2959,0.2829,0.2905,40837.34,1569585599999,11845.689395,315,19565.54,5677.0382009999985,0
1569585600000,0.2904,0.3137,0.28800000000000003,0.3096,87958.64,1569628799999,26100.884551,431,36857.31,10974.842242,0
1569628800000,0.3137,0.3169,0.3039,0.3115,20061.86,1569671999999,6232.847786,187,10505.5,3274.171496,0
