Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1586260800000,0.2608,0.2774,0.2449,0.2562,343567.35,1586303999999,90493.640482,604,76019.06,20116.17109,0
1586304000000,0.2572,0.2701,0.2523,0.2593,116935.13,1586347199999,30526.088229,438,37937.38,9887.359597,0
1586347200000,0.26,0.262,0.2557,0.2601,74501.04,1586390399999,19346.389468,249,44109.42,11472.334414,0
1586390400000,0.2591,0.2638,0.2549,0.2555,70203.51,1586433599999,18241.592969,267,36666.16,9543.472859,0
1586433600000,0.2548,0.2683,0.2543,0.2626,45934.13,1586476799999,11881.834533,186,18442.5,4796.892084,0
1586476800000,0.2609,0.262,0.228,0.2352,80851.58,1586519999999,19620.984386,222,22604.63,5401.4799189999985,0
1586520000000,0.2352,0.2545,0.2216,0.2305,94399.16,1586563199999,21749.785497,234,12784.58,2970.064178,0
1586563200000,0.2299,0.2384,0.2284,0.2322,52558.32,1586606399999,12255.112691,179,21074.86,4906.670481,0
1586606400000,0.234,0.2344,0.2242,0.2299,49937.67,1586649599999,11424.954069,144,26849.25,6152.998975,0
1586649600000,0.2299,0.2364,0.2247,0.2277,10882.56,1586692799999,2490.693562,106,6248.28,1439.040783,0
1586692800000,0.229,0.2488,0.229,0.2332,85567.5,1586735999999,20100.026279,249,35389.9,8349.783179,0
1586736000000,0.2284,0.2322,0.217,0.2286,46132.09,1586779199999,10270.956901,214,16652.42,3696.47655,0
1586779200000,0.2279,0.2322,0.2185,0.2264,75491.28,1586822399999,16921.997425999998,233,44104.65,9863.116133,0
1586822400000,0.2262,0.2333,0.223,0.231,75279.96,1586865599999,17047.35999,242,35197.56,8006.974333,0
1586865600000,0.23,0.2351,0.2264,0.2298,118349.18,1586908799999,27234.350444,488,50292.31,11584.301323,0
1586908800000,0.2279,0.2335,0.2263,0.229,29709.47,1586951999999,6838.76215,168,14171.59,3269.60337,0
1586952000000,0.2289,0.2349,0.2243,0.2261,29931.56,1586995199999,6830.766773,203,8740.22,2016.196549,0
1586995200000,0.2229,0.2408,0.2165,0.24,201947.31,1587038399999,47275.587103,435,53036.18,12384.863376,0
1587038400000,0.24,0.36,0.24,0.2697,4069065.39,1587081599999,1067693.358693,5792,1563815.13,411485.188953,0
1587081600000,0.27,0.33,0.2587,0.3175,11144494.26,1587124799999,3170048.511594,13440,5290916.73,1502971.210383,0
1587124800000,0.3165,0.3382,0.2969,0.3047,14881260.55,1587167999999,4686036.182844,16034,7065101.02,2225467.380109,0
1587168000000,0.3047,0.3279,0.3045,0.3101,5686094.08,1587211199999,1792364.070581,6253,2823220.95,890046.912849,0
1587211200000,0.3102,0.3203,0.2978,0.3029,7915038.64,1587254399999,2443437.149414,9771,3653508.05,1128336.2980280002,0
1587254400000,0.3029,0.303,0.2883,0.298,3303040.61,1587297599999,978611.906542,4994,1543084.68,456867.172258,0
1587297600000,0.2983,0.3003,0.2857,0.2891,4307499.73,1587340799999,1264693.352988,5125,2033396.95,597047.01394,0
1587340800000,0.2888,0.2932,0.2748,0.2749,2447883.1,1587383999999,700886.58777,3542,1168804.49,334881.027277,0
1587384000000,0.275,0.2897,0.2546,0.2593,4779723.84,1587427199999,1311464.665314,6472,2502203.22,687111.523695,0
1587427200000,0.2591,0.2714,0.2554,0.2595,1544603.93,1587470399999,408327.030491,3251,726967.02,192229.212719,0
1587470400000,0.2591,0.2965,0.2582,0.2795,3745482.4,1587513599999,1048846.217924,7803,1841374.89,514329.409339,0
1587513600000,0.2792,0.2998,0.2748,0.28800000000000003,2912364.02,1587556799999,841825.570951,6402,1448026.32,418574.021647,0
1587556800000,0.2884,0.2969,0.2864,0.2884,3954218.81,1587599999999,1154271.030383,5915,1835220.14,535847.2595729999,0
1587600000000,0.2889,0.2899,0.2739,0.284,2744314.4,1587643199999,771692.847941,4746,1297636.16,365004.032207,0
1587643200000,0.2838,0.2949,0.2833,0.2852,4563936.46,1587686399999,1321526.136356,9213,2306874.21,667961.229285,0
1587686400000,0.2858,0.304,0.2851,0.3,1121669.7,1587729599999,332482.737739,1667,501451.58,148228.373433,0
1587729600000,0.3,0.3019,0.29,0.2918,625914.05,1587772799999,185366.893054,1451,208087.44,61725.01828500001,0
1587772800000,0.2919,0.3033,0.2884,0.2979,371465.71,1587815999999,110655.852327,921,197664.03,58911.925171,0
1587816000000,0.2991,0.3025,0.2932,0.3004,482263.15,1587859199999,144247.208322,988,199369.66,59654.398723,0
1587859200000,0.2994,0.3012,0.293,0.2962,193754.31,1587902399999,57497.74062,395,83320.07,24715.587474,0
1587902400000,0.2962,0.2988,0.29,0.2958,288923.57,1587945599999,84932.437682,589,104573.58,30769.961999,0
1587945600000,0.2958,0.2994,0.2874,0.2913,316864.05,1587988799999,92783.380775,715,135987.72,39897.72136,0
1587988800000,0.2907,0.29100000000000004,0.2728,0.2875,468342.12,1588031999999,132699.368267,812,146956.72,41521.61446100001,0
1588032000000,0.2857,0.2868,0.28,0.281,256220.48,1588075199999,72357.448901,516,103625.08,29335.115660000003,0
1588075200000,0.2818,0.2865,0.28,0.2849,178349.47,1588118399999,50346.478849,401,64499.55,18226.254438,0
1588118400000,0.2849,0.2969,0.2848,0.2926,382935.93,1588161599999,111272.922018,835,194692.78,56531.603179,0
1588161600000,0.2926,0.2975,0.2879,0.297,502780.22,1588204799999,146883.240176,1017,235343.22,68966.858274,0
1588204800000,0.29600000000000004,0.3044,0.28,0.2902,411878.3,1588247999999,121567.872938,1065,205632.18,60789.27364500001,0
1588248000000,0.2885,0.293,0.2815,0.2835,220056.23,1588291199999,63015.607826,424,97745.12,27977.281139,0
1588291200000,0.2832,0.2999,0.2826,0.2953,145772.89,1588334399999,42907.902004,476,63445.88,18650.180937,0
1588334400000,0.297,0.297,0.2884,0.2927,108596.97,1588377599999,31838.975386,306,38219.49,11207.748846,0
1588377600000,0.2913,0.2994,0.2913,0.2933,138364.37,1588420799999,40935.94340400001,340,53955.54,16011.579578,0
1588420800000,0.295,0.2991,0.292,0.2991,247350.0,1588463999999,72991.93174500001,454,133231.16,39346.598015,0
1588464000000,0.2969,0.3005,0.2957,0.2981,179563.86,1588507199999,53537.014205,376,77112.02,23032.579577,0
1588507200000,0.2995,0.2997,0.287,0.2938,253368.19,1588550399999,74221.133837,538,123008.54,36237.210465,0
1588550400000,0.2959,0.2963,0.2761,0.2808,188183.07,1588593599999,53311.942892,364,68049.66,19420.262574,0
1588593600000,0.2819,0.2944,0.2818,0.2925,142744.84,1588636799999,41147.434568,332,65826.3,18954.612483,0
1588636800000,0.2915,0.2956,0.2873,0.2885,62984.73,1588679999999,18460.122551,210,30836.75,9062.464075,0
1588680000000,0.2885,0.3026,0.2858,0.3015,188429.13,1588723199999,55666.844356,513,87520.48,25785.483193,0
1588723200000,0.3015,0.3224,0.2974,0.3001,950597.26,1588766399999,292938.522,2007,488226.89,150416.00420599998,0
1588766400000,0.3003,0.3019,0.2849,0.2869,428355.96,1588809599999,126143.572497,952,224432.29,66154.921601,0
1588809600000,0.2867,0.2958,0.2801,0.2878,226831.26,1588852799999,65820.706826,454,86689.54,25096.78607,0
1588852800000,0.2887,0.2938,0.28,0.2895,184570.36,1588895999999,53197.11177,564,77420.43,22347.28294,0
1588896000000,0.2902,0.295,0.2853,0.2858,119250.25,1588939199999,34637.344908,411,52200.98,15201.305827000002,0
1588939200000,0.2867,0.3028,0.2858,0.2946,287066.61,1588982399999,85044.372727,716,114645.71,33909.819037,0
1588982400000,0.2938,0.3041,0.2908,0.2959,193369.5,1589025599999,58075.853577,381,61827.85,18496.882327,0
1589025600000,0.2981,0.3142,0.2938,0.2946,398546.62,1589068799999,121190.52823599998,897,157328.6,48033.479884,0
1589068800000,0.2946,0.2946,0.251,0.2654,403324.35,1589111999999,107429.289771,836,182679.08,48799.030182,0
1589112000000,0.2652,0.2696,0.249,0.2648,154708.95,1589155199999,40292.659085,503,70175.04,18326.406226,0
1589155200000,0.2649,0.2679,0.2501,0.2566,122565.71,1589198399999,31830.262954,548,45157.74,11676.494213,0
1589198400000,0.2586,0.2598,0.2415,0.257,294998.29,1589241599999,74671.321078,719,127436.86,32300.830206,0
1589241600000,0.257,0.2614,0.2529,0.26,124064.68,1589284799999,31870.581946,296,82396.56,21158.173035,0
1589284800000,0.2596,0.2625,0.2528,0.2565,123157.26,1589327999999,31764.799259,543,42282.86,10915.221125,0
1589328000000,0.2566,0.266,0.2552,0.263,149915.56,1589371199999,39129.951426,416,76221.91,19957.150415,0
1589371200000,0.263,0.281,0.2619,0.2712,282476.79,1589414399999,76372.295788,852,144609.08,39266.700951,0
