Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1552608000000,3.89,8.95,3.009,3.426,916.854,1552651199999,3371.234183,215,489.497,1900.319372,0
1552651200000,3.393,3.5010000000000003,3.366,3.4760000000000004,379.638,1552694399999,1304.181517,109,220.201,759.241396,0
1552694400000,3.513,3.687,3.402,3.402,667.742,1552737599999,2359.642427,148,346.392,1232.05062,0
1552737600000,3.4,3.5210000000000004,3.323,3.339,902.85,1552780799999,3049.472995,136,247.712,844.1561310000002,0
1552780800000,3.373,3.4,3.304,3.35,422.196,1552823999999,1414.388641,157,194.008,650.10843,0
1552824000000,3.363,3.365,3.309,3.3510000000000004,194.505,1552867199999,648.177421,50,80.01,267.463745,0
1552867200000,3.357,3.3760000000000003,3.293,3.37,345.895,1552910399999,1155.252801,71,122.833,410.978567,0
1552910400000,3.374,3.398,3.321,3.35,684.5160000000002,1552953599999,2311.523574,123,344.865,1165.4638619999996,0
1552953600000,3.35,3.379,3.295,3.338,307.572,1552996799999,1018.147703,121,265.629,879.0338519999998,0
1552996800000,3.337,3.556,3.325,3.425,6605.895,1553039999999,23022.776467,586,473.952,1625.517733,0
1553040000000,3.409,3.596,3.409,3.539,4094.088,1553083199999,14377.539048,422,832.6610000000002,2937.910761,0
1553083200000,3.551,3.606,3.509,3.587,314.501,1553126399999,1121.624914,113,135.398,483.83807,0
1553126400000,3.587,3.587,3.534,3.5580000000000003,101.428,1553169599999,361.399163,44,4.902,17.414434,0
1553169600000,3.595,3.688,3.551,3.645,363.885,1553212799999,1317.744517,198,134.5,487.673575,0
1553212800000,3.65,3.661,3.528,3.528,195.923,1553255999999,703.016109,90,126.379,455.057421,0
1553256000000,3.503,3.545,3.465,3.4730000000000003,582.089,1553299199999,2038.961621,139,286.42,1009.183691,0
1553299200000,3.503,3.516,3.435,3.483,574.2090000000002,1553342399999,1977.893627,102,457.518,1573.843492,0
1553342400000,3.475,3.502,3.448,3.477,264.021,1553385599999,917.600808,108,124.986,435.302711,0
1553385600000,3.5,3.579,3.043,3.051,1023.426,1553428799999,3369.1015,256,251.629,844.312325,0
1553428800000,3.062,3.181,3.011,3.055,287.671,1553471999999,884.752303,105,64.062,198.67009,0
1553472000000,3.0810000000000004,3.17,3.049,3.156,275.839,1553515199999,867.194942,83,228.032,717.687053,0
1553515200000,3.16,3.205,3.075,3.075,577.011,1553558399999,1801.319781,124,85.056,266.71831000000003,0
1553558400000,3.059,3.133,3.0380000000000003,3.13,450.505,1553601599999,1389.331631,109,285.374,882.0564300000002,0
1553601600000,3.138,3.215,3.1260000000000003,3.198,293.6690000000001,1553644799999,929.218372,97,150.28,477.613441,0
1553644800000,3.2110000000000003,3.269,3.108,3.2,275.033,1553687999999,870.2925730000002,88,79.134,250.403935,0
1553688000000,3.157,3.247,3.157,3.245,168.821,1553731199999,539.920139,65,95.693,306.289992,0
1553731200000,3.201,3.237,3.1630000000000003,3.1910000000000003,1657.93,1553774399999,5279.127197999999,334,1476.105,4701.242015,0
1553774400000,3.1910000000000003,3.214,3.137,3.159,1783.149,1553817599999,5672.367211,277,1710.037,5440.180526,0
1553817600000,3.17,3.214,3.119,3.214,405.167,1553860799999,1274.340494,99,366.642,1153.125644,0
1553860800000,3.193,3.285,3.193,3.239,1237.402,1553903999999,4041.141497,308,1133.284,3704.618449,0
1553904000000,3.26,3.3280000000000003,3.197,3.25,182.306,1553947199999,595.616829,134,94.702,311.182077,0
1553947200000,3.25,3.28,3.143,3.143,828.819,1553990399999,2692.3893980000007,235,732.43,2378.948286,0
1553990400000,3.156,3.196,3.01,3.056,523.457,1554033599999,1617.052041,160,218.989,677.727277,0
1554033600000,3.107,3.263,3.1,3.2,1062.381,1554076799999,3381.6013270000008,384,275.66900000000004,884.9237699999999,0
1554076800000,3.194,3.3280000000000003,3.16,3.184,858.9960000000002,1554119999999,2795.247872,259,414.366,1337.28502,0
1554120000000,3.184,3.386,3.181,3.365,608.84,1554163199999,1996.048475,225,266.85,874.689566,0
1554163200000,3.361,3.559,3.294,3.442,1439.2279999999996,1554206399999,4883.5670770000015,493,739.378,2515.315724,0
1554206400000,3.442,3.606,3.3160000000000003,3.532,1185.425,1554249599999,4056.121396,329,417.624,1429.527892,0
1554249600000,3.489,3.689,3.4,3.602,970.973,1554292799999,3457.673243,320,528.266,1884.020628,0
1554292800000,3.584,3.798,3.4530000000000003,3.544,884.702,1554335999999,3208.146981,391,329.1,1189.23064,0
1554336000000,3.534,3.534,3.36,3.419,800.7869999999998,1554379199999,2743.760091,248,586.4580000000002,2008.6355,0
1554379200000,3.4360000000000004,3.531,3.242,3.333,1162.357,1554422399999,3875.277284,376,610.514,2023.214974,0
1554422400000,3.3280000000000003,3.577,3.309,3.552,724.9839999999998,1554465599999,2475.314835,234,398.257,1369.206298,0
1554465600000,3.58,3.599,3.448,3.552,600.721,1554508799999,2116.329278,255,254.89,901.783279,0
1554508800000,3.5780000000000003,3.673,3.4560000000000004,3.498,519.975,1554551999999,1853.962712,188,101.139,365.233144,0
1554552000000,3.532,3.65,3.504,3.555,644.754,1554595199999,2310.941402,244,223.894,805.737904,0
1554595200000,3.575,3.648,3.569,3.639,301.58,1554638399999,1088.101802,146,105.49,382.714674,0
1554638400000,3.616,3.691,3.593,3.691,627.669,1554681599999,2275.8671,250,325.005,1182.3214039999998,0
1554681600000,3.664,3.906,3.664,3.808,534.7130000000002,1554724799999,2036.956868,337,177.245,670.260938,0
1554724800000,3.791,3.946,3.79,3.915,338.474,1554767999999,1303.185971,246,255.495,985.011985,0
1554768000000,3.922,3.983,3.725,3.801,808.567,1554811199999,3125.180212,326,341.483,1326.819649,0
1554811200000,3.773,3.799,3.671,3.706,447.854,1554854399999,1668.487109,173,261.291,973.0688,0
1554854400000,3.723,3.781,3.701,3.768,395.792,1554897599999,1481.109704,165,182.414,684.27697,0
1554897600000,3.771,3.912,3.762,3.875,592.511,1554940799999,2281.303931,301,197.858,764.930158,0
1554940800000,3.88,3.988,3.716,3.722,1519.754,1554983999999,5842.430915,374,446.133,1707.608927,0
1554984000000,3.735,3.91,3.717,3.766,332.077,1555027199999,1263.097572,184,102.578,392.456329,0
1555027200000,3.791,3.958,3.738,3.748,918.972,1555070399999,3550.9144200000005,286,486.114,1889.774474,0
1555070400000,3.748,3.761,3.563,3.575,909.37,1555113599999,3315.346151,326,529.88,1924.638037,0
1555113600000,3.607,3.642,3.514,3.522,372.281,1555156799999,1333.755735,193,94.699,342.041485,0
1555156800000,3.556,3.556,3.468,3.477,248.319,1555199999999,871.770142,122,134.67700000000002,473.770075,0
