Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1596758400000,10.0,10.18,9.83,10.16,13.13,1596801599999,131.9456,9,3.94,39.9112,0
1596801600000,10.84,12.3,10.4,10.4,12590.16,1596844799999,151147.8884,27,231.18,2547.3521,0
1596844800000,10.8,10.8,10.0,10.0,1058.24,1596887999999,10876.08,24,228.25,2374.9793,0
1596888000000,10.25,10.25,7.45,8.04,14566.61,1596931199999,120885.7051,126,8710.65,73839.8366,0
1596931200000,8.23,8.56,6.87,7.02,5718.44,1596974399999,44441.4672,107,2569.81,20745.1242,0
1596974400000,7.25,8.17,5.9,6.3,22925.76,1597017599999,159254.7293,284,10813.53,78396.5027,0
1597017600000,6.0,7.03,5.48,6.21,67145.25,1597060799999,440662.293,276,23421.65,150978.6092,0
1597060800000,6.1,6.25,3.86,3.98,133609.11,1597103999999,579244.3776,614,88509.55,383342.494,0
1597104000000,4.01,4.53,3.65,4.05,191458.95,1597147199999,772476.5783,893,101580.15,413287.731,0
1597147200000,4.08,5.37,4.06,4.5,215044.06,1597190399999,990158.5847,1276,121336.11,563512.9184,0
1597190400000,4.56,5.9,3.9,4.2,101626.08,1597233599999,490813.8281,797,46298.42,227340.3117,0
1597233600000,4.15,4.25,3.25,3.43,168048.74,1597276799999,601042.2459,768,67190.16,242184.5109,0
1597276800000,3.43,4.144,3.23,3.635,88671.67,1597319999999,327374.27006,489,37960.31,141610.34189,0
1597320000000,3.605,4.284,3.435,3.872,108610.2,1597363199999,418639.80489,446,67685.65,259450.70522,0
1597363200000,3.89,4.147,3.631,3.912,12930.65,1597406399999,50578.87284,184,7742.6,30360.083560000006,0
1597406400000,3.843,4.177,3.7,3.983,24222.81,1597449599999,97667.56923,100,14298.85,58111.2455,0
1597449600000,4.0,4.492,4.0,4.138,5518.46,1597492799999,23238.30216,65,3547.51,15032.08767,0
1597492800000,4.067,4.229,3.45,4.019,81655.84,1597535999999,302301.92982,182,28322.12,110258.69275,0
1597536000000,3.941,3.97,3.623,3.926,78147.0,1597579199999,298728.23577,84,43586.87,168039.02655,0
1597579200000,3.94,4.072,3.2510000000000003,3.526,64221.64,1597622399999,236434.80418,215,11950.51,42291.11966,0
1597622400000,3.6,3.854,3.6,3.654,6837.98,1597665599999,25313.06603,114,3315.3,12379.87754,0
1597665600000,3.737,4.085,3.659,4.063,27672.18,1597708799999,107282.96957,193,14551.57,56905.8191,0
1597708800000,4.0310000000000015,4.394,3.736,4.349,47244.09,1597751999999,183463.30385,127,44998.97,174612.37815,0
1597752000000,4.393,4.9,4.121,4.567,40270.55,1597795199999,182368.69189,215,18624.67,84385.62027999999,0
1597795200000,4.535,5.95,4.298,4.452,55590.69,1597838399999,278206.98653,326,42035.1,211030.08263,0
1597838400000,4.388,5.435,4.0939999999999985,4.856,14649.02,1597881599999,67977.93328,252,8174.14,38387.71816,0
1597881600000,4.816,5.379,4.433,4.521,9480.55,1597924799999,44924.66058,146,2286.48,11196.98181,0
1597924800000,4.391,4.564,3.87,4.0939999999999985,29986.91,1597967999999,121764.70781,261,15024.22,61063.53174,0
1597968000000,4.0939999999999985,4.9,3.97,4.874,31462.47,1598011199999,138676.48539000002,236,18575.12,82325.36623,0
1598011200000,4.839,5.564,4.685,5.563,20423.66,1598054399999,102730.41539,342,9511.73,47954.44137,0
1598054400000,5.437,5.792000000000002,5.0310000000000015,5.148,19233.38,1598097599999,103041.6851,312,8832.82,48167.88025,0
1598097600000,5.13,5.232,4.811,4.857,7198.85,1598140799999,36226.54309,144,2523.61,12816.08005,0
1598140800000,4.828,5.5,4.799,5.323,7271.26,1598183999999,37763.38409,161,4572.17,23929.84468,0
1598184000000,5.362,5.363,4.938,5.058,6346.2,1598227199999,32680.15992,118,2665.13,13787.187430000002,0
1598227200000,5.155,5.251,4.306,4.357,24646.28,1598270399999,112738.50761,378,10537.21,48237.88956,0
1598270400000,4.335,4.65,4.29,4.527,62330.42,1598313599999,276454.32864,382,19216.44,86567.461,0
1598313600000,4.466,4.999,4.466,4.699,47903.92,1598356799999,223378.45604,554,43424.96,202735.10271,0
1598356800000,4.779,5.5520000000000005,4.774,5.106,18269.4,1598399999999,94704.88541,363,10873.47,56688.15204,0
1598400000000,5.18,5.474,5.022,5.154,3106.43,1598443199999,16302.16088,118,1047.26,5545.24852,0
1598443200000,5.146,5.61,4.915,5.25,9089.78,1598486399999,48803.54099,140,5970.32,32263.4984,0
1598486400000,5.33,5.882999999999999,5.1960000000000015,5.882999999999999,4471.87,1598529599999,24852.29543,192,3603.24,20083.61832,0
1598529600000,5.882999999999999,6.232,5.439,5.867000000000001,11030.32,1598572799999,64432.63793,345,6793.23,39844.40212,0
1598572800000,5.867000000000001,6.1,5.57,5.61,3529.57,1598615999999,20324.16569,260,1826.72,10558.54176,0
1598616000000,5.596,5.849,5.556,5.641,5963.71,1598659199999,33971.70676,165,3696.31,21149.52522,0
1598659200000,5.707999999999998,5.847,5.416,5.638,1684.35,1598702399999,9483.73939,109,425.2,2415.43032,0
1598702400000,5.641,5.655,5.209,5.31,1265.64,1598745599999,6850.19925,80,862.52,4684.81881,0
1598745600000,5.3039999999999985,5.488,5.143,5.4860000000000015,2134.72,1598788799999,11525.928999999998,45,1868.61,10130.05996,0
1598788800000,5.382999999999999,5.465,5.25,5.306,1339.77,1598831999999,7104.8036,49,1046.83,5540.46895,0
1598832000000,5.271,5.609,5.018,5.507999999999999,3505.39,1598875199999,18519.94822,130,2360.84,12419.66528,0
1598875200000,5.365,5.789,5.283,5.728,2110.83,1598918399999,11816.02419,78,819.46,4587.43389,0
1598918400000,5.79,5.976,5.3439999999999985,5.5,1330.76,1598961599999,7323.40963,88,562.51,3154.62507,0
