Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1596758400000,10.0,10.05,9.67,9.67,11219.62,1596801599999,111286.6147,86,9103.65,90294.8046,0
1596801600000,9.95,10.0,7.5,8.45,25196.36,1596844799999,203119.4425,227,8827.96,76362.3412,0
1596844800000,8.41,8.9,8.18,8.9,9525.41,1596887999999,81664.1197,136,6426.18,55192.1365,0
1596888000000,8.93,11.21,8.68,10.47,44190.03,1596931199999,452616.2506,1436,26406.84,269385.7805,0
1596931200000,10.46,12.0,9.72,11.5,52047.91,1596974399999,570547.5657,1745,31868.84,349243.959,0
1596974400000,11.52,13.42,10.38,12.63,80170.84,1597017599999,991031.3083,2378,31214.23,386538.2839,0
1597017600000,12.64,14.4,10.09,12.45,217540.87,1597060799999,2544190.6351,4661,102347.42,1229260.5808,0
1597060800000,12.45,17.39,12.03,16.86,90509.28,1597103999999,1310036.9989,2685,51134.49,745400.1837,0
1597104000000,17.1,18.41,15.0,16.43,57842.42,1597147199999,958241.9716,2769,30312.21,506974.6149,0
1597147200000,16.41,16.45,13.18,14.91,64315.17,1597190399999,943922.2343,1930,35477.33,522005.2598,0
1597190400000,14.8,15.9,12.47,15.26,71014.63,1597233599999,981976.3881,1136,40754.47,565207.5094,0
1597233600000,15.26,17.95,15.08,17.15,76497.62,1597276799999,1264368.9097,1692,39608.93,659164.4394,0
1597276800000,17.12,17.87,14.299,16.08,37876.21,1597319999999,610645.7299,1082,12473.52,198519.21148,0
1597320000000,16.18,16.98,14.02,15.316,42489.41,1597363199999,650132.7545899999,1067,14245.99,222028.4148,0
1597363200000,15.247,15.87,14.576,15.092,8914.12,1597406399999,134800.6764,294,4677.33,71377.93218999999,0
1597406400000,15.220999999999998,15.658,14.36,15.068,10986.65,1597449599999,163749.48358,429,5589.96,83194.23414,0
1597449600000,15.13,15.4,13.723,14.461,7750.87,1597492799999,111690.73861,344,4128.91,59754.37845,0
1597492800000,14.513,16.129,14.249,14.513,31429.15,1597535999999,480110.8723,881,20241.92,309932.91944,0
1597536000000,14.64,15.565,14.405,14.656,8173.47,1597579199999,122919.99838,336,4716.72,71338.66704,0
1597579200000,14.546,16.617,14.1,15.659,32511.56,1597622399999,513367.63595,735,18924.29,298924.81889,0
1597622400000,15.621,15.755999999999998,14.78,15.362,9514.37,1597665599999,144643.20380999998,336,2620.07,40147.75711000001,0
1597665600000,15.277,15.365,14.233,14.329,20514.4,1597708799999,302750.49689,712,8899.44,131514.46052999998,0
1597708800000,14.401,15.13,13.34,13.493,10960.17,1597751999999,159204.85807000002,346,6225.68,90632.86633,0
1597752000000,13.494000000000002,14.026,12.061,12.880999999999998,18754.72,1597795199999,247490.05167,658,10777.77,144134.04289,0
1597795200000,13.081,13.562,10.2,12.244000000000002,84272.58,1597838399999,962492.89786,787,45172.52,519124.99933,0
1597838400000,12.163,12.714,10.1,11.166,14701.89,1597881599999,165102.66635,462,5997.94,67827.29944,0
1597881600000,11.331,11.643,10.322,11.536,18307.72,1597924799999,199199.42671,208,12195.35,133700.14332,0
1597924800000,11.6,12.595999999999998,11.3,12.16,82496.79,1597967999999,983780.04567,791,43804.62,523041.48363999993,0
