Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1569283200000,1.015,1.11,0.97,1.0359,275185.22,1569326399999,292017.27133,883,116626.57,124498.815866,0
1569326400000,1.0329,1.0373,0.775,0.8597,537520.04,1569369599999,504236.32274,2267,210136.93,197844.115344,0
1569369600000,0.8711,0.9122,0.8131,0.8223,169296.22,1569412799999,144967.848612,840,89810.58,77053.888226,0
1569412800000,0.8213,0.89,0.8101,0.8517,173671.09,1569455999999,148004.197594,911,70638.0,60071.48604400001,0
1569456000000,0.8521,0.9068,0.8323,0.9036,121706.83,1569499199999,104564.689908,599,40623.4,35118.516646,0
1569499200000,0.9031,0.9086,0.81,0.8503,284353.68,1569542399999,240285.257673,1092,111944.42,94134.446227,0
1569542400000,0.8451,0.8502,0.81,0.8392,119011.42,1569585599999,98420.755898,519,36470.3,30556.839465,0
1569585600000,0.8441,0.8979,0.8307,0.8845,138122.78,1569628799999,119256.815993,566,82997.94,71985.256274,0
1569628800000,0.8866,0.9024,0.8605,0.894,105491.69,1569671999999,92833.005298,568,54971.52,48544.595965,0
1569672000000,0.8919,0.94,0.8801,0.8902,146312.91,1569715199999,132058.614679,545,89658.28,80997.54432100001,0
1569715200000,0.8966,0.9058,0.8716,0.9046,50587.56,1569758399999,44963.387822,373,33296.35,29647.964901,0
1569758400000,0.9048,0.9048,0.8565,0.8817,103222.96,1569801599999,90920.688486,519,42197.1,37334.548592,0
1569801600000,0.8743,0.8812,0.8405,0.8783,192112.83,1569844799999,164594.428615,621,74040.41,63565.266802,0
1569844800000,0.8796,0.9169,0.8754,0.9018,103636.53,1569887999999,92999.350544,460,60778.03,54648.71705399999,0
1569888000000,0.9016,0.9444,0.895,0.9436,130210.15,1569931199999,119732.263601,470,99722.59,91596.818485,0
1569931200000,0.9423,0.992,0.9315,0.9502,149143.05,1569974399999,143066.779524,949,97327.26,93449.673441,0
1569974400000,0.9482,0.9482,0.8854,0.8967,170379.36,1570017599999,154704.094518,601,64357.6,58148.18179700001,0
1570017600000,0.8946,0.9479,0.8946,0.9428,73927.29,1570060799999,68091.630813,493,43108.72,39571.826181,0
1570060800000,0.9427,0.9627,0.9128,0.9392,61501.37,1570103999999,57769.41912000001,567,30161.35,28490.740189,0
1570104000000,0.9434,0.9465,0.9071,0.9299,156813.35,1570147199999,143698.279228,711,78738.01,72199.269223,0
1570147200000,0.9306,0.9306,0.8967,0.911,85812.28,1570190399999,77897.943927,611,19371.78,17664.639597,0
1570190400000,0.915,0.9275,0.9114,0.9194,36524.69,1570233599999,33595.515476,327,15135.16,13937.456835,0
1570233600000,0.9155,0.9192,0.9061,0.9111,53386.84,1570276799999,48807.485167,228,30335.11,27753.685686,0
1570276800000,0.9096,0.9136,0.8983,0.9094,40400.48,1570319999999,36625.660349,368,15583.98,14142.118246,0
1570320000000,0.9114,0.9133,0.8726,0.8886,118972.9,1570363199999,104862.305562,472,40603.43,35857.308571,0
1570363200000,0.8886,0.8919,0.86,0.8641,118593.49,1570406399999,103414.756017,767,51261.29,44668.693221,0
1570406400000,0.863,0.9118,0.8503,0.904,136727.97,1570449599999,122151.731387,600,91531.76,82292.451787,0
1570449600000,0.904,0.9238,0.8951,0.8983,198071.58,1570492799999,179625.879056,991,79577.58,72201.893948,0
1570492800000,0.8983,0.913,0.8949,0.9061,78364.49,1570535999999,70906.720382,418,31718.7,28655.380148,0
1570536000000,0.9052,0.909,0.8893,0.8982,83665.03,1570579199999,74980.999194,356,36719.63,32942.559267000004,0
1570579200000,0.8972,0.9375,0.89,0.9315,141208.27,1570622399999,128374.788863,660,105175.41,95710.800974,0
1570622400000,0.9321,0.9591,0.9321,0.9332,234192.46,1570665599999,220595.885506,1058,118876.26,112207.706805,0
1570665600000,0.9354,0.9478,0.919,0.9313,125618.8,1570708799999,117206.422539,912,71481.57,66781.39754600001,0
1570708800000,0.9268,0.9301,0.9111,0.914,65910.29,1570751999999,60601.13281,336,33412.7,30739.512001,0
1570752000000,0.9146,0.9196,0.8759999999999999,0.8993,149515.72,1570795199999,134083.271977,833,79122.25,70977.97579400001,0
1570795200000,0.8993,0.9121,0.8846,0.9052,109467.57,1570838399999,98458.066365,685,35758.69,32184.692228,0
1570838400000,0.9082,0.9121,0.903,0.9042,32756.31,1570881599999,29733.730362,258,15225.18,13830.427164,0
1570881600000,0.9047,0.9091,0.89,0.89,40088.66,1570924799999,36078.45009100001,247,13719.54,12413.734169,0
1570924800000,0.8904,0.8966,0.8836,0.8928,38517.15,1570967999999,34328.876742,229,17711.86,15795.023425,0
1570968000000,0.895,0.9362,0.895,0.9031,141355.34,1571011199999,129587.938174,606,62428.59,57520.232873,0
1571011200000,0.8993,0.9255,0.8954,0.9149,124506.36,1571054399999,113622.210431,299,53824.36,49156.793711,0
1571054400000,0.9149,0.9373,0.9103,0.9363,84647.44,1571097599999,78429.008312,345,54709.97,50850.972386,0
