Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1601942400000,0.0003769,0.0009101,0.00011740000000000002,0.0003113,8059911.13,1601985599999,3502.19231909,127284,4397397.81,2024.77390569,0
1601985600000,0.00031239999999999995,0.000371,0.000265,0.00032539999999999994,2354704.12,1602028799999,746.55963584,37300,1124041.25,361.51560844,0
1602028800000,0.0003273,0.0003326,0.0002301,0.00025830000000000004,1205778.68,1602071999999,310.96311036,21431,522464.95,135.56655494,0
1602072000000,0.00025830000000000004,0.00032110000000000005,0.0002498,0.0002552,1018797.93,1602115199999,287.1466709,21982,462348.26,131.05784648,0
1602115200000,0.0002562,0.0002695,0.00024090000000000006,0.00026230000000000003,344656.54,1602158399999,87.03452472,7465,145913.44,36.78633012,0
1602158400000,0.00026210000000000003,0.00028930000000000004,0.0002407,0.0002476,600267.35,1602201599999,156.63163969,15415,261523.02,68.51895193,0
1602201600000,0.0002476,0.00026710000000000004,0.0002386,0.0002527,295715.59,1602244799999,73.94705098,7356,123481.54,31.06143465,0
1602244800000,0.0002541,0.0002654,0.000243,0.0002513,301873.24,1602287999999,75.26916707,4760,123224.09,30.83192748,0
1602288000000,0.0002501,0.000257,0.0002206,0.0002234,320920.86,1602331199999,76.26781641,6681,146178.45,34.78025287,0
1602331200000,0.0002235,0.0002328,0.0002192,0.0002235,112920.22,1602374399999,25.54886867,2394,50728.25,11.48441558,0
1602374400000,0.0002236,0.0002266,0.0002008,0.0002062,235680.38,1602417599999,49.44218252,5516,98424.81,20.65364584,0
1602417600000,0.0002062,0.0002237,0.0002023,0.0002166,186933.41,1602460799999,39.34066812,3184,87188.95,18.34076645,0
1602460800000,0.0002171,0.0002323,0.0002134,0.0002202,145245.33,1602503999999,32.47275619,5239,74790.38,16.7436461,0
1602504000000,0.000219,0.0002225,0.0002,0.000207,150741.05,1602547199999,31.60251358,4209,42607.88,9.07346695,0
1602547200000,0.0002072,0.000212,0.0002012,0.0002074,87118.3,1602590399999,17.99520976,2405,30173.44,6.25438151,0
1602590400000,0.0002068,0.00029360000000000003,0.0001942,0.0002385,679013.45,1602633599999,170.74254209999995,12769,320175.73,80.97013587,0
1602633600000,0.0002386,0.00028700000000000004,0.0002285,0.0002597,881573.2,1602676799999,228.21980974,21276,430824.41,111.64307657,0
1602676800000,0.00026010000000000003,0.000263,0.000227,0.0002281,369401.31,1602719999999,91.31979112,8283,171486.92,42.44889032,0
1602720000000,0.0002285,0.0002459,0.0002238,0.0002371,133644.76,1602763199999,31.26534966,4766,68674.38,16.05660041,0
1602763200000,0.000238,0.0002607,0.000229,0.0002385,220311.75,1602806399999,53.0601249,9823,108250.8,26.08949684,0
1602806400000,0.0002394,0.0002577,0.0002369,0.0002463,127894.6,1602849599999,31.59752104,7343,52024.63,12.86827948,0
1602849600000,0.0002463,0.0002926,0.0002463,0.0002785,340267.6,1602892799999,92.71767286,20733,169895.21,46.35817499,0
1602892800000,0.000279,0.00043,0.0002727,0.000401,1151291.47,1602935999999,400.5170588,33785,629323.08,217.80909357,0
1602936000000,0.0003993000000000001,0.0004248,0.00033410000000000004,0.0003736,1136485.68,1602979199999,422.23673805,36772,567378.39,210.81717421,0
1602979200000,0.0003735,0.0004193000000000001,0.0003369,0.00034789999999999995,584955.87,1603022399999,218.87506741,24619,272239.57,102.17520376,0
1603022400000,0.0003478,0.0003487,0.000295,0.0003085,605888.34,1603065599999,190.77417784,18255,244329.2,77.07048423,0
1603065600000,0.0003085,0.0003252,0.000283,0.0003104,303885.29,1603108799999,91.53926917,11832,137442.72,41.30867395,0
1603108800000,0.0003105,0.0003188,0.0002757,0.000277,261695.83,1603151999999,76.77822115,8454,106849.38,31.30556466,0
1603152000000,0.000277,0.0002883,0.0002479,0.0002566,255931.59,1603195199999,67.88551813,8457,107585.99,28.43222811,0
1603195200000,0.00025669999999999995,0.000268,0.00023,0.0002466,295398.81,1603238399999,72.28827054,10889,136968.88,33.62252316,0
1603238400000,0.0002459,0.0002713,0.0002358,0.0002393,313495.1,1603281599999,77.6294503,11008,143350.38,35.46594413,0
1603281600000,0.0002391,0.0003131,0.00023530000000000005,0.00030010000000000003,681414.89,1603324799999,189.18086028,19238,352828.81,97.69744951,0
1603324800000,0.00030039999999999993,0.00030950000000000004,0.00026030000000000004,0.0002664,333196.22,1603367999999,92.7520953,13206,141240.68,39.56463132,0
1603368000000,0.0002662,0.00028900000000000003,0.00025550000000000003,0.0002597,291737.86,1603411199999,78.11324783,11756,134799.97,36.05082187,0
1603411200000,0.0002597,0.00028050000000000004,0.0002589,0.000264,152252.81,1603454399999,41.11755008,6728,60846.72,16.46601365,0
1603454400000,0.0002641,0.0002685,0.0002442,0.00024670000000000003,172035.13,1603497599999,44.16204148,6036,73771.77,18.92168106,0
1603497600000,0.00024530000000000005,0.0002631,0.0002407,0.0002541,178888.65,1603540799999,44.78965823,5898,87306.65,21.79819745,0
1603540800000,0.0002545,0.000273,0.00024870000000000003,0.0002673,156308.35,1603583999999,40.13719294,4639,82462.97,21.14100939,0
1603584000000,0.0002672,0.0002746000000000001,0.0002479,0.000251,190243.62,1603627199999,49.52874872,4810,98900.73,25.72664239,0
1603627200000,0.0002515,0.00028930000000000004,0.0002503,0.0002774,216281.65,1603670399999,58.38673996,8044,111957.7,30.21710554,0
1603670400000,0.0002772,0.0002977,0.0002659,0.0002901,300434.12,1603713599999,84.70439595,11059,141958.56,39.89316537,0
1603713600000,0.00028989999999999995,0.00030780000000000005,0.0002375,0.0002471,760831.97,1603756799999,203.47288462,22336,296394.06,79.79170392,0
1603756800000,0.0002478,0.000257,0.0002272,0.0002352,271086.95,1603799999999,64.65475135,6798,123865.51,29.54650813,0
1603800000000,0.00023480000000000004,0.0002416,0.0002137,0.000224,207327.64,1603843199999,47.06929755,5648,96576.07,21.83916765,0
1603843200000,0.0002242,0.0002366,0.0002164,0.0002245,177537.98,1603886399999,39.98665077,5370,84739.35,19.19067664,0
1603886400000,0.0002246,0.0002317,0.0002167,0.0002182,126308.96,1603929599999,28.52862416,3111,56592.26,12.77394732,0
1603929600000,0.0002186,0.0002225,0.0001971,0.0001982,178468.29,1603972799999,37.14390017,5780,68549.82,14.226279000000002,0
1603972800000,0.0001986,0.0002622,0.0001952,0.0002196,419679.18,1604015999999,96.33577153,14146,217081.46,49.92329841,0
1604016000000,0.0002196,0.0002339,0.0002071,0.0002216,148185.72,1604059199999,32.43987205,5006,65995.03,14.5081792,0
1604059200000,0.0002219,0.0002229,0.00020340000000000004,0.0002092,124017.4,1604102399999,26.32497256,4505,51204.17,10.882508,0
1604102400000,0.0002088,0.00022030000000000004,0.0002,0.000202,111800.91,1604145599999,23.14325119,4020,45605.64,9.5195721,0
1604145600000,0.000202,0.0002056,0.0001916,0.0001931,54549.08,1604188799999,10.83339774,2092,19383.87,3.86759273,0
1604188800000,0.0001932,0.0001991,0.0001858,0.0001925,68940.35,1604231999999,13.23790255,2408,27520.74,5.29334004,0
1604232000000,0.00019180000000000005,0.0001965,0.0001869,0.0001931,63517.34,1604275199999,12.12927119,1797,28114.36,5.36590637,0
1604275200000,0.0001933,0.0002019,0.0001919,0.0001949,45100.56,1604318399999,8.87750087,1296,17085.8,3.37932338,0
1604318400000,0.000195,0.0002311,0.00017309999999999998,0.00018,405598.84,1604361599999,77.91972831,8887,209691.78,40.3740324,0
1604361600000,0.0001801,0.0001867,0.0001647,0.00017,237346.1,1604404799999,41.01804041,4936,120535.14,20.86685862,0
1604404800000,0.00017,0.000171,0.00015659999999999998,0.0001605,122354.49,1604447999999,20.00093278,8028,61479.5,10.05042825,0
1604448000000,0.0001601,0.0001651,0.0001538,0.00015900000000000002,75209.69,1604491199999,11.90418276,2077,37305.25,5.91565851,0
1604491200000,0.0001588,0.00015900000000000002,0.0001481,0.00015319999999999998,87774.59,1604534399999,13.43322111,2050,45751.73,7.00797737,0
1604534400000,0.0001528,0.0001822,0.000152,0.00015649999999999998,212841.1,1604577599999,35.49016502,5060,106223.85,17.63315875,0
1604577600000,0.00015759999999999998,0.0001691,0.00014869999999999998,0.00015619999999999995,131492.4,1604620799999,20.88830468,2673,60206.66,9.56779356,0
1604620800000,0.0001561,0.0001767,0.000154,0.0001729,114824.44,1604663999999,18.84942725,2938,45487.31,7.46434809,0
