Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1601942400000,4.0,9.482,1.159,3.353,11455136.0,1601985599999,46200704.75167,160822,5487429.712,22720568.845019,0
1601985600000,3.349,3.888,2.8,3.46,2532870.65,1602028799999,8433932.715900999,51961,1080760.199,3618165.3138440005,0
1602028800000,3.4610000000000003,3.52,2.44,2.735,1731829.024,1602071999999,4744539.8816760015,36555,760026.6579999998,2076303.954878,0
1602072000000,2.75,3.395,2.657,2.732,1681924.251,1602115199999,5048454.035521,31090,935408.218,2834046.662052,0
1602115200000,2.72,2.849,2.55,2.769,611758.079,1602158399999,1635849.861547,11325,246980.226,664170.824188,0
1602158400000,2.768,3.082,2.6210000000000004,2.7030000000000003,1084130.39,1602201599999,3063019.98328,16792,447436.99,1266673.302384,0
1602201600000,2.7030000000000003,2.93,2.603,2.8,738286.38,1602244799999,2025681.699474,15371,361952.591,997353.807129,0
1602244800000,2.7960000000000003,2.91,2.68,2.765,533630.675,1602287999999,1473703.3628,7837,212400.758,587424.416559,0
1602288000000,2.765,2.8480000000000003,2.496,2.532,699028.5090000001,1602331199999,1873296.926216,9828,246728.468,662826.213424,0
1602331200000,2.527,2.625,2.475,2.516,277117.773,1602374399999,707202.21103,5572,133235.299,341099.42017600004,0
1602374400000,2.524,2.568,2.272,2.35,567789.297,1602417599999,1360431.627082,8029,254435.161,609999.981988,0
1602417600000,2.347,2.54,2.305,2.465,359663.441,1602460799999,864626.422202,6641,150259.172,361672.59736,0
1602460800000,2.465,2.649,2.43,2.465,641634.375,1602503999999,1628170.12579,7442,434588.70700000005,1103539.481098,0
1602504000000,2.464,2.542,2.358,2.389,373322.51700000005,1602547199999,912981.483675,6339,151500.02,370233.690738,0
1602547200000,2.389,2.456,2.35,2.383,268828.076,1602590399999,639274.783361,5391,91768.025,218456.302233,0
1602590400000,2.379,3.35,2.213,2.725,1706340.8909999996,1602633599999,4847266.9134559985,21233,1110702.658,3200974.610203,0
1602633600000,2.7260000000000004,3.262,2.63,2.962,2124076.338,1602676799999,6275334.132685,31232,1195041.873,3527301.968479,0
1602676800000,2.957,3.0,2.59,2.6060000000000003,700061.3259999999,1602719999999,1965505.532485,12970,271897.80600000004,765772.327647,0
1602720000000,2.6060000000000003,2.814,2.543,2.675,466869.131,1602763199999,1245443.050288,9563,198580.146,531928.8588170001,0
1602763200000,2.673,2.972,2.62,2.741,817040.5329999998,1602806399999,2252342.559234,13549,485358.692,1338286.346769,0
1602806400000,2.738,2.97,2.7,2.799,519980.529,1602849599999,1456978.5599379996,10792,228126.067,642704.78078,0
