Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1602720000000,57946.0,299997.0,21109.0,52502.0,302.472,1602763199999,16209739.306,159,50.062,2760488.014,0
1602763200000,53398.0,55689.0,49271.0,49348.0,365.057,1602806399999,18798347.28,98,89.896,4897619.672,0
1602806400000,48749.0,49728.0,41957.0,48166.0,60.584,1602849599999,2907027.631,26,3.615,172908.815,0
1602849600000,47550.0,47550.0,47550.0,47550.0,0.64,1602892799999,30432.0,1,0.0,0.0,0
1602892800000,47006.0,49040.0,47006.0,49040.0,3.765,1602935999999,179841.974,6,0.31,14730.393999999998,0
1602936000000,48192.0,48549.0,47272.0,47272.0,2.303,1602979199999,110326.623,6,2.101,100544.001,0
1602979200000,46687.0,46687.0,45840.0,46453.0,4.739,1603022399999,219421.911,6,0.55,25549.15,0
1603022400000,45892.0,46695.0,45659.0,46479.0,20.31,1603065599999,932495.478,11,3.853,179654.803,0
1603065600000,46906.0,46906.0,43826.0,43921.0,50.274,1603108799999,2280975.724,29,39.331,1791209.613,0
1603108800000,44186.0,45168.0,41274.0,41395.0,226.05,1603151999999,9750948.026,122,56.98,2429152.736,0
1603152000000,40565.0,41372.0,37903.0,39812.0,187.209,1603195199999,7404681.015,92,43.323,1702387.466,0
1603195200000,40737.0,40737.0,37394.0,37394.0,371.679,1603238399999,14240824.745,131,35.675,1384400.988,0
1603238400000,36866.0,39698.0,36440.0,39698.0,84.493,1603281599999,3234999.57,55,54.679,2117141.973,0
1603281600000,38967.0,41619.0,38967.0,40033.0,56.898,1603324799999,2283783.417,37,23.941,974045.138,0
1603324800000,39404.0,41198.0,37902.0,41198.0,122.687,1603367999999,4744058.142,43,63.167,2459813.191,0
1603368000000,40652.0,44803.0,40230.0,42262.0,546.65,1603411199999,23505357.08,232,187.816,8065788.997,0
1603411200000,42262.0,46685.0,41759.0,45860.0,184.955,1603454399999,8358753.182,110,89.34200000000001,4037773.286,0
1603454400000,45576.0,47822.0,43360.0,47167.0,295.492,1603497599999,13357639.418,157,122.934,5520529.419,0
1603497600000,46761.0,47950.0,44943.0,46055.0,124.359,1603540799999,5790282.208,66,47.588,2264840.564,0
1603540800000,45595.0,45946.0,43748.0,45117.0,132.379,1603583999999,5930725.217,39,109.742,4918767.968,0
1603584000000,43917.0,45878.0,43665.0,44317.0,60.591,1603627199999,2678325.419,26,24.674,1096944.268,0
1603627200000,44317.0,44317.0,42365.0,42580.0,123.512,1603670399999,5341274.576,38,23.911,1030358.444,0
1603670400000,42391.0,43983.0,42391.0,43532.0,52.941,1603713599999,2264025.422,20,39.12300000000001,1671025.0259999996,0
1603713600000,43084.0,43084.0,39699.0,40656.0,133.844,1603756799999,5497331.639,106,33.111999999999995,1361074.309,0
