Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1603238400000,0.04792,0.05487,0.0403,0.04245,5487193.1,1603281599999,248440.077852,1687,2579991.1,118998.946085,0
1603281600000,0.04241,0.04501,0.03978,0.04284,2312757.2,1603324799999,99309.054578,916,1162143.2,50417.921589,0
1603324800000,0.04357,0.04481,0.04198,0.04287,1376060.4,1603367999999,59227.957071,588,804640.6,34663.309535,0
1603368000000,0.04354,0.0484,0.04149,0.04311,2948072.5,1603411199999,130058.191103,1005,1425516.4,61723.036885,0
1603411200000,0.04278,0.04283,0.03904,0.04143,372578.1,1603454399999,15263.658618,256,174132.3,7144.681337000001,0
1603454400000,0.04191,0.04356,0.03966,0.0423,198657.8,1603497599999,8374.528309000001,177,125661.2,5292.269677,0
1603497600000,0.04264,0.048,0.04123,0.04349,434211.8,1603540799999,19148.704321,344,289880.3,12793.772596,0
1603540800000,0.04365,0.0469,0.04361,0.04635,100204.7,1603583999999,4528.657857,120,57081.9,2591.303056,0
1603584000000,0.04635,0.048,0.0427,0.04514,233447.5,1603627199999,10302.442065,180,139634.5,6149.856769,0
1603627200000,0.04481,0.04485,0.042,0.04425,143701.3,1603670399999,6305.070122,100,91788.1,4021.536833,0
1603670400000,0.04425,0.04871,0.04425,0.04502,231175.1,1603713599999,10689.829088,313,139958.9,6518.320686,0
1603713600000,0.04525,0.04689,0.04274,0.04358,671745.7,1603756799999,29367.263280000006,437,528631.5,22991.976130000006,0
1603756800000,0.044160000000000005,0.04616,0.04282,0.04378,140563.4,1603799999999,6135.700713,101,11603.7,509.1024900000001,0
1603800000000,0.04363,0.04496,0.042,0.04385,97451.1,1603843199999,4236.69899,121,42419.0,1860.988891,0
1603843200000,0.04351,0.051,0.04229,0.0428,526251.2,1603886399999,23524.395542,431,256549.7,11704.758768000003,0
1603886400000,0.04316,0.04749,0.04227,0.04395,622704.5,1603929599999,27460.937231,622,218804.7,9740.712472,0
1603929600000,0.04371,0.04499,0.04292,0.04292,786527.1,1603972799999,34447.896529000005,1362,491146.6,21564.174371,0
1603972800000,0.0433,0.0444,0.0423,0.04369,966246.8,1604015999999,41837.742899,691,599423.8,25986.761297,0
1604016000000,0.0435,0.04415,0.04028,0.04093,2428970.4,1604059199999,101627.144989,953,709562.3,29938.570007,0
1604059200000,0.0409,0.04214,0.04,0.041760000000000005,3047923.6,1604102399999,125241.214537,1142,980013.0,40329.240059,0
1604102400000,0.04181,0.04251,0.04125,0.04185,5893911.8,1604145599999,247517.43609,2910,3153009.9,132422.60876099998,0
1604145600000,0.0419,0.04219,0.041,0.04154,4946625.9,1604188799999,205901.84175,2410,2561591.0,106619.656061,0
1604188800000,0.04155,0.04331,0.04103,0.04191,7771835.7,1604231999999,325091.774532,3764,3691719.4,154415.12948,0
1604232000000,0.04191,0.04459,0.04188,0.04388,9563348.3,1604275199999,408775.459053,4355,4646713.4,198604.416468,0
1604275200000,0.04388,0.0441,0.04175,0.04215,13894881.0,1604318399999,591782.93857,9963,7477968.9,318343.47875300003,0
1604318400000,0.04216,0.04245,0.04147,0.04213,23131827.6,1604361599999,970365.452593,12389,12126650.4,508831.799732,0
1604361600000,0.04223,0.04238,0.04053,0.04112,35988595.4,1604404799999,1484117.454873,21990,17894256.3,738146.64601,0
1604404800000,0.04109,0.0433,0.04058,0.04182,37439034.4,1604447999999,1554772.671419,27902,19855376.4,823267.3302760002,0
1604448000000,0.04182,0.04262,0.03899,0.04118,227246695.9,1604491199999,9399522.351795,50001,114649884.7,4742431.474739,0
1604491200000,0.04117,0.04198,0.03832,0.04001,194763093.9,1604534399999,7914207.847921001,37820,105248759.5,4271679.700325,0
1604534400000,0.04011,0.04224,0.0387,0.04007,935295.0,1604577599999,38108.38713,522,502014.8,20474.84052,0
