Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1581379200000,4.691,21.0,4.691,4.828,331.467,1581422399999,1589.270654,18,273.92400000000004,1316.679815,0
1581422400000,4.9289999999999985,5.23,4.887,5.1370000000000005,4623.03,1581465599999,23352.485463,128,2919.223,14807.978824000002,0
1581465600000,5.136,5.339,5.122999999999998,5.187,6214.9209999999985,1581508799999,32535.645113,146,1993.466,10447.557836,0
1581508800000,5.169,5.265,5.06,5.146,5808.647,1581551999999,30115.748789,140,2187.361,11351.743664,0
1581552000000,5.138,5.268,4.834,4.9030000000000005,13064.805,1581595199999,67418.956392,311,8945.106,46628.286711,0
1581595200000,4.918,5.086,4.854,4.882,2903.225,1581638399999,14469.239703,114,1500.934,7521.906915,0
1581638400000,4.89,4.99,4.89,4.963,1863.249,1581681599999,9188.813363,56,1428.621,7050.275378,0
1581681600000,4.965,5.12,4.953,5.1080000000000005,1925.188,1581724799999,9700.465479,61,770.5,3897.377239,0
1581724800000,5.135,5.141,4.974,5.017,1087.849,1581767999999,5477.976086,42,402.154,2020.923716,0
1581768000000,5.009,5.033,4.4030000000000005,4.586,8338.963,1581811199999,38615.765963,182,838.694,3862.518826,0
1581811200000,4.574,4.739,4.569,4.5939999999999985,4945.697,1581854399999,22982.179341,146,2755.763,12752.101847,0
1581854400000,4.598,4.598,4.008,4.399,10819.452,1581897599999,46944.10999100001,312,6422.031999999998,27975.925745,0
1581897600000,4.384,4.416,3.986,4.026,18459.726,1581940799999,76575.354986,457,13946.109,57739.143644,0
1581940800000,4.021,4.276,3.904,4.256,13158.268,1581983999999,53711.92133,294,7843.7530000000015,32084.482382,0
1581984000000,4.282,4.282,4.098,4.142,8328.935,1582027199999,34951.064723,198,2859.85,12030.698476,0
1582027200000,4.124,4.499,3.971,4.441,7417.626,1582070399999,31474.630386,176,3961.46,16805.159077,0
1582070400000,4.401,4.598,4.295,4.598,3392.533,1582112139039,14899.710413,83,1814.486,7985.407448999998,0
1582113600000,4.563,4.688,4.119,4.1530000000000005,2787.88,1582156799999,12338.839832,134,1020.335,4546.644882,0
1582156800000,4.157,4.3,4.12,4.168,5535.712,1582199999999,23365.60136,203,3749.354,15817.674147,0
1582200000000,4.188,4.545,4.129,4.454,9202.111,1582243199999,39783.002308,313,4819.544,20914.901571,0
1582243200000,4.447,4.859,4.427,4.834,14133.364,1582286399999,66037.634198,471,9169.713,42974.613708,0
1582286400000,4.847,4.974,4.56,4.936,21066.961,1582329599999,99264.213379,496,7004.03,33098.391766,0
1582329600000,4.966,5.1,4.654,4.807,23393.013,1582372799999,114000.176571,555,14758.958,72030.765021,0
1582372800000,4.847,5.1,4.805,5.026,14031.079,1582415999999,69706.055145,357,8865.276,44072.125426,0
1582416000000,5.037,5.063,4.813,4.819,10220.963,1582459199999,50616.826371,283,5733.227,28417.735395,0
1582459200000,4.816,4.877,4.76,4.841,4950.906,1582502399999,23829.641613,135,2863.697,13797.829006999998,0
1582502400000,4.812,4.942,4.59,4.704,6781.46,1582545599999,32110.739861,225,3014.963,14198.536721,0
1582545600000,4.725,4.789,4.2,4.401,13311.101,1582588799999,59345.127566,365,7400.326999999998,32915.387178,0
1582588800000,4.401,4.401,4.2010000000000005,4.299,6569.398,1582631999999,28245.737229,191,4027.16,17270.03743,0
1582632000000,4.313,4.365,3.98,4.05,18851.947,1582675199999,78350.166376,369,11838.67,49145.698734,0
1582675200000,4.043,4.066,3.761,3.809,15243.874,1582718399999,59179.124615,390,11943.852,46415.643663,0
1582718400000,3.753,3.926,3.451,3.682,19504.636,1582761599999,71171.51559,352,10388.523,37494.181573,0
1582761600000,3.563,3.747,3.349,3.686,9536.168,1582804799999,33681.908783,247,6042.066,21442.304885,0
1582804800000,3.723,3.86,3.6,3.651,8121.7469999999985,1582847999999,30334.206769,219,4353.196,16337.076756,0
1582848000000,3.662,3.742,3.44,3.525,14009.733,1582891199999,50566.951678,299,7527.149,27149.609916,0
1582891200000,3.494,3.633,3.434,3.552,9689.873,1582934399999,34366.160547,207,7827.555,27785.060664,0
1582934400000,3.551,3.69,3.532,3.602,5895.209,1582977599999,21210.120332,169,3775.789,13609.029616999998,0
1582977600000,3.588,3.595,3.44,3.44,2982.711,1583020799999,10546.395307,64,2606.093,9217.969227,0
1583020800000,3.472,3.508,3.374,3.4810000000000003,4787.01,1583063999999,16624.362990999998,99,2926.136,10137.169307,0
1583064000000,3.522,3.553,3.256,3.364,7905.443,1583107199999,26966.345187,237,4809.486,16495.237846,0
1583107200000,3.3680000000000003,3.559,3.36,3.559,4233.495,1583150399999,14696.97685,123,2683.2490000000007,9305.887471,0
1583150400000,3.537,3.76,3.534,3.694,6292.768,1583193599999,23026.671521,157,3909.523,14308.811985,0
1583193600000,3.678,3.686,3.532,3.652,3262.415,1583236799999,11821.279219,99,1013.435,3672.967652,0
1583236800000,3.68,3.681,3.488,3.623,7484.0059999999985,1583279999999,26712.309083,140,2619.219,9399.160711,0
1583280000000,3.628,3.88,3.628,3.764,5914.366999999998,1583323199999,22328.448428,200,3413.423,12808.325544,0
1583323200000,3.766,3.85,3.666,3.737,3218.578,1583366399999,12020.515536,94,773.4810000000001,2918.554545,0
1583366400000,3.755,3.927,3.755,3.904,7294.4090000000015,1583409599999,28142.374172000003,199,4265.5909999999985,16447.560007,0
1583409600000,3.911,3.927,3.741,3.741,3574.271,1583452799999,13819.610874000002,89,1793.172,6932.4043900000015,0
1583452800000,3.743,3.87,3.726,3.87,6363.98,1583495999999,24189.752628,151,4272.279,16246.242586000002,0
1583496000000,3.825,3.864,3.744,3.856,3910.669,1583539199999,14829.844963,98,1632.7420000000004,6176.37997,0
1583539200000,3.838,3.838,3.776,3.808,1816.405,1583582399999,6906.399841,30,971.878,3698.516451,0
1583582400000,3.779,3.779,3.585,3.614,3534.757,1583625599999,12923.021805,65,2346.754,8543.080115,0
1583625600000,3.5460000000000003,3.565,3.48,3.504,6768.585999999998,1583668799999,23830.015053,138,2926.057,10329.64886,0
1583668800000,3.494,3.494,3.068,3.148,11357.133999999998,1583711999999,36794.767824,220,2788.873,8955.576197,0
1583712000000,3.092,3.151,2.95,3.065,9433.347,1583755199999,28987.08261,169,5338.7,16409.989181999998,0
