Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1603454400000,1.54e-06,6e-05,1.54e-06,1.479e-05,11765239.0,1603497599999,273.00046723,36562,4945419.0,115.79930559999998,0
1603497600000,1.477e-05,2.312e-05,1.142e-05,1.886e-05,29926208.0,1603540799999,532.45589714,47745,14124795.0,251.41820855,0
1603540800000,1.887e-05,1.993e-05,1.5399999999999998e-05,1.818e-05,14931389.0,1603583999999,262.06963139,25120,6936699.0,121.82626725,0
1603584000000,1.817e-05,2.023e-05,1.631e-05,1.635e-05,9276755.0,1603627199999,168.58243706,17634,4324633.0,78.55946965,0
1603627200000,1.638e-05,1.689e-05,1.392e-05,1.419e-05,6056297.0,1603670399999,93.57985471,13106,2718705.0,42.0684299,0
1603670400000,1.417e-05,1.57e-05,1.35e-05,1.397e-05,5876392.0,1603713599999,84.86128341,11425,2765027.0,39.97880503,0
1603713600000,1.396e-05,1.406e-05,1.231e-05,1.275e-05,4143795.0,1603756799999,53.75480859,11376,1927828.0,25.02352567,0
1603756800000,1.275e-05,1.4300000000000004e-05,1.178e-05,1.225e-05,5246937.0,1603799999999,66.38903014,9392,2612843.0,32.7816845,0
1603800000000,1.226e-05,1.229e-05,1.139e-05,1.173e-05,1428203.0,1603843199999,16.84160724,3684,821239.0,9.68065395,0
1603843200000,1.172e-05,1.175e-05,8.28e-06,8.55e-06,4943503.0,1603886399999,49.19710535,11563,2178351.0,22.13663254,0
1603886400000,8.61e-06,9.64e-06,8.5e-06,8.69e-06,2542673.0,1603929599999,22.61479862,3930,1192517.0,10.62584943,0
1603929600000,8.7e-06,8.72e-06,7.19e-06,7.43e-06,1936208.0,1603972799999,15.22188126,2414,885344.0,7.00871666,0
1603972800000,7.41e-06,8.12e-06,7.05e-06,7.47e-06,3093139.0,1604015999999,23.39697168,3831,1372611.0,10.4221216,0
1604016000000,7.48e-06,1.156e-05,7.14e-06,1.011e-05,8788764.0,1604059199999,83.14630914,13267,4358331.0,40.50599154,0
1604059200000,1.011e-05,1.047e-05,8.82e-06,8.94e-06,7932858.0,1604102399999,76.69702237,12512,3670854.0,35.46465178,0
1604102400000,8.94e-06,9.1e-06,7.78e-06,8.22e-06,3543475.0,1604145599999,29.78628085,4992,1510629.0,12.69681404,0
1604145600000,8.25e-06,8.64e-06,7.57e-06,8.09e-06,2676718.0,1604188799999,21.45928114,4544,1193925.0,9.58881551,0
1604188800000,8.12e-06,8.21e-06,7.79e-06,7.93e-06,477878.0,1604231999999,3.80438972,988,255897.0,2.04028564,0
1604232000000,7.93e-06,7.94e-06,7.24e-06,7.299999999999999e-06,1461233.0,1604275199999,10.89698071,2675,629154.0,4.69944479,0
1604275200000,7.34e-06,7.4999999999999985e-06,7.13e-06,7.17e-06,637208.0,1604318399999,4.6622536,880,282836.0,2.07463298,0
1604318400000,7.16e-06,7.27e-06,6.8e-06,6.87e-06,906029.0,1604361599999,6.36010856,1025,357648.0,2.51247157,0
1604361600000,6.91e-06,6.99e-06,5.74e-06,5.86e-06,2188894.0,1604404799999,13.45598677,2383,1008970.0,6.21795704,0
1604404800000,5.82e-06,6.56e-06,5.71e-06,5.83e-06,2226832.0,1604447999999,13.53820136,2514,1004039.0,6.14837661,0
1604448000000,5.84e-06,8.599999999999999e-06,5.8e-06,8.27e-06,10267254.0,1604491199999,79.0733588,9395,4684571.0,36.28566109,0
1604491200000,8.27e-06,8.33e-06,6.85e-06,7.06e-06,6795833.0,1604534399999,49.68925706,6233,2714390.0,19.78432813,0
1604534400000,7.06e-06,7.35e-06,5.95e-06,6.16e-06,3367197.0,1604577599999,21.97373314,3540,1491370.0,9.68233329,0
1604577600000,6.17e-06,6.48e-06,5.83e-06,5.94e-06,1603122.0,1604620799999,9.89783523,1612,687693.0,4.24019597,0
