Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1604491200000,7.32e-06,2.09e-05,7.32e-06,1.035e-05,23031193.0,1604534399999,277.31293739,32447,9289839.0,112.23832249,0
1604534400000,1.035e-05,1.067e-05,8.69e-06,9.31e-06,5647333.0,1604577599999,54.13295581,5811,2239106.0,21.38376913,0
1604577600000,9.28e-06,9.89e-06,8.5e-06,8.599999999999999e-06,3788697.0,1604620799999,34.51049423,4796,1513784.0,13.7792736,0
1604620800000,8.63e-06,8.95e-06,7.82e-06,8.55e-06,3181129.0,1604663999999,26.28926163,4213,1225768.0,10.17848495,0
1604664000000,8.56e-06,9.85e-06,8.49e-06,9.32e-06,1474172.0,1604707199999,13.47928979,3057,748253.0,6.88311768,0
1604707200000,9.3e-06,1.09e-05,8.97e-06,1.022e-05,2434447.0,1604750399999,24.43376175,6056,1242216.0,12.48347219,0
1604750400000,1.015e-05,1.051e-05,9e-06,9.49e-06,873457.0,1604793599999,8.3594109,1781,397049.0,3.7992506,0
1604793600000,9.56e-06,1.488e-05,9.29e-06,1.372e-05,4468886.0,1604836799999,55.93598762,11149,2008440.0,24.98931299,0
1604836800000,1.372e-05,1.59e-05,1.252e-05,1.282e-05,9220430.0,1604879999999,129.17111215,20686,4305524.0,60.60861787,0
1604880000000,1.28e-05,1.999e-05,1.28e-05,1.7e-05,8305486.0,1604923199999,140.96020224,21130,4031272.0,68.75196852,0
1604923200000,1.699e-05,2.14e-05,1.633e-05,1.818e-05,6471960.0,1604966399999,122.50524799,18790,2900253.0,55.04733952,0
1604966400000,1.832e-05,2.4e-05,1.808e-05,2.133e-05,4924236.0,1605009599999,106.61747828,17854,2351531.0,51.092187,0
1605009600000,2.127e-05,2.148e-05,1.603e-05,1.759e-05,3408033.0,1605052799999,64.60154853,13340,1427391.0,27.0549114,0
1605052800000,1.761e-05,2.854e-05,1.719e-05,2.305e-05,4563908.0,1605095999999,104.90551451,16352,2080144.0,47.93177188,0
1605096000000,2.32e-05,2.633e-05,2.087e-05,2.246e-05,5856106.0,1605139199999,138.38899931,20811,2768139.0,65.57243359,0
1605139200000,2.247e-05,2.482e-05,2.056e-05,2.221e-05,2565208.0,1605182399999,58.07323236,9166,1245413.0,28.32193753,0
1605182400000,2.218e-05,2.229e-05,1.872e-05,1.92e-05,2122655.0,1605225599999,42.80336644,8546,897724.0,18.04415217,0
1605225600000,1.931e-05,2.402e-05,1.931e-05,2.214e-05,1963514.0,1605268799999,43.15613631,7437,827713.0,18.28392413,0
1605268800000,2.214e-05,2.632e-05,2.128e-05,2.408e-05,2147737.0,1605311999999,51.87767645,8616,876661.0,21.14281433,0
1605312000000,2.409e-05,2.838e-05,2.328e-05,2.701e-05,2542063.0,1605355199999,65.1111519,12607,1285367.0,33.2229392,0
1605355200000,2.7e-05,3.81e-05,2.696e-05,3.528e-05,8440394.0,1605398399999,277.48596343,37579,4132571.0,135.98580884,0
1605398400000,3.524e-05,3.85e-05,3.154e-05,3.675e-05,5683088.0,1605441599999,198.28664755,22447,2792253.0,97.64338604,0
1605441600000,3.672e-05,4.3e-05,3.48e-05,3.717e-05,6013456.0,1605484799999,233.34440059,25562,3119000.0,120.92719495,0
1605484800000,3.699e-05,4.2e-05,3.619e-05,3.637e-05,3471431.0,1605527999999,135.61992756,20189,1432071.0,56.00731477,0
1605528000000,3.643e-05,3.839e-05,3.254e-05,3.342e-05,3175880.0,1605571199999,110.78648783,15849,1408467.0,49.23234126,0
1605571200000,3.342e-05,3.63e-05,3.047e-05,3.452e-05,2323703.0,1605614399999,77.38839895,12761,1007328.0,33.37962735,0
1605614400000,3.443e-05,3.448e-05,2.548e-05,2.861e-05,4762396.0,1605657599999,135.63624353,19685,2004262.0,56.80065506,0
1605657600000,2.855e-05,3.088e-05,2.552e-05,2.569e-05,2427444.0,1605700799999,65.99895574,10791,1078872.0,29.37072209,0
1605700800000,2.578e-05,3.273e-05,2.48e-05,2.931e-05,4698915.0,1605743999999,134.43615074,20619,2290692.0,65.95284184,0
1605744000000,2.911e-05,3.135e-05,2.552e-05,2.704e-05,3723917.0,1605787199999,104.48453526,18463,1677436.0,47.3566897,0
1605787200000,2.685e-05,2.72e-05,2.425e-05,2.464e-05,2543736.0,1605830399999,65.68694690000001,8925,980138.0,25.40709476,0
1605830400000,2.464e-05,2.99e-05,2.411e-05,2.797e-05,3164568.0,1605873599999,85.96414128,15247,1571454.0,42.82739226,0
1605873600000,2.799e-05,2.95e-05,2.48e-05,2.665e-05,2966866.0,1605916799999,79.37356313,13375,1341288.0,36.41790616,0
1605916800000,2.665e-05,2.85e-05,2.6e-05,2.656e-05,1762477.0,1605959999999,47.92973338,8504,717267.0,19.50427105,0
1605960000000,2.651e-05,2.674e-05,2.449e-05,2.502e-05,1454908.0,1606003199999,37.36965854,6059,610217.0,15.69761876,0
1606003200000,2.5e-05,2.595e-05,2.243e-05,2.29e-05,1903443.0,1606046399999,45.02116573,6726,783729.0,18.50806826,0
1606046400000,2.289e-05,2.527e-05,2.19e-05,2.326e-05,1816421.0,1606089599999,42.95484493,6519,944444.0,22.32250293,0
1606089600000,2.32e-05,2.9e-05,2.281e-05,2.715e-05,2346280.0,1606132799999,61.62947878,10017,1162569.0,30.30905846,0
1606132800000,2.709e-05,2.991e-05,2.613e-05,2.771e-05,2747381.0,1606175999999,76.72827811,12070,1142187.0,31.99476565,0
1606176000000,2.761e-05,2.887e-05,2.301e-05,2.443e-05,2613376.0,1606219199999,68.27796242,10283,1265336.0,33.22282318,0
1606219200000,2.441e-05,2.599e-05,2.322e-05,2.498e-05,1495194.0,1606262399999,36.40449059,5301,739480.0,18.04012335,0
1606262400000,2.491e-05,2.557e-05,2.289e-05,2.394e-05,1170428.0,1606305599999,28.06216876,4736,636335.0,15.13239925,0
1606305600000,2.394e-05,2.499e-05,2.111e-05,2.219e-05,1251157.0,1606348799999,29.2500557,5082,497249.0,11.643475,0
1606348800000,2.219e-05,2.226e-05,1.85e-05,2.035e-05,2152590.0,1606391999999,43.31489683,7254,905094.0,18.21036167,0
1606392000000,2.043e-05,2.203e-05,1.976e-05,2.138e-05,659335.0,1606435199999,13.52311258,2481,346869.0,7.13202211,0
1606435200000,2.159e-05,2.203e-05,1.99e-05,2.044e-05,1025563.0,1606478399999,21.50127195,4091,407746.0,8.6032032,0
