Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1574899200000,220.2,230.0,210.0,218.39,26.74276,1574942399999,5855.497850600002,23,13.41855,2938.4143471,0
1574942400000,218.38,221.16,214.9,217.38,88.02795,1574985599999,19246.5015543,95,40.92683,8959.581122399999,0
1574985600000,218.12,225.74,217.64,225.74,59.88003000000001,1575028799999,13231.6391903,66,29.45891,6523.3492272,0
1575028800000,224.03,226.4,220.94,223.95,128.62188999999998,1575071999999,28837.6370522,116,46.98842,10550.4422094,0
1575072000000,223.92,224.76,219.94,219.94,613.6567200000002,1575115199999,136440.3186271,294,123.23481,27368.8341753,0
1575115200000,219.82,221.77,211.0,217.21,419.4387,1575158399999,91320.89094260002,232,232.29311,50513.730557,0
1575158400000,217.41,217.41,209.47,212.56,369.06735,1575201599999,78434.1064605,209,223.22345,47382.228854,0
1577836800000,203.96,208.19,203.92,204.98,171.85484,1577879999999,35346.5374619,85,103.17918,21215.8079807,0
1577880000000,206.49,206.82,202.93,203.59,130.90112,1577923199999,26878.8356617,66,48.43356,9953.8911755,0
1577923200000,203.09,204.48,200.26,202.62,249.08364,1577966399999,50398.970857,122,155.24257,31395.1789103,0
1577966400000,201.64,203.39,192.75,194.26,281.84789,1578009599999,55655.75945599999,158,103.13665,20204.4762093,0
1578009600000,194.87,214.88,191.41,213.2,668.99703,1578052799999,137552.3558415,436,258.02395,52873.1546919,0
1578052800000,213.39,225.25,212.1,222.3,1901.65042,1578095999999,417310.6047814,819,732.34686,160557.9389438,0
1578096000000,222.52,227.38,219.48,224.2,1912.00757,1578139199999,425369.4200715,814,288.47595,64430.642781,0
1578139200000,224.33,226.33,219.8,223.27,1070.65491,1578182399999,238451.4201539,536,255.4383,56820.0007496,0
1578182400000,224.98,227.25,220.66,222.71,936.91431,1578225599999,210275.3847642,466,216.63448,48394.9992042,0
1578225600000,223.46,226.13,221.81,222.64,255.40861,1578268799999,57122.63519480001,135,13.8975,3115.6561801,0
1578268800000,222.91,239.17,222.09,235.48,715.07812,1578311999999,167000.7718995,443,286.4421200000001,66861.0783882,0
1578312000000,236.18,246.35,231.96,244.46,532.3951599999998,1578355199999,126857.04277780002,281,144.15285,34365.5997676,0
1578355200000,245.06,246.87,239.75,241.17,655.06979,1578398399999,158617.9491574,327,113.1933,27478.3850633,0
1578398400000,240.36,247.41,232.22,244.57,1768.92439,1578441599999,424961.3366989,673,694.12414,167228.1074047,0
1578441600000,243.87,255.69,240.58,243.47,745.16905,1578484799999,184043.5427044,351,376.85673,93295.6761018,0
1578484800000,243.41,244.81,229.39,240.13,1149.07464,1578527999999,273681.26831300004,544,526.14027,125515.6524432,0
1578528000000,239.22,243.37,233.72,236.67,1255.96757,1578571199999,299027.0152729,471,269.60254,64013.10066519999,0
1578571200000,235.94,239.72,231.33,237.95,706.5291,1578614399999,166205.895869,283,125.3012,29516.5606747,0
1578614400000,239.62,244.52,232.34,242.02,1664.25844,1578657599999,393054.4700416,696,557.76219,132610.862084,0
1578657600000,243.61,274.7,241.94,272.63,1970.84926,1578700799999,502891.7804462,1142,813.51399,208083.2765493,0
1578700800000,270.05,279.01,261.73,261.92,944.84391,1578743999999,254420.7713604,531,339.2105200000001,91285.7182942,0
1578744000000,262.03,271.13,259.22,260.61,360.20224,1578787199999,95955.4715424,334,144.77258,38591.6835417,0
1578787200000,260.47,268.9,258.2,263.47,638.79626,1578830399999,168908.7739085,352,204.4464,54219.54994,0
1578830400000,264.01,271.8,262.2,271.08,433.28576,1578873599999,115369.95266039998,283,178.35599,47520.3800833,0
1578873600000,270.79,273.0,261.26,264.0,643.7474,1578916799999,171069.1448169,362,212.37805,56452.6405291,0
1578916800000,263.57,268.49,261.1,266.94,738.76956,1578959999999,195613.7935662,314,174.67737,46460.5832423,0
