Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1596672000000,10.0,10.34,10.0,10.06,5460.96,1596715199999,55489.1559,363,4261.91,43288.1502,0
1596715200000,10.06,10.46,9.72,9.85,10326.26,1596758399999,104469.4578,177,2664.67,27077.394,0
1596758400000,9.92,10.19,9.5,9.86,14771.23,1596801599999,147351.4177,129,6030.74,60811.5059,0
1596801600000,10.04,10.07,8.14,9.37,44706.45,1596844799999,409716.6066,285,21419.94,197143.462,0
1596844800000,9.39,9.61,8.91,9.61,6718.0,1596887999999,61862.1915,92,5626.92,51911.0572,0
1596888000000,9.68,10.08,9.4,10.03,9196.52,1596931199999,89367.3464,194,6519.05,63645.677,0
1596931200000,9.9,10.04,9.33,9.65,6636.05,1596974399999,64208.5303,182,5560.92,53817.8267,0
1596974400000,9.65,9.68,9.13,9.49,9642.25,1597017599999,91805.0975,127,4039.45,38391.8366,0
1597017600000,9.62,9.97,9.36,9.74,22659.37,1597060799999,217407.1473,172,14323.78,137749.6183,0
1597060800000,9.62,9.91,9.6,9.8,8443.63,1597103999999,82801.0575,133,6887.13,67689.7611,0
1597104000000,9.92,10.01,9.11,9.45,7300.28,1597147199999,70796.02,188,3206.62,31099.4851,0
1597147200000,9.38,9.38,8.13,8.58,15893.71,1597190399999,136579.9622,332,6250.34,53933.7894,0
1597190400000,8.54,9.32,7.89,9.02,30912.33,1597233599999,267486.8381,363,17946.19,155463.5064,0
1597233600000,9.02,9.39,8.8,8.91,29370.19,1597276799999,266763.4735,331,18747.82,170731.1154,0
1597276800000,8.91,9.01,8.085,8.57,15976.54,1597319999999,136383.74504,278,10079.93,85956.53974,0
1597320000000,8.667,9.254,8.289,9.175,24049.91,1597363199999,211228.13863,336,10158.16,89649.75085,0
1597363200000,9.238,10.31,8.667,10.087,42460.77,1597406399999,414934.09179,513,25768.06,252916.46431,0
1597406400000,9.984,10.759,9.88,10.5,24094.41,1597449599999,249403.3292,503,18964.6,196341.25917,0
1597449600000,10.507,11.271,10.29,10.73,16084.12,1597492799999,173695.84645,383,10472.86,113887.41675,0
1597492800000,10.67,10.868,10.054,10.347,22367.54,1597535999999,234604.89445,439,12534.34,132106.06803,0
1597536000000,10.386,10.729,10.074,10.19,8953.51,1597579199999,93035.55552,238,2479.44,26022.84242,0
1597579200000,10.19,11.187,10.0,10.773,15049.7,1597622399999,163555.54760999998,342,12400.96,135421.51450999998,0
1597622400000,10.954,10.954,10.27,10.61,8030.62,1597665599999,83697.55514,249,2018.02,21153.14933,0
1597665600000,10.5,11.488,10.25,10.799,26800.23,1597708799999,295803.86623000004,482,21921.25,242886.21816,0
1597708800000,10.939,11.117,10.47,10.47,13001.7,1597751999999,141160.52072,295,8827.36,96140.60197,0
1597752000000,10.46,10.748,9.64,10.433,23132.49,1597795199999,234398.00717,301,14589.65,148156.64065,0
1597795200000,10.47,10.538,9.12,9.642,10824.88,1597838399999,103639.594,287,6745.78,64464.90565,0
1597838400000,9.715,10.015,8.85,9.384,6278.69,1597881599999,58338.61316,209,2380.23,22379.84098,0
1597881600000,9.586,9.692,9.152,9.446,2820.77,1597924799999,26568.93109,135,1734.25,16352.04714,0
1597924800000,9.506,10.479,9.388,10.25,8865.52,1597967999999,90579.50472,414,4592.07,46779.92299,0
1597968000000,10.326,10.431,9.317,9.54,14213.78,1598011199999,141242.56709,321,4538.33,45403.16401,0
