Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1585267200000,224.0,240.66,224.0,238.46,209.69,1585310399999,49077.9659,34,9.27,2191.665,0
1585310400000,237.69,239.5,230.23,230.23,222.92,1585353599999,52012.3897,36,34.19,8154.5225,0
1585353600000,217.09,226.78,214.03,223.21,273.07,1585396799999,59807.835,61,59.68,13268.5123,0
1585396800000,221.16,221.16,214.85,219.91,378.1,1585439999999,82364.6033,69,28.5,6183.9435,0
1585440000000,221.15,221.15,208.78,214.56,3131.2,1585483199999,661814.1974,307,388.12,82942.4979,0
1585483200000,214.43,214.6,206.2,207.09,322.25,1585526399999,67256.2848,54,32.93,7059.6279,0
1585526400000,210.42,223.18,210.28,223.18,80.07,1585569599999,17315.8667,27,0.0,0.0,0
1585569600000,225.24,226.68,222.58,222.7,557.13,1585612799999,124856.9271,126,7.42,1670.5171,0
1585612800000,225.82,230.33,221.98,228.76,64.62,1585655999999,14610.3277,17,1.91,430.9624,0
1585656000000,229.94,238.2,229.94,234.75,195.78,1585699199999,45350.8235,23,65.51,15168.9187,0
1585699200000,234.75,234.75,230.06,230.06,14.21,1585742399999,3282.9266,10,4.06,945.6646,0
1585742400000,230.06,242.04,228.12,242.04,122.37,1585785599999,28353.6736,23,28.82,6795.1376,0
1585785600000,242.04,247.3,238.38,247.3,34.83,1585828799999,8455.6435,16,1.18,285.1858,0
1585828800000,246.31,251.82,225.94,249.76,76.48,1585871999999,18783.2016,23,5.03,1241.0524,0
1585872000000,251.08,259.95,249.49,259.95,13.47,1585915199999,3452.5868,8,7.9,2051.957000000001,0
1585915200000,259.27,260.15,252.18,259.26,546.65,1585958399999,141406.3482,32,516.61,133717.2814,0
1585958400000,260.5,270.18,258.51,269.3,102.17,1586001599999,26916.2951,30,58.55,15424.5541,0
1586001600000,265.87,272.7,265.56,266.09,83.12,1586044799999,22160.1499,22,58.32,15546.1208,0
1586044800000,266.09,266.09,266.08,266.08,7.34,1586087999999,1953.0772,2,0.0,0.0,0
1586088000000,266.08,267.32,262.79,267.09,55.39,1586131199999,14729.744,20,26.79,7127.3732,0
1586131200000,268.28,286.51,267.51,276.72,621.87,1586174399999,169835.4856,86,226.72,62486.5768,0
1586174400000,276.27,292.1,274.67,292.1,116.63,1586217599999,32739.9455,38,67.18,18744.4522,0
1586217600000,294.51,297.61,284.21,297.61,41.62,1586260799999,11922.2146,11,6.71,1972.5482,0
1586260800000,262.35,292.09,260.79,277.74,300.35,1586303999999,84302.0476,40,97.92,28114.6719,0
1586304000000,279.07,291.89,278.67,286.38,308.98,1586347199999,88709.2112,49,31.55,9048.8069,0
1586347200000,286.38,286.38,286.38,286.38,0.0,1586390399999,0.0,0,0.0,0.0,0
1586390400000,286.38,287.3,285.91,287.3,5.54,1586433599999,1586.2029,5,2.61,748.4730000000002,0
