Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1546300800000,3692.0,3749.12,3665.9,3707.48,260.331991,1546343999999,962265.43885958,1599,186.153922,688630.63981207,0
1546344000000,3707.48,3841.66,3650.0,3827.72,518.062773,1546387199999,1934486.78928524,3439,218.563047,814896.93325733,0
1546387200000,3827.59,3833.08,3745.01,3817.45,172.281207,1546430399999,654719.88602406,1725,93.061604,353700.17649051,0
1546430400000,3811.0,3917.19,3797.0,3887.77,465.317688,1546473599999,1793203.25085741,4503,214.087231,825996.12818892,0
1546473600000,3893.58,3895.59,3810.76,3837.87,221.893192,1546516799999,855322.74714698,3091,120.654802,465471.25278381,0
1546516800000,3832.48,3855.62,3745.0,3783.23,464.635977,1546559999999,1765519.02203266,3272,254.799282,968531.32142579,0
1546560000000,3781.97,3822.28,3753.32,3780.58,217.438939,1546603199999,824804.80479,1837,64.838222,246017.08237617,0
1546603200000,3779.26,3852.13,3733.0,3817.75,1110.647135,1546646399999,4194330.74180999,4383,563.474842,2128221.1459985003,0
1546646400000,3817.0,3872.62,3806.36,3832.0,290.111117,1546689599999,1113376.91005252,2223,90.661091,348786.34457917,0
1546689600000,3837.77,3851.75,3765.01,3805.01,621.112484,1546732799999,2377652.09679532,3390,279.658005,1070643.59998102,0
1546732800000,3796.62,3837.75,3761.0,3829.45,140.58718000000002,1546775999999,534157.71105533,1302,75.76435699999998,288087.19759783,0
1546776000000,3825.08,4080.0,3805.26,4039.13,986.971949,1546819199999,3933239.20448166,5782,566.9138389999998,2254852.47369592,0
1546819200000,4039.0,4070.0,3963.0,4021.79,795.5931870000002,1546862399999,3198471.18042801,3432,335.987185,1352128.08286189,0
1546862400000,4022.26,4036.84,3981.71,4008.23,952.451475,1546905599999,3824854.51214108,3442,632.558983,2541005.9743887,0
1546905600000,4008.23,4048.86,3940.79,4034.53,586.821827,1546948799999,2344673.68553305,3913,278.533006,1114130.1066424,0
1546948800000,4034.53,4110.5,3952.7,3989.01,1055.19977,1546991999999,4245054.2422134,5026,435.246045,1751016.26748533,0
1546992000000,3990.0,4048.4,3968.13,4028.05,790.283219,1547035199999,3175867.82754562,5048,490.007416,1969599.31527978,0
1547035200000,4023.68,4027.68,3970.82,3996.75,934.324627,1547078399999,3741108.99284741,5903,513.728186,2058286.70630134,0
1547078400000,4002.77,4063.44,3740.01,3784.69,1888.163797,1547121599999,7319027.27739177,10183,932.868266,3613554.26875525,0
1547121600000,3786.15,3794.99,3575.45,3626.85,1801.3452989999996,1547164799999,6607872.57325106,8030,787.435728,2894507.20029679,0
1547164800000,3626.83,3679.9,3573.93,3640.52,1032.8099539999996,1547207999999,3747148.4440355,8535,363.856815,1320694.29370967,0
1547208000000,3635.04,3695.0,3564.56,3631.15,1182.904752,1547251199999,4308333.20950165,7224,499.765392,1820251.19989111,0
