Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1548892800000,8.1e-05,0.0001,5.5e-05,9.157e-05,7897130116.0,1548935999999,653077.88002816,12678,3907632484.0,320196.96624736,0
1548936000000,9.05e-05,9.156e-05,7.6e-05,7.666e-05,4906464379.0,1548979199999,409349.37996545,13468,1537848736.0,129160.01537482,0
1548979200000,7.661e-05,8.499999999999999e-05,6.666e-05,7.345e-05,3097230444.0,1549022399999,234237.27880493,7533,1430577990.0,107671.28350865,0
1549022400000,7.340000000000001e-05,7.524e-05,7e-05,7.192e-05,1018049874.0,1549065599999,73924.15404878,3547,632465702.0,45910.4890338,0
1549065600000,7.199e-05,7.324e-05,6.255e-05,6.374e-05,1261517899.0,1549108799999,84365.99638228,3737,712093707.0,47429.28372592,0
1549108800000,6.375e-05,6.705e-05,6.125e-05,6.253e-05,1038508052.0,1549151999999,65883.46781811,3223,564071407.0,35820.65730949,0
1549152000000,6.259e-05,6.791e-05,6.204e-05,6.716e-05,1154197244.0,1549195199999,76179.78354903,3724,714316525.0,47214.85775729,0
1549195200000,6.711e-05,9.184e-05,6.675e-05,8.979e-05,4305114577.0,1549238399999,351587.97438574,12491,2187972041.0,179839.34813533,0
1549238400000,9.028e-05,0.0001141,7.111e-05,0.00010475,4673449097.0,1549281599999,472684.50945349,16540,2331083192.0,236913.1421029,0
1549281600000,0.00010476,0.00013398,0.00010242,0.000122,4746576591.0,1549324799999,551676.28184842,17993,2407157748.0,276311.96352953,0
1549324800000,0.00012188,0.0001796,0.0001217,0.00017487,5361905467.0,1549367999999,832718.90371675,24188,2338726044.0,363766.66562869,0
1549368000000,0.00017473,0.000175,0.00011822,0.00012943,5275924940.0,1549411199999,747481.60127333,23541,2567329378.0,360846.05785684,0
1549411200000,0.00013000000000000002,0.000134,0.00010555,0.00010826,3412461137.0,1549454399999,397912.21535427,13474,1872689120.0,216563.06626538,0
1549454400000,0.00010804,0.00013098,0.00010762,0.00011869,4324695372.0,1549497599999,512513.81596073,13692,2264878731.0,266634.60902712,0
1549497600000,0.00011869,0.00012294,0.0001065,0.00011395,2564288243.0,1549540799999,295894.3532391,8900,1292583084.0,148209.28891825,0
1549540800000,0.00011397,0.00012089,0.00011172,0.00011793,1327602945.0,1549583999999,154848.32874051,5941,762909867.0,89185.64531239,0
1549584000000,0.0001181,0.00011949,9.917e-05,0.0001005,2450892531.0,1549627199999,259352.50572331,8445,1078071879.0,113908.67534533,0
1549627200000,0.00010018,0.000105,9.217e-05,0.00010192,2727644695.0,1549670399999,268477.42050674,9387,1401339714.0,137945.41816472,0
1549670400000,0.00010151,0.00010888,9e-05,9.396e-05,1846442867.0,1549713599999,183219.93209477,7206,940987340.0,93336.7085447,0
1549713600000,9.394e-05,9.95e-05,9.12e-05,9.358e-05,1005433542.0,1549756799999,95293.82123385,4656,594266647.0,56358.48831068,0
1549756800000,9.359e-05,9.393e-05,8.116e-05,8.151e-05,1714085854.0,1549799999999,147377.99430747,6635,976864843.0,84274.04542189,0
1549800000000,8.163e-05,0.0001011,7.922e-05,9.601e-05,3795135247.0,1549843199999,349420.71244846,11483,1594669259.0,145819.82449008,0
1549843200000,9.605e-05,9.667e-05,8.28e-05,8.569e-05,2117451454.0,1549886399999,187493.97824647,8447,1253863622.0,110884.52535003,0
1549886400000,8.586e-05,9.659e-05,8.499999999999999e-05,9.143e-05,2353139218.0,1549929599999,212673.07956943,9941,1205886882.0,109007.87298185,0
1549929600000,9.106e-05,0.0001088,9.106e-05,0.00010785,5212836486.0,1549972799999,535383.27915078,16615,2488574235.0,255700.07666632,0
1549972800000,0.00010785,0.00012679,0.00010524,0.00011016,5225492487.0,1550015999999,603755.43069399,20588,2684918932.0,308670.32607444,0
1550016000000,0.00011015,0.00011547,0.00010529,0.00011131,2782900055.0,1550059199999,305827.64995526,10327,1375775742.0,150901.68369323,0
1550059200000,0.0001114,0.00011999,0.000109,0.0001124,2503206527.0,1550102399999,286349.04522685,11789,1355353029.0,154903.35739877,0
1550102400000,0.00011241,0.00011382,0.00010823,0.0001118,1230692798.0,1550145599999,136514.05324202,6632,761653033.0,84588.75921606,0
1550145600000,0.00011196,0.0001134,0.00010396,0.00010477,1754532924.0,1550188799999,192108.89731372,8773,824529929.0,90284.06695103,0
1550188800000,0.00010477,0.0001094,0.00010056,0.00010337,1547194320.0,1550231999999,161893.10817525,9695,958813892.0,100346.02137933,0
1550232000000,0.00010322,0.00010451,9.941e-05,0.00010068,1017394249.0,1550275199999,103578.96947362,5770,524166639.0,53429.27111533,0
1550275200000,0.00010068,0.00010106,9.512e-05,9.713e-05,952507376.0,1550318399999,93352.25517864,5013,455775501.0,44790.00228093,0
1550318400000,9.724e-05,0.00010042,9.59e-05,9.8e-05,790405345.0,1550361599999,77876.91285517,4546,320924273.0,31563.69114891,0
1550361600000,9.8e-05,9.804e-05,9.32e-05,9.334e-05,815776394.0,1550404799999,77755.96180112,4031,238785210.0,22715.43064602,0
1550404800000,9.334e-05,0.00010053,9.114e-05,9.725e-05,928885741.0,1550447999999,88086.24485569,5574,483175096.0,45864.18891341,0
1550448000000,9.722e-05,0.00010314,9.299e-05,0.00010087,1151533467.0,1550491199999,113077.54608822,6203,549498046.0,53629.28904173,0
1550491200000,0.00010051,0.00010308,9.601e-05,9.697e-05,1064439350.0,1550534399999,105990.54625795,5389,580838355.0,57689.33031025,0
1550534400000,9.697e-05,0.00011244,9.408e-05,9.891e-05,2588316940.0,1550577599999,267871.68179984,12132,1289148799.0,133762.96103367,0
1550577600000,9.924e-05,0.0001012,8.626e-05,9.005e-05,1766848342.0,1550620799999,163754.41050612,7063,932274684.0,86865.04220934,0
1550620800000,9.014e-05,9.814e-05,8.3e-05,8.418e-05,1242423322.0,1550663999999,107227.32652334,5559,621929052.0,53860.52891049,0
1550664000000,8.418e-05,8.888e-05,8.406e-05,8.558e-05,869608872.0,1550707199999,75217.33302255,3997,359297099.0,31180.65344511,0
1550707200000,8.540000000000003e-05,9.92e-05,8.539e-05,9.336e-05,2287582233.0,1550750399999,215709.27851523,8891,1010259605.0,95183.99994082,0
1550750400000,9.325e-05,9.738e-05,9.29e-05,9.575e-05,1463125320.0,1550793599999,139398.44274374,6855,708452494.0,67448.04852368,0
1550793600000,9.575e-05,9.886e-05,9.26e-05,9.503e-05,1876521178.0,1550836799999,179663.6804668,8753,981142089.0,94030.27236854,0
1550836800000,9.503e-05,9.511e-05,9.152e-05,9.186e-05,1215598198.0,1550879999999,113557.13377586,5158,730717482.0,68273.00970839,0
1550880000000,9.186e-05,9.368e-05,9.02e-05,9.23e-05,788294180.0,1550923199999,72387.21962208,4151,429654389.0,39473.18083865,0
1550923200000,9.229e-05,9.35e-05,8.985e-05,9.311e-05,1240574500.0,1550966399999,113688.79459301,5740,686430820.0,62958.20657154,0
1550966400000,9.311e-05,9.317e-05,8.814e-05,9.002e-05,1213975778.0,1551009599999,109922.97741586,5694,698128988.0,63104.6580027,0
1551009600000,8.999e-05,9.516e-05,8.691e-05,8.716e-05,2956070369.0,1551052799999,270379.96482516,14268,1547882210.0,141708.75208052,0
1551052800000,8.769e-05,8.966e-05,8.426e-05,8.573e-05,1549362691.0,1551095999999,134895.32781367,7477,860457887.0,75021.13384652,0
1551096000000,8.583e-05,9.251e-05,8.539e-05,8.982e-05,3630076512.0,1551139199999,324513.45175782,13840,2099368272.0,187438.87002688,0
1551139200000,8.97e-05,9.083e-05,8.839e-05,8.949e-05,1761082712.0,1551182399999,157463.89036198,7554,940183552.0,84125.81631425,0
1551182400000,8.938e-05,9.254e-05,8.888e-05,9.2e-05,1759674921.0,1551225599999,158639.97096926,7649,1151683561.0,103945.77594188,0
1551225600000,9.193e-05,9.391e-05,9e-05,9.122e-05,1349873478.0,1551268799999,123991.31786356,6756,702989530.0,64592.66923194,0
1551268800000,9.122e-05,9.135e-05,8.589e-05,8.709e-05,1451049333.0,1551311999999,127631.46338511,6760,658175613.0,57637.58186993,0
