Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1577836800000,5.937,5.937,5.937,5.937,9.98,1577879999999,59.25126,1,0.0,0.0,0
1577880000000,5.937,5.96,5.937,5.96,106.8,1577923199999,634.9916,3,40.0,238.4,0
1577923200000,5.96,5.96,5.96,5.96,0.0,1577966399999,0.0,0,0.0,0.0,0
1577966400000,5.96,5.96,5.96,5.96,0.0,1578009599999,0.0,0,0.0,0.0,0
1578009600000,5.968,5.982,5.968,5.982,244.53,1578052799999,1461.9232,2,244.53,1461.9232,0
1578052800000,5.964,5.981,5.962999999999999,5.981,16714.4,1578095999999,99968.29815,8,16684.5,99789.9945,0
1578096000000,5.981,5.981,5.981,5.981,3127.94,1578139199999,18708.20914,1,3127.94,18708.20914,0
1578139200000,5.981,5.981,5.981,5.981,0.0,1578182399999,0.0,0,0.0,0.0,0
1578182400000,5.981,5.981,5.956,5.981,801.46,1578225599999,4788.53551,4,601.59,3598.10979,0
1578225600000,5.981,5.981,5.956,5.956,79.98,1578268799999,476.67948,3,14.07,84.11952,0
1578268800000,5.96,5.96,5.96,5.96,173.31,1578311999999,1032.9276,1,0.0,0.0,0
1578312000000,5.984,5.984,5.984,5.984,8.36,1578355199999,50.02624,1,8.36,50.02624,0
1578355200000,5.974,5.974,5.9670000000000005,5.9670000000000005,28.9,1578398399999,172.58693,2,20.09,120.01766,0
1578398400000,5.9860000000000015,5.9860000000000015,5.964,5.964,82.77,1578441599999,493.96236,2,14.64,87.63504,0
1578441600000,5.992000000000001,5.992000000000001,5.981,5.981,772.74,1578484799999,4621.98938,2,772.74,4621.98938,0
1578484800000,5.95,5.965,5.9,5.916,2048.83,1578527999999,12200.8433,17,1444.8,8616.202490000001,0
1578528000000,5.916,5.916,5.8820000000000014,5.8820000000000014,40.15,1578571199999,236.75913,5,5.67,33.54372,0
1578571200000,5.876,5.881,5.867000000000001,5.871,772.4,1578614399999,4537.2472,13,448.15,2633.64572,0
1578614400000,5.881,5.893,5.881,5.893,55.28,1578657599999,325.40636,3,33.39,196.67127,0
1578657600000,5.874,5.881,5.865,5.881,4313.29,1578700799999,25365.27563,6,4306.73,25326.80123,0
1578700800000,5.881,5.8820000000000014,5.881,5.8820000000000014,223.95,1578743999999,1317.23876,2,35.14,206.65834,0
1578744000000,5.882999999999999,5.882999999999999,5.8820000000000014,5.8820000000000014,237.5,1578787199999,1397.05242,14,77.42,455.46186,0
1578787200000,5.8820000000000014,5.8820000000000014,5.8820000000000014,5.8820000000000014,0.0,1578830399999,0.0,0,0.0,0.0,0
1578830400000,5.8820000000000014,5.8820000000000014,5.881,5.881,335.22,1578873599999,1971.56404,2,0.0,0.0,0
