Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1601337600000,1.0,2.5,0.5,1.0655,482381.84,1601380799999,588897.675208,2832,191819.03,239300.323189,0
1601380800000,1.0749,1.15,0.8116,1.0455,264461.53,1601423999999,254348.991415,1802,119111.0,116494.224775,0
1601424000000,1.0003,1.11,0.6318,0.6672,184577.13,1601467199999,158830.944153,1157,60317.43,52760.855026,0
1601467200000,0.6707,0.75,0.4329,0.433,441738.96,1601510399999,273172.897983,1514,78449.13,48133.947025,0
1601510400000,0.433,0.535,0.3358,0.4136,317821.02,1601553599999,135055.73792400002,2286,125093.66,54756.91373200001,0
1601553600000,0.4135,0.5502,0.3873,0.4192,456448.95,1601596799999,206681.77198,2325,174027.68,80355.850248,0
1601596800000,0.4192,0.5107,0.4192,0.4416,165740.88,1601639999999,75183.045143,878,88728.32,40719.435309,0
1601640000000,0.4459,0.6,0.4112,0.4935,280661.64,1601683199999,137909.231466,1439,142054.09,69394.978728,0
1601683200000,0.5066,0.6939,0.4799,0.5623,238429.24,1601726399999,129412.346472,1410,79833.19,44306.47821,0
1601726400000,0.5624,0.74,0.5484,0.6779999999999999,435651.7,1601769599999,286803.29922800005,3440,233476.22,155513.539058,0
1601769600000,0.6779999999999999,0.7001,0.5141,0.544,381848.42,1601812799999,237670.164962,1759,145599.55,90473.047526,0
1601812800000,0.53,0.6246,0.525,0.5589,190945.87,1601855999999,106309.719691,671,93585.31,52333.442169,0
1601856000000,0.5588,0.5625,0.4545,0.4715,184634.52,1601899199999,92402.974094,622,80493.16,39937.262674,0
1601899200000,0.4735,0.4919,0.4565,0.463,121923.54,1601942399999,57488.446687,464,33489.11,15828.54821,0
1601942400000,0.461,0.56,0.431,0.51,349780.28,1601985599999,171403.02655399998,1275,157497.15,78247.951489,0
1601985600000,0.5055,0.6605,0.4693,0.4937,183420.57,1602028799999,92341.285541,1027,122639.28,62500.306003,0
1602028800000,0.4985,0.5229,0.4735,0.4999,72930.9,1602071999999,35799.605833,534,49376.16,24152.494398,0
1602072000000,0.5001,0.589,0.4998,0.5373,144696.66,1602115199999,77899.935567,791,79150.92,42917.833498,0
1602115200000,0.5332,0.5447,0.5101,0.521,170484.93,1602158399999,88956.647127,541,101887.46,53255.415047,0
1602158400000,0.525,0.5939,0.5219,0.5939,144975.03,1602201599999,80101.016903,659,80790.71,44451.517777,0
1602201600000,0.5856,0.6317,0.5678,0.6189,226685.28,1602244799999,136357.67169000002,986,100071.41,60078.564851,0
1602244800000,0.6189,0.73,0.612,0.6997,198833.16,1602287999999,133380.316805,1103,91279.45,61204.521464,0
1602288000000,0.6989,0.7535,0.63,0.7001,195458.81,1602331199999,133304.134427,941,79518.6,54235.178756,0
1602331200000,0.7,5.33,0.7,0.789,522650.2,1602374399999,426553.761165,3045,248742.34,207762.380636,0
1602374400000,0.7665,0.8748,0.7363,0.8639,194852.13,1602417599999,153267.26963599998,1386,92823.7,72826.132541,0
1602417600000,0.8639,0.953,0.8316,0.9402,168126.22,1602460799999,148262.92363,1498,90153.06,79391.25760299999,0
1602460800000,0.9403,1.15,0.903,1.0223,493879.48,1602503999999,508140.955607,3489,195318.21,202382.711702,0
1602504000000,1.0223,1.5,0.9601,1.1156,383287.69,1602547199999,430042.956881,3311,183157.94,207027.789111,0
1602547200000,1.1023,1.17,0.815,0.9632,453328.14,1602590399999,446031.319999,2991,180486.31,178216.443583,0
1602590400000,0.9698,0.9742,0.8170000000000001,0.8461,371243.61,1602633599999,325569.963404,2120,129366.89,114653.099373,0
1602633600000,0.8423,0.873,0.7397,0.8101,637331.61,1602676799999,516341.944033,3134,253817.29,206238.735782,0
1602676800000,0.8079999999999999,0.9523,0.8,0.8859999999999999,396882.75,1602719999999,350489.072174,2251,204359.48,179827.550959,0
1602720000000,0.8855,0.9,0.7864,0.875,337727.19,1602763199999,281577.264912,1475,152004.2,127599.386525,0
1602763200000,0.8692,0.92,0.8552,0.885,189204.15,1602806399999,166602.11646199998,1318,94913.62,83817.76548999999,0
1602806400000,0.885,0.9258,0.8374,0.906,219668.08,1602849599999,193286.600187,1204,104303.53,92114.777922,0
1602849600000,0.906,0.9248,0.7901,0.82,214761.99,1602892799999,185303.597093,1037,76849.68,66876.379601,0
1602892800000,0.815,0.8202,0.6622,0.7901,292877.17,1602935999999,219574.15304,1488,108445.78,81050.211531,0
1602936000000,0.7916,0.7987,0.6,0.6002,328196.28,1602979199999,225001.752671,1227,88218.33,60160.253154,0
1602979200000,0.6065,0.63,0.53,0.607,492510.23,1603022399999,293392.104384,2098,207858.12,124728.260076,0
1603022400000,0.6044,0.62,0.55,0.6087,237186.38,1603065599999,138549.096289,840,97147.32,57239.467586,0
1603065600000,0.6054,0.7212,0.562,0.72,272250.55,1603108799999,175101.991245,1388,143352.59,92744.89724,0
1603108800000,0.72,0.7356,0.6066,0.6066,314718.68,1603151999999,209012.363841,1417,114000.12,76661.733406,0
1603152000000,0.6056,0.631,0.578,0.5853,139565.41,1603195199999,84023.599154,598,67605.73,40911.788736,0
1603195200000,0.5853,0.6502,0.5618,0.6153,231627.42,1603238399999,139923.156621,956,116994.02,70525.888643,0
1603238400000,0.615,0.6375,0.5912,0.6072,217396.2,1603281599999,133801.872214,699,61780.37,38119.826512,0
1603281600000,0.6006,0.6063,0.5651,0.5769,241603.24,1603324799999,141542.43695899998,838,98694.82,57953.821225,0
1603324800000,0.5825,0.6382,0.5769,0.6374,200056.33,1603367999999,121501.692845,641,111810.64,67907.27136299999,0
1603368000000,0.6337,0.6454,0.59,0.6127,197791.08,1603411199999,123460.933713,749,74360.22,46692.475736,0
1603411200000,0.6115,0.6368,0.6,0.6345,100551.27,1603454399999,62232.406044,505,60311.27,37476.003538,0
1603454400000,0.6301,0.66,0.6016,0.6576,299393.84,1603497599999,187706.071287,799,136187.5,85714.936174,0
1603497600000,0.6576,0.6593,0.5954,0.6017,145470.17,1603540799999,89558.809478,579,24226.4,15002.866486,0
1603540800000,0.6017,0.6136,0.58,0.5894,165835.44,1603583999999,99350.884392,466,63576.98,38376.414914,0
1603584000000,0.5892,0.5913,0.5376,0.5376,311794.95,1603627199999,175693.05993,659,61421.78,35047.743496,0
1603627200000,0.5376,0.5398,0.48,0.4816,421352.61,1603670399999,210139.393842,1052,115215.31,57742.052,0
1603670400000,0.4838,0.484,0.4,0.4214,557892.69,1603713599999,247434.540362,1357,210364.3,93621.475003,0
1603713600000,0.4218,0.4792,0.31,0.4433,1120021.73,1603756799999,431462.223804,2544,500556.88,192949.266106,0
1603756800000,0.4371,0.5284,0.4337,0.483,235947.58,1603799999999,111814.749327,854,125001.31,58903.216451,0
1603800000000,0.4859,0.5034,0.4434,0.4434,203099.78,1603843199999,95560.717144,747,83798.26,39762.741248,0
1603843200000,0.4431,0.4486,0.3722,0.4004,241961.92,1603886399999,97478.381836,723,107277.97,43088.715703,0
1603886400000,0.4045,0.4331,0.3711,0.4028,255393.44,1603929599999,104914.760827,663,94169.07,38612.871186,0
1603929600000,0.4029,0.467,0.4029,0.4284,224427.31,1603972799999,98681.225598,686,111034.31,48459.117185,0
1603972800000,0.4343,0.4544,0.4082,0.4082,185000.64,1604015999999,80832.472664,439,84492.36,37331.15815500001,0
1604016000000,0.408,0.4272,0.3529,0.3804,353981.53,1604059199999,137621.90374500002,718,108251.48,42581.694306,0
1604059200000,0.3804,0.4062,0.375,0.3992,234445.2,1604102399999,92003.734985,643,124081.26,48990.945949,0
1604102400000,0.3993,0.4201,0.39,0.3959,166514.24,1604145599999,66818.96191499999,447,64825.52,26154.708906,0
1604145600000,0.4013,0.4034,0.3935,0.3969,47354.06,1604188799999,18887.796777,173,30845.96,12336.447787,0
1604188800000,0.3966,0.3982,0.3857,0.3911,49204.5,1604231999999,19260.675081,137,17444.3,6822.1858,0
1604232000000,0.392,0.3962,0.3601,0.3611,193679.23,1604275199999,73191.256553,302,74566.16,28204.586676,0
1604275200000,0.3613,0.3846,0.3613,0.3698,275195.17,1604318399999,102306.279803,410,134335.52,49931.616791,0
1604318400000,0.3733,0.3772,0.313,0.3214,342818.98,1604361599999,116721.024868,829,125660.01,43084.029719,0
1604361600000,0.32,0.3222,0.274,0.2886,322344.91,1604404799999,96174.89813,720,132035.05,39690.939401,0
1604404800000,0.28300000000000003,0.3016,0.1902,0.2818,1071963.57,1604447999999,274865.174372,1748,426090.79,113847.654503,0
1604448000000,0.28300000000000003,0.2959,0.2479,0.2878,370088.03,1604491199999,99678.535415,546,179886.6,48959.818531,0
1604491200000,0.2854,0.2865,0.2666,0.2828,111913.37,1604534399999,30792.207745,221,24274.47,6718.019084999999,0
1604534400000,0.2828,0.29,0.2667,0.2786,174607.69,1604577599999,48744.425663,389,99178.72,27711.397014,0
1604577600000,0.2816,0.2869,0.1867,0.2807,611182.34,1604620799999,147912.03456,1071,207366.4,52160.095547,0
1604620800000,0.2781,0.3147,0.2778,0.313,232113.35,1604663999999,68104.790399,504,143538.53,42230.740999,0
1604664000000,0.3125,0.334,0.2877,0.2953,419810.95,1604707199999,130336.327431,579,185520.7,58008.537992,0
1604707200000,0.2999,0.3181,0.2929,0.3086,340819.13,1604750399999,104358.705206,620,181562.35,55768.338068,0
1604750400000,0.309,0.309,0.2488,0.2601,402940.76,1604793599999,110998.445538,664,135099.96,36955.21236000001,0
1604793600000,0.257,0.2658,0.2418,0.26,218069.21,1604836799999,55635.029063,387,70029.82,17803.579443000002,0
1604836800000,0.2586,0.2639,0.2475,0.25,93115.41,1604879999999,23698.557898,247,35186.17,8992.162737999999,0
1604880000000,0.2506,0.2506,0.2238,0.2401,747591.25,1604923199999,179178.51636500005,925,316782.29,76156.576073,0
1604923200000,0.24,0.2406,0.2055,0.2214,665749.74,1604966399999,148570.96792,683,285357.48,64089.85700599999,0
1604966400000,0.2215,0.25,0.2101,0.2397,469128.23,1605009599999,109019.743594,743,237950.93,55737.108952,0
1605009600000,0.24,0.2426,0.2277,0.2377,128922.12,1605052799999,30432.871725,232,51498.41,12185.444324,0
1605052800000,0.2351,0.2416,0.2334,0.2384,247694.34,1605095999999,58855.967849,311,126885.76,30251.314173,0
1605096000000,0.2371,0.265,0.2276,0.232,618744.59,1605139199999,154419.138945,526,239596.46,59839.99735599999,0
1605139200000,0.236,0.2595,0.2288,0.2449,467159.28,1605182399999,114305.28302,503,209545.29,51510.569905,0
1605182400000,0.2445,0.2478,0.2222,0.2307,209685.82,1605225599999,48967.200412,357,99195.62,23293.829015,0
1605225600000,0.2307,0.284,0.2307,0.2572,713704.64,1605268799999,184285.718302,856,294252.55,75758.892232,0
1605268800000,0.257,0.2676,0.2529,0.2676,314574.19,1605311999999,81731.382226,402,134125.75,34865.510111,0
1605312000000,0.2642,0.2673,0.2436,0.2555,351404.4,1605355199999,89958.993763,378,149652.11,38300.156248,0
1605355200000,0.2556,0.2636,0.2473,0.2596,364225.21,1605398399999,93776.204203,311,100629.09,25871.044589,0
1605398400000,0.2583,0.2874,0.2578,0.2764,396469.69,1605441599999,107777.42031400002,655,248636.51,67331.488942,0
1605441600000,0.275,0.2895,0.2222,0.2694,655217.95,1605484799999,177109.695985,769,208475.46,56752.348787,0
1605484800000,0.2696,0.307,0.263,0.307,762877.32,1605527999999,215539.495553,861,414852.97,116708.051801,0
1605528000000,0.3066,0.3278,0.28600000000000003,0.3064,890825.24,1605571199999,272174.319922,907,327708.17,100442.602649,0
1605571200000,0.3031,0.3615,0.3031,0.3523,1295042.78,1605614399999,434868.709328,1626,591087.62,197166.963107,0
1605614400000,0.3523,0.36,0.3325,0.3584,593786.97,1605657599999,204520.796069,725,322381.05,111865.20966500002,0
1605657600000,0.3603,0.375,0.29,0.326,985272.05,1605700799999,333293.616264,1416,411992.39,138951.377974,0
1605700800000,0.3318,0.3322,0.295,0.3132,284260.17,1605743999999,88689.967136,398,63152.48,19730.407442,0
1605744000000,0.3133,0.3653,0.308,0.3446,805401.99,1605787199999,276874.58864000003,1078,323921.12,112099.016768,0
1605787200000,0.3446,0.3577,0.3222,0.3446,386890.24,1605830399999,132743.83889800002,602,113397.97,38936.441852,0
1605830400000,0.3456,0.3897,0.3405,0.3519,620121.57,1605873599999,220564.689874,1024,314049.13,111402.232713,0
1605873600000,0.35,0.38,0.3125,0.3423,869451.74,1605916799999,294763.853694,1426,392991.39,133680.688126,0
1605916800000,0.3423,0.3565,0.3393,0.354,471411.22,1605959999999,164013.293862,616,181468.35,62994.461955,0
1605960000000,0.3497,0.36,0.3335,0.339,288007.76,1606003199999,100938.962034,568,141415.86,49628.675153,0
1606003200000,0.3429,0.3492,0.3074,0.31,426729.35,1606046399999,140215.962176,675,205186.96,67712.88945700001,0
1606046400000,0.3142,0.3411,0.3079,0.3316,275926.14,1606089599999,88839.04682999998,539,138139.94,44620.863695,0
1606089600000,0.3366,0.3368,0.3178,0.32299999999999995,345489.3,1606132799999,112197.211737,698,174901.92,56702.623167,0
1606132800000,0.3246,0.327,0.3002,0.3232,200011.48,1606175999999,63046.438852,475,63093.92,19968.600242,0
1606176000000,0.3198,0.3433,0.2951,0.3135,484703.22,1606219199999,155549.91158699998,855,253683.05,81525.19582200001,0
1606219200000,0.3115,0.3249,0.307,0.3249,126946.51,1606262399999,40000.509569,329,70236.67,22230.085034,0
1606262400000,0.3175,0.3383,0.308,0.3157,162418.52,1606305599999,51978.241423,328,63836.33,20610.271930000006,0
1606305600000,0.3145,0.3169,0.2913,0.3042,201554.64,1606348799999,62074.994136,548,58747.02,18165.685557,0
1606348800000,0.3018,0.3115,0.2557,0.2731,520032.72,1606391999999,145196.037742,795,177363.36,49686.150941,0
1606392000000,0.2731,0.2856,0.2598,0.2834,217070.73,1606435199999,58454.62860599999,410,152115.41,40925.77995400001,0
1606435200000,0.2828,0.2992,0.28,0.2818,185781.06,1606478399999,53748.722604,366,81003.32,23491.607409,0
1606478400000,0.2815,0.34,0.2801,0.3365,714898.2,1606521599999,219063.651617,1070,401197.05,122594.21691,0
1606521600000,0.3291,0.35,0.317,0.3387,369458.66,1606564799999,124853.86263,566,142435.8,47762.930083,0
1606564800000,0.3416,0.3418,0.3229,0.3277,206783.62,1606607999999,68312.302626,426,91385.01,30245.103253,0
1606608000000,0.3293,0.3425,0.3091,0.3175,274302.42,1606651199999,88620.378978,684,168120.07,54241.590776,0
1606651200000,0.3205,0.3586,0.3149,0.3385,360388.33,1606694399999,123028.181095,667,127437.64,43563.600768,0
1606694400000,0.3385,0.3455,0.3297,0.338,200725.32,1606737599999,67374.02272000001,322,64227.73,21656.577365,0
1606737600000,0.3345,0.358,0.3322,0.3528,263969.78,1606780799999,91269.948761,558,151714.24,52689.819769,0
1606780800000,0.3468,0.42,0.3397,0.3462,260934.72,1606823999999,93181.54204,661,132751.69,48266.404772,0
