Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1588852800000,0.02771,0.03951,0.02354,0.02393,132513316.6,1588895999999,4012647.601033,22667,52764066.1,1604014.9838629996,0
1588896000000,0.02425,0.027000000000000003,0.02384,0.02634,35246725.0,1588939199999,893393.90264,5544,17627516.4,447790.397401,0
1588939200000,0.02634,0.02634,0.0237,0.02382,23527370.8,1588982399999,592303.792672,3356,7421904.1,187918.016089,0
1588982400000,0.02382,0.02445,0.02324,0.02354,12870473.1,1589025599999,307918.685034,2269,4807608.4,115427.563723,0
1589025600000,0.02354,0.0249,0.0231,0.02322,12773806.3,1589068799999,304263.30459699995,1906,5696414.7,136092.733566,0
1589068800000,0.02322,0.02322,0.01753,0.02021,13287429.9,1589111999999,267937.818598,2015,6229875.5,124722.551797,0
1589112000000,0.02015,0.02037,0.0183,0.01916,10143151.2,1589155199999,195123.322879,1505,4078863.8,78866.097209,0
1589155200000,0.01915,0.01958,0.01809,0.01841,8316784.9,1589198399999,156510.830535,1466,3549452.1,66866.489376,0
1589198400000,0.01845,0.01925,0.017130000000000003,0.01847,9858238.6,1589241599999,179802.403666,3008,4111490.3,75214.784721,0
1589241600000,0.01847,0.01931,0.0173,0.01874,11563095.7,1589284799999,213556.585009,2257,4706928.3,87122.221711,0
1589284800000,0.01874,0.019,0.018000000000000002,0.01829,6797070.3,1589327999999,125437.37950999998,1176,2766940.9,51246.258917,0
1589328000000,0.01823,0.01959,0.01815,0.01895,8665267.1,1589371199999,163944.411717,1343,4613812.9,87223.849229,0
1589371200000,0.01879,0.01958,0.01864,0.01924,6080401.1,1589414399999,116980.212435,914,3062436.6,58946.50035800001,0
1589414400000,0.01925,0.01938,0.01802,0.0186,8710990.4,1589457599999,163315.253192,2645,4505966.7,84497.815327,0
1589457600000,0.01876,0.01876,0.01815,0.01836,6406025.0,1589500799999,117804.652268,977,1631075.2,30144.890401,0
1589500800000,0.01845,0.0187,0.0179,0.01809,5261558.0,1589543999999,95892.670394,663,1951820.6,35698.771997,0
1589544000000,0.01809,0.01854,0.01766,0.01795,3686962.1,1589587199999,66812.43992599999,1191,1773975.6,32196.818161000007,0
1589587200000,0.018000000000000002,0.0184,0.01782,0.01815,4793745.1,1589630399999,87007.437791,2184,1934389.0,35160.552814999995,0
1589630400000,0.0182,0.01927,0.01815,0.0188,10844302.5,1589673599999,202254.998572,2951,4750754.4,88869.502581,0
1589673600000,0.0188,0.01948,0.0187,0.01892,8288385.8,1589716799999,158195.49783399998,2657,4132020.5,78994.693345,0
1589716800000,0.01892,0.01911,0.01818,0.01838,6699859.5,1589759999999,125518.555761,2030,2513762.9,47153.782253,0
