Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1593043200000,208.18,248.0,208.18,214.0,322.47228,1593086399999,74271.5727401,212,62.09098,13887.2618845,0
1593086400000,211.05,350.0,160.03,225.99,262.46522000000004,1593129599999,56848.13183409999,551,133.50843999999998,31900.1701629,0
1593129600000,234.97,255.18,230.01,242.84,395.43884,1593172799999,97552.4411427,406,224.72159,55451.4459608,0
1593172800000,240.91,279.2,240.9,262.9,249.17376,1593215999999,63271.20513940001,210,148.99142,38058.6121768,0
1593216000000,262.89,262.89,245.1,250.03,71.24892,1593259199999,18280.7945727,91,20.45919,5290.6170045,0
1593259200000,251.0,251.0,222.41,230.2,306.13811,1593302399999,72186.2783955,532,130.1826,30768.184591,0
1593302400000,232.0,241.01,227.93,241.0,53.37508,1593345599999,12514.8163074,160,36.34533,8547.0855304,0
1593345600000,241.0,253.0,232.89,243.21,97.41107,1593388799999,23882.3321111,142,53.28406999999999,13139.690029,0
1593388800000,242.75,245.37,233.22,237.65,84.76252,1593431999999,20382.8340798,219,31.69548,7621.0884785,0
1593432000000,237.2,237.81,231.09,232.31,63.86025,1593475199999,15052.285735799998,135,18.1586,4268.3905898,0
1593475200000,233.7,239.33,221.1,223.31,107.42332,1593518399999,24873.2147427,223,42.89362,9977.0659236,0
1593518400000,224.38,224.38,212.35,219.89,38.45541,1593561599999,8381.2911405,81,13.73098,2994.1422987,0
1593561600000,219.88,219.88,210.18,211.46,19.52474,1593604799999,4187.6736314,39,9.14673,1982.654624,0
1593604800000,215.3,215.3,201.0,201.0,84.78895,1593647999999,17710.980401499994,160,31.85028,6748.215123700002,0
1593648000000,201.0,203.47,182.0,188.63,107.25872,1593691199999,20391.3177531,156,32.23492,6294.2241373000015,0
1593691200000,188.47,191.53,165.0,179.28,197.22499,1593734399999,35841.395097099994,432,84.54836999999998,15394.372146899996,0
1593734400000,179.28,192.55,177.24,179.28,238.14129,1593777599999,44401.8521556,420,108.95151,20355.3146099,0
1593777600000,180.3,180.3,171.12,172.07,133.6374,1593820799999,23502.1244223,372,65.88961,11634.4724006,0
1593820800000,171.01,174.13,160.03,168.69,231.83337000000003,1593863999999,39028.8797818,347,70.90743,11888.8056042,0
1593864000000,171.85,192.14,171.85,180.95,268.92959,1593907199999,48788.652031,231,158.79602,28513.9242982,0
1593907200000,182.1,208.46,178.77,195.98,202.24003,1593950399999,39646.2313043,499,119.91694,23579.0554223,0
1593950400000,196.0,219.83,196.0,199.55,256.79369,1593993599999,52918.4135967,296,118.48551,24466.7263568,0
1593993600000,195.9,204.18,190.51,193.16,78.53218000000003,1594036799999,15320.2580877,211,47.94398,9391.195612799998,0
1594036800000,190.0,200.5,188.58,195.18,427.12687,1594079999999,83192.34221880001,401,178.02636,34612.239851,0
1594080000000,194.99,195.63,190.07,195.63,107.94424,1594123199999,20954.001248400004,136,97.0678,18867.9974344,0
1594123200000,194.44,197.13,184.36,188.09,75.09796999999998,1594166399999,14156.388352000002,151,40.77609,7646.8260479,0
1594166400000,188.09,188.09,180.01,183.59,90.28925,1594209599999,16524.308654499997,127,27.47138,5054.8841638,0
1594209600000,183.0,187.86,182.0,186.88,229.41736,1594252799999,42527.0942822,129,189.82154,35198.9398584,0
1594252800000,182.18,187.58,182.18,187.0,32.78698,1594295999999,6063.9987279,32,15.94498,2967.4099845,0
1594296000000,186.49,187.89,175.92,179.79,87.99019,1594339199999,15969.775007799995,211,44.69716,8186.7111884,0
1594339200000,178.78,180.05,174.71,174.95,99.77252,1594382399999,17675.520910099996,211,23.90162,4260.4928026,0
1594382400000,175.53,176.95,172.34,172.34,65.47756,1594425599999,11461.8803448,48,39.51514,6901.3175999,0
1594425600000,177.32,183.84,174.86,177.78,246.03003,1594468799999,44095.3014893,257,112.49354,20243.7994914,0
1594468800000,177.0,180.9,170.0,177.01,207.27865,1594511999999,36770.722823,256,103.657,18476.0325496,0
1594512000000,178.95,182.99,178.95,180.9,31.228240000000003,1594555199999,5657.4399539,227,19.8408,3604.8909561,0
1594555200000,179.93,179.93,172.28,175.98,300.66265,1594598399999,53017.9495035,286,114.78954,20326.6058517,0
1594598400000,174.23,178.5,171.41,175.65,51.37677,1594641599999,8997.0654237,76,19.54412,3442.3039535,0
1594641600000,173.92,175.16,158.35,165.26,202.41386,1594684799999,33857.4744555,303,91.00739,15083.8878752,0
1594684800000,163.86,165.14,159.93,164.79,103.26146,1594727999999,16845.734091799994,175,86.37496999999998,14101.6163427,0
1594728000000,164.44,166.87,161.32,164.1,20.18697,1594771199999,3318.668131,176,12.1604,2004.2858516,0
1594771200000,163.75,167.5,163.06,164.5,32.0516,1594814399999,5298.6214367,156,7.55451,1248.1916765,0
1594814400000,164.79,165.14,153.62,160.28,78.69494,1594857599999,12493.0888009,229,12.74864,2081.7867696,0
1594857600000,160.63,163.4,153.46,155.1,56.85781,1594900799999,8944.3752873,241,22.33468,3526.2666958000004,0
1594900800000,154.89,157.55,150.29,153.37,61.62509,1594943999999,9473.547306,39,50.2119,7731.5121404,0
1594944000000,155.82,165.51,154.01,164.28,45.08741,1594987199999,7306.4493188000015,61,34.294290000000004,5551.825975600002,0
1594987200000,165.45,177.0,164.83,168.62,89.31066,1595030399999,15098.3322234,221,57.88267,9793.7633837,0
1595030400000,165.3,167.04,162.15,166.83,98.09548,1595073599999,16342.3601515,66,92.59375,15437.0086609,0
1595073600000,165.2,167.16,161.93,162.71,266.951,1595116799999,44069.2939437,280,79.20605,13157.694386,0
1595116800000,164.59,166.0,161.36,162.0,140.00813,1595159999999,22998.7530464,185,60.92063,10081.230986700002,0
1595160000000,162.0,163.98,160.0,163.42,68.57834,1595203199999,11080.3551579,129,37.05745,6003.1234873,0
1595203200000,163.42,169.8,162.05,165.89,150.90833,1595246399999,24885.0858097,177,118.25173,19499.5797075,0
1595246400000,165.62,175.0,153.98,159.2,358.76804,1595289599999,58422.5501288,504,118.11808,19401.7417163,0
1595289600000,159.51,161.97,158.48,160.5,92.32639,1595332799999,14745.326294,370,10.85202,1738.7290667999996,0
1595332800000,160.49,160.49,158.5,160.01,32.87191,1595375999999,5225.0599667,37,26.30309,4182.1299246,0
1595376000000,158.62,158.62,154.0,157.38,178.38714,1595419199999,27762.168379,172,70.49093,11008.570505,0
1595419200000,157.17,159.65,153.49,157.82,142.87758,1595462399999,22320.5449054,168,53.4837,8388.8080997,0
