Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1600257600000,3.312,5.0,2.34,3.4159,22270.27,1600300799999,82304.07033,11849,9455.91,36116.389302,0
1600300800000,3.4243,3.5654,3.0653,3.1212,2937.4,1600343999999,9660.669851,1529,1124.37,3695.973413,0
1600344000000,3.1088,3.3999,1.8962,2.0396,3808.38,1600387199999,9822.849196,2059,1122.16,3043.859096,0
1600387200000,2.0014,2.9788,1.9052,2.8104,3004.68,1600430399999,6614.234208,1925,1333.76,2986.225849,0
1600430400000,2.8971,2.9512,2.5811,2.627,2545.81,1600473599999,6996.504706999999,1465,1057.24,2920.7622690000007,0
1600473600000,2.627,2.7699,2.4611,2.5905,1048.55,1600516799999,2686.654159,1008,555.54,1426.862279,0
1600516800000,2.5934,7.12,2.4913,4.7855,26319.76,1600559999999,128026.571894,17342,13364.9,65901.84353099999,0
1600560000000,4.7854,5.87,3.4666,5.5606,17081.41,1600603199999,82813.38067,14684,7563.96,37351.43232,0
1600603200000,5.5606,5.669,4.0396,4.1672,9494.93,1600646399999,45725.761889,8992,3886.4,18936.763786000003,0
1600646400000,4.1718,4.56,3.8272,4.1,2223.64,1600689599999,9151.435301,1941,930.63,3847.847417,0
1600689600000,4.1276,4.5622,3.7973,4.4164,4021.28,1600732799999,16602.698728,2780,2005.56,8191.965566,0
1600732800000,4.3495,4.8,4.2032,4.5264,2209.98,1600775999999,9822.42753,1631,969.76,4296.7316409999985,0
1600776000000,4.5236,5.44,4.3502,4.6064,3737.88,1600819199999,18037.217946,2600,1859.96,8970.517525,0
1600819200000,4.6205,4.75,4.0001,4.2273,1606.86,1600862399999,6764.701519,1372,567.05,2406.699149,0
1600862400000,4.2273,4.4735,3.605,3.8714,1713.64,1600905599999,6923.389198000002,1227,626.45,2566.8241420000004,0
1600905600000,3.8142,4.1566,3.6001,3.6664,1518.87,1600948799999,5629.883237,1057,736.55,2737.80802,0
1600948800000,3.6714,4.1999,3.3001,3.6587,2083.4,1600991999999,7786.273615000001,1338,842.9,3104.008574,0
1600992000000,3.7299,4.0,3.3411,3.45,1642.93,1601035199999,5895.230856,1415,402.08,1469.0259130000004,0
1601035200000,3.3881,3.6,3.1556,3.37,1594.92,1601078399999,5405.969985,1187,700.97,2403.794336,0
1601078400000,3.37,3.795,2.9977,3.143,1722.63,1601121599999,5711.346188,1152,739.37,2471.465965,0
1601121600000,3.168,3.2993,2.9716,3.0273,1204.52,1601164799999,3771.734449,687,457.58,1456.532425,0
1601164800000,3.0718,3.19,2.8996,2.9971,700.54,1601207999999,2115.973457,501,322.38,978.575675,0
1601208000000,2.9907,3.1321,2.8991,2.9998,699.39,1601251199999,2115.464897,495,252.15,765.164199,0
1601251200000,3.0,3.177,2.8525,2.8525,477.34,1601294399999,1412.054139,363,179.5,531.510632,0
1601294400000,2.8438,2.872,2.5502,2.5976,975.77,1601337599999,2604.224562,537,421.32,1128.250185,0
1601337600000,2.5578,2.6462,2.3722,2.4209,1790.25,1601380799999,4501.200243,893,668.36,1678.4702940000002,0
1601380800000,2.421,2.65,2.1501,2.3377,555.37,1601423999999,1281.138252,413,329.81,762.1359269999998,0
1601424000000,2.2449,2.3452,2.0,2.1595,934.62,1601467199999,1982.987252,620,338.42,717.630125,0
1601467200000,2.151,2.2118,1.7739,1.8601,1073.02,1601510399999,2062.584612,788,439.03,849.131492,0
1601510400000,1.9272,2.0,1.8004,1.9163,1035.29,1601553599999,1992.036351,569,558.05,1078.464528,0
1601553600000,1.907,2.0585,1.8001,1.871,1290.44,1601596799999,2469.079019,858,578.01,1101.7364300000004,0
1601596800000,1.8101,1.8859,1.6221,1.6348,1781.85,1601639999999,3137.217691,804,488.61,865.15493,0
1601640000000,1.6692,1.7234,1.4325,1.6182,1115.1,1601683199999,1783.6996800000004,533,469.22,754.045314,0
1601683200000,1.6224,1.6332,1.4957,1.5854,531.17,1601726399999,821.893816,436,350.18,542.3599,0
1601726400000,1.5591,1.5892,1.4011,1.4382,773.32,1601769599999,1157.565983,532,360.32,547.786054,0
1601769600000,1.4382,1.6849,1.4005,1.41,727.88,1601812799999,1077.191187,434,372.83,567.5242900000002,0
1601812800000,1.41,1.4280000000000002,1.1252,1.2414,2162.48,1601855999999,2697.854217,928,885.7,1082.854116,0
1601856000000,1.2647,1.315,1.1493,1.2376,1463.48,1601899199999,1809.247322,573,773.84,956.916707,0
1601899200000,1.2465,1.68,1.229,1.6369,8055.38,1601942399999,12199.786429,2703,3308.41,5095.115248,0
1601942400000,1.6159,1.6924,1.305,1.4472,3419.21,1601985599999,5090.976181,1619,1617.12,2427.633526,0
1601985600000,1.4423,1.4923,1.15,1.2752,1803.8,1602028799999,2318.910386,1018,844.63,1073.698733,0
1602028800000,1.2774,1.2788,1.0969,1.115,976.36,1602071999999,1136.189131,446,221.09,254.130217,0
1602072000000,1.115,1.45,1.1149,1.1852,1719.94,1602115199999,2057.452097,909,1100.02,1323.5086609999996,0
1602115200000,1.2014,1.38,1.1831,1.3066,1272.35,1602158399999,1682.929575,841,630.62,834.174952,0
1602158400000,1.3066,1.42,1.2553,1.3599,966.32,1602201599999,1295.82123,911,571.73,768.6199690000002,0
1602201600000,1.366,1.4346,1.3141,1.375,573.37,1602244799999,794.961401,348,257.55,356.760716,0
1602244800000,1.3749,1.5883,1.3493,1.5255,1169.04,1602287999999,1726.9589039999996,815,649.2,967.240354,0
1602288000000,1.5006,1.5312,1.4201,1.4881,1085.14,1602331199999,1618.245271,578,415.53,619.427316,0
1602331200000,1.4855,1.4855,1.2608,1.2902,866.86,1602374399999,1156.135485,538,331.22,446.046696,0
1602374400000,1.289,1.3246,1.22,1.2412,939.71,1602417599999,1187.28785,588,349.06,442.304691,0
1602417600000,1.2412,1.2689,1.153,1.153,863.96,1602460799999,1052.625893,527,267.99,328.612533,0
1602460800000,1.153,1.306,1.0697,1.097,1962.44,1602503999999,2258.14805,879,828.38,958.195366,0
1602504000000,1.0816,1.1471,1.07,1.081,622.66,1602547199999,688.4311759999998,439,258.94,287.8261310000001,0
1602547200000,1.081,1.1585,1.0592,1.102,625.37,1602590399999,694.9907820000002,493,251.97,281.921605,0
1602590400000,1.1142,1.1569,1.0834,1.1499,538.82,1602633599999,598.8651150000002,301,211.27,236.299818,0
1602633600000,1.15,1.4358,1.15,1.2822,1385.41,1602676799999,1691.6163190000002,764,794.64,979.238933,0
1602676800000,1.2771,1.3625,1.0284,1.058,2099.94,1602719999999,2490.546135,1217,871.43,1024.9276550000004,0
1602720000000,1.0585,1.1038,1.0298,1.0545,830.07,1602763199999,881.8276289999999,295,201.96,215.125562,0
1602763200000,1.0544,1.1384,1.0459,1.0762,1808.55,1602806399999,1970.885072,750,775.68,843.733507,0
