Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1603756800000,0.02566,0.3,0.02566,0.04958,891328.2,1603799999999,51252.220497,11118,286288.1,16578.377574000002,0
1603800000000,0.04894,0.0525,0.04007,0.04327,365782.7,1603843199999,16579.144490000002,4399,129518.0,5954.370479,0
1603843200000,0.04286,0.044,0.032510000000000004,0.03367,317694.1,1603886399999,11807.114236,3401,99539.4,3695.347348,0
1603886400000,0.03356,0.035,0.02902,0.03327,174910.0,1603929599999,5522.631073,1778,72848.2,2300.8536,0
1603929600000,0.03323,0.03323,0.02719,0.02736,144351.4,1603972799999,4221.5963649999985,1885,50225.9,1469.210015,0
1603972800000,0.02735,0.0395,0.02622,0.0329,330552.4,1604015999999,10282.422824,3274,163864.6,5135.260709,0
1604016000000,0.0333,0.0333,0.0283,0.03049,155248.2,1604059199999,4644.355887,1884,61730.3,1852.836712,0
1604059200000,0.03023,0.03789,0.0298,0.0309,155719.4,1604102399999,4999.664865,1617,72612.1,2335.592874,0
1604102400000,0.03122,0.03322,0.02897,0.03084,148574.1,1604145599999,4622.9775770000015,4777,68514.2,2135.45685,0
1604145600000,0.03085,0.03149,0.03004,0.03012,135819.7,1604188799999,4159.470671,7226,73119.3,2236.917286,0
1604188800000,0.03012,0.0308,0.02875,0.02879,73783.7,1604231999999,2190.044201,1755,25561.5,760.1876639999998,0
1604232000000,0.02879,0.03167,0.02759,0.02914,155776.6,1604275199999,4575.129292000001,2102,75461.5,2216.020941,0
1604275200000,0.02882,0.03171,0.02742,0.02763,118716.8,1604318399999,3409.9148170000008,1431,63905.1,1855.722952,0
1604318400000,0.02758,0.0305,0.02717,0.0304,153159.6,1604361599999,4382.533735,2135,74362.1,2140.016315,0
1604361600000,0.03038,0.0323,0.02621,0.02663,310459.4,1604404799999,8990.866831,5150,145598.2,4221.693662,0
1604404800000,0.02682,0.02899,0.02585,0.0286,162064.7,1604447999999,4412.000282,1629,64451.8,1759.716198,0
1604448000000,0.02824,0.02897,0.02725,0.02814,81146.3,1604491199999,2284.885235,1171,41106.5,1157.1035470000004,0
1604491200000,0.02815,0.029,0.027260000000000003,0.0282,46499.4,1604534399999,1296.96986,876,16963.0,474.598555,0
1604534400000,0.027760000000000003,0.02813,0.02662,0.02738,46575.4,1604577599999,1269.92432,462,15872.5,432.948027,0
1604577600000,0.02734,0.02798,0.0265,0.02746,64842.1,1604620799999,1770.147107,422,30005.8,822.320085,0
1604620800000,0.02744,0.0288,0.02511,0.02815,93430.7,1604663999999,2473.317191,1080,46662.7,1238.407942,0
1604664000000,0.0278,0.02807,0.02579,0.027000000000000003,38952.0,1604707199999,1044.12046,500,14730.8,394.433893,0
1604707200000,0.02671,0.0305,0.02671,0.02759,91997.6,1604750399999,2593.980242,1111,44256.9,1256.432374,0
1604750400000,0.02755,0.02868,0.026560000000000004,0.02868,59006.3,1604793599999,1607.884373,686,17400.6,477.341733,0
1604793600000,0.02868,0.03258,0.02719,0.02932,106242.0,1604836799999,3082.767222,1294,46222.9,1353.261411,0
1604836800000,0.02944,0.03088,0.0288,0.029310000000000006,63426.3,1604879999999,1871.847043,685,27788.0,819.728442,0
1604880000000,0.02952,0.032639999999999995,0.02762,0.03196,107422.3,1604923199999,3236.140591,839,47484.9,1434.477477,0
1604923200000,0.0318,0.0345,0.0299,0.03199,71560.8,1604966399999,2285.345698,725,33902.6,1083.117004,0
1604966400000,0.03199,0.03356,0.03065,0.03211,39781.9,1605009599999,1281.916556,635,19287.9,623.593371,0
1605009600000,0.03175,0.03331,0.031330000000000004,0.03275,10631.7,1605052799999,344.726514,230,5782.9,188.843525,0
1605052800000,0.0327,0.03345,0.03132,0.0329,40907.3,1605095999999,1336.841477,297,11494.1,374.336753,0
1605096000000,0.03265,0.033,0.031760000000000004,0.032310000000000005,13447.5,1605139199999,432.399267,100,8534.7,273.662094,0
1605139200000,0.03224,0.035,0.031560000000000005,0.03343,31293.4,1605182399999,1051.223427,343,13489.4,449.62234400000006,0
