Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1553731200000,90.0,96.0,88.0,93.32,699.5939,1553774399999,65370.712393,371,341.93233,31981.4366359,0
1553774400000,93.32,98.89,92.83,95.74,1619.82597,1553817599999,154589.00891729994,794,736.32065,70400.0796465,0
1553817600000,95.74,98.19,95.48,97.65,1717.58532,1553860799999,166220.05731170002,726,604.9744599999998,58427.6184092,0
1553860800000,97.65,98.13,94.91,98.13,1847.71623,1553903999999,179177.9172005,995,952.64898,92504.0394909,0
1553904000000,98.3,98.52,95.5,97.65,1073.19424,1553947199999,104008.1143188,541,533.84455,51788.522528,0
1553947200000,97.94,101.0,95.52,100.78,2467.08319,1553990399999,244438.4142145,899,942.16903,93330.1673281,0
1553990400000,100.58,106.4,99.61,106.4,5848.95121,1554033599999,605567.6595720999,2477,2770.82862,286948.4339558,0
1554033600000,106.7,110.89,105.0,110.7,5819.48554,1554076799999,627547.9076709001,2821,2615.25467,281607.8881433,0
1554076800000,110.5,120.06,107.71,114.85,12722.52091,1554119999999,1473678.4288905,6461,5982.27385,692346.8192383001,0
1554120000000,114.98,116.24,110.32,112.97,3786.4154,1554163199999,428356.4447063,2106,1255.5783,142079.4619289,0
1554163200000,113.28,123.04,111.03,121.04,9360.92702,1554206399999,1100380.4121384,5035,4884.35204,573654.5431009,0
1554206400000,121.08,125.84,118.65,123.69,6018.3805200000015,1554249599999,732840.2856451998,3153,3420.3492100000008,417051.01435540005,0
1554249600000,123.5,139.09,120.26,133.39,7923.31978,1554292799999,1021247.911193,5262,3934.88126,505773.4464208,0
1554292800000,133.32,139.1,118.38,123.43,18134.88465,1554335999999,2435136.0032465,7337,8162.743990000001,1101332.4242317,0
1554336000000,123.78,131.65,120.34,125.84,4692.30564,1554379199999,594104.8539359999,3513,2138.3885800000007,268781.5022838,0
1554379200000,125.85,127.2,119.02,122.87,3742.1265,1554422399999,459955.4831099,2523,1796.32902,221519.8643534,0
1554422400000,122.87,134.24,122.87,132.9,3620.7397200000014,1554465599999,466388.4921717,2062,2031.02692,262561.5175927,0
1554465600000,132.65,134.21,127.64,132.78,2182.52113,1554508799999,286477.0815521,1373,965.15445,127072.4146852,0
1554508800000,132.84,133.23,129.3,130.04,1121.91787,1554551999999,147378.1161492,1029,435.30017,57142.23240160001,0
1554552000000,130.04,137.83,128.01,130.93,3180.81516,1554595199999,421807.3709585,2253,1547.32263,205441.462013,0
1554595200000,130.55,134.92,130.11,132.95,1311.79036,1554638399999,174752.6348855,1019,627.24784,83668.6533611,0
1554638400000,132.95,135.33,130.71,135.11,2909.83044,1554681599999,387514.7307107,1922,1312.58533,174640.78170170006,0
1554681600000,135.17,137.85,129.09,129.7,3838.85238,1554724799999,520588.7920994,2374,2326.949,317001.1859095,0
1554724800000,129.7,135.96,128.67,135.3,1968.03007,1554767999999,262847.288638,1602,809.32998,107308.9928288,0
1554768000000,135.2,135.52,128.84,132.24,2938.97092,1554811199999,386915.0286845,1775,1563.32623,205143.4864036,0
1554811200000,132.61,132.89,129.59,131.4,596.69773,1554854399999,78113.56984439999,677,271.79578,35603.9951624,0
1554854400000,131.32,132.85,130.73,131.58,1308.95891,1554897599999,172412.6557417,1000,535.93102,70529.5848701,0
1554897600000,131.58,133.38,126.43,129.74,3191.73046,1554940799999,415609.4216708,2436,1219.11479,158258.13486320002,0
1554940800000,129.73,129.84,113.2,118.47,4413.634,1554983999999,537785.1539459,2777,1977.30752,242179.2529634,0
1554984000000,118.5,123.85,117.66,122.3,3383.74787,1555027199999,406256.0616898,1438,2000.93336,240519.0820941,0
1555027200000,122.3,123.03,114.98,121.21,2649.28459,1555070399999,312959.0409807,1432,757.28868,90146.4109907,0
1555070400000,121.0,121.72,117.6,118.93,2066.13395,1555113599999,246869.3945423,1251,709.63436,85271.70568310001,0
1555113600000,118.72,119.84,117.11,117.59,984.99926,1555156799999,117136.592697,753,449.49802,53641.1592745,0
1555156800000,117.59,119.35,117.59,119.1,405.2643,1555199999999,48040.2278394,360,172.35627,20467.414183400004,0
1555200000000,119.1,121.2,117.88,121.08,625.82458,1555243199999,74728.5563787,621,338.87971,40534.181931,0
1555243200000,121.08,123.16,120.31,122.57,1171.0779699999996,1555286399999,142258.3822191,1018,601.80472,73161.5771563,0
1555286400000,122.57,123.78,120.83,120.83,654.96329,1555329599999,80433.7125636,760,316.0209700000001,38863.718503,0
1555329600000,120.83,121.41,115.04,118.56,2122.47428,1555372799999,251625.7361341,1574,1322.5631,157175.7718168,0
1555372800000,118.48,119.49,117.29,117.93,729.0323400000002,1555415999999,86235.1597043,711,323.66464,38290.9024578,0
1555416000000,117.89,131.0,115.54,120.61,4381.47664,1555459199999,524542.9108347,2172,1715.24935,205995.3225114,0
1555459200000,120.5,122.33,118.44,120.09,1002.24973,1555502399999,120150.287947,888,467.96222,55894.1298877,0
1555502400000,120.21,120.25,118.66,120.08,1186.93536,1555545599999,141363.4903935,828,757.49148,90165.9663473,0
1555545600000,119.94,123.0,119.7,121.4,1790.6246199999996,1555588799999,217904.86452720003,1285,904.25593,110117.9601409,0
1555588800000,121.27,125.59,120.44,123.52,3751.56876,1555631999999,464509.54338900006,2128,1756.33146,217387.3228092,0
1555632000000,123.54,123.54,119.45,122.2,2440.17155,1555675199999,294982.6932739,1101,702.43655,85256.39410339999,0
1555675200000,122.19,123.82,121.4,122.11,1341.11965,1555718399999,164091.26455110006,1048,624.2241,76383.43209489997,0
