Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1586260800000,0.04088,0.08999,0.04088,0.04317,7539833.9,1586303999999,338936.561188,2841,2620375.6,116722.018399,0
1586304000000,0.0433,0.04699,0.04182,0.04498,5452496.0,1586347199999,242051.678023,2457,2344822.9,103769.098363,0
1586347200000,0.044910000000000005,0.04649,0.0432,0.04381,4037349.7,1586390399999,179275.808797,1937,2391952.9,106411.613307,0
1586390400000,0.04381,0.04459,0.04247,0.04272,1616762.2,1586433599999,70710.410634,1224,795542.4,34860.599892,0
1586433600000,0.04269,0.04527,0.04199,0.04328,1958344.6,1586476799999,84801.06026900001,1556,1071821.6,46462.973538,0
1586476800000,0.04314,0.04343,0.03875,0.03948,2766462.5,1586519999999,112388.18893,1811,1285763.3,52366.410405,0
1586520000000,0.03948,0.03993,0.03621,0.0381,3130786.8,1586563199999,118138.810225,1990,1518543.5,57340.432962,0
1586563200000,0.0381,0.03953,0.03776,0.03841,1110635.7,1586606399999,42727.650812,1116,691885.7,26626.399548,0
1586606400000,0.03834,0.03871,0.03609,0.0373,1522658.8,1586649599999,56911.05984,1358,978634.2,36577.794866,0
1586649600000,0.0373,0.04197,0.03672,0.04042,3288948.4,1586692799999,130260.062199,2304,1703249.9,66861.69003099999,0
1586692800000,0.04042,0.04142,0.03858,0.03879,3927201.2,1586735999999,158113.311134,2234,1867372.3,75373.133759,0
1586736000000,0.03877,0.04161,0.03633,0.03932,6609083.2,1586779199999,259650.754465,3575,2909219.4,114082.718332,0
1586779200000,0.03929,0.041510000000000005,0.03789,0.0406,2582269.9,1586822399999,102514.117103,2027,1645830.6,65306.13806000001,0
1586822400000,0.04052,0.042,0.04005,0.0405,2108376.8,1586865599999,86467.79186699999,1513,1288041.4,52945.605912,0
1586865600000,0.0405,0.04219,0.04029,0.04043,1735816.4,1586908799999,71674.577156,1326,998352.7,41160.215252,0
1586908800000,0.0406,0.042,0.04,0.04042,775597.5,1586951999999,31564.817943,570,415812.5,16913.056651,0
