Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1599048000000,3.92,5.5,3.75,4.35,895326.715,1599091199999,3932170.7650480005,10173,461254.26,2036832.8054,0
1599091200000,4.33,4.77,3.102,3.204,285597.855,1599134399999,1131393.973718,4293,127744.104,513542.63631,0
1599134400000,3.202,3.845,2.91,3.019,203623.087,1599177599999,679430.442621,2980,90087.585,304352.557282,0
1599177600000,3.029,3.357,2.7960000000000003,3.1,274105.86100000003,1599220799999,834777.787137,3328,150781.441,453508.227539,0
1599220800000,3.117,3.277,2.5,2.94,185776.528,1599263999999,548087.727741,4049,89871.215,263368.769664,0
1599264000000,2.91,3.148,1.996,2.2,103852.343,1599307199999,274012.43458,2194,38489.635,97542.881615,0
1599307200000,2.1180000000000003,2.486,1.737,2.134,131387.071,1599350399999,267532.458348,1094,94087.11,184471.000356,0
1599350400000,2.219,2.475,1.908,2.475,38029.44,1599393599999,79032.079409,553,28426.992,58945.325447,0
1599393600000,2.475,2.495,2.091,2.313,121891.347,1599436799999,275735.776379,2596,60787.669,136435.717145,0
1599436800000,2.313,2.4,1.908,1.928,91359.127,1599479999999,196546.381697,1664,28377.409,61517.16925,0
1599480000000,1.933,2.201,1.873,2.2,38367.723,1599523199999,76278.290238,295,15789.755,32404.701135000007,0
1599523200000,2.213,2.241,1.94,1.94,13797.003,1599566399999,28526.720444,177,3365.905,7288.873136,0
1599566400000,2.001,2.073,1.867,2.005,6342.674,1599609599999,12559.457703,113,2251.737,4491.135154,0
1599609600000,1.991,2.11,1.8,2.102,19494.558,1599652799999,37589.046799,248,3615.297,7195.665582,0
1599652800000,2.103,2.289,2.0980000000000003,2.136,7179.524,1599695999999,15724.561477,125,1739.856,3852.344123,0
1599696000000,2.254,2.449,2.143,2.349,10638.815,1599739199999,24175.43591,173,5891.804,13214.911513,0
1599739200000,2.359,2.478,2.116,2.192,6056.093000000002,1599782399999,13850.536834,149,2659.74,6161.510852,0
1599782400000,2.192,2.299,1.842,2.109,19855.529,1599825599999,40941.829149,293,5490.861999999999,11504.897701,0
1599825600000,2.189,2.298,2.116,2.152,4078.849,1599868799999,8891.001001,67,2208.415,4849.4858079999985,0
1599868800000,2.167,2.173,2.059,2.139,5274.518,1599911999999,11119.327461,89,1231.687,2584.011381,0
1599912000000,2.134,2.98,2.134,2.78,40592.625,1599955199999,107630.816099,508,15525.375,40584.638419,0
1599955200000,2.754,2.934,2.482,2.49,40049.356,1599998399999,106644.811899,457,26628.733,70719.22575900001,0
1599998400000,2.508,2.631,2.231,2.379,20205.109,1600041599999,49317.298922,541,6042.9940000000015,14841.028079,0
