Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1599220800000,4.12,4.12,2.59,2.938,731752.551,1599263999999,2167055.762838,9451,372737.729,1104982.671085,0
1599264000000,2.938,3.15,1.97,2.201,1094370.006,1599307199999,2890684.612821,13511,469059.205,1252827.512702,0
1599307200000,2.185,2.46,1.826,2.143,1227650.355,1599350399999,2663749.687702,12982,582355.899,1276907.612989,0
1599350400000,2.143,2.6,1.902,2.447,1077542.208,1599393599999,2332132.452925,10142,564475.595,1222599.164618,0
1599393600000,2.448,2.585,2.085,2.316,787462.4559999999,1599436799999,1810114.373087,9133,379739.595,874616.861241,0
1599436800000,2.316,2.45,1.914,1.938,600285.267,1599479999999,1299157.700553,6510,262734.392,572261.462968,0
1599480000000,1.938,2.205,1.86,2.189,784425.2270000002,1599523199999,1597589.571484,6424,344883.434,702989.863356,0
1599523200000,2.199,2.246,1.937,1.944,356121.742,1599566399999,746474.6187079998,4399,161621.275,338710.464601,0
1599566400000,1.945,2.106,1.861,1.995,514607.988,1599609599999,1023447.906114,5295,236168.89,471035.845925,0
1599609600000,2.02,2.14,1.882,2.1180000000000003,420647.791,1599652799999,840721.645218,3923,221065.784,442657.969966,0
1599652800000,2.109,2.273,2.072,2.146,618850.384,1599695999999,1353856.282313,5920,297152.484,650370.5725819999,0
1599696000000,2.156,2.418,2.135,2.31,710046.829,1599739199999,1611628.732853,6688,364910.391,828979.464342,0
1599739200000,2.317,2.466,2.174,2.193,586205.03,1599782399999,1361497.144096,5880,256654.16,596051.785414,0
1599782400000,2.193,2.272,1.985,2.093,398591.128,1599825599999,844314.862954,4116,166868.312,351116.770412,0
1599825600000,2.094,2.307,2.08,2.182,416110.815,1599868799999,909667.252392,3914,179394.24,391599.097176,0
1599868800000,2.185,2.202,2.05,2.15,392056.748,1599911999999,835526.8548399998,4148,169587.29,361725.741273,0
1599912000000,2.15,2.98,2.119,2.754,1787204.158,1599955199999,4607510.725945,16887,931898.153,2397907.465794,0
1599955200000,2.755,2.98,2.464,2.513,1737463.915,1599998399999,4665150.1071150005,18302,765117.015,2069023.326644,0
1599998400000,2.517,2.608,2.1590000000000003,2.376,1887565.132,1600041599999,4521141.15155,16482,961125.264,2293091.99592,0
1600041600000,2.376,2.73,2.25,2.721,911148.398,1600084799999,2249893.189048,9788,479223.269,1181795.507903,0
1600084800000,2.724,2.955,2.51,2.701,1834812.581,1600127999999,5055158.185827,18819,944469.359,2610382.207562,0
1600128000000,2.697,2.935,2.57,2.61,1220773.68,1600171199999,3333719.358242,13054,473194.999,1299287.936161,0
1600171200000,2.61,2.74,2.296,2.401,1351179.0269999998,1600214399999,3347037.198216,11934,600871.9029999999,1490790.113257,0
1600214400000,2.403,2.511,2.152,2.265,1285129.198,1600257599999,2964501.966957,14044,503579.359,1168839.059124,0
1600257600000,2.265,2.35,2.031,2.164,895705.2370000002,1600300799999,1963491.785982,9124,347795.68100000004,765016.872504,0
1600300800000,2.172,2.31,1.9,2.024,909941.973,1600343999999,1904132.446383,8785,349616.99100000004,732926.3726090002,0
1600344000000,2.021,2.093,1.888,2.028,768785.197,1600387199999,1526370.945993,5735,301071.169,600065.096824,0
1600387200000,2.028,2.23,1.942,2.139,900264.863,1600430399999,1858415.420022,7727,399578.117,829284.8305479998,0
1600430400000,2.137,2.206,1.818,1.907,1301034.554,1600473599999,2570964.40696,9929,506145.08,999846.362453,0
1600473600000,1.913,1.947,1.81,1.945,704392.277,1600516799999,1324119.660475,5563,287767.387,541505.341816,0
1600516800000,1.942,2.18,1.936,2.13,1064127.922,1600559999999,2172206.446186,9747,568118.817,1163406.711081,0
1600560000000,2.13,2.134,2.004,2.048,403407.432,1600603199999,833165.1499140002,3982,173756.11800000002,359092.413057,0
1600603200000,2.051,2.056,1.821,1.878,786475.559,1600646399999,1496412.331194,6220,302250.731,574402.8155350001,0
1600646400000,1.877,1.944,1.45,1.551,1287235.189,1600689599999,2131120.00466,11084,522837.101,868011.0499799999,0
1600689600000,1.554,1.62,1.364,1.476,1238175.001,1600732799999,1859952.486946,9084,513423.981,770937.098713,0
1600732800000,1.477,1.605,1.286,1.346,1317573.186,1600775999999,1852319.053336,9549,639651.5920000001,897537.3873569998,0
1600776000000,1.341,1.582,1.301,1.472,1046942.619,1600819199999,1480360.155609,6606,522631.663,742050.0953640002,0
1600819200000,1.472,1.499,1.3,1.393,822043.321,1600862399999,1131429.485039,6408,377590.747,519389.677361,0
1600862400000,1.393,1.517,1.186,1.2,1626364.293,1600905599999,2214827.092296,11856,691612.314,946306.039905,0
1600905600000,1.2,1.349,1.16,1.304,847730.436,1600948799999,1064167.01035,6008,419347.467,527539.3298310001,0
1600948800000,1.3019999999999998,1.55,1.251,1.507,1206245.797,1600991999999,1667248.675507,7590,630139.407,875606.267105,0
1600992000000,1.507,1.5119999999999998,1.36,1.4,644146.797,1601035199999,915282.894405,5076,304116.74600000004,432005.942569,0
1601035200000,1.398,1.689,1.395,1.604,1301607.68,1601078399999,2006276.855887,8809,598340.168,919907.166416,0
1601078400000,1.604,1.74,1.555,1.597,702521.2170000001,1601121599999,1149321.750951,5149,317343.798,519442.104707,0
1601121600000,1.598,1.6,1.473,1.5219999999999998,641453.914,1601164799999,977358.062111,5034,277726.647,424062.89816,0
1601164800000,1.513,1.5759999999999998,1.327,1.34,687694.974,1601207999999,989044.418629,5403,283462.039,410176.060486,0
1601208000000,1.337,1.492,1.315,1.431,511256.972,1601251199999,722997.491238,3391,223366.679,315316.122021,0
1601251200000,1.431,1.539,1.25,1.272,1392517.94,1601294399999,1910992.831382,9146,672056.1590000001,921136.122345,0
1601294400000,1.271,1.52,1.25,1.357,1409857.927,1601337599999,1920417.971589,8231,683473.4909999999,938961.951605,0
1601337600000,1.357,1.413,1.215,1.235,1486785.648,1601380799999,1898666.9546,8020,631781.524,808589.3176,0
1601380800000,1.231,1.28,1.134,1.208,1531364.541,1601423999999,1861673.336837,6758,504198.214,613181.928523,0
1601424000000,1.206,1.2990000000000002,1.112,1.15,1891479.786,1601467199999,2216381.016793,8393,811671.816,951118.392251,0
1601467200000,1.15,1.52,1.138,1.4380000000000002,3722795.54,1601510399999,4982877.815856,17519,1945154.601,2616983.8616110003,0
1601510400000,1.436,1.535,1.384,1.45,1242578.21,1601553599999,1810924.49253,8714,586184.442,855747.810188,0
1601553600000,1.452,1.466,1.217,1.4,2568678.582,1601596799999,3417386.903994,12590,1093136.569,1463018.430853,0
1601596800000,1.399,1.4,1.167,1.188,1521916.946,1601639999999,1914573.522957,8099,629710.436,791579.382896,0
1601640000000,1.188,1.365,1.182,1.3,1476813.954,1601683199999,1892973.137275,7276,691254.372,887660.362509,0
