Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1599091200000,0.8327,1.4799,0.8327,0.8387,33463.4,1599134399999,32050.89449,8356,15184.74,14583.277979,0
1599134400000,0.8387,0.9703,0.7654,0.8742,40413.96,1599177599999,33446.239663,8351,24627.44,20224.21285,0
1599177600000,0.8755,0.9524,0.7882,0.8669,15966.36,1599220799999,13533.886576,4347,8197.01,6953.866181,0
1599220800000,0.8712,0.9266,0.8190000000000001,0.8390000000000001,23490.1,1599263999999,20406.179637,5342,13618.45,11830.15801,0
1599264000000,0.8390000000000001,0.8390000000000001,0.7305,0.7927,23660.29,1599307199999,18909.436185,4412,9675.32,7706.972771,0
1599307200000,0.7915,0.8157,0.56,0.6344,27968.63,1599350399999,18951.727811,6453,15578.2,10508.509945,0
1599350400000,0.6381,0.6607,0.5501,0.6154,20317.1,1599393599999,12368.915242,3453,12893.87,7882.326355,0
1599393600000,0.6154,0.6489,0.5734,0.578,15597.36,1599436799999,9370.729463,2972,9235.28,5552.228013,0
1599436800000,0.578,0.6192,0.5437,0.5957,18292.82,1599479999999,10564.641096,3516,11503.25,6666.569497,0
1599480000000,0.5946,0.6204,0.575,0.59,13059.32,1599523199999,7829.726601,2328,8160.89,4894.923413,0
1599523200000,0.5887,0.6957,0.583,0.649,16382.7,1599566399999,10482.199331,3443,9368.92,5965.981111,0
1599566400000,0.649,0.6567,0.5974,0.6032,6797.28,1599609599999,4235.403522,1595,3673.65,2290.326524,0
1599609600000,0.6017,0.6375,0.5809,0.6162,8590.36,1599652799999,5267.502942,1659,4274.88,2617.046801,0
1599652800000,0.6136,0.6362,0.601,0.616,3502.3,1599695999999,2168.234643,961,1931.93,1199.289433,0
1599696000000,0.6187,0.6386,0.6024,0.6051,4040.86,1599739199999,2517.49923,922,2471.66,1543.679898,0
1599739200000,0.6053,0.6115,0.5634,0.5681,10369.43,1599782399999,6093.383241,1663,5167.15,3058.56627,0
1599782400000,0.5677,0.6157,0.5677,0.609,8676.09,1599825599999,5112.7889049999985,1706,5334.48,3151.007779,0
1599825600000,0.6081,0.6081,0.5572,0.5613,5963.57,1599868799999,3430.438671,1079,3248.3,1869.67481,0
1599868800000,0.5613,0.5613,0.4997,0.5059,6882.35,1599911999999,3673.552727,1337,3654.29,1945.681831,0
1599912000000,0.5054,0.515,0.4864,0.4917,6687.02,1599955199999,3362.953218,946,3843.96,1932.8859170000005,0
1599955200000,0.4895,0.4928,0.4202,0.4521,8455.23,1599998399999,3796.672555,989,5248.87,2359.633817000001,0
1599998400000,0.4513,0.4533,0.422,0.4274,6203.73,1600041599999,2712.001342,1203,2797.44,1229.854324,0
1600041600000,0.43,0.4516,0.3945,0.3981,6686.0,1600084799999,2801.774558,1112,3398.65,1418.158565,0
1600084800000,0.3982,0.4734,0.3982,0.4496,10047.17,1600127999999,4399.068412,1800,5495.99,2384.501852,0
1600128000000,0.4498,0.5174,0.4498,0.488,10743.6,1600171199999,5268.563174,1846,5499.64,2706.938309,0
1600171200000,0.4876,0.4982,0.4634,0.4793,7197.93,1600214399999,3435.896222,1458,4364.69,2088.922616,0
1600214400000,0.4817,0.4958,0.4446,0.4612,6357.36,1600257599999,2967.580631,1421,3593.18,1677.149354,0
1600257600000,0.4612,0.4619,0.4341,0.4509,4838.64,1600300799999,2169.418126,1123,2885.43,1294.013101,0
1600300800000,0.4515,0.4585,0.4428,0.4484,4238.98,1600343999999,1918.769795,922,2747.8,1246.624777,0
1600344000000,0.4497,0.4614,0.4421,0.4443,5224.84,1600387199999,2356.18935,978,3040.43,1373.925951,0
1600387200000,0.444,0.444,0.4222,0.4284,2593.22,1600430399999,1125.922183,601,1336.44,579.332117,0
1600430400000,0.4299,0.4433,0.4047,0.4049,6249.57,1600473599999,2616.229889,1057,3357.65,1411.396048,0
1600473600000,0.408,0.4295,0.4015,0.4265,6075.08,1600516799999,2560.930785,923,4067.48,1714.744213,0
1600516800000,0.4266,0.4473,0.4239,0.4378,7203.5,1600559999999,3119.92785,1211,4416.55,1915.502877,0
