Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1599091200000,19.66,35.0,19.66,20.047,68865.894,1599134399999,1639929.373026,13319,31920.923,761722.1661149998,0
1599134400000,19.99,21.476,16.86,17.803,41653.354,1599177599999,788228.080684,8983,21795.995,412622.64483,0
1599177600000,17.803,20.31,16.887999999999998,18.578,23286.452,1599220799999,418092.134515,4739,12327.586,223592.117687,0
1599220800000,18.573,19.967,17.189,17.621,26827.823,1599263999999,490857.728786,5832,13689.531,249647.873229,0
1599264000000,17.621,17.707,14.497,15.502,11600.31,1599307199999,189931.468938,2090,4735.3290000000015,78089.790377,0
1599307200000,15.487,16.101,10.448,12.389,26179.809,1599350399999,327993.381785,5041,14916.309,184858.768113,0
1599350400000,12.34,13.748,11.877,13.668,19279.42,1599393599999,242664.181015,3719,9653.59,123124.217031,0
1599393600000,13.668,14.5,13.203,13.365,23891.544,1599436799999,327260.543033,4372,11476.962,157224.722969,0
1599436800000,13.365,13.734000000000002,11.82,12.765,32778.487,1599479999999,417509.592502,4637,11261.139,142784.378651,0
1599480000000,12.765,13.443,12.133,13.21,20157.311,1599523199999,257829.494812,2959,10065.95,129395.721598,0
1599523200000,13.220999999999998,15.492,13.21,13.944,45861.175,1599566399999,652294.081335,6187,24938.895,356350.8285510001,0
1599566400000,13.966,14.467,13.572,13.99,26970.94,1599609599999,377253.285625,3499,13288.907,186294.19475,0
1599609600000,13.988,14.911,13.815,14.533,19987.635,1599652799999,284068.681132,2563,9108.397,129632.727507,0
1599652800000,14.533,15.355,14.428,15.104,14724.021,1599695999999,217558.564971,1833,4616.185,68533.901423,0
1599696000000,15.027,15.681,15.012,15.18,10259.675,1599739199999,157892.451132,1705,5912.465,91023.596718,0
1599739200000,15.172,15.411,13.785,13.941,18822.929,1599782399999,273074.242949,3086,8508.688,122962.039341,0
1599782400000,13.943,14.355,13.571,14.232,6497.937,1599825599999,90847.868688,1489,3795.24,53113.123894,0
1599825600000,14.232,14.664,13.9,14.295,6587.986999999999,1599868799999,93315.445706,1079,4330.272,61487.759091,0
1599868800000,14.295,14.413,13.769,13.92,4550.923,1599911999999,64211.536665,742,2243.493,31761.913428,0
1599912000000,13.95,13.973,13.593,13.894,5975.803000000001,1599955199999,82460.64830700001,1056,2994.4970000000008,41353.578625,0
1599955200000,13.895,13.988,13.114,13.114,5083.897,1599998399999,69531.09426499999,928,2065.28,28492.856206,0
1599998400000,13.114,13.486,13.0,13.308,7348.767,1600041599999,97210.017118,1195,3482.607,46210.008494,0
1600041600000,13.308,13.335,12.7,12.995,7158.9569999999985,1600084799999,93226.951449,1552,3438.207000000001,44714.360939,0
1600084800000,13.05,14.326,13.05,13.942,16302.059,1600127999999,226292.776599,3431,9532.997,132142.468891,0
1600128000000,13.973,14.923,13.8,14.198,15259.068,1600171199999,218672.77412,3163,7462.941999999999,107122.576723,0
1600171200000,14.198,14.61,12.869000000000002,13.050999999999998,17516.49,1600214399999,240371.966225,2468,7752.672,106680.602218,0
1600214400000,12.995,13.005,11.863,12.488,14169.411,1600257599999,177140.272333,2614,6794.542,85046.377835,0
1600257600000,12.48,12.852,12.014,12.582,8493.011,1600300799999,105612.637979,1437,3583.386,44800.07794,0
1600300800000,12.647,12.847,11.824000000000002,12.015,7390.012,1600343999999,90585.409704,1413,2385.898,29350.221354,0
1600344000000,12.024,12.322,11.655,12.023,12023.871,1600387199999,143979.378512,2194,6730.379,80745.892441,0
1600387200000,12.023,12.332,11.925,12.083,7549.399,1600430399999,91356.238526,1173,5073.174,61423.618913,0
1600430400000,12.075,12.22,10.875,11.213,13705.463,1600473599999,157566.81096,2406,5486.635,63246.866771,0
1600473600000,11.213,11.689,11.213,11.671,7107.547,1600516799999,81102.193267,1312,4892.273,55916.71749,0
1600516800000,11.689,12.218,11.541,11.936,10234.755,1600559999999,121215.076446,2028,5888.713000000002,69870.828983,0
1600560000000,11.895,12.074000000000002,11.629,11.668,4702.826,1600603199999,55781.235874,791,1815.645,21575.33187,0
1600603200000,11.667,11.667,10.107,10.724,22742.347,1600646399999,241771.515745,3235,8813.058,93595.387131,0
1600646400000,10.71,10.921,9.229,9.523,12247.366000000002,1600689599999,124865.962194,1751,5486.985,55706.304014,0
1600689600000,9.501,9.501,8.387,8.815,16159.572,1600732799999,144092.08548900002,1946,8312.195,74039.124227,0
1600732800000,8.815,9.065,8.407,8.689,8884.947,1600775999999,78038.53135199999,1621,4328.434,38071.275143,0
1600776000000,8.689,8.97,8.532,8.721,12249.782,1600819199999,106951.919337,1521,6849.138000000001,59843.31967899999,0
